Date,Open,High,Low,Close,Volume
2024-09-17,67.9931,68.4187,67.8229,67.8986,12974400
2024-09-18,67.9837,68.447,67.3973,67.8513,10719700
2024-09-19,67.6716,68.0309,66.7637,66.7827,13635600
2024-09-20,66.5841,67.8985,66.5557,67.7472,48578500
2024-09-23,67.6621,68.2768,67.3122,67.8324,11613000
2024-09-24,67.3501,67.9175,66.7637,67.4541,13330600
2024-09-25,67.8134,68.012,67.4352,67.5676,12329100
2024-09-26,67.0096,67.7189,66.9907,67.5203,10815200
2024-09-27,67.6527,68.2768,67.577,67.8891,11175700
2024-09-30,68.0877,68.2768,67.7945,67.9553,18015300
2024-10-01,68.1822,68.7969,67.7378,67.8134,13294500
2024-10-02,67.5108,67.5487,66.5841,67.1515,11155500
2024-10-03,67.0096,67.1325,66.3855,66.6881,9374800
2024-10-04,66.1585,66.4611,65.9316,66.3571,12684800
2024-10-07,66.2436,66.2909,65.1278,65.2602,14512000
2024-10-08,65.2885,65.6668,65.1183,65.4209,13549700
2024-10-09,65.4304,65.9505,65.3169,65.7897,9037700
2024-10-10,66.0356,66.1113,65.2412,65.4871,8635200
2024-10-11,65.6857,65.8086,65.2507,65.7897,8786300
2024-10-14,65.7897,66.6408,65.6952,66.5179,7659300
2024-10-15,66.6314,67.3406,66.3477,66.5179,10358700
2024-10-16,66.2815,66.8583,66.168,66.7354,7937300
2024-10-17,66.7921,66.8489,65.7992,66.1018,14674600
2024-10-18,66.0734,66.7165,65.8275,66.6124,15087500
2024-10-21,66.1964,66.5084,65.5438,65.6762,11981200
2024-10-22,65.2507,65.9599,64.9481,65.6762,18603300
2024-10-23,63.3499,64.967,62.9622,64.3145,24655200
2024-10-24,63.9741,64.3429,63.3121,63.6431,17568800
2024-10-25,63.4256,64.0213,63.1608,63.2837,11138100
2024-10-28,63.3215,63.7376,62.9811,63.0473,10761400
2024-10-29,62.6879,62.7352,61.9598,61.9976,16525900
2024-10-30,61.9503,62.9244,61.7707,62.3381,14177800
2024-10-31,62.234,62.4042,61.7139,61.7612,13383700
2024-11-01,61.9125,62.0922,61.364,61.4775,12163100
2024-11-04,61.5437,61.8652,61.1371,61.5721,10984500
2024-11-05,61.1276,61.9125,61.1276,61.8179,8780200
2024-11-06,60.9196,61.3356,59.7469,60.2387,22899300
2024-11-07,60.7966,60.8912,60.1441,60.2009,14856100
2024-11-08,60.4373,60.7493,60.2765,60.4467,14719300
2024-11-11,60.5129,60.6359,59.8131,59.9172,13980900
2024-11-12,60.2198,60.286,59.6902,59.7659,15021000
2024-11-13,59.624,59.8226,59.0944,59.5767,13177600
2024-11-14,59.6807,59.6807,59.0377,59.1512,15910800
2024-11-15,59.0944,59.2268,58.0542,58.3852,26284300
2024-11-18,58.4892,58.7634,58.215,58.4987,16062100
2024-11-19,58.5365,59.2174,58.2812,59.189,16254800
2024-11-20,59.293,59.5862,58.65,59.5673,18904900
2024-11-21,59.7186,60.3427,59.5294,60.2954,17292300
2024-11-22,60.7493,60.9763,60.1914,60.4467,19562200
2024-11-25,60.825,61.1938,60.3711,60.8817,36805300
2024-11-26,60.8155,61.1276,60.5791,61.0425,14473300
2024-11-27,61.4302,61.5626,60.7588,60.929,13263400
2024-11-29,61.0005,61.2196,60.7623,61.0576,10648400
2024-12-02,61.0291,61.1625,60.3621,60.6479,16500100
2024-12-03,60.7146,61.0576,60.0572,60.5241,24874500
2024-12-04,60.2954,60.3621,58.9805,59.2758,28137700
2024-12-05,59.5236,60.1429,59.171,59.9524,21040400
2024-12-06,59.8666,60.3716,59.5617,59.5808,15581100
2024-12-09,59.7332,59.9619,58.9805,59.6474,22348300
2024-12-10,59.7427,60.0667,58.8757,59.9428,14949400
2024-12-11,60.0286,60.6289,59.4569,59.6856,32819000
2024-12-12,60.5526,60.9052,60.2382,60.829,17542100
