Date,Open,High,Low,Close,Volume
2024-09-23,20.7472,21.038,20.6836,20.9199,20080800
2024-09-24,20.929,21.0789,20.7154,21.0017,14365300
2024-09-25,21.0925,21.2043,20.8472,20.9017,12625600
2024-09-26,21.038,21.1652,20.929,21.0198,12504500
2024-09-27,21.0289,21.297,20.929,21.138,12450000
2024-09-30,21.2289,21.347,20.9699,21.0198,17088300
2024-10-01,21.0562,21.0653,20.6109,20.7018,13640500
2024-10-02,20.6291,20.6563,20.3564,20.5654,16504900
2024-10-03,20.4291,20.4928,20.2201,20.2383,10312400
2024-10-04,20.2656,20.3119,20.102,20.1383,8451600
2024-10-07,20.1838,20.2065,19.8839,19.9838,9859300
2024-10-08,20.0565,20.0611,19.7748,19.8566,11377100
2024-10-09,19.8293,19.8884,19.5385,19.5658,10437800
2024-10-10,19.5749,19.6294,19.3113,19.375,11911600
2024-10-11,19.4386,19.5476,19.3659,19.5022,14513000
2024-10-14,19.4113,19.7067,19.3477,19.6294,18677100
2024-10-15,19.6203,19.9793,19.5749,19.7748,11925300
2024-10-16,19.6839,19.8566,19.6476,19.7476,13919600
2024-10-17,19.8475,19.8475,19.4204,19.4931,12260700
2024-10-18,19.5476,19.7566,19.434,19.7385,13309700
2024-10-21,20.8563,21.2561,20.7199,20.829,38291800
2024-10-22,20.4927,20.9471,20.4746,20.8381,18080900
2024-10-23,20.7381,20.8608,20.4564,20.6836,10664000
2024-10-24,20.8108,20.9835,20.6972,20.8744,11664200
2024-10-25,20.8653,20.9199,20.5654,20.5745,8395700
2024-10-28,20.7654,20.8017,20.5155,20.7926,10540300
2024-10-29,20.6472,20.819,20.5654,20.7018,13109200
2024-10-30,20.5836,20.8926,20.5018,20.8017,15919800
2024-10-31,20.6109,21.0516,20.5482,20.8381,34406400
2024-11-01,20.7745,20.988,20.6472,20.6563,15528900
2024-11-04,20.729,21.1062,20.6654,20.938,17341800
2024-11-05,20.8472,21.4197,20.829,21.1107,17781300
2024-11-06,21.4015,21.4015,20.2701,20.4473,16727100
2024-11-07,20.1474,21.2516,20.0293,20.8744,28744400
2024-11-08,20.7836,21.556,20.7563,21.5197,16635100
2024-11-11,21.5924,21.7014,21.347,21.6105,13838400
2024-11-12,21.5924,21.765,21.476,21.4924,10714200
2024-11-13,21.497,21.6345,21.1211,21.2128,16481200
2024-11-14,21.2861,21.772,21.2036,21.6437,14017300
2024-11-15,21.5612,22.1203,21.4878,21.8362,16166900
2024-11-18,21.8224,22.0058,21.6987,21.7445,14591600
2024-11-19,21.6253,21.8178,21.3045,21.717,9838300
2024-11-20,21.6895,21.7995,21.5997,21.7995,7418800
2024-11-21,21.8087,22.2212,21.717,22.0837,8331200
2024-11-22,22.2304,22.2854,22.0021,22.0745,10505900
2024-11-25,22.2258,22.3679,21.9874,22.2212,26971900
2024-11-26,22.2533,22.4229,21.9462,22.1112,12315700
2024-11-27,22.1937,22.3724,22.047,22.1203,11666900
2024-11-29,22.0012,22.2212,21.8912,22.0745,7516500
2024-12-02,22.102,22.2487,21.8866,22.2395,10173800
2024-12-03,22.1203,22.212,21.4786,21.5245,13665700
2024-12-04,21.497,21.5657,20.3282,21.2311,27219800
2024-12-05,21.442,21.5061,21.0845,21.2036,13914400
2024-12-06,21.3045,21.4053,20.9194,20.9378,9708800
2024-12-09,21.0845,21.3228,20.8461,20.9103,15267200
2024-12-10,20.8736,21.0615,20.5253,20.8461,10492300
2024-12-11,20.8553,20.8782,20.3419,20.3694,9433200
2024-12-12,20.1494,20.7499,19.9514,20.4611,14949900
2024-12-13,20.4244,20.4519,20.1127,20.3603,9184000
2024-12-16,20.4703,20.6032,20.2136,20.2319,7786300
2024-12-17,20.2594,20.3282,20.0394,20.2044,10278500
2024-12-18,20.1677,20.3236,19.6819,19.7185,15271800
2024-12-19,19.7277,19.9477,19.636,19.8102,13048400
2024-12-20,19.7277,20.1402,19.6819,19.9569,22915000
2024-12-23,19.9019,20.0082,19.7369,19.7919,13256800
2024-12-24,19.691,19.8377,19.5902,19.7644,9164900
2024-12-26,19.7094,19.9569,19.6544,19.9111,5970300
2024-12-27,19.7919,19.989,19.7369,19.7369,9833600
2024-12-30,19.6452,19.6727,19.416,19.416,7123700
2024-12-31,19.4802,19.6452,19.4527,19.5719,6934200
2025-01-02,19.7277,19.7827,19.3885,19.5077,8253900
2025-01-03,19.5444,19.5719,19.3381,19.4344,6079200
2025-01-06,19.8011,19.8011,19.306,19.3519,10740100
2025-01-07,19.3885,19.5444,19.196,19.2969,8828800
2025-01-08,19.2419,19.3519,19.0035,19.3427,7579300
2025-01-10,19.1594,19.2199,18.9577,19.1135,11057100
2025-01-13,19.0952,19.3335,18.976,19.2235,12682000
2025-01-14,19.2327,19.3656,19.1869,19.2785,7275900
2025-01-15,19.4252,19.4875,19.031,19.1135,10050000
2025-01-16,19.0127,19.4481,18.9943,19.4252,8810500
2025-01-17,19.4344,19.5673,19.2785,19.3427,11267000
2025-01-21,19.4344,19.4527,18.8935,19.0677,19203400
2025-01-22,19.0677,19.1135,18.8843,19.0218,19218300
2025-01-23,18.9943,19.086,18.7789,19.0218,12575000
2025-01-24,19.0585,19.1227,18.9898,19.0493,12092500
2025-01-27,19.361,19.7461,19.3198,19.6544,15342800
2025-01-28,19.6177,19.8469,19.5444,19.581,13831600
2025-01-29,19.6544,19.7185,19.4435,19.5352,12249200
2025-01-30,19.7094,19.9569,19.5994,19.9111,11733100
2025-01-31,19.6269,19.8286,19.5031,19.5169,16433400
2025-02-03,19.416,19.5031,19.2969,19.4619,9693600
2025-02-04,19.1685,19.361,19.0127,19.0768,11813700
2025-02-05,19.251,19.2969,18.8752,19.0127,19231100
2025-02-06,18.8248,19.3427,18.1051,18.151,25808800
2025-02-07,18.2426,18.5452,18.1876,18.4993,17734300
2025-02-10,18.5818,19.0127,18.5177,18.866,14043000
2025-02-11,18.8752,19.2144,18.8202,19.1685,10921800
2025-02-12,19.0065,19.4648,18.9797,19.4046,10317000
2025-02-13,19.349,19.9832,19.3305,19.8582,14062000
2025-02-14,19.8768,20.497,19.7703,20.3026,27015700
2025-02-18,20.173,20.5526,20.1128,20.3674,14108300
2025-02-19,20.4878,20.659,20.173,20.6174,14198000
2025-02-20,20.6174,20.9044,20.261,20.7285,19044800
2025-02-21,20.7007,21.7006,20.6822,21.5895,25663000
2025-02-24,21.571,21.7885,21.2469,21.571,18229000
2025-02-25,21.571,21.9413,21.5015,21.6358,22641600
2025-02-26,21.6635,21.7006,21.196,21.4969,14615800
2025-02-27,21.3488,21.52,21.1358,21.4228,15159100
2025-02-28,21.5247,21.8765,21.4275,21.8487,30981700
2025-03-03,21.7561,22.1172,21.7283,22.0246,12834400
2025-03-04,22.1449,22.5523,21.6728,21.682,15368100
2025-03-05,21.6913,21.7376,21.1312,21.3302,17384400
2025-03-06,21.3765,21.5154,21.2377,21.4599,9739200
2025-03-07,21.321,21.8579,21.3117,21.682,14446300
2025-03-10,21.7839,22.5477,21.7006,22.1449,18035100
2025-03-11,22.2653,22.3579,21.645,21.7469,16475100
2025-03-12,21.3673,21.5709,21.0849,21.358,13897400
2025-03-13,21.3858,21.6172,21.2377,21.4599,16433800
2025-03-14,21.4969,21.5247,21.0294,21.1173,15798900
2025-03-17,21.2654,21.8996,21.0969,21.6728,16372400
2025-03-18,21.6635,21.9228,21.5617,21.608,16840600
2025-03-19,21.4691,21.7839,21.4321,21.7839,9646900
2025-03-20,21.7006,21.9135,21.5015,21.6543,16508300
2025-03-21,21.5709,21.645,21.2562,21.5802,35334700
2025-03-24,21.4321,21.8394,21.3765,21.6358,13187600
2025-03-25,21.7283,21.7469,21.2654,21.3858,14987800
2025-03-26,21.3858,21.682,21.1081,21.6635,9473400
2025-03-27,21.7191,21.9403,21.6728,21.7561,13790600
2025-03-28,21.8487,22.0061,21.6922,21.9413,14401300
2025-03-31,22.0709,22.2514,21.8672,22.2005,16360100
2025-04-01,22.2375,22.256,21.9968,22.1079,11113800
2025-04-02,22.0801,22.2884,21.858,22.0987,14093800
2025-04-03,22.219,22.4319,21.5941,21.8672,21704000
2025-04-04,21.9135,22.0153,20.6174,20.6729,17771400
2025-04-07,20.3767,20.7979,19.7842,20.1545,26882400
2025-04-08,20.46,20.5711,19.7055,19.8953,13443000
2025-04-09,19.636,20.5155,19.4046,20.1637,22036500
2025-04-10,20.0897,20.4693,19.8212,20.2471,16963500
2025-04-11,20.3489,20.585,20.0249,20.4507,13221700
2025-04-14,20.71,21.1905,20.5433,21.0247,16487900
2025-04-15,21.0247,21.4043,20.8859,21.2099,22262800
2025-04-16,21.3488,21.4876,20.9414,21.0432,28527600
2025-04-17,21.034,21.7839,21.034,21.6543,22595700
2025-04-21,21.5987,21.645,20.3859,20.6174,20885900
2025-04-22,20.8859,21.5015,20.7748,21.4691,25918800
2025-04-23,21.2608,21.4691,21.0525,21.2377,13015000
2025-04-24,21.2192,21.2377,20.8674,21.0618,15417600
2025-04-25,21.1821,21.7191,20.7239,21.3025,22249600
2025-04-28,21.2747,21.5061,21.2006,21.3951,12011900
2025-04-29,21.2747,21.7006,20.9229,21.645,13526300
2025-04-30,21.7561,21.9598,21.4645,21.8487,15990400
2025-05-01,21.6172,22.256,21.4413,22.182,15132800
2025-05-02,22.2746,22.4042,21.9135,22.2005,14097700
2025-05-05,22.1635,22.2005,21.6774,21.8857,23279500
2025-05-06,21.7376,21.9366,21.6358,21.8209,15082400
2025-05-07,21.7654,21.8718,21.2978,21.3951,36329100
2025-05-08,22.6819,23.3022,22.1912,22.2746,33046700
2025-05-09,22.2653,22.6819,22.2283,22.6264,24395100
2025-05-12,22.4597,22.7837,22.1264,22.219,15042200
2025-05-13,22.1264,22.219,21.7561,21.9042,17777300
2025-05-14,21.8529,22.0107,21.5634,21.6661,13383200
2025-05-15,21.8809,22.4085,21.7782,22.3011,18331200
2025-05-16,22.4319,22.628,22.3198,22.5813,20725200
2025-05-19,22.6187,22.6654,22.3011,22.4132,22180000
2025-05-20,22.4132,22.5906,22.3385,22.5346,16356900
2025-05-21,22.4879,22.7447,22.3478,22.4132,15095600
2025-05-22,22.4132,22.4412,21.9182,21.9463,13277400
2025-05-23,22.077,22.1965,21.8575,22.1611,10164000
2025-05-27,22.2825,22.4132,22.0723,22.3478,11682500
2025-05-28,22.3385,22.3572,21.8529,21.993,10980800
