Date,Open,High,Low,Close,Volume
2024-08-19,161.6533,164.4379,161.3823,163.9613,1247348
2024-08-20,164.1856,165.5311,162.3635,162.5877,1427399
2024-08-21,164.6341,168.6521,164.0734,167.3065,2837135
2024-08-22,167.3065,168.5586,166.1011,167.0168,1160162
2024-08-23,169.1005,173.5016,168.1755,172.8849,2026746
2024-08-26,174.2679,174.3613,171.3151,171.6048,1208300
2024-08-27,170.1845,171.1843,168.7642,170.3994,975668
2024-08-28,169.7547,171.2964,168.3063,169.3716,705642
2024-08-29,170.063,170.661,166.8673,168.6707,954595
2024-08-30,170.0724,171.2871,166.83,170.1191,1506424
2024-09-03,170.3526,171.8757,165.1386,166.6804,1760439
2024-09-04,165.9703,167.2691,163.9893,166.615,1468616
2024-09-05,166.5963,167.9045,165.6619,166.1665,1665712
2024-09-06,166.6898,170.689,166.4655,167.6522,2326419
2024-09-09,167.8391,170.5396,167.2131,168.3811,1827790
2024-09-10,169.3342,169.4183,165.9516,168.4091,1685133
2024-09-11,166.1478,166.8299,162.0925,166.5029,2178494
2024-09-12,167.0636,170.0443,166.4095,169.4837,1542062
2024-09-13,171.4179,174.2024,171.231,173.7166,1852789
2024-09-16,175.1462,175.847,172.3243,174.9313,1986252
2024-09-17,176.3236,177.0057,174.352,176.9403,1606728
2024-09-18,177.5383,179.7809,174.2118,176.0713,1618608
2024-09-19,179.4071,181.0891,175.6882,179.8276,2509880
2024-09-20,173.3241,174.5015,169.3809,170.2406,7212509
2024-09-23,172.7261,173.8193,171.2497,173.6138,2777634
2024-09-24,172.8289,173.8941,170.4741,172.1467,1563342
2024-09-25,171.4459,171.4459,169.2407,169.9322,1778103
2024-09-26,171.1563,171.9692,170.0256,171.0441,1542785
2024-09-27,173.1465,176.7627,172.2121,174.7631,1816530
2024-09-30,173.9128,175.4826,172.8195,175.1836,1391554
2024-10-01,176.1834,176.6319,173.7352,175.9498,2287165
2024-10-02,174.0249,175.3238,172.399,174.8379,1765500
2024-10-03,174.5202,175.847,172.2589,174.6416,1412421
2024-10-04,175.0154,175.3891,167.8391,170.2966,2502443
2024-10-07,168.1942,170.1378,166.7645,170.035,2027262
2024-10-08,170.633,171.6422,168.9137,169.3248,1510556
2024-10-09,169.4935,170.1775,168.4066,169.0812,1534315
2024-10-10,167.0104,169.0531,166.4108,166.973,1576978
2024-10-11,167.4133,168.9032,166.8511,166.9636,1824485
2024-10-14,167.001,170.6741,166.5419,170.1587,1386389
2024-10-15,171.2644,175.434,171.0957,173.382,1540823
2024-10-16,176.1274,177.4111,175.406,176.5397,1405810
2024-10-17,176.3523,176.9426,172.0702,173.813,1696393
2024-10-18,174.6657,177.7016,173.6538,177.0269,1440932
2024-10-21,176.0712,176.2305,168.9125,169.2499,1497024
2024-10-22,165.9516,166.139,162.5691,162.6347,2922770
2024-10-23,161.7445,163.0376,160.0017,161.6977,2611527
2024-10-24,162.6253,165.2583,161.8476,164.7991,2219607
2024-10-25,165.6893,165.6893,162.1006,162.3629,1820662
2024-10-28,163.8528,164.7242,161.6602,163.1219,1422131
2024-10-29,151.5593,160.086,150.5005,159.3833,4482807
2024-10-30,159.4395,162.0443,158.39,160.6951,1903509
2024-10-31,159.5145,160.7888,158.4931,159.5707,1705999
2024-11-01,161.707,162.7471,158.6524,158.971,1766327
2024-11-04,160.1235,165.0802,160.1048,161.7539,1829856
2024-11-05,160.4608,166.1952,159.9642,166.1109,1393930
2024-11-06,157.5187,158.3057,153.6114,158.0715,4742400
2024-11-07,158.0715,161.0136,157.4156,160.6107,1617988
2024-11-08,161.1636,163.0188,160.2266,161.707,1260777
2024-11-11,162.391,163.3936,160.8731,161.4447,1196937
2024-11-12,160.1422,160.3765,155.6165,155.7102,1834505
2024-11-13,158.4744,158.8773,155.4854,155.8508,1509833
2024-11-14,157.0126,160.7981,156.8253,159.1022,2433851
2024-11-15,158.0246,159.7581,157.3594,158.212,1785437
2024-11-18,156.6285,158.2214,156.0288,157.3406,1716639
2024-11-19,157.3406,158.8023,155.832,158.1183,1977782
2024-11-20,157.3406,158.6055,156.8721,157.6311,1166257
2024-11-21,158.3807,159.6738,156.9658,157.4812,2070442
2024-11-22,158.1652,159.3271,157.4156,158.5119,1881300
2024-11-25,161.1636,168.772,161.098,167.404,3495879
2024-11-26,166.1484,166.2327,161.4728,162.4754,2063211
2024-11-27,164.7616,165.2208,162.8783,163.1313,1136093
2024-11-29,165.4175,165.9891,163.2062,163.403,852741
2024-12-02,163.403,164.0214,160.9199,162.5409,1466963
2024-12-03,163.7872,164.5836,162.2036,162.644,1447853
2024-12-04,160.1422,160.6951,155.5791,156.844,2299148
2024-12-05,157.1064,157.603,154.2673,154.5952,2140996
2024-12-06,157.9403,158.3526,152.665,153.1523,2619378
2024-12-09,154.6046,155.7665,152.7025,155.5509,2308652
2024-12-10,150.9597,153.2085,149.9477,151.4844,2512773
2024-12-11,152.3652,152.6744,147.9425,148.1955,2776911
2024-12-12,146.2747,147.5302,145.3096,145.675,2598512
2024-12-13,144.2227,145.3658,142.7235,144.663,2851493
2024-12-16,144.663,146.8837,142.0113,142.3487,3220274
2024-12-17,141.9739,143.8104,141.3555,141.927,2139963
2024-12-18,141.927,143.3606,136.4737,136.7361,4802314
2024-12-19,128.3687,133.822,126.6914,129.6805,6472468
2024-12-20,129.2026,131.0766,127.9658,129.3806,9358257
2024-12-23,128.9308,130.505,128.5654,129.3056,3821997
2024-12-24,128.8278,130.5331,128.8278,129.3056,2198947
2024-12-26,128.3687,130.7112,128.2,129.9053,2752945
2024-12-27,129.3057,130.8423,128.0032,128.5467,2101122
2024-12-30,128.3593,128.4904,125.2953,127.619,2984130
2024-12-31,128.5373,128.9683,127.4036,127.7784,2191613
2025-01-02,129.3057,129.5868,125.6607,125.9044,1970447
2025-01-03,127.1693,128.2094,126.3541,127.3192,2152772
2025-01-06,128.1812,129.0808,126.3635,126.5509,2472279
2025-01-07,126.4853,127.6003,124.4614,124.7519,2532606
2025-01-08,123.7211,125.5951,122.6623,125.1266,3060159
2025-01-10,124.4989,125.1735,121.21,121.3974,4728661
2025-01-13,121.3318,123.7493,120.3199,123.2901,3094145
2025-01-14,125.6514,126.6633,123.5806,126.6633,4491174
2025-01-15,133.1755,134.4404,128.6404,129.8398,5026371
2025-01-16,129.8023,132.2666,128.2562,131.8262,4128281
2025-01-17,133.5971,134.7028,131.873,132.6226,4168155
2025-01-21,131.6466,134.7246,128.2395,128.8687,6362200
2025-01-22,128.5976,132.1596,128.5976,131.7627,3914100
2025-01-23,130.185,131.5691,129.4785,130.1947,2237300
2025-01-24,130.2625,130.3399,127.9201,128.1137,2345000
2025-01-27,128.6944,133.534,128.4912,133.3985,5691700
2025-01-28,133.3114,134.0277,130.8916,131.6659,4501700
2025-01-29,131.8214,131.8214,127.4691,128.46,3051600
2025-01-30,128.4697,132.9386,128.2269,131.4036,3256900
2025-01-31,129.7618,130.3738,127.4108,127.4982,2176600
2025-02-03,124.9335,125.0307,121.6402,122.5922,4472100
2025-02-04,122.4077,125.3901,121.9219,124.6324,3120600
2025-02-05,126.4588,126.5753,123.4083,123.8552,2347900
2025-02-06,123.962,125.2152,122.2328,123.622,3310100
2025-02-07,122.9128,123.0877,117.9388,118.4634,6103300
2025-02-10,119.4543,120.3675,118.5897,119.192,4119600
2025-02-11,118.7257,121.5527,118.7257,121.3584,3421100
2025-02-12,118.5605,118.7548,115.8501,118.1331,7584000
