Date,Open,High,Low,Close,Volume
2024-08-26,223.0371,223.6544,220.2306,220.8093,607100
2024-08-27,220.626,222.2463,218.1764,221.8798,597600
2024-08-28,222.3524,225.0142,222.1788,223.7026,551200
2024-08-29,224.7539,226.9817,221.822,225.3711,602900
2024-08-30,225.4386,228.5152,224.9178,228.2548,698400
2024-09-03,228.2644,229.3639,225.5447,226.9142,754100
2024-09-04,227.4254,229.769,227.4254,228.0909,718900
2024-09-05,228.8817,228.8817,222.1595,224.2524,684400
2024-09-06,224.01,225.8032,219.3478,220.2492,640300
2024-09-09,221.141,222.7306,220.6466,222.2266,818700
2024-09-10,222.9341,223.4187,219.5513,220.8889,570300
2024-09-11,219.5901,220.3268,215.1993,220.036,727700
2024-09-12,219.3769,221.6741,218.6887,221.1604,780300
2024-09-13,221.422,223.9228,220.792,222.7112,652600
2024-09-16,224.863,227.0826,222.5561,224.5916,503200
2024-09-17,222.876,223.7192,220.4431,222.653,544500
2024-09-18,223.3897,224.9018,221.4317,222.653,563100
2024-09-19,224.1748,224.6207,221.8485,223.38,689700
2024-09-20,222.6918,226.3945,222.1878,226.0455,1265900
2024-09-23,226.249,230.7562,226.0067,230.4266,687400
2024-09-24,230.068,230.3297,226.5689,227.5285,752400
2024-09-25,228.2846,228.4009,225.3573,226.1521,754600
2024-09-26,225.2119,227.7127,224.2717,224.4462,565800
2024-09-27,224.9114,228.1295,224.388,227.7708,777500
2024-09-30,228.7498,231.1633,226.9373,230.5623,879500
2024-10-01,230.1747,239.7317,228.4978,237.7544,1250300
2024-10-02,237.7544,239.1792,236.601,237.1438,686300
2024-10-03,237.1631,238.3844,235.1664,235.6414,691900
2024-10-04,235.2827,236.2908,233.9257,236.1745,372700
2024-10-07,236.5816,236.6397,233.7125,234.3328,412100
2024-10-08,235.5348,236.1648,232.2198,233.8676,462100
2024-10-09,233.4896,235.9128,233.4896,234.7787,378800
2024-10-10,238.3263,238.3263,233.6059,234.9047,651900
2024-10-11,235.6511,238.7721,235.2052,238.4814,692200
2024-10-14,239.218,240.8173,237.7156,240.6041,461600
2024-10-15,241.3504,241.3504,236.7463,237.7641,573600
2024-10-16,237.2988,240.7301,237.2988,240.5168,491500
2024-10-17,240.9724,241.331,239.1695,240.6525,699300
2024-10-18,241.3504,241.5055,239.3731,241.1372,481900
2024-10-21,242.3197,243.1727,239.8577,240.5265,703300
2024-10-22,240.2358,240.2358,235.2827,237.4055,534700
2024-10-23,239.1889,240.1873,237.1922,238.2681,459900
2024-10-24,238.4426,238.9175,235.9225,236.6688,845300
2024-10-25,249.8898,250.9366,244.2583,245.0434,1622100
2024-10-28,245.3826,245.6637,240.3424,240.4102,1033400
2024-10-29,241.7866,242.2712,237.5411,237.5411,689400
2024-10-30,237.4927,239.47,237.2116,237.8707,714200
2024-10-31,238.6461,241.6121,237.4248,239.8674,1254000
2024-11-01,240.9336,243.9869,239.6833,239.8771,852200
2024-11-04,240.3133,240.9724,237.3473,239.4797,791400
2024-11-05,239.8093,243.4925,239.4797,243.2405,593100
2024-11-06,252.0125,252.0125,245.7219,248.5715,893500
2024-11-07,249.124,249.4342,246.3131,246.9819,649300
2024-11-08,248.1354,253.7088,247.7089,252.5941,868500
2024-11-11,254.7653,257.5762,254.2515,256.1029,694800
2024-11-12,256.8589,257.4889,252.9818,253.6797,949500
2024-11-13,254.5035,257.4501,253.1562,253.6118,610300
2024-11-14,253.1756,253.7281,239.6736,240.5362,1299800
2024-11-15,239.9159,242.6008,237.958,239.4119,1910700
2024-11-18,240.0254,241.0771,237.4641,237.8829,741600
2024-11-19,239.6651,240.1423,236.2371,237.211,784100
2024-11-20,236.1981,238.0485,234.7958,237.9706,806600
2024-11-21,238.0193,241.9731,237.1428,240.152,858800
2024-11-22,240.6974,242.0607,240.0059,241.6712,655800
2024-11-25,241.3206,241.9342,233.1597,234.3089,1268400
2024-11-26,236.9091,239.6456,235.2048,239.1587,765800
2024-11-27,239.8404,241.009,238.5159,238.9152,551500
2024-11-29,240.8239,241.3303,238.5256,239.8111,442000
2024-12-02,239.8112,239.8112,235.1854,236.4709,970800
2024-12-03,236.9772,236.9772,233.4227,233.5882,731000
2024-12-04,232.8286,235.906,232.2151,234.192,928500
2024-12-05,233.2474,233.4324,230.1018,231.9132,901100
