Date,Open,High,Low,Close,Volume
2024-09-04,548.4855,549.6633,542.7634,545.5214,191500
2024-09-05,543.686,546.5225,532.0456,545.914,349500
2024-09-06,549.3884,556.622,539.0043,544.324,220200
2024-09-09,548.8584,551.9697,539.0729,544.795,261700
2024-09-10,549.889,551.9501,544.1767,547.8376,194600
2024-09-11,547.6708,557.7212,534.5973,556.671,182000
2024-09-12,558.5752,566.8393,553.6677,566.1915,148200
2024-09-13,576.1439,580.3348,569.1851,580.2857,278200
2024-09-16,581.9739,594.9393,578.6761,592.3286,287700
2024-09-17,594.586,603.9003,591.4256,597.3146,168400
2024-09-18,601.0344,607.8165,591.2587,591.2587,217600
2024-09-19,610.6825,615.482,598.2961,605.0585,207800
2024-09-20,601.6429,607.6397,599.1204,601.2012,443100
2024-09-23,604.4599,609.387,601.7117,606.3444,176200
2024-09-24,608.2385,609.3672,601.4564,609.3378,227500
2024-09-25,610.8689,610.8689,603.7825,607.3257,133000
2024-09-26,610.869,611.0947,602.9189,604.3911,139700
2024-09-27,597.766,603.3605,591.1017,593.6732,233900
2024-09-30,593.8404,595.8956,584.7542,594.2337,247400
2024-10-01,593.0242,593.2406,581.3714,586.7012,296900
2024-10-02,581.2927,588.4417,579.5521,582.2368,269800
2024-10-03,580.6733,584.6657,575.6287,579.5522,297100
2024-10-04,584.941,584.941,573.8585,584.1641,257100
2024-10-07,577.2217,584.6756,573.5931,584.056,223500
2024-10-08,590.8018,600.1437,586.9667,597.8033,200900
2024-10-09,602.5234,606.9486,598.2852,604.5688,162000
2024-10-10,597.705,597.705,583.407,585.9932,279300
2024-10-11,586.5438,597.1051,586.5438,593.9879,193700
2024-10-14,595.9939,599.4357,593.7322,596.5446,136200
2024-10-15,590.5757,592.6505,582.9153,585.1967,281500
2024-10-16,585.5901,592.1196,584.5182,590.5462,208200
2024-10-17,594.8532,596.2397,589.1104,593.506,183500
2024-10-18,595.5121,596.043,591.6278,593.0143,158500
2024-10-21,593.6732,597.0462,589.5923,592.9751,202500
2024-10-22,587.8714,590.6739,582.571,584.4788,291100
2024-10-23,585.59,617.0182,574.5469,599.593,817500
2024-10-24,603.7526,615.2579,593.8108,610.3312,393400
2024-10-25,611.6489,611.6489,594.3516,599.0422,225000
2024-10-28,604.4999,613.006,599.1308,602.4447,219900
2024-10-29,600.4288,600.7927,592.0899,600.6353,215500
2024-10-30,597.5182,598.3737,588.2648,590.497,227300
2024-10-31,587.0946,598.1574,587.0946,592.5424,202300
2024-11-01,595.7284,602.6611,591.6671,593.4273,157800
2024-11-04,593.4078,602.7791,592.1786,594.5976,147200
