Date,Open,High,Low,Close,Volume
2024-08-12,435.6123,436.9571,433.7414,435.3785,853000
2024-08-13,437.0644,438.7794,434.3748,438.224,1174800
2024-08-14,440.1339,440.4555,437.688,439.6662,906700
2024-08-15,440.514,445.1233,439.8709,444.4996,1105000
2024-08-16,444.4997,445.7275,440.7674,445.1623,1115400
2024-08-19,445.5423,447.043,444.5191,446.8773,1013700
2024-08-20,446.9164,449.2064,444.9382,446.3804,1115600
2024-08-21,448.2124,450.3368,446.6922,449.9665,853700
2024-08-22,450.0542,452.8022,448.1734,449.9275,1179100
2024-08-23,452.6463,454.5368,449.7619,453.8547,1308000
2024-08-26,453.7573,457.7721,453.2018,456.5053,1216200
2024-08-27,460.6468,460.7248,456.6612,460.2862,1293400
2024-08-28,460.7735,463.502,458.8537,460.7735,1327200
2024-08-29,461.6408,464.4181,458.3178,460.6664,944700
2024-08-30,462.9173,467.5461,459.4384,466.0454,1385600
2024-09-03,461.8454,466.4059,460.8124,461.9525,2104000
2024-09-04,465.4221,466.7611,460.8873,461.4346,1310300
2024-09-05,459.6852,460.7896,452.5994,454.9743,1882200
2024-09-06,453.8308,457.0756,445.8361,446.5007,2012100
2024-09-09,449.6478,454.9841,449.1103,452.5896,2076200
2024-09-10,451.5048,455.0819,450.4004,453.2151,1247100
2024-09-11,453.3715,455.2969,443.2266,454.5736,1585400
2024-09-12,455.8637,456.8509,451.9348,456.7531,1916900
2024-09-13,454.9645,461.0925,454.4661,458.1898,1162700
2024-09-16,463.6824,464.7184,459.734,464.1516,1307200
2024-09-17,464.7478,466.1747,459.8513,460.9753,1357100
2024-09-18,460.9753,460.9753,454.2023,456.4502,1149900
2024-09-19,462.0895,462.4315,457.9944,458.5417,1897200
2024-09-20,458.8641,461.415,456.1764,461.2195,3672700
2024-09-23,463.9464,468.3346,461.4053,466.5461,1148400
2024-09-24,468.1001,469.8691,464.7185,468.491,1588600
2024-09-25,470.1037,470.6901,464.9238,466.2041,1283800
2024-09-26,468.149,471.1885,465.7056,470.7683,1092800
2024-09-27,468.8331,472.4102,468.4226,468.6474,1252500
2024-09-30,468.4519,468.7256,463.4088,466.0574,1532600
2024-10-01,466.1551,467.0348,463.1547,464.2591,1342100
2024-10-02,463.3209,466.6243,461.9526,465.0605,1024600
2024-10-03,461.2684,462.0406,457.5448,459.1085,1072300
2024-10-04,459.5092,460.164,454.3488,457.5741,2131000
2024-10-07,453.9286,455.7758,450.3319,452.746,2019600
2024-10-08,454.9646,459.4115,454.5736,458.8055,1272300
2024-10-09,456.9095,459.9784,456.4501,458.9326,1245500
2024-10-10,461.2196,461.9233,457.144,458.786,1249500
2024-10-11,461.4053,463.8584,460.1738,463.3013,1105300
2024-10-14,463.6336,467.3182,462.6954,466.7611,1076800
2024-10-15,466.7611,472.4004,466.3897,469.8202,1477100
2024-10-16,467.6798,474.3258,467.4844,473.0162,1210100
2024-10-17,475.8896,476.4467,473.4071,475.0491,1051700
2024-10-18,472.1952,476.2414,470.6021,475.4302,1255200
2024-10-21,473.9642,474.4919,470.1623,472.4102,1065700
2024-10-22,470.866,471.5501,467.1716,471.0321,1429700
2024-10-23,468.3151,471.3155,466.0574,466.6145,1541400
2024-10-24,467.5137,467.5919,460.9362,463.7118,994300
2024-10-25,464.3569,467.8069,462.2165,463.0277,2458400
2024-10-28,465.0313,467.1716,462.9788,465.2169,1440400
2024-10-29,463.8975,465.5297,462.0406,463.9073,2056600
2024-10-30,462.5488,464.2396,461.6399,462.6758,1794300
2024-10-31,444.6438,452.5114,444.1747,445.8166,3615600
2024-11-01,446.1684,448.9245,443.2266,446.9503,2347400
2024-11-04,447.6052,451.3386,445.9535,447.9375,1616100
2024-11-05,447.9375,450.4199,443.8815,444.5852,1749000
2024-11-06,453.3129,455.1405,447.9374,452.1498,2626900
2024-11-07,454.4661,457.3786,453.0881,454.9255,1925500
2024-11-08,454.7886,455.0721,448.8073,449.0712,1496700
2024-11-11,449.0712,451.9153,445.0347,446.1,1981200
2024-11-12,447.8886,449.8628,443.3048,445.2693,1749000
2024-11-13,443.5589,447.1751,440.6464,445.9045,1538400
2024-11-14,445.3279,447.4976,442.8357,443.2169,1666700
2024-11-15,440.8517,441.4577,436.7762,438.9263,2414000
2024-11-18,436.4146,439.0827,435.2027,438.4084,1750700
2024-11-19,433.7464,434.5967,429.7979,434.0005,2084600
2024-11-20,433.6877,440.6855,431.5278,439.9427,1928700
2024-11-21,441.614,444.8295,439.4247,444.7611,2072800
2024-11-22,443.559,446.8429,443.2755,444.4777,1864800
2024-11-25,444.2822,446.6474,442.7575,445.367,3835600
2024-11-26,443.1973,446.3151,441.0569,446.2564,2600000
2024-11-27,446.3346,449.1885,446.3346,446.7647,2069100
2024-11-29,446.6376,451.2018,445.758,450.547,1351500
2024-12-02,450.547,450.5959,446.1099,449.2765,1801800
2024-12-03,452.8055,452.8055,447.5902,449.0999,1868300
2024-12-04,447.2962,452.3252,446.3453,450.4038,2188300
2024-12-05,448.2569,448.6392,439.189,439.7478,2303200
2024-12-06,439.2283,441.9829,438.1499,440.5909,2191300
2024-12-09,439.0812,441.9241,433.2287,433.8659,2833900
2024-12-10,436.052,437.5911,428.6409,436.052,2326100
2024-12-11,434.562,436.8755,431.4936,431.8564,1612500
2024-12-12,431.2779,433.6699,429.2781,429.8663,1719300
2024-12-13,428.9938,429.18,424.2393,426.7292,2254200
2024-12-16,427.1411,427.1509,418.9947,419.8672,3691400
2024-12-17,419.8082,424.6608,417.5535,421.7297,3320200
2024-12-18,420.4749,422.808,413.7401,413.9558,3271900
2024-12-19,413.7892,417.1909,410.7796,411.3286,3292000
2024-12-20,410.9757,416.9653,410.0345,415.9556,6680900
2024-12-23,414.1127,417.2791,409.4562,414.0146,2084300
2024-12-24,413.8676,417.6712,412.2991,417.3869,824200
2024-12-26,415.7693,418.2005,414.5832,415.9654,991500
2024-12-27,414.8773,417.5732,413.2402,414.6519,1444900
2024-12-30,410.9266,411.9854,407.2309,409.4366,1608000
2024-12-31,410.3679,411.8383,407.5642,410.4267,1386700
2025-01-02,412.4658,414.397,405.6232,406.0154,2110900
2025-01-03,407.9563,409.7601,404.9664,405.3585,1995900
2025-01-06,407.2505,410.1424,404.0057,404.7801,2630600
2025-01-07,403.9174,410.7502,402.6038,406.78,3209100
2025-01-08,408.5347,412.1423,406.0448,411.7404,2252300
2025-01-10,407.4269,409.6621,403.6135,405.9957,2642600
2025-01-13,407.6034,414.3577,405.5546,413.1324,2824500
2025-01-14,413.9656,419.3867,412.4363,418.877,2344300
2025-01-15,424.6902,425.3765,418.0143,419.5534,2202300
2025-01-16,419.4946,424.2295,419.2299,423.9746,1511600
2025-01-17,431.3367,431.3367,424.9941,427.4155,2412200
2025-01-21,431.0132,435.3266,430.7878,433.7483,2281900
2025-01-22,436.8951,439.8556,433.7581,433.8856,2643900
2025-01-23,434.0032,434.4149,431.7582,432.1504,1811300
2025-01-24,434.1502,434.6404,430.3956,430.6015,1547800
2025-01-27,429.7094,432.7091,426.4253,430.8367,2833400
2025-01-28,431.3367,431.7387,426.6704,426.9352,2158400
2025-01-29,426.6508,430.376,425.9352,429.6898,2631100
2025-01-30,430.3564,440.8163,430.3564,437.5911,2545900
2025-01-31,435.6697,439.3459,430.0035,437.3362,2816500
2025-02-03,436.2677,445.8551,431.7876,445.2669,2701200
2025-02-04,446.9629,449.796,443.9141,445.8453,2503800
2025-02-05,444.4729,446.11,442.0319,444.767,2696500
2025-02-06,441.1693,452.4232,441.1398,451.6096,2423300
2025-02-07,447.5511,449.1392,443.5906,446.0904,1668100
2025-02-10,445.865,452.0409,444.4729,451.786,1876700
2025-02-11,451.188,453.4329,450.2763,451.6684,1587700
2025-02-12,448.3157,451.0802,445.6002,449.5313,1695200
2025-02-13,448.551,453.4917,448.3745,451.9722,2265300
2025-02-14,451.9722,454.9622,447.7079,448.002,1705500
2025-02-18,445.914,456.8542,441.1889,456.6582,2808500
2025-02-19,451.7468,456.4719,451.0606,452.9722,1883800
2025-02-20,450.6489,453.031,449.3745,452.8055,1335400
2025-02-21,454.4525,456.0112,448.5118,448.9824,1939600
2025-02-24,449.9725,455.0603,447.0413,449.5019,2108300
2025-02-25,450.2469,459.7559,450.2469,458.2855,2342100
2025-02-26,457.1777,458.3051,452.1879,452.4624,1576100
2025-02-27,454.4133,459.0109,450.8253,451.2174,2071000
2025-02-28,455.9132,459.1188,451.5606,457.8542,2332900
2025-03-03,459.8638,462.9321,451.9036,453.1486,3072900
2025-03-04,459.3737,460.0403,450.8254,452.2664,5027000
2025-03-05,452.8349,461.1578,451.4821,459.0305,2385700
2025-03-06,457.5013,460.8931,454.227,456.9817,3712100
2025-03-07,456.9914,460.746,454.2956,459.5402,1824000
2025-03-10,456.815,461.9028,449.0019,452.9624,3129200
2025-03-11,452.5605,452.8056,442.2378,445.1297,2845700
2025-03-12,444.3847,445.9924,439.9831,442.2868,2652600
2025-03-13,442.0606,447.8736,440.1524,445.8179,2213400
2025-03-14,447.0965,450.48,445.4146,448.0211,1911900
2025-03-17,444.913,454.6898,444.913,452.7521,1890200
2025-03-18,456.4897,457.1683,450.2145,453.1455,2023000
2025-03-19,451.4636,453.9914,447.431,452.2013,4051400
2025-03-20,448.6211,452.4571,447.7555,450.2342,2298100
2025-03-21,446.2899,451.0997,442.0015,450.8046,4969900
2025-03-24,449.6145,454.316,447.5489,451.5521,2049500
2025-03-25,451.4046,451.4538,447.5096,449.9391,2002500
2025-03-26,449.9391,455.4963,449.4768,453.8537,1597900
2025-03-27,454.4045,458.988,451.8865,457.0995,1493300
2025-03-28,458.87,458.9388,451.2571,451.5718,1334700
2025-03-31,451.3357,460.3552,450.8833,457.9946,2373300
2025-04-01,454.4144,459.8339,453.2144,459.4208,1544600
2025-04-02,455.2996,462.5879,454.8078,462.0273,1527700
2025-04-03,458.8994,464.26,457.3552,459.5486,2445200
2025-04-04,456.7356,462.283,429.9429,430.7691,4430700
2025-04-07,422.0447,434.31,410.9696,418.8677,4159300
2025-04-08,423.6873,425.9495,401.9403,406.5435,3780800
2025-04-09,407.3599,440.9688,406.1894,438.6476,4103300
2025-04-10,433.1395,437.2312,420.0874,424.7889,4239000
2025-04-11,430.1396,442.2474,425.6052,434.5755,3343000
2025-04-14,435.8149,440.7721,434.4969,438.7066,1897800
2025-04-15,441.9917,447.0473,440.5852,443.5655,2321000
2025-04-16,443.113,447.3621,437.9394,440.6344,1828900
2025-04-17,443.9491,447.6867,442.3065,444.6966,1730200
2025-04-21,443.1425,445.0408,433.0411,436.5624,1303400
2025-04-22,440.9295,447.7851,440.0049,447.1457,1458600
2025-04-23,446.9294,450.2932,438.1853,440.8508,1973400
2025-04-24,439.7394,443.7229,434.8116,442.1491,2114500
2025-04-25,440.5655,441.972,435.8247,441.0376,1866600
2025-04-28,441.2835,443.4868,436.8771,440.6442,1644900
2025-04-29,441.4704,444.9228,439.4344,443.1819,1214000
2025-04-30,441.9918,447.7949,437.6148,445.7884,2670400
2025-05-01,430.2576,443.2114,426.038,440.6934,2540400
2025-05-02,446.2506,449.6341,444.6867,447.4801,1548600
2025-05-05,445.5622,448.0113,442.7491,445.0605,1462100
2025-05-06,445.4244,446.0835,438.9131,439.7098,1441300
2025-05-07,440.6148,446.7621,437.5952,442.277,1573900
2025-05-08,442.5426,450.4801,442.1491,445.7884,1626400
2025-05-09,447.5588,447.5588,443.1622,445.2277,1058900
2025-05-12,448.9751,450.48,444.9424,446.9588,1944900
2025-05-13,446.8408,448.4735,442.6999,443.2704,1666300
2025-05-14,439.8869,441.3033,432.3527,438.6476,1941300
2025-05-15,438.6475,447.5293,438.6475,446.7621,2279500
2025-05-16,448.2768,450.8341,444.5392,450.2538,1850500
2025-05-19,450.2538,454.0701,447.8243,452.7718,1640500
2025-05-20,453.7849,454.1291,450.3423,452.2997,1329700
2025-05-21,449.221,451.5521,446.3391,448.0211,1867600
2025-05-22,448.5915,451.5718,446.1818,451.4636,1654400
2025-05-23,446.1228,452.9095,446.1228,451.3653,1627000
2025-05-27,455.6536,460.4437,454.916,460.2666,3330800
2025-05-28,458.4569,459.3814,454.5127,454.916,2692900
2025-05-29,456.3323,457.3257,453.5685,456.4602,1306800
2025-05-30,458.8896,461.3978,453.057,459.9027,4344700
2025-06-02,457.5323,458.6929,453.7455,456.9422,1865400
2025-06-03,454.7193,464.5256,454.4144,464.0732,2606600
2025-06-04,464.8823,469.1646,462.7411,467.4773,2092600
2025-06-05,467.7043,468.5726,463.0963,464.0139,1679000
2025-06-06,467.1122,468.9179,464.9908,466.4314,1352700
2025-06-09,465.8986,469.6185,461.8826,465.8986,1616000
2025-06-10,466.1156,469.6777,465.4742,469.2435,1859600
2025-06-11,467.4576,468.2371,461.1821,462.3168,2734200
2025-06-12,462.1984,465.8788,460.2644,464.2803,1572800
2025-06-13,464.3889,466.609,458.9521,459.7908,1415800
2025-06-16,460.6097,463.3232,458.7054,460.4025,1586500
2025-06-17,458.8929,459.3862,454.0876,454.7783,1272700
2025-06-18,454.7782,456.2879,452.1832,452.6075,1223200
2025-06-20,456.3471,457.0871,449.3315,449.8051,4365000
2025-06-23,451.236,453.9494,446.9339,453.6436,1611000
2025-06-24,454.7486,457.768,452.795,457.0082,1470600
2025-06-25,455.5972,457.6595,453.6238,454.0876,1608900
2025-06-26,454.6993,460.2447,452.42,458.291,1983000
2025-06-27,458.3699,461.1623,455.7156,457.6299,2643200
2025-06-30,460.0078,463.7968,457.393,462.9482,1856200
2025-07-01,463.5502,471.4933,462.7411,470.4178,1856300
2025-07-02,469.7073,472.3616,468.1384,470.8322,1423100
2025-07-03,470.2894,470.8716,467.7042,469.2632,952700
2025-07-07,466.0959,467.4082,461.5767,463.3528,2099500
2025-07-08,462.1589,465.5236,461.3202,463.7081,1627200
2025-07-09,466.1354,470.1316,461.3498,465.0105,1522500
2025-07-10,465.7703,465.9479,462.82,464.0929,2238500
2025-07-11,462.7805,463.3824,458.3107,462.5832,1326400
2025-07-14,462.2082,463.7574,460.1065,462.5536,1133000
2025-07-15,461.9517,463.0272,453.9593,454.4428,1263700
2025-07-16,454.3835,456.3965,449.9433,453.5646,1438000
2025-07-17,452.7555,455.982,450.9991,455.1631,1515000
2025-07-18,457.7286,459.2876,454.9065,458.8337,2267600
2025-07-21,458.8337,469.9047,458.0542,464.1817,1797700
2025-07-22,464.1817,470.0527,462.6819,465.7505,1405300
2025-07-23,467.1813,467.9016,463.4614,463.7475,1193900
2025-07-24,460.442,465.8887,456.2978,465.2276,1383200
2025-07-25,466.165,467.3688,462.3464,466.609,1212100
2025-07-28,462.524,465.0894,459.8204,461.2511,1283700
2025-07-29,463.6587,465.4052,461.0439,465.2473,1386100
2025-07-30,465.1388,466.0663,459.0804,460.0375,1301600
2025-07-31,452.3213,461.3893,452.3213,454.1468,2228600
2025-08-01,452.2423,456.3668,443.352,453.308,2219300
2025-08-04,453.752,462.2674,453.752,461.1919,1684900
2025-08-05,461.7247,464.7836,459.7809,463.5995,1691000
2025-08-06,465.5038,467.0925,461.7346,465.2177,1275900
2025-08-07,467.0431,469.4705,461.2807,463.1949,1090400
2025-08-08,462.7706,467.1024,462.4648,466.1452,939300
2025-08-11,464.8428,467.1418,459.9388,464.1324,1069200
2025-08-12,464.2507,468.1779,463.6981,466.9445,1347700
2025-08-13,468.2667,469.8257,462.2773,469.3126,1797800
2025-08-14,469.3915,472.2432,466.3426,471.286,1545400
2025-08-15,474.4929,476.2591,472.2234,473.7035,1951300
2025-08-18,474.0489,474.6606,470.8223,472.1544,1218100
2025-08-19,472.1149,476.4071,470.2204,473.5456,1512400
2025-08-20,476.3775,479.9198,474.1179,475.9532,1160900
2025-08-21,475.006,476.4959,473.6739,474.3251,1263500
2025-08-22,477.6306,479.2784,473.3187,475.2724,1782500
2025-08-25,475.5191,477.5715,470.3487,471.5031,1151800
2025-08-26,469.9638,475.6868,468.7008,475.5191,1699500
2025-08-27,473.7824,477.3938,473.0128,476.2986,2259600
2025-08-28,476.1505,476.5946,472.7661,475.746,2579200
2025-08-29,475.7756,476.9005,470.6644,471.9373,2058200
2025-09-02,470.8322,470.8322,466.2242,467.8424,1262500
2025-09-03,465.5434,467.9312,463.7574,465.5138,1617900
2025-09-04,465.9889,468.1369,463.8606,467.6024,1660600
2025-09-05,466.3749,470.2354,461.8611,464.7614,1066200
2025-09-08,464.9,470.2552,461.871,469.8196,1677200
2025-09-09,468.325,469.7108,465.6127,468.6417,2966100
2025-09-10,468.1369,470.1166,464.7317,467.9092,1551500
2025-09-11,468.1171,479.5302,467.6914,478.6888,1907400
2025-09-12,474.3037,479.0155,474.2839,477.1545,2069700
2025-09-15,476.5012,478.4018,470.7006,471.8984,1130700
2025-09-16,471.6113,473.591,466.1275,466.6917,1470500
2025-09-17,469.0971,476.5013,467.2262,474.9966,1698800
2025-09-18,474.0365,475.0758,466.5234,471.1758,1650900
2025-09-19,472.6704,476.0063,469.196,474.1552,3742100
2025-09-22,472.1458,473.8286,469.4831,472.9179,1562700
2025-09-23,473.5713,478.0751,469.8394,475.0758,1462900
2025-09-24,474.7393,476.8576,468.5229,469.3247,1579400
2025-09-25,469.3247,471.5222,465.1475,468.9783,1536700
2025-09-26,467.9389,470.3443,465.9493,469.6019,1476400
2025-09-29,469.9285,471.8785,466.6224,471.6608,1859600
2025-09-30,468.8991,473.9276,468.4339,470.1859,2171200
2025-10-01,467.9884,470.2651,456.1298,462.0789,2286100
2025-10-02,458.7332,465.5237,458.258,464.7219,1677500
2025-10-03,462.2868,464.6723,458.3075,461.9997,1250700
2025-10-06,461.9997,465.8008,460.3862,463.8012,1539000
2025-10-07,463.3558,465.8008,461.1682,465.6028,1283300
2025-10-08,465.5434,466.9094,462.7916,463.0885,1208500
2025-10-09,463.1084,465.2366,452.8732,453.5166,1499900
2025-10-10,453.4275,458.3471,448.3297,449.2206,2038900
