Date,Open,High,Low,Close,Volume
2024-09-04,936.6346,940.8259,925.0568,933.2421,1891700
2024-09-05,928.1632,929.9778,893.6564,900.1456,3201100
2024-09-06,905.0864,915.0864,880.6683,890.2443,3440000
2024-09-09,899.9681,902.7886,883.548,895.7275,2405900
2024-09-10,901.4868,902.473,882.6407,888.8044,1930400
2024-09-11,889.692,908.8141,884.8103,908.1732,2721100
2024-09-12,911.5459,924.6721,905.9444,922.108,2510800
2024-09-13,924.0706,929.3368,909.3665,910.9543,2045400
2024-09-16,918.2717,919.7313,907.7195,910.7865,1760300
2024-09-17,908.7748,908.7748,889.8399,893.6663,2248000
2024-09-18,893.7945,902.8576,890.9839,892.473,1777000
2024-09-19,900.2442,904.1495,891.3783,902.4039,2446500
2024-09-20,909.258,926.8812,900.5894,908.7649,9921800
2024-09-23,908.2817,909.2679,896.8912,905.8359,2292000
2024-09-24,909.3861,912.897,896.6446,911.6642,2767400
2024-09-25,918.9226,926.3289,908.469,911.7925,1805100
2024-09-26,907.5519,909.1199,892.7985,896.763,2693000
2024-09-27,881.2797,888.7649,863.5184,865.6683,4377300
2024-09-30,852.5816,875.1752,846.9505,873.7058,3244600
2024-10-01,876.5559,878.9622,866.7334,872.2659,2455200
2024-10-02,867.8478,881.0134,866.5658,878.765,1751600
2024-10-03,877.2561,879.6822,868.7157,873.3212,1974700
2024-10-04,873.6762,876.6939,864.7808,874.9089,1970500
2024-10-07,878.2127,892.7788,877.2857,885.9938,2915700
2024-10-08,890.5303,909.2383,889.7709,901.1022,2200000
2024-10-09,903.6366,908.6268,899.4059,907.039,1820100
2024-10-10,907.2955,909.2679,892.6506,898.1141,1682100
2024-10-11,903.3901,919.3664,898.5972,919.1889,2293900
2024-10-14,923.0746,924.0608,913.2127,916.6742,1550400
2024-10-15,911.6741,913.7254,895.2639,900.7077,2284200
2024-10-16,897.4632,905.1358,885.4416,903.765,1645400
2024-10-17,908.2816,917.6602,903.39,904.4551,2191200
2024-10-18,904.5143,908.2027,893.114,905.2934,2286900
2024-10-21,905.3033,906.1712,892.0687,893.617,1592200
2024-10-22,889.2284,898.538,887.7689,896.5953,1391800
2024-10-23,893.114,895.4118,879.4158,890.7767,2646600
2024-10-24,885.9247,887.5716,876.0135,879.0115,1797100
2024-10-25,887.3054,888.5184,877.1674,880.3725,2228300
2024-10-28,882.5125,885.8064,878.479,883.2226,2084100
2024-10-29,885.8065,895.4416,885.8065,891.1024,3187500
2024-10-30,787.4734,848.6173,758.3808,835.136,18257200
2024-10-31,824.9585,841.7138,813.8441,818.2819,6582800
2024-11-01,816.5659,821.4968,805.4515,807.6211,5266300
2024-11-04,793.8835,808.8637,792.5817,795.0078,3918100
2024-11-05,792.7298,798.0355,786.4774,794.929,3733300
2024-11-06,806.0433,809.3964,757.0099,765.6588,8257900
2024-11-07,773.8145,791.4673,767.4437,786.4377,4557600
2024-11-08,792.4042,835.5698,790.1952,820.057,7212900
2024-11-11,819.8203,832.3449,813.2424,820.9446,3342800
2024-11-12,818.7356,822.4732,799.5245,807.5521,3378600
2024-11-13,808.992,817.6606,800.0866,800.5995,3059300
2024-11-14,798.0156,798.0156,772.6903,775.3727,3998800
2024-11-15,765.7514,768.5074,735.1387,737.1144,7334600
2024-11-18,724.2628,725.0629,702.7381,718.3457,9148100
2024-11-19,707.5882,721.1115,703.7456,720.8448,5832500
2024-11-20,726.8311,748.1483,726.5051,744.2365,5158900
2024-11-21,737.0353,743.8315,726.0507,740.789,4143200
2024-11-22,747.8323,752.0108,736.008,738.9023,4015500
2024-11-25,740.868,745.8071,730.9997,745.8071,5690500
2024-11-26,775.6394,797.1739,764.5264,779.7092,6622600
2024-11-27,778.5238,785.1521,770.799,778.593,2714700
2024-11-29,781.6948,790.5852,779.7192,785.6658,2206900
2024-12-02,788.3922,795.544,785.5373,790.0616,2895600
2024-12-03,793.1535,807.1807,791.8496,803.4269,2782100
2024-12-04,818.0171,836.1536,810.5097,819.736,3871100
2024-12-05,817.701,821.0102,807.5066,815.5673,2423400
2024-12-06,817.6022,830.76,815.6364,816.644,3047100
2024-12-09,813.6707,813.6707,791.5237,793.7957,3176000
2024-12-10,799.4165,804.0889,787.2959,789.8445,2695200
2024-12-11,785.5671,789.7653,776.7952,786.3376,3510900
2024-12-12,787.0289,792.0768,768.9123,772.824,2823800
2024-12-13,767.6677,784.5792,763.5781,779.5117,3059400
2024-12-16,782.3566,790.0419,765.8106,769.5149,3426200
2024-12-17,768.3888,778.4054,763.025,769.1396,3924800
2024-12-18,765.5636,769.5149,753.2158,755.3989,3354200
2024-12-19,755.784,763.5582,743.2387,748.3161,4032600
2024-12-20,801.471,801.471,757.2758,758.4118,9942300
2024-12-23,775.6098,789.627,763.6572,786.5846,3622300
2024-12-24,781.7343,788.0366,777.5163,785.9819,1165400
2024-12-26,784.4508,794.1216,781.8627,784.4706,1274200
2024-12-27,780.381,783.6408,769.7322,773.6342,2096500
2024-12-30,768.4481,770.2657,761.6124,764.4178,1719100
2024-12-31,761.6123,764.4869,754.9939,762.6002,2327000
2025-01-02,771.0855,777.4175,762.3729,768.5962,1938900
