Date,Open,High,Low,Close,Volume
2024-08-12,522.8088,528.9659,522.1732,528.3492,793700
2024-08-13,528.3397,530.9866,523.9851,530.7305,793600
2024-08-14,529.4593,535.2843,528.4346,534.3356,796700
2024-08-15,532.9885,535.1516,530.1709,531.556,974600
2024-08-16,532.5142,533.5767,528.4347,531.4042,912000
2024-08-19,526.8409,533.8993,526.7744,529.7534,709700
2024-08-20,529.355,530.2374,522.7046,528.4443,972200
2024-08-21,529.7439,531.2713,524.9339,525.3608,883100
2024-08-22,525.7593,529.5542,524.896,528.4632,774500
2024-08-23,529.3835,530.2088,524.4312,526.5468,870400
2024-08-26,527.5903,531.4136,527.5903,529.4782,795400
2024-08-27,530.7589,533.3584,528.4536,531.6697,749600
2024-08-28,533.368,539.563,532.9695,535.0566,829300
2024-08-29,535.0757,539.4113,534.1269,537.7795,662300
2024-08-30,535.9958,539.9046,533.7,538.9653,1082800
2024-09-03,541.236,545.6912,539.1944,541.131,1266900
2024-09-04,543.1535,552.1116,542.562,548.3433,941700
2024-09-05,548.744,549.4308,538.4502,542.438,841000
2024-09-06,542.8769,545.7961,538.9655,540.5682,976700
2024-09-09,541.4076,551.4151,541.379,550.0509,810200
2024-09-10,550.9954,551.272,544.1838,545.8724,756400
2024-09-11,544.9279,546.0822,535.2638,540.8829,809200
2024-09-12,539.0132,542.8006,537.9638,542.1328,739400
2024-09-13,540.9211,546.13,538.5648,543.6973,638800
2024-09-16,547.9903,550.4612,542.8196,546.5688,597700
2024-09-17,540.5967,541.98,537.6775,540.9307,739900
2024-09-18,540.2724,543.3442,536.4182,539.4805,731700
2024-09-19,540.4154,541.4267,536.3036,539.1848,917500
2024-09-20,537.1815,547.1222,537.0479,545.6149,3794400
2024-09-23,545.2141,554.9926,544.5654,553.8097,884500
2024-09-24,552.3024,554.4298,549.6503,552.0162,690100
2024-09-25,554.8114,556.9007,550.3276,551.3579,844500
2024-09-26,548.5531,555.7368,548.0189,550.8428,746200
2024-09-27,551.0813,557.206,548.868,555.5746,848100
2024-09-30,557.2727,558.0455,552.5695,557.6734,974900
2024-10-01,559.1617,583.3648,555.1453,577.9937,2356200
2024-10-02,577.1161,581.9434,573.758,575.4562,1192500
2024-10-03,576.6391,580.9894,573.3573,577.9556,856600
2024-10-04,575.895,578.404,571.7547,577.2974,559800
2024-10-07,579.0813,583.4602,576.2193,577.6884,1102200
2024-10-08,579.2912,582.6588,575.3512,580.083,571800
2024-10-09,578.8046,579.2149,575.2844,577.2782,543800
2024-10-10,578.2323,579.358,568.7971,570.0087,853700
2024-10-11,572.9566,576.744,572.4892,576.3815,526000
2024-10-14,578.1273,583.8418,576.0094,582.7733,562300
2024-10-15,584.3283,586.3507,575.9521,577.1732,849600
2024-10-16,575.2653,584.8149,574.9028,584.6432,549200
2024-10-17,584.6433,586.2174,579.3104,581.5809,617500
2024-10-18,583.2694,585.1583,580.5027,583.67,864100
2024-10-21,587.324,590.4818,583.2409,586.3414,1017500
2024-10-22,578.9859,580.3597,547.5991,550.442,2259200
2024-10-23,550.4803,555.4029,544.7371,544.8325,1402200
2024-10-24,544.4795,547.5324,538.2308,538.2595,1102800
2024-10-25,540.6349,543.764,535.2925,536.4277,1077600
2024-10-28,537.105,537.2576,528.996,529.6351,1278700
2024-10-29,527.3742,527.9466,521.2781,521.6501,1041700
2024-10-30,521.7456,525.905,518.2157,520.8297,1005200
2024-10-31,521.8791,526.3057,517.7101,520.9347,1245300
2024-11-01,522.7949,524.0638,519.5704,520.2668,792600
2024-11-04,520.6007,523.5677,515.554,518.1203,827600
2024-11-05,519.933,522.0032,517.071,521.6025,610100
2024-11-06,535.5787,535.5787,515.163,526.4393,1751300
2024-11-07,529.473,531.381,524.3881,526.4584,818200
2024-11-08,529.9214,540.7398,529.2059,538.5933,1165700
2024-11-11,543.993,549.6503,543.5923,544.3365,1171400
2024-11-12,547.9044,549.9174,538.8223,539.929,1133500
2024-11-13,538.059,539.013,530.7418,532.0774,1118300
2024-11-14,535.531,535.531,509.2386,514.1995,1972700
2024-11-15,513.1309,517.5861,506.9776,510.2307,1757100
2024-11-18,511.7286,513.2359,504.4209,506.5388,1298400
2024-11-19,512.3773,514.5143,506.7773,508.733,935700
2024-11-20,509.6106,510.6123,504.8597,510.1353,994300
2024-11-21,510.5265,519.6277,509.1718,517.0805,1321700
2024-11-22,519.933,520.887,515.0866,517.2808,1311000
2024-11-25,508.4659,509.5916,491.2175,497.886,3613500
2024-11-26,495.5009,499.9561,495.5009,497.4662,1345800
2024-11-27,499.46,505.6133,499.107,501.5684,890400
2024-11-29,503.4955,505.1268,500.4617,505.06,658200
2024-12-02,504.2345,505.7129,498.5225,499.521,1115600
2024-12-03,499.3289,500.6345,495.5946,496.3145,1188400
2024-12-04,495.4794,499.0313,492.609,496.7946,1542800
2024-12-05,496.7177,499.7321,493.4442,496.7753,1113400
2024-12-06,495.0857,496.7369,489.2106,492.5034,1284700
2024-12-09,490.737,495.7002,488.2026,489.6042,1170500
2024-12-10,488.7882,494.0201,487.7706,492.417,1178900
2024-12-11,493.2425,493.4345,483.1722,484.065,1308000
2024-12-12,479.9947,481.0507,469.1564,476.7115,1862800
2024-12-13,475.742,479.2459,472.4876,474.8588,990100
2024-12-16,475.0028,475.0028,470.5388,471.9788,1483700
2024-12-17,469.4924,473.2748,468.2444,470.9804,1354500
2024-12-18,469.9148,470.6252,463.1085,463.6172,1424400
2024-12-19,460.7949,464.6349,458.2125,460.4685,1250400
2024-12-20,460.267,469.454,458.6542,469.454,3973500
2024-12-23,467.9276,469.2908,462.5517,467.0252,1053900
2024-12-24,466.6124,469.1756,464.6445,468.5996,375900
2024-12-26,468.4749,473.726,466.8141,470.3756,662100
2024-12-27,468.8396,473.6588,466.9197,469.406,820600
2024-12-30,466.5549,467.0828,462.5709,464.0301,887600
2024-12-31,464.9996,467.0636,462.7149,466.4972,731900
2025-01-02,466.4972,470.126,462.1581,462.9549,953700
2025-01-03,462.1581,464.558,461.6685,462.5421,817200
2025-01-06,459.5949,460.7949,447.2207,447.3551,1698600
2025-01-07,447.0863,454.4782,444.4175,445.3967,1276600
2025-01-08,444.9551,450.4463,442.7855,450.0911,998700
2025-01-10,449.275,452.7214,447.0959,449.323,1127400
2025-01-13,450.235,465.4221,450.043,463.8285,1435200
2025-01-14,465.5948,465.7869,458.8461,465.0764,1162000
2025-01-15,468.2444,468.2444,461.1501,464.6061,882200
2025-01-16,462.5229,467.5148,462.2349,467.3804,956400
2025-01-17,468.0332,472.3627,464.8172,470.702,1337600
2025-01-21,475.1948,489.1626,474.926,486.0331,1615900
2025-01-22,483.1051,485.3035,475.3676,479.3611,1324800
2025-01-23,483.3738,485.7546,474.2156,477.3835,913000
2025-01-24,475.1948,477.3931,474.8108,477.0763,759400
2025-01-27,480.0811,486.8202,476.9035,483.5371,1948600
2025-01-28,454.747,460.5358,438.9744,439.1472,4023900
2025-01-29,441.5951,443.9855,431.4192,436.1808,2396800
2025-01-30,438.312,441.4896,433.2625,441.2592,1911800
2025-01-31,441.5951,445.6559,438.8592,444.4271,1473800
2025-02-03,440.4431,442.8719,435.432,437.1984,1476300
2025-02-04,435.8352,437.1888,433.2049,435.528,1234200
2025-02-05,438.7152,438.8112,430.8145,431.8705,1139700
2025-02-06,431.9952,434.0784,426.8401,430.5744,1291800
2025-02-07,431.8993,433.4353,426.0241,426.6097,1347400
2025-02-10,427.0033,430.9777,423.0769,430.2865,1427800
2025-02-11,429.9793,433.7232,427.1953,431.3808,906100
2025-02-12,429.3649,431.1697,423.4033,424.2865,1282800
2025-02-13,424.7953,427.4833,414.725,417.3266,2400000
2025-02-14,416.2034,417.749,402.9076,406.2579,3252800
2025-02-18,412.4978,415.6082,406.5555,411.3938,2812500
2025-02-19,413.7554,420.4753,408.5522,415.6274,2802100
2025-02-20,412.3923,420.4754,412.1331,418.8338,1358000
2025-02-21,418.9298,425.9761,418.2386,423.0865,1652400
2025-02-24,424.3153,430.3441,420.9938,422.6545,1946200
2025-02-25,424.0753,433.5984,423.3553,430.5168,1715500
2025-02-26,427.992,430.0752,421.7617,423.8353,1466900
