Date,Open,High,Low,Close,Volume
2024-09-03,37.2146,37.7896,36.9654,37.0708,7459700
2024-09-04,37.0133,38.3455,37.0133,38.2017,5852400
2024-09-05,38.3934,38.4221,37.6458,38.3167,5031300
2024-09-06,38.3167,38.4797,37.9046,38.0484,6282600
2024-09-09,38.1059,38.4605,37.3775,38.3359,9216500
2024-09-10,38.3838,38.3838,37.2912,37.6458,5057200
2024-09-11,37.7417,37.7417,37.1283,37.7225,5629000
2024-09-12,37.8759,37.9429,37.1475,37.7704,4541500
2024-09-13,37.7513,38.6713,37.6267,38.3551,6328000
2024-09-16,38.4509,38.8438,38.3071,38.5851,4013200
2024-09-17,38.9109,39.8789,38.8151,39.6777,4267800
2024-09-18,39.7831,39.8022,39.0643,39.093,3152500
2024-09-19,40.0706,40.8948,39.9748,40.3485,5322800
2024-09-20,40.4348,40.4539,39.8597,40.2335,7983500
2024-09-23,40.4252,41.0673,40.1185,40.3773,7011700
2024-09-24,42.5528,43.4921,42.1791,42.5337,10905500
2024-09-25,42.0641,43.0704,41.6711,42.9554,8223800
2024-09-26,46.4823,46.7219,45.1597,46.3864,16656500
2024-09-27,47.9199,49.3575,47.3736,48.9933,16750200
2024-09-30,49.2329,49.4725,47.8911,48.2457,9416100
2024-10-01,48.3799,50.22,48.3799,49.6737,12142200
2024-10-02,49.9421,50.8334,49.4341,49.6641,10484800
2024-10-03,48.8495,49.8942,48.4949,49.8079,6042100
2024-10-04,50.565,50.958,49.99,50.3925,6426400
2024-10-07,51.5905,52.1272,50.5267,51.1113,8817600
2024-10-08,49.4341,50.1529,48.677,49.6833,8469800
2024-10-09,48.8016,49.9804,48.6578,49.7696,7827300
2024-10-10,49.7791,50.1146,49.4054,49.8462,3438700
2024-10-11,49.7025,51.188,49.5971,50.6705,5721700
2024-10-14,50.0092,50.6609,49.4821,50.0954,4263300
2024-10-15,49.5204,49.6833,48.7057,48.8303,5008600
2024-10-16,49.2329,49.7312,48.8207,49.53,2725200
2024-10-17,49.1754,49.3,48.5237,48.6866,4377800
2024-10-18,49.3575,49.8175,49.1849,49.4054,3229100
2024-10-21,49.1945,49.252,48.562,49.0412,3430300
2024-10-22,49.1658,49.8175,48.8495,49.5971,4714200
2024-10-23,49.0028,49.3479,48.6962,48.9166,4486900
2024-10-24,49.9804,51.1784,49.1658,50.2871,8057200
2024-10-25,50.4405,51.8589,50.4405,50.565,7170100
2024-10-28,50.7088,51.6672,50.7088,51.3893,4213700
2024-10-29,51.9068,51.9451,51.1592,51.1688,5596800
