Date,Open,High,Low,Close,Volume
2024-09-03,230.0456,230.5367,225.6647,226.6273,1802700
2024-09-04,225.9201,226.5684,224.0636,225.3897,1412200
2024-09-05,225.6549,226.4603,222.8358,224.9968,1808800
2024-09-06,225.3995,228.7687,223.1305,223.5627,3355300
2024-09-09,224.8691,226.8532,222.5215,224.5351,1876900
2024-09-10,223.6412,224.9378,218.0129,221.6669,1755200
2024-09-11,221.6669,223.7395,217.9049,223.2975,1330900
2024-09-12,224.7414,226.7256,223.5529,226.6077,1044100
2024-09-13,227.4426,228.4347,225.5959,227.6292,1034100
2024-09-16,228.9356,231.5681,227.7864,228.3365,993100
2024-09-17,229.5839,232.0396,228.6311,231.4306,1005300
2024-09-18,234.6622,237.442,232.5995,234.5051,1539600
2024-09-19,238.66,241.6559,237.7465,240.1236,1676100
2024-09-20,239.5735,240.3986,236.6267,240.0548,3663400
2024-09-23,240.5067,240.7817,237.0786,237.3831,1393400
2024-09-24,238.7091,243.0704,238.5422,242.9918,1225300
2024-09-25,243.0802,243.2275,240.2906,241.1451,951400
2024-09-26,243.7678,246.5476,241.8524,246.2627,1431800
2024-09-27,248.3255,249.9167,247.2057,248.5514,1238400
2024-09-30,247.579,249.4452,242.0881,244.1902,1646300
2024-10-01,244.2982,244.8876,238.7877,241.7149,1382500
2024-10-02,240.9389,244.5831,240.5067,244.4063,857600
2024-10-03,241.6952,245.2412,241.6461,245.0545,935600
2024-10-04,248.7872,250.3195,247.746,250.0936,1129400
2024-10-07,249.4944,251.3116,248.5809,250.6338,2406700
2024-10-08,250.791,252.785,249.0327,252.0286,1207900
2024-10-09,251.7438,258.3544,251.4589,257.2346,1442600
2024-10-10,256.2621,257.2739,254.6905,255.9183,1038200
2024-10-11,256.5962,259.4546,256.4194,257.9713,1084700
2024-10-14,256.5863,258.6687,255.8005,256.9203,1139700
2024-10-15,256.7336,258.649,254.8968,255.9576,1252400
2024-10-16,255.8103,258.6196,254.995,257.9123,709200
2024-10-17,259.8081,260.4957,257.6373,259.8769,1163500
2024-10-18,259.8769,261.8512,258.4133,260.8886,886800
2024-10-21,259.7983,261.7137,258.5901,260.2698,869100
2024-10-22,260.1028,261.1735,258.6785,260.7904,1198100
2024-10-23,255.8594,258.3347,250.9481,253.2466,1990300
2024-10-24,255.3585,257.1757,252.8635,256.0068,1195100
2024-10-25,258.6392,260.4269,256.7238,257.4703,1162000
2024-10-28,259.6608,259.9063,256.0558,257.8927,1127500
2024-10-29,258.1382,260.4073,257.6275,259.2089,791500
2024-10-30,258.9929,260.8886,258.5803,259.5724,897800
2024-10-31,259.5723,260.6626,255.3093,255.4075,1308100
2024-11-01,253.8949,258.7178,253.8458,255.9478,1481600
2024-11-04,250.899,252.1367,245.1233,251.8813,2222000
2024-11-05,249.5729,256.4389,249.5729,255.054,1604300
2024-11-06,265.3186,272.4891,263.7273,271.3595,2148500
2024-11-07,271.2318,273.5598,269.0021,272.7543,1472700
2024-11-08,272.882,277.7835,272.2926,275.8189,1516600
2024-11-11,276.0842,281.1133,276.0842,280.8383,1895500
2024-11-12,280.5535,281.909,278.6774,280.9464,1143200
2024-11-13,279.64,283.9128,279.3158,281.3884,1274000
2024-11-14,281.3982,282.41,276.762,277.0173,1396800
2024-11-15,276.9879,277.4495,272.7445,273.8348,1751100
2024-11-18,275.6127,277.2334,273.1177,276.4574,1733900
2024-11-19,274.3456,275.7306,271.3791,274.3161,890500
2024-11-20,274.5911,275.8484,273.599,275.2099,938600
2024-11-21,277.5432,279.4235,275.9188,279.0396,944500
2024-11-22,278.9312,280.5261,278.4882,279.8763,990300
2024-11-25,281.6385,285.1334,281.3629,283.5287,1808400
2024-11-26,284.3163,285.3008,282.0816,283.7059,1459100
2024-11-27,283.4106,283.4303,280.2012,281.166,1112900
2024-11-29,281.1168,285.9211,281.107,284.6019,702400
2024-12-02,284.4837,285.4387,280.221,281.7961,1574300
2024-12-03,282.751,283.5189,279.3053,280.5064,928800
2024-12-04,281.6386,285.5076,280.0831,285.1335,1115400
2024-12-05,285.4583,290.0755,285.3796,287.9392,1307400
2024-12-06,288.1459,290.8631,287.8014,288.0475,1013100
2024-12-09,287.9491,289.3077,281.8355,282.5148,1064700
2024-12-10,284.5231,285.2516,281.0676,283.2039,866700
2024-12-11,285.4879,288.4118,285.0449,287.2009,876800
2024-12-12,288.1361,289.4455,285.2516,285.4879,1168000
2024-12-13,284.1293,285.0941,281.6287,282.623,797200
2024-12-16,283.1153,287.5356,281.8945,285.8915,976900
2024-12-17,284.2869,286.7973,283.9817,284.9465,1310600
2024-12-18,285.0055,286.7283,273.2213,273.3395,1861100
2024-12-19,276.8343,278.3997,273.8711,274.6882,1489900
2024-12-20,272.5322,282.4754,272.5125,279.5515,2619100
2024-12-23,279.0888,279.7484,276.1256,279.2267,907800
2024-12-24,279.2266,282.1013,278.3701,281.9438,424000
2024-12-26,280.5852,282.8101,280.4277,282.1111,473700
2024-12-27,279.6008,281.6091,276.4209,279.2562,717600
2024-12-30,277.3069,277.7204,273.182,275.9582,1021000
2024-12-31,276.6177,276.8343,273.8907,274.6094,740200
2025-01-02,276.795,276.8737,269.2638,270.1892,1211900
2025-01-03,271.784,272.6504,267.9643,271.0063,1773000
2025-01-06,270.9767,271.6265,267.7772,268.3876,1260300
2025-01-07,267.3047,269.6477,265.0994,265.5917,1132100
2025-01-08,265.887,269.6477,265.6408,269.2834,1172200
2025-01-10,268.929,270.8881,266.33,266.5564,1317600
2025-01-13,266.1824,269.0865,265.6507,268.0627,935700
2025-01-14,268.7617,272.4436,267.8461,272.1384,1106000
2025-01-15,277.2282,279.1873,271.5281,271.7643,1513400
2025-01-16,271.7151,273.5069,270.7799,271.7151,1588200
2025-01-17,274.6685,275.2592,272.2073,272.8767,1805200
2025-01-21,267.0585,273.7332,265.5326,273.4084,2772900
2025-01-22,273.4576,276.4209,273.3985,276.0566,1412400
2025-01-23,277.4152,280.7132,273.1032,280.6443,1694400
2025-01-24,280.5754,282.1407,277.9665,279.6992,1339800
2025-01-27,277.0805,283.7946,276.0665,283.578,1569700
2025-01-28,282.8397,286.3641,281.8847,284.1589,1403400
2025-01-29,284.8775,285.7636,282.7314,285.1631,1302200
2025-01-30,286.4034,290.4102,286.4034,287.9983,1030500
2025-01-31,287.1221,289.1501,284.7987,286.0785,1293100
2025-02-03,282.3376,286.4527,278.695,285.9506,1218000
2025-02-04,286.9548,287.3289,284.6117,286.2361,1401800
2025-02-05,286.5413,288.589,283.6075,287.8506,1329700
2025-02-06,289.416,299.4084,288.9434,298.2467,1826800
2025-02-07,300.1959,302.7457,298.1581,299.2509,1662500
2025-02-10,301.1706,301.4659,296.6813,299.7234,1770800
2025-02-11,286.7972,291.0009,280.595,283.5287,3055500
2025-02-12,279.5712,286.9449,279.0888,285.9408,2692500
2025-02-13,286.1573,286.935,281.4712,283.765,1899300
2025-02-14,285.7734,286.049,278.6851,279.1183,1659900
2025-02-18,279.1183,284.8086,276.5193,283.9423,1601800
2025-02-19,282.0324,284.4443,279.5318,283.0956,1414100
2025-02-20,282.4656,283.1842,278.9116,282.7412,1153100
2025-02-21,282.1997,282.7412,270.7306,273.1623,1983200
2025-02-24,275.0131,276.2437,270.4746,272.4633,2058300
2025-02-25,273.3493,273.4674,267.4818,273.1524,1807600
2025-02-26,274.8359,280.5754,274.5996,277.7794,1607600
2025-02-27,277.7302,279.8811,272.9941,273.517,1571200
2025-02-28,275.2535,278.5885,274.0596,276.7138,2269800
2025-03-03,276.2698,280.6901,271.7015,274.0202,1635200
2025-03-04,272.7277,272.7277,264.4297,267.1924,2390100
2025-03-05,265.959,268.8401,264.4494,267.4884,1456000
2025-03-06,264.8047,264.9724,258.6478,259.1313,1663100
2025-03-07,257.967,261.45,253.2309,259.2497,2337400
2025-03-10,254.9181,257.2171,251.672,253.7933,2447300
2025-03-11,251.4746,252.5205,240.0785,243.0286,3143000
2025-03-12,244.6961,245.7223,236.9902,240.562,2349800
2025-03-13,240.2265,240.6705,233.0632,234.1288,2026600
2025-03-14,236.2304,240.3745,235.816,239.8713,1414000
2025-03-17,240.6705,246.0775,239.0129,244.8047,1971900
2025-03-18,243.7884,243.9167,236.7336,237.1875,1253600
2025-03-19,238.3814,245.2882,238.3123,244.3212,1373500
2025-03-20,241.6473,244.7159,240.6409,241.5782,922600
2025-03-21,232.6488,234.7701,226.3242,234.3261,4301000
2025-03-24,237.8585,240.2462,236.0824,239.6838,1935600
2025-03-25,240.483,243.4628,238.3814,243.1964,1401100
2025-03-26,243.966,247.0937,242.7918,243.4332,1842200
2025-03-27,241.963,242.703,236.4968,241.1934,1952900
2025-03-28,240.1673,240.1673,232.856,233.8526,1570700
2025-03-31,231.672,236.487,227.8437,235.0267,1948800
2025-04-01,234.3163,235.7963,230.3104,235.0661,1451300
2025-04-02,231.968,240.779,231.968,239.3286,1718800
2025-04-03,227.3207,227.5082,220.3844,221.6276,3459900
2025-04-04,215.4214,219.6937,209.7283,211.7214,3573900
2025-04-07,205.0021,221.154,202.6636,210.5176,3900200
2025-04-08,217.6513,219.1609,204.8541,208.3074,3721900
2025-04-09,207.8141,232.1554,205.3869,230.2808,4482400
2025-04-10,225.4066,227.153,214.3755,219.9503,3602900
2025-04-11,219.9799,224.7159,216.0923,222.2196,2013800
2025-04-14,221.9335,222.4663,217.0692,220.5127,1875700
2025-04-15,221.6375,222.486,218.4801,219.6148,1205400
2025-04-16,217.01,220.9961,213.7934,215.8753,1671300
2025-04-17,218.3222,219.4569,215.5497,217.4737,1523400
2025-04-21,215.3918,216.0726,209.6987,212.8166,1543000
2025-04-22,214.6321,218.4209,214.0894,217.6513,1476500
2025-04-23,225.8308,233.2901,225.3178,226.7287,3492900
2025-04-24,225.4362,234.188,224.5186,233.1125,2329800
2025-04-25,233.3691,234.8491,229.7184,233.0533,1989900
2025-04-28,235.1155,237.6216,230.9517,233.7736,2418200
2025-04-29,232.1949,237.6414,231.9976,236.4771,2255100
2025-04-30,231.4056,235.8654,228.1298,235.4016,2246300
2025-05-01,238.0459,242.9596,237.1579,240.7001,1818200
2025-05-02,244.2719,247.2023,243.8377,246.1466,1302000
2025-05-05,244.6961,247.4983,243.2161,243.9759,1894400
2025-05-06,252.7277,255.1451,246.6794,248.6034,2527700
2025-05-07,248.4258,254.6616,247.449,252.5797,1866500
2025-05-08,253.448,259.6147,252.5797,255.8456,1787500
2025-05-09,255.6581,256.5264,252.2837,254.5333,1489000
2025-05-12,265.811,269.7775,265.0513,268.3369,2551100
2025-05-13,268.3764,272.3429,267.597,270.4879,1690300
2025-05-14,268.7711,271.9482,268.4652,268.9586,1520800
2025-05-15,268.3665,269.3138,267.1234,267.8535,1483500
2025-05-16,267.9225,269.6788,265.7419,269.59,1235000
2025-05-19,266.0182,270.113,265.8604,269.5506,1099100
2025-05-20,268.0212,268.0212,263.3641,263.7785,1500400
2025-05-21,260.3745,261.0651,256.6744,257.2171,1271800
2025-05-22,257.6907,258.6181,255.7568,257.2171,1082900
