Date,Open,High,Low,Close,Volume
2024-08-05,445.7877,445.7877,432.3705,433.2959,1326100
2024-08-06,436.0817,448.4849,436.0817,442.0076,879900
2024-08-07,445.1379,454.7553,443.4645,444.0059,713800
2024-08-08,444.1733,453.8891,442.9822,452.5996,630000
2024-08-09,452.7472,458.0333,450.8474,457.6691,649000
2024-08-12,457.5412,457.7381,452.3535,453.3871,581200
2024-08-13,456.9899,459.6281,454.7455,457.2163,893100
2024-08-14,457.1376,459.7363,454.6274,458.8701,807100
2024-08-15,459.2934,462.4434,457.7479,459.825,528100
2024-08-16,460.1602,461.4522,457.3003,460.2687,429700
2024-08-19,461.4521,465.4166,460.9492,463.5822,479800
2024-08-20,465.3179,467.9806,463.9965,466.9944,601800
2024-08-21,466.3929,470.2488,464.9136,468.8978,527900
2024-08-22,468.6118,474.0653,468.6118,473.3651,990000
2024-08-23,475.4362,476.876,469.0655,472.7538,520100
2024-08-26,475.2685,476.5308,472.1719,473.1778,453700
2024-08-27,473.0003,478.6905,470.2685,477.4874,515900
2024-08-28,477.7043,481.8857,474.1245,475.8602,612300
2024-08-29,476.7872,479.8345,475.3572,476.3829,596600
2024-08-30,477.7733,481.4222,474.0456,480.9981,822600
2024-09-03,481.9843,483.4044,473.592,475.3079,793100
2024-09-04,475.3375,479.5386,473.878,477.7931,577400
2024-09-05,477.3986,480.0613,474.2231,477.1619,551200
2024-09-06,477.8523,480.1402,467.3692,468.8682,689100
2024-09-09,472.4776,480.3375,472.0536,475.5841,778200
2024-09-10,477.0041,479.2921,472.7241,477.4479,687700
2024-09-11,475.229,475.229,461.1464,471.9746,764100
2024-09-12,469.6867,473.2567,467.0142,472.1324,860400
2024-09-13,473.4441,475.7024,468.957,470.3672,743200
2024-09-16,472.2902,479.7063,471.9549,478.1382,954000
2024-09-17,478.2861,478.6017,473.5525,476.0574,613000
2024-09-18,475.7616,482.2408,474.1147,477.9706,619500
2024-09-19,484.2328,485.6727,480.3374,483.3354,697900
2024-09-20,481.7772,488.2564,481.0277,487.8225,1466200
2024-09-23,482.4774,487.1815,470.9984,472.379,957900
2024-09-24,470.8011,472.9115,465.5053,472.7538,810600
2024-09-25,473.6512,474.1541,468.2765,469.5684,545200
2024-09-26,468.6907,471.3237,464.746,467.4777,592100
2024-09-27,467.9215,470.6532,466.4619,466.9451,582600
2024-09-30,466.7282,470.1009,464.9235,468.0299,1366200
2024-10-01,470.3179,470.3179,462.5172,464.884,1137400
2024-10-02,465.6829,467.9511,461.8565,463.6908,717600
2024-10-03,464.8446,465.4757,460.0518,461.1661,576100
2024-10-04,462.8722,463.099,452.5568,454.1642,1308900
2024-10-07,455.4463,457.5863,450.3379,451.1958,1022300
2024-10-08,457.2707,465.1799,456.1958,464.4896,1049100
2024-10-09,464.5092,467.6552,462.3397,466.5013,1086600
2024-10-10,465.4757,466.886,461.3141,462.9117,556100
2024-10-11,465.0615,468.7203,464.4995,468.5428,527500
2024-10-14,468.4836,473.5525,468.2272,472.8129,459200
2024-10-15,474.3514,482.5465,474.3514,480.446,752900
2024-10-16,478.2467,483.5819,476.0672,483.2664,587800
