Date,Open,High,Low,Close,Volume
2024-08-20,78.742,82.2104,78.0671,80.0356,10841600
2024-08-21,80.5512,82.0886,80.495,82.0604,10608300
2024-08-22,82.4073,83.654,82.0698,82.3323,8429600
2024-08-23,82.7354,82.9604,82.2198,82.8197,4843500
2024-08-26,83.0541,84.4883,82.6041,83.7478,5948200
2024-08-27,83.954,84.104,82.5666,83.2416,4174700
2024-08-28,83.4009,83.5603,82.4448,82.801,5230600
2024-08-29,83.3259,83.3728,82.5104,82.6698,5024400
2024-08-30,82.801,83.0541,81.7699,83.0353,7940100
2024-09-03,82.7447,83.7665,82.5573,83.3916,4745300
2024-09-04,83.2416,85.7632,83.2416,85.332,8953500
2024-09-05,85.4538,85.4726,83.5228,83.7946,7007400
2024-09-06,84.104,84.8727,83.7103,84.2633,7116500
2024-09-09,84.3665,85.4445,84.254,84.9476,8643000
2024-09-10,85.0789,85.4164,84.5539,85.2945,5628100
2024-09-11,84.9945,84.9945,83.2603,84.6945,5805800
2024-09-12,84.6102,84.8914,83.6165,84.3664,4856500
2024-09-13,84.4227,84.8539,84.2633,84.3664,5209400
2024-09-16,84.3665,84.5914,83.8415,84.4696,5620300
2024-09-17,84.3665,84.5914,82.5291,83.0822,7012300
2024-09-18,82.5198,82.9697,82.1823,82.6135,7691400
2024-09-19,83.1385,84.3196,83.0072,83.8696,9374600
2024-09-20,83.879,83.9821,83.1853,83.7478,25452900
2024-09-23,83.9353,84.4133,83.4384,84.2352,6324400
2024-09-24,84.1134,84.6383,83.5697,84.1415,7657600
2024-09-25,84.5258,84.7414,83.6072,83.7946,3944400
2024-09-26,83.504,83.9634,82.9697,83.8509,6321000
2024-09-27,84.4272,85.0508,84.191,84.3894,5232500
2024-09-30,84.5406,85.1264,84.106,85.0602,4784900
2024-10-01,85.2681,85.3626,84.2855,85.0319,4907100
2024-10-02,84.5973,84.739,84.0776,84.2005,4438900
2024-10-03,84.106,84.3138,82.8211,82.925,3435000
2024-10-04,83.1045,83.4163,82.3959,83.3879,3598500
2024-10-07,83.01,83.1234,82.0841,82.2353,3794500
2024-10-08,82.4998,83.6714,82.4148,83.2746,4608700
2024-10-09,83.1045,83.558,82.8305,83.473,2773500
2024-10-10,84.3327,84.5028,83.8887,83.9454,3219800
2024-10-11,84.0682,84.6445,84.0021,84.4272,4482700
2024-10-14,84.5878,85.0886,84.2288,85.0413,3849200
2024-10-15,85.0791,85.5043,84.5028,84.8807,4173700
2024-10-16,84.8618,85.2586,84.55,85.0224,3773300
2024-10-17,85.1736,85.1736,84.6823,84.8335,5392700
2024-10-18,85.0035,87.1577,84.8807,87.1482,7355500
2024-10-21,86.9215,86.9687,85.7688,86.005,4411500
2024-10-22,85.6932,86.2979,85.013,86.0901,4400200
2024-10-23,85.731,87.29,85.6743,87.1766,6842200
2024-10-24,87.3844,87.5639,85.92,85.9672,3813800
2024-10-25,86.109,86.5436,85.1547,85.5893,3446900
2024-10-28,85.6743,86.3074,85.5515,85.5988,4241900
2024-10-29,85.3814,86.3829,85.3248,85.3342,7279700
2024-10-30,85.013,86.7325,84.9846,85.5043,5325700
2024-10-31,84.8713,84.9658,84.0776,84.3233,6955600
2024-11-01,84.8713,85.9767,84.3327,85.098,5052400
2024-11-04,85.0602,85.5232,84.2949,84.38,4513600
2024-11-05,84.1343,84.739,83.7186,84.7295,4578200
2024-11-06,86.7987,86.9498,83.9926,85.1358,6281700
2024-11-07,84.55,84.5595,82.8588,83.2557,7077400
2024-11-08,83.4824,83.7942,82.736,82.8777,8137700
2024-11-11,83.3407,83.917,82.9061,83.3974,4544500
2024-11-12,83.3596,83.917,82.9533,83.4257,7202700
2024-11-13,83.1328,83.3879,82.6699,83.1139,8338900
2024-11-14,82.8588,83.284,81.1582,81.2527,7956100
2024-11-15,80.7519,82.736,80.3173,82.6982,7952300
2024-11-18,82.6699,83.8225,82.1975,82.7549,10339800
2024-11-19,81.2527,81.7062,79.8355,80.3079,12000800
2024-11-20,80.0528,80.289,78.9379,79.467,7389100
2024-11-21,79.552,80.4307,79.2875,80.0622,5699700
2024-11-22,80.1095,81.5361,79.9489,81.4511,6532100
2024-11-25,81.7251,82.0369,80.0906,81.0165,10636000
2024-11-26,81.5739,81.7818,80.3268,80.9504,5702500
2024-11-27,81.3755,82.103,81.1771,81.5078,5106500
2024-11-29,80.922,81.9613,80.8086,81.7629,3543200
2024-12-02,81.4133,82.0558,81.196,81.7629,7058700
2024-12-03,81.7345,81.7534,80.7614,80.9787,4979100
2024-12-04,80.6386,81.3661,80.3173,80.6102,5352500
2024-12-05,79.9016,80.6291,79.3631,79.4954,6967700
2024-12-06,79.3631,79.8827,78.9568,79.3725,4309800
2024-12-09,79.4859,79.7505,79.0419,79.3253,5015000
2024-12-10,79.3631,79.4576,78.3049,78.9663,5095400
2024-12-11,78.7962,79.3347,78.3144,78.3427,6125600
2024-12-12,78.3333,78.6545,77.9742,78.1632,5482500
2024-12-13,78.2671,78.3616,77.3601,77.927,4301500
2024-12-16,77.4735,77.9553,76.6421,76.8594,6351900
2024-12-17,76.4909,77.7475,76.2358,76.8783,8021400
2024-12-18,76.8783,77.1523,75.5839,75.6122,7048600
2024-12-19,75.3855,76.1413,75.1304,75.5744,7190300
2024-12-20,75.4611,76.7838,75.3949,76.557,10707300
2024-12-23,76.2358,77.0956,75.9807,76.9066,7421300
2024-12-24,76.8121,77.2656,76.6137,77.0389,2465900
2024-12-26,76.8216,77.2562,76.7365,77.0956,3319500
2024-12-27,76.7525,77.4482,76.6667,76.9431,3880700
2024-12-30,76.4285,76.5905,75.5613,75.8662,5136200
2024-12-31,76.0664,76.4571,75.6471,76.1235,4803700
2025-01-02,76.5905,76.8764,76.1045,76.4475,5574900
2025-01-03,76.7144,77.1909,76.2188,77.1432,5394700
2025-01-06,76.7334,77.3243,75.9139,76.0854,7886200
2025-01-07,76.5905,77.2576,75.9901,76.114,7363100
2025-01-08,76.6286,79.3065,76.5714,78.7919,11153800
2025-01-10,78.1438,78.6108,76.7239,76.8669,7068200
2025-01-13,77.1051,78.2582,76.2474,77.9437,6487700
2025-01-14,79.4685,81.2982,79.2016,81.241,13399700
2025-01-15,79.9736,81.8509,79.9736,81.384,12261100
2025-01-16,81.4125,83.1184,81.0313,83.0612,7267500
2025-01-17,83.147,84.4621,82.9564,83.9379,9578900
2025-01-21,84.2905,84.5288,83.6425,84.2238,8376600
2025-01-22,84.0904,84.3001,83.309,83.7092,5222900
2025-01-23,83.7378,85.1291,83.6711,85.0529,5694300
2025-01-24,84.9195,86.0535,84.6431,85.9487,7349500
2025-01-27,86.3966,88.131,86.1012,88.1119,9164300
2025-01-28,88.1119,88.7028,87.3591,87.6545,7961100
2025-01-29,88.1787,88.6075,87.0637,87.1113,5514700
2025-01-30,87.4067,88.455,87.159,87.664,5101600
2025-01-31,87.4068,87.7689,86.3871,86.5491,7215400
2025-02-03,86.0249,86.9207,85.0529,86.2727,5800300
2025-02-04,85.6342,86.8254,85.4817,86.692,5196300
2025-02-05,86.9779,87.7403,86.4157,87.3782,5181100
2025-02-06,86.9684,87.6164,86.4919,86.5491,4509300
2025-02-07,86.835,86.8826,85.3388,85.7772,6349400
2025-02-10,86.044,86.6634,85.7772,86.5681,5029300
2025-02-11,86.5681,87.1685,86.2441,86.9112,6534800
2025-02-12,86.3394,87.3305,85.6819,87.0542,7053200
2025-02-13,86.9779,88.131,86.5967,87.8642,5991000
2025-02-14,88.0738,88.6742,87.5402,88.4455,10855400
2025-02-18,83.8236,84.281,81.0599,82.0224,14516700
2025-02-19,81.9557,83.0707,81.6698,82.9087,8972100
2025-02-20,82.6895,84.119,82.2893,83.8045,5804300
2025-02-21,83.5186,86.8635,83.4614,85.7104,11763000
2025-02-24,85.3293,86.7873,84.929,85.9296,7158500
2025-02-25,86.1107,86.5777,85.0243,86.2251,6290300
2025-02-26,86.206,86.9017,85.7676,86.3204,5108500
2025-02-27,86.0535,86.9874,85.8629,86.4728,4735900
2025-02-28,87.2447,88.0548,86.0535,87.6926,7685300
2025-03-03,88.3121,90.4658,87.9595,89.8654,9306100
2025-03-04,90.2943,91.0757,88.5789,88.6551,7644300
2025-03-05,89.1888,90.2752,88.8838,89.6367,5820600
2025-03-06,89.3318,89.5605,87.7593,88.7504,5339800
2025-03-07,88.2454,90.5611,88.0929,90.056,7795900
2025-03-10,90.1323,91.7237,89.1507,89.3889,10771700
2025-03-11,89.0077,89.5224,88.3121,88.8934,7457600
2025-03-12,88.5217,88.6266,86.1012,87.2066,6301000
2025-03-13,87.4544,88.3788,87.2543,87.9881,6737600
2025-03-14,87.969,88.9124,87.7879,88.6933,7788600
2025-03-17,88.6933,89.2746,88.455,88.9601,8099200
2025-03-18,89.265,89.3127,87.4258,87.8737,12259300
2025-03-19,87.9214,88.455,86.854,87.5497,11665200
2025-03-20,87.6736,87.6736,86.044,86.9303,10469600
2025-03-21,86.3013,86.5681,85.415,86.0821,14027600
2025-03-24,86.4252,86.5681,85.4817,85.8915,5420400
2025-03-25,86.0345,86.2441,83.4043,84.4239,8819800
2025-03-26,84.4621,84.9671,83.8807,84.0809,7460400
2025-03-27,84.4906,85.2435,83.8617,84.7956,7340100
2025-03-28,84.3826,84.8916,83.787,84.1712,6320200
2025-03-31,83.5661,86.7455,83.4989,86.3132,8241100
2025-04-01,85.2855,86.0539,84.7284,84.9973,7059400
2025-04-02,84.9397,85.4776,84.008,85.3527,5577200
2025-04-03,85.103,86.0059,84.2289,84.421,7663100
2025-04-04,84.517,84.6227,79.4166,79.6087,12034000
2025-04-07,78.0143,82.0005,77.3995,79.8681,12129100
2025-04-08,81.1648,81.9428,77.4283,78.6482,10183900
2025-04-09,77.3227,82.1253,76.4102,81.914,11981100
2025-04-10,81.4818,81.9332,77.7933,79.2822,8838400
2025-04-11,79.8777,80.1466,77.9758,79.6279,8014000
2025-04-14,80.6557,80.9343,79.8393,80.8958,5596000
2025-04-15,81.2897,81.3857,78.9748,79.1189,5829400
2025-04-16,79.9161,81.1552,78.9556,79.4358,7111600
2025-04-17,79.2533,80.0314,78.8787,79.3398,5940500
2025-04-21,79.3398,79.6183,77.9566,78.5714,5220000
2025-04-22,79.5415,80.3195,79.2437,80.0794,5284900
2025-04-23,80.8382,81.9812,80.0698,80.4444,6468200
