Date,Open,High,Low,Close,Volume
2024-08-19,523.3568,528.1148,519.2742,525.7507,9879700.0
2024-08-20,524.8269,527.5487,522.3734,523.2177,7944400.0
2024-08-21,523.635,535.8033,523.4164,531.5916,13423300.0
2024-08-22,533.4193,540.6011,525.0654,528.3831,15708300.0
2024-08-23,533.3398,536.2702,521.5589,524.4793,11323900.0
2024-08-26,524.082,524.4793,511.5164,517.6452,9584000.0
2024-08-27,515.5194,520.5158,511.8738,515.6385,6282700.0
2024-08-28,514.2181,517.6154,509.033,513.3341,9106100.0
2024-08-29,515.589,523.6847,512.2415,514.7645,8317400.0
2024-08-30,517.8736,520.049,511.7646,517.8339,9157500.0
2024-09-03,516.175,521.986,505.2285,508.3476,12459100.0
2024-09-04,502.6955,513.1453,500.7088,509.321,8335200.0
2024-09-05,508.3079,518.1518,507.7417,513.4136,8640900.0
2024-09-06,518.4001,521.0821,494.9276,496.9341,14744500.0
2024-09-09,502.7849,507.9204,498.7321,501.424,11047800.0
2024-09-10,504.7715,510.7514,496.6957,501.424,9899000.0
2024-09-11,503.6293,509.6985,492.2954,508.4171,10782500.0
2024-09-12,513.6023,523.1979,511.7845,522.0953,11970500.0
2024-09-13,516.8703,524.062,513.6618,521.1218,10321400.0
2024-09-16,521.5394,531.0447,514.4403,530.2295,9527600.0
2024-09-17,534.5247,538.9989,527.5349,533.252,11690800.0
2024-09-18,533.9977,541.0869,530.8459,534.8727,10323500.0
2024-09-19,546.8538,558.8547,543.3937,555.9017,15647000.0
2024-09-20,556.7965,561.2708,553.1177,558.1388,22066800.0
2024-09-23,566.2422,570.6965,559.1927,561.1813,12830700.0
2024-09-24,563.4383,564.5022,551.0198,560.1075,12993000.0
2024-09-25,560.8234,573.58,560.4953,565.059,16543400.0
2024-09-26,572.4366,574.0971,559.1332,564.5918,14400800.0
2024-09-27,566.8388,567.5746,561.2808,564.1144,9398400.0
2024-09-30,564.4525,571.3926,561.5691,569.1654,12792300.0
2024-10-01,574.6737,579.7047,566.8387,573.1723,15259300.0
2024-10-02,571.5715,572.705,566.0831,569.5332,6524700.0
2024-10-03,566.8884,580.0228,565.4765,579.4362,11581000.0
2024-10-04,580.3908,593.4358,578.104,592.531,14169500.0
2024-10-07,594.7979,599.5009,580.699,581.4348,12014200.0
