Date,Open,High,Low,Close,Volume
2024-08-07,544.7767,548.7124,531.5558,532.2875,588000
2024-08-08,534.3444,543.6,521.8553,532.9699,829700
2024-08-09,530.6262,535.0958,517.4449,527.6003,666000
2024-08-12,526.5622,527.8081,516.1694,519.2546,613900
2024-08-13,522.4683,527.0961,516.8813,521.1729,453300
2024-08-14,525.3755,529.321,517.9888,519.5908,386100
2024-08-15,527.7587,536.7374,520.6489,533.7808,435600
2024-08-16,535.9661,536.1737,527.1159,528.965,537200
2024-08-19,530.2109,530.3296,522.31,528.5497,340100
2024-08-20,530.7153,534.1269,527.551,530.4187,327900
2024-08-21,534.9673,538.2799,531.7239,533.6818,277000
2024-08-22,534.9872,539.3678,529.7858,536.1837,333900
2024-08-23,540.4455,557.2659,538.9128,550.7098,444500
2024-08-26,553.7555,557.9185,535.6694,537.3801,442100
2024-08-27,534.1762,534.1762,507.7937,512.7874,773900
2024-08-28,514.2015,516.3869,507.2796,508.4958,542100
2024-08-29,510.6218,521.4893,510.6218,518.147,462200
2024-08-30,520.5896,530.3792,517.2572,528.2037,538800
2024-09-03,523.3808,526.7082,512.4378,514.4185,510000
2024-09-04,517.9341,518.2213,498.8607,506.3079,795800
2024-09-05,504.8916,507.5754,496.1571,501.1681,509900
2024-09-06,504.6837,509.7244,497.1177,497.6129,457800
2024-09-09,501.0393,505.0105,497.7911,501.277,374200
2024-09-10,504.3173,506.5752,496.2561,502.2871,319500
2024-09-11,500.5541,503.9805,485.3032,502.8714,443400
2024-09-12,504.4658,512.2398,502.5842,510.3384,312100
2024-09-13,510.1404,518.2709,508.4667,515.6366,427600
2024-09-16,517.637,527.0647,515.082,524.6484,353600
2024-09-17,526.7974,531.8579,522.3013,528.8671,366100
2024-09-18,532.7888,538.0078,524.9653,528.8375,450300
2024-09-19,542.7811,545.1875,532.2837,543.3951,395500
2024-09-20,548.5349,550.4957,538.602,540.9985,916000
2024-09-23,540.4142,542.7811,531.2439,540.1171,402700
