Date,Open,High,Low,Close,Volume
2024-08-05,52.02,52.4,50.19,50.47,5729000
2024-08-06,50.59,51.79,50.33,50.8,5145800
2024-08-07,50.84,51.55,50.46,50.53,7295500
2024-08-08,44.88,45.54,43.32,45.01,27323100
2024-08-09,45.29,46.32,45.19,46.06,14618800
2024-08-12,46.02,46.57,45.86,45.89,7643900
2024-08-13,46.0,46.79,46.0,46.5,6554400
2024-08-14,46.28,46.67,45.98,46.24,7164500
2024-08-15,46.61,47.54,46.55,46.99,6680500
2024-08-16,46.92,47.14,46.33,46.74,4611400
2024-08-19,46.79,46.94,46.34,46.6,5206300
2024-08-20,46.92,47.12,46.2,46.71,7071000
2024-08-21,47.01,47.23,46.62,47.01,5239000
2024-08-22,47.23,47.23,46.39,46.48,3309100
2024-08-23,46.6,46.84,46.4,46.65,4507900
2024-08-26,47.0,47.68,46.78,47.28,3868500
2024-08-27,47.28,47.64,47.04,47.59,3836700
2024-08-28,47.61,47.7,46.8,47.05,4447400
2024-08-29,47.36,47.5,46.91,47.0,6752000
2024-08-30,47.12,47.2,46.59,47.13,5420800
2024-09-03,46.94,48.39,46.85,48.3,7422000
2024-09-04,48.22,48.74,48.04,48.38,4783800
2024-09-05,48.27,48.54,47.77,48.22,3838800
2024-09-06,48.06,48.85,48.06,48.65,5847900
2024-09-09,48.66,51.02,48.62,50.74,9188000
2024-09-10,50.83,50.83,50.0,50.33,5372600
2024-09-11,50.36,50.41,49.17,49.65,5225700
2024-09-12,49.61,49.96,48.65,49.91,4101000
2024-09-13,49.97,50.9,49.73,50.83,3816000
2024-09-16,51.13,51.31,50.46,50.75,4106900
2024-09-17,50.73,51.12,50.38,51.07,7147000
2024-09-18,51.22,52.51,51.08,52.35,7016800
2024-09-19,52.71,52.76,51.7,51.83,6642500
2024-09-20,51.7,51.7,50.99,51.18,15195600
2024-09-23,51.19,52.44,51.0,52.33,5556200
2024-09-24,52.12,52.79,51.86,52.45,5625100
2024-09-25,52.57,52.74,51.64,51.67,4151100
2024-09-26,51.82,52.1,51.26,52.01,7817600
2024-09-27,52.49,52.89,52.29,52.46,4434600
