Date,Open,High,Low,Close,Volume
2024-08-05,736.9822,781.421,718.5744,758.8076,843300
2024-08-06,772.9113,801.6507,755.5475,778.2297,532400
2024-08-07,806.1617,815.9614,740.4391,745.6099,689700
2024-08-08,766.6375,833.532,753.5777,830.7842,860900
2024-08-09,825.574,829.9076,797.3172,810.574,441700
2024-08-12,811.3324,827.1597,804.5267,811.5096,318700
2024-08-13,827.4256,857.8591,827.4256,854.7074,525400
2024-08-14,852.2353,864.3496,830.8038,849.5958,416100
2024-08-15,875.4593,911.9204,864.0345,906.789,816300
2024-08-16,888.7456,910.1869,886.569,900.85,448600
2024-08-19,895.118,905.3215,881.8809,903.3616,359200
2024-08-20,899.2742,914.353,888.588,891.0306,398200
2024-08-21,910.7877,937.6361,901.7266,932.8593,506000
2024-08-22,934.3071,942.1864,888.6373,894.8126,565700
2024-08-23,912.403,927.5803,900.6826,922.1534,413300
2024-08-26,911.5461,915.1804,896.4673,898.4764,499000
2024-08-27,889.9964,937.1436,881.4868,931.185,482800
2024-08-28,929.2645,940.7287,900.7713,915.269,462200
2024-08-29,922.6754,945.1509,906.9958,916.5591,449300
2024-08-30,933.8345,937.7937,899.3727,920.5678,520100
2024-09-03,905.8434,909.2119,820.679,825.968,960900
2024-09-04,817.951,854.3037,813.9621,837.6687,446400
2024-09-05,823.0822,845.4198,815.0356,828.7848,493600
2024-09-06,828.7847,830.5575,783.9323,794.1359,804000
2024-09-09,807.3041,825.7316,806.5063,823.3876,630000
2024-09-10,821.1124,836.1026,801.9068,834.901,388500
2024-09-11,838.3678,883.5256,816.2864,881.6444,770100
2024-09-12,872.5439,891.6116,863.9162,882.3831,411500
2024-09-13,892.7245,904.9472,887.1598,900.2984,311000
2024-09-16,882.1272,886.7759,862.7837,871.8644,483000
2024-09-17,879.7336,890.1637,850.9548,854.2148,546100
2024-09-18,863.2563,877.0252,843.5484,847.6653,446900
2024-09-19,881.9596,907.7148,872.4258,897.3635,733600
2024-09-20,885.7613,888.0758,857.731,877.8624,1267600
2024-09-23,883.8802,886.5296,873.1744,879.8027,300700
2024-09-24,893.5027,903.2139,879.6353,897.2454,275300
2024-09-25,888.7259,909.5369,888.4797,900.9289,312200
2024-09-26,925.8075,935.9421,891.0897,930.1312,545000
2024-09-27,935.4595,935.4595,906.7398,911.0241,571700
2024-09-30,907.2764,917.2965,895.4515,911.7736,392100
2024-10-01,908.6572,913.7264,872.9062,879.5336,589100
2024-10-02,889.3665,917.5629,875.0759,906.2508,362500
2024-10-03,892.9267,921.3302,892.9267,910.0477,347400
2024-10-04,936.3506,937.899,913.9434,922.7307,435400
2024-10-07,910.0181,924.9892,906.586,917.4346,322100
2024-10-08,917.1979,919.1703,899.8007,910.4323,446200
2024-10-09,906.7636,933.9936,902.7201,923.1252,434100
2024-10-10,905.866,919.3971,904.1303,917.2669,231800
2024-10-11,910.3732,940.5816,905.4617,925.5513,284000
2024-10-14,934.0822,940.8675,922.1389,930.2261,422000
2024-10-15,925.4034,930.4923,876.062,882.374,854100
2024-10-16,902.4043,902.4043,880.7071,892.4828,520400
2024-10-17,925.4527,930.1373,904.5347,905.4913,482500
2024-10-18,924.8806,924.9398,897.6704,903.6766,260700
2024-10-21,895.5007,897.9663,847.1555,871.1013,735700
2024-10-22,866.3674,870.3813,857.9745,864.7401,391000
2024-10-23,859.8089,882.6698,854.7495,871.4761,439800
2024-10-24,878.3995,890.5697,878.2023,887.6406,400600
2024-10-25,892.1476,912.5331,888.8043,888.8831,566800
2024-10-28,888.883,898.8342,873.7246,878.2021,631200
2024-10-29,882.5811,924.2791,878.9222,920.3834,693100
2024-10-30,900.1459,918.8252,897.0392,907.1481,977600
2024-10-31,814.9452,818.0814,723.7777,748.8477,3055200
2024-11-01,755.6724,777.8726,745.3367,748.9167,1018100
2024-11-04,748.3645,773.9573,736.3128,756.0177,959000
2024-11-05,758.572,765.1699,740.6127,752.4672,626600
2024-11-06,763.3157,775.6831,752.2699,774.4799,820500
2024-11-07,782.7149,785.6144,752.1613,764.5386,947900
2024-11-08,754.5284,770.2687,739.5277,750.8201,822300
2024-11-11,620.6372,641.9695,564.126,638.3993,4011000
2024-11-12,655.8458,680.2749,622.8169,635.2335,2652000
2024-11-13,624.2863,631.969,590.8036,593.1903,1607900
2024-11-14,594.7486,596.3463,564.1655,568.8501,2087600
2024-11-15,557.7846,582.3615,554.0566,565.4871,1615200
2024-11-18,565.5068,580.8032,553.8495,579.748,1203100
2024-11-19,579.9057,585.7343,568.4358,577.805,998700
2024-11-20,573.2979,578.9195,539.1841,552.3503,1662800
2024-11-21,562.2226,566.1084,544.1942,564.5895,1021900
2024-11-22,558.4552,583.4562,557.9128,572.8148,1031800
2024-11-25,584.0084,602.4215,579.6,592.5887,1267800
2024-11-26,590.5274,594.0088,560.2796,564.2048,1287100
2024-11-27,567.9032,567.9032,540.7029,552.5278,1237800
2024-11-29,560.1811,567.2425,555.2598,559.826,595300
2024-12-02,559.2441,580.8328,558.2185,572.361,808600
2024-12-03,562.8834,577.7262,562.8834,574.8267,609200
2024-12-04,581.04,584.6397,572.006,573.6235,698200
2024-12-05,579.245,579.245,558.8102,564.4417,696500
2024-12-06,570.2604,585.1427,568.0709,581.5626,734400
2024-12-09,583.7028,604.8576,582.8645,601.2775,1015400
2024-12-10,602.4708,605.9522,583.0025,587.125,941700
2024-12-11,605.1829,620.1145,596.0208,615.2327,948100
2024-12-12,602.8949,615.213,584.9356,597.1156,862100
2024-12-13,612.4514,616.7415,593.782,600.0643,896900
2024-12-16,598.6442,628.9315,591.6321,619.9666,1143000
2024-12-17,613.5266,631.2591,613.5167,619.5721,796200
2024-12-18,623.3001,635.9337,584.9454,589.8372,958400
2024-12-19,603.3485,604.5616,578.5447,581.0399,782400
2024-12-20,578.8406,594.8867,574.2744,585.0539,2364800
2024-12-23,583.5844,610.3311,582.3516,608.7828,687900
2024-12-24,608.3784,614.4832,604.6011,611.0511,252500
2024-12-26,605.114,616.7022,605.114,611.2977,320300
2024-12-27,608.1318,613.3687,595.8335,604.2657,354600
2024-12-30,598.5751,600.6857,585.6752,595.3403,689200
2024-12-31,595.4984,601.8333,582.3938,584.7657,492000
2025-01-02,597.0105,602.5547,582.4926,587.2561,548100
2025-01-03,593.2847,618.1696,592.0691,612.6056,654500
2025-01-06,624.9591,637.6882,620.67,623.704,785900
2025-01-07,635.5337,637.2533,614.8292,617.5469,599200
2025-01-08,610.2139,625.7201,603.1477,613.6828,346000
2025-01-10,604.2942,607.3282,575.2387,584.3012,1076900
2025-01-13,571.6907,584.4594,569.6648,580.4667,854100
2025-01-14,584.3408,591.071,572.3826,582.9473,472800
2025-01-15,600.4696,604.2151,594.4311,595.3502,570300
2025-01-16,606.9724,607.3085,589.0253,589.6676,494900
2025-01-17,599.4219,621.3222,598.7202,618.4858,1066100
2025-01-21,629.6238,647.3238,625.3939,631.0073,1257500
2025-01-22,647.4524,691.1344,644.3986,681.3405,1558100
2025-01-23,666.042,691.1838,665.4588,690.6007,757500
2025-01-24,691.7966,691.7966,662.1482,670.4794,1063300
2025-01-27,644.8038,648.8854,590.7152,593.7492,2095600
2025-01-28,599.254,615.1061,583.6194,610.3326,1015800
2025-01-29,608.4252,612.7242,600.3015,611.5087,435800
2025-01-30,616.6871,634.2291,615.1355,629.3174,593600
2025-01-31,632.4997,649.4784,624.7021,629.9005,753400
2025-02-03,608.0595,636.7295,608.0496,621.4111,774300
2025-02-04,620.9764,650.1701,620.4426,648.5988,981800
2025-02-05,644.3689,657.1968,640.2774,646.2071,883000
2025-02-06,642.9063,658.5705,631.5707,653.1548,1611200
2025-02-07,678.6524,715.5054,669.0661,711.8092,2551700
2025-02-10,708.6961,711.8092,691.0751,697.0937,1009100
2025-02-11,684.0385,704.6244,678.0792,690.8379,708300
2025-02-12,681.4295,692.5675,674.7685,691.2629,487300
2025-02-13,691.2629,699.1987,685.9459,691.7866,478200
2025-02-14,684.8291,690.1856,673.1575,676.9031,625300
2025-02-18,684.2264,696.5107,677.0712,682.6748,611800
2025-02-19,680.7081,700.0586,674.6499,684.3943,710800
2025-02-20,689.6619,699.1296,674.1459,681.726,679300
2025-02-21,676.834,681.6964,651.7613,653.3327,847300
2025-02-24,652.9471,657.2066,629.5545,645.0903,1327500
2025-02-25,650.5358,651.9391,636.3045,643.687,897500
2025-02-26,658.8769,673.0192,652.7396,663.7096,692500
2025-02-27,663.3538,664.1642,600.934,602.2386,1202100
2025-02-28,600.4991,617.0133,589.6083,603.8494,961700
2025-03-03,612.0818,614.4338,569.3288,572.1354,1054600
2025-03-04,571.3547,598.6609,551.2531,581.2573,936100
2025-03-05,585.0523,605.9347,576.5728,605.0156,636700
2025-03-06,584.7658,601.6951,552.953,559.0705,1283100
2025-03-07,563.32,593.2847,558.2205,589.796,782400
2025-03-10,575.4561,590.3495,565.2076,574.7742,1152500
2025-03-11,579.9132,579.9132,552.0535,563.6658,674200
2025-03-12,574.0924,586.1197,568.4987,576.1578,695900
2025-03-13,569.3585,579.854,556.1057,564.5159,485700
2025-03-14,578.5198,600.2323,575.802,598.9574,916000
2025-03-17,602.8611,637.2137,602.5152,633.1321,1109700
