Date,Open,High,Low,Close,Volume
2024-09-16,108.479,110.8865,108.479,110.5024,7846100
2024-09-17,111.4486,111.6078,110.287,110.8116,7914900
2024-09-18,110.7273,111.8327,110.4181,111.1395,11135600
2024-09-19,111.383,111.664,108.938,109.8186,9963000
2024-09-20,109.8561,110.0715,109.0504,109.7624,21200900
2024-09-23,109.7905,110.6898,108.2167,108.3197,6665300
2024-09-24,108.5258,108.9099,107.0926,107.6921,9840400
2024-09-25,108.0106,108.6851,107.3736,107.4766,7902300
2024-09-26,106.6804,106.7928,105.7904,105.9403,11132100
2024-09-27,106.0153,107.1113,105.856,106.5024,11920100
2024-09-30,106.4274,106.8022,105.575,106.3806,10936900
2024-10-01,106.7553,107.5328,105.9591,107.486,7715500
2024-10-02,107.308,107.3549,104.9005,104.9942,9041800
2024-10-03,104.7506,104.9942,102.8864,103.2143,10280600
2024-10-04,102.5679,103.3267,102.4742,102.8302,9704700
2024-10-07,102.7646,103.9637,101.3407,101.7248,8654800
2024-10-08,101.144,101.8747,100.9941,101.6592,8832400
2024-10-09,101.5562,103.3267,101.3595,103.2986,8627800
2024-10-10,103.7014,103.8232,102.2681,102.4836,6006700
2024-10-11,102.2026,102.9707,101.0784,102.7927,8578400
2024-10-14,102.5117,103.1113,101.8091,102.7553,8130700
2024-10-15,103.0082,104.5258,102.9426,104.479,9109500
2024-10-16,103.9825,104.1698,102.1276,103.4391,8729200
2024-10-17,103.1768,103.2237,102.5773,102.8115,8541700
2024-10-18,102.952,102.9707,101.6967,101.8279,9523000
2024-10-21,102.1838,102.2681,99.4672,99.6171,11444900
2024-10-22,99.2143,100.1417,99.0269,99.8981,11576100
2024-10-23,99.9918,100.5726,99.4859,99.6545,8271700
2024-10-24,99.3454,99.8794,98.6053,99.1861,8295900
2024-10-25,99.7576,99.7576,97.2938,97.4063,9625500
2024-10-28,97.9871,98.3618,97.3594,97.6405,6968900
2024-10-29,97.7248,98.4648,97.144,97.1721,9296200
2024-10-30,96.9191,98.3618,96.3946,98.2025,13897200
2024-10-31,94.5491,96.7037,92.3664,95.8512,17413100
2024-11-01,95.3453,96.2259,94.8114,95.439,10180600
2024-11-04,95.5514,96.0479,94.5678,95.4297,9182600
2024-11-05,94.9519,95.2985,94.165,95.2236,6741400
2024-11-06,96.6568,96.7037,94.2399,94.3617,9551300
2024-11-07,95.0268,95.261,94.4741,94.7739,8676100
2024-11-08,95.0643,96.7037,94.6147,96.4133,9208000
2024-11-11,96.0479,96.8629,94.1088,94.3617,10075300
2024-11-12,94.3898,94.3992,92.2727,92.3477,12282900
2024-11-13,92.2821,93.1626,91.7106,92.2727,8869700
2024-11-14,92.9097,93.1158,91.7575,92.1416,8704500
2024-11-15,91.7294,91.7294,88.5069,90.2212,16464500
2024-11-18,90.4554,91.1392,89.3874,90.4554,14139900
2024-11-19,90.6146,91.3828,89.2376,90.4366,13093100
2024-11-20,90.8488,92.5912,90.5491,91.2797,12136800
2024-11-21,91.542,94.1275,90.8207,93.5467,15670300
2024-11-22,93.987,95.3547,92.6755,92.9097,14031200
2024-11-25,93.7622,95.3079,93.2189,94.7646,34659100
2024-11-26,95.0643,95.3641,93.3969,95.1955,9324100
2024-11-27,95.2236,96.9098,95.2142,96.6006,9802200
2024-11-29,96.3758,96.5257,95.1111,95.2142,6081200
2024-12-02,95.2985,95.4109,94.1088,94.2493,13703100
2024-12-03,94.3805,95.973,94.2587,95.4109,11395600
2024-12-04,95.5796,95.6358,94.6615,94.9613,11315000
2024-12-05,95.0737,97.5562,94.9425,97.0035,11062700
2024-12-06,97.0597,97.3782,96.1978,96.5725,11470700
2024-12-09,96.3571,98.4274,95.8606,97.2283,19162500
2024-12-10,97.2095,97.2095,94.3711,94.6147,11359400
2024-12-11,94.3336,95.0362,92.9847,93.4437,21613000
2024-12-12,95.261,96.4882,93.7903,94.8489,9554400
