Date,Open,High,Low,Close,Volume
2024-08-26,97.8347,97.8442,96.8282,97.1605,2679000
2024-08-27,97.284,97.6543,96.8852,96.9232,2537200
2024-08-28,96.7428,97.5118,96.2965,97.0371,2836800
2024-08-29,97.7207,97.7207,96.1636,97.4169,3325600
2024-08-30,97.7112,98.5658,96.9422,98.3759,4951400
2024-09-03,97.6543,98.0436,93.486,94.2551,6634000
2024-09-04,94.7014,96.2016,94.6444,95.0907,4212500
2024-09-05,95.8977,96.1826,94.1127,94.5305,4462400
2024-09-06,94.6634,95.7078,91.2832,91.7105,9246800
2024-09-09,92.8214,94.0177,92.6695,93.2202,5281500
2024-09-10,93.4291,93.4575,90.0964,91.739,7798600
2024-09-11,90.6661,92.2327,89.3368,92.1283,6764100
2024-09-12,92.4511,92.7549,90.8465,91.758,4751200
2024-09-13,91.9764,93.7519,91.9574,93.2866,5354800
2024-09-16,94.1412,95.1286,93.7709,95.0337,4467200
2024-09-17,95.5939,95.7268,94.4165,94.7963,4748600
2024-09-18,95.0622,95.9072,94.2266,94.2836,5195900
2024-09-19,96.1066,96.306,94.4925,95.6414,9091900
2024-09-20,95.7743,97.3504,95.1286,97.2935,14513400
2024-09-23,96.5529,97.3504,96.1921,97.2935,3962400
2024-09-24,97.5783,97.6827,96.7997,97.3979,4749700
2024-09-25,97.5593,97.6163,96.5813,97.17,3825100
2024-09-26,97.8631,99.4963,97.7682,99.3158,5183000
2024-09-27,99.6292,99.8286,98.7652,98.8506,3113300
2024-09-30,98.4993,99.126,97.9106,98.974,3378600
2024-10-01,98.9171,99.876,97.8536,99.1449,5437400
2024-10-02,99.5342,100.0754,98.6607,99.2399,3293600
2024-10-03,98.3474,99.4108,97.9486,99.2874,4587200
2024-10-04,102.1738,102.6201,101.2338,102.4302,5608900
2024-10-07,102.2498,103.4176,101.851,102.2023,4439900
2024-10-08,102.2118,102.7435,101.9649,102.0599,3679400
2024-10-09,101.8035,103.8449,101.8035,103.5316,4445800
2024-10-10,102.9619,103.5221,102.2118,102.6201,4065500
2024-10-11,103.4936,105.8483,103.4936,104.8798,5826200
2024-10-14,105.44,106.7598,104.9653,106.6079,7179300
2024-10-15,109.5988,110.1969,106.3705,106.5509,8925200
2024-10-16,110.9755,115.3146,110.6147,113.4726,21458500
2024-10-17,113.7195,114.2797,112.732,113.4062,9357200
2024-10-18,113.4916,115.0013,113.0929,114.9443,6852900
2024-10-21,114.2892,114.593,111.925,112.3048,7469100
2024-10-22,111.7066,112.6181,111.3268,112.3428,4429600
2024-10-23,111.9345,112.7415,111.2793,112.3048,5661600
2024-10-24,112.4187,113.3112,111.9819,113.1498,5611800
2024-10-25,113.9379,113.9379,110.4533,110.9755,7271700
2024-10-28,112.1529,113.634,111.5737,113.1118,5994000
2024-10-29,112.884,114.0233,112.8175,113.2733,4622200
2024-10-30,112.6181,113.2922,111.8395,111.963,5673000
2024-10-31,112.0922,112.8386,110.7237,111.25,5374600
2024-11-01,111.6519,112.9439,111.2979,111.8242,4372100
2024-11-04,111.9773,112.3984,110.9533,111.1447,4366300
2024-11-05,111.0969,112.829,111.0969,112.7429,4798400
2024-11-06,123.9397,127.7772,122.1693,125.8345,22798700
2024-11-07,125.1168,125.8919,122.5712,122.9157,7780000
2024-11-08,123.4325,124.9062,122.265,123.9588,6979300
2024-11-11,124.935,128.227,124.935,127.7772,6861300
2024-11-12,127.4614,128.0643,126.045,126.6192,5683300
2024-11-13,127.7198,128.8586,126.7724,127.0499,6134800
2024-11-14,127.3753,129.1074,126.3034,126.7341,7344200
2024-11-15,127.6337,128.6193,126.8393,128.294,7281900
2024-11-18,128.8969,129.6816,127.6815,128.026,6434100
2024-11-19,127.5284,128.3227,126.2556,126.5523,7244800
2024-11-20,127.4327,127.9016,125.4135,126.0259,5125600
2024-11-21,127.471,129.739,127.4136,129.184,5547400
2024-11-22,128.8873,129.8347,128.1983,128.8969,6334100
2024-11-25,129.6146,130.3802,127.8346,127.9112,8012300
2024-11-26,125.1264,126.1216,123.0019,125.6336,8817300
2024-11-27,125.8345,126.7341,124.9541,125.5666,5507800
2024-11-29,126.5906,127.0212,125.7675,125.9494,4068200
2024-12-02,126.6097,127.2796,125.2029,125.3943,5512100
2024-12-03,127.4614,127.4614,124.4182,124.8297,4791300
2024-12-04,124.5904,125.557,124.0641,124.399,6203700
2024-12-05,124.3512,126.1886,123.8535,124.7148,4991900
2024-12-06,124.9063,124.9541,123.6239,124.3703,5013200
2024-12-09,124.9062,125.1455,122.8104,123.0497,7753900
