Date,Open,High,Low,Close,Volume
2024-09-11,546.2364,549.1973,534.7531,547.3759,423200
2024-09-12,545.4474,547.4538,540.5094,545.1844,386300
2024-09-13,547.6584,551.116,545.428,547.3077,390500
2024-09-16,551.116,555.8495,550.0933,551.9146,407900
2024-09-17,552.8205,554.5346,541.2885,541.9022,495000
2024-09-18,539.5354,544.4344,536.6329,537.2173,466900
2024-09-19,545.2234,546.0805,537.3926,540.86,449500
2024-09-20,536.3895,537.1785,532.4255,537.0616,811600
2024-09-23,538.0842,546.363,537.1491,545.5837,295600
2024-09-24,546.8402,547.2882,539.0873,546.1584,423800
2024-09-25,548.009,549.1875,545.0871,547.7363,383200
2024-09-26,551.2523,555.7911,550.7848,552.5088,404200
2024-09-27,554.8074,562.8525,554.8074,561.1578,560500
2024-09-30,561.0701,568.7548,558.2942,567.7613,339600
2024-10-01,568.3165,568.3165,554.1743,560.7682,365700
2024-10-02,564.6445,575.3972,564.2744,575.0076,401500
2024-10-03,571.6766,575.0369,568.3943,573.0012,542600
2024-10-04,576.5953,581.1924,568.6476,574.3746,436100
2024-10-07,571.4332,573.1766,567.6931,569.2807,355300
2024-10-08,575.066,583.6565,569.9819,581.2995,411500
2024-10-09,585.926,595.2859,582.0106,588.7018,404700
2024-10-10,589.0233,590.4745,583.0139,583.832,246300
2024-10-11,584.4942,590.1335,584.4163,589.8316,256500
2024-10-14,590.2407,594.0782,588.9063,591.5555,278700
2024-10-15,598.0228,601.12,595.0327,597.341,333500
2024-10-16,595.5683,598.9578,587.2603,591.7017,274200
2024-10-17,595.3736,598.013,590.0167,590.0459,232300
2024-10-18,590.6596,594.9159,587.9811,592.1985,267800
2024-10-21,587.0655,591.8965,583.2281,588.098,344000
2024-10-22,584.3871,589.52,582.1762,588.361,253700
2024-10-23,587.3091,589.257,577.2187,580.8613,281200
2024-10-24,578.3192,580.5204,570.3033,574.8907,365400
2024-10-25,578.5724,580.3547,570.0988,573.4005,391600
2024-10-28,577.6374,581.0561,575.0369,579.7802,490700
2024-10-29,593.5425,615.2622,558.45,563.8654,1462500
2024-10-30,566.8652,573.157,551.0964,554.2814,747100
2024-10-31,555.4599,562.4239,554.1938,556.3365,545300
2024-11-01,555.8009,563.8654,555.3528,562.9109,369300
2024-11-04,562.4726,575.0954,560.3396,574.0046,387000
2024-11-05,575.0564,581.0853,569.8748,573.011,537800
2024-11-06,577.6375,579.5172,545.0676,559.8624,1254600
2024-11-07,564.1673,564.5471,557.1352,560.6804,658200
2024-11-08,562.4433,581.1827,560.6512,578.5432,781500
2024-11-11,579.1179,587.2117,578.8549,581.7087,441600
2024-11-12,580.4036,590.2408,578.6894,586.9585,404400
2024-11-13,589.3252,605.2888,588.6921,594.6432,583500
2024-11-14,592.5783,600.9156,589.296,590.3674,354400
2024-11-15,585.3869,589.5763,579.4396,579.9377,525000
2024-11-18,578.4728,581.2658,576.3049,579.215,653300
2024-11-19,577.6916,587.9259,576.1682,583.131,457200
2024-11-20,586.842,589.176,563.3558,568.3558,888900
2024-11-21,574.2053,574.2053,566.4222,567.7112,685600
2024-11-22,565.6507,576.7639,565.3089,575.7483,437000
2024-11-25,578.8537,582.5646,575.7678,578.8342,575600
2024-11-26,579.7717,588.9318,578.5706,587.8478,362300
2024-11-27,590.0352,593.1699,587.086,590.7774,345500
2024-11-29,590.9826,596.754,590.9826,595.338,204400
2024-12-02,593.756,595.7579,587.6525,594.6934,347300
2024-12-03,594.3127,599.254,592.9357,593.8439,307900
2024-12-04,591.6173,603.0039,591.6173,601.4903,371900
2024-12-05,595.9532,601.9395,594.4493,595.6114,402000
2024-12-06,594.8888,605.2208,594.8888,602.711,484400
2024-12-09,604.0391,606.4219,597.877,604.0001,323900
2024-12-10,603.414,620.8358,602.8574,614.2635,483900
2024-12-11,616.705,623.7851,614.2832,614.8495,455000
2024-12-12,623.9608,627.3885,619.1952,621.08,430300
2024-12-13,620.1132,621.3046,605.7773,610.4453,380500
2024-12-16,610.3867,612.5839,602.5645,603.8828,506500
2024-12-17,603.1896,604.9181,596.0803,597.1642,555000
2024-12-18,604.5469,605.7578,583.297,583.883,715200
2024-12-19,582.2131,591.9884,579.3518,586.5002,508400
