Date,Open,High,Low,Close,Volume
2024-08-14,408.3819,411.2568,406.0683,410.4101,18267000
2024-08-15,414.0496,415.3416,411.9389,415.2627,20752100
2024-08-16,414.8386,415.5684,411.5838,412.7378,22775600
2024-08-19,413.2211,415.9728,410.7553,415.7559,15234000
2024-08-20,415.9236,420.0266,415.8644,418.9811,16387600
2024-08-21,418.2709,420.5591,415.9432,418.3301,16067300
2024-08-22,418.5471,420.9438,408.9306,409.8578,19361900
2024-08-23,411.2682,413.5169,406.4451,411.0808,18493800
2024-08-26,410.6665,411.5641,405.7054,407.826,13152800
2024-08-27,407.2046,408.684,404.6304,408.1712,13492900
2024-08-28,409.197,409.3154,401.7307,404.9756,14882700
2024-08-29,409.2561,416.2687,404.9756,407.4611,17045200
2024-08-30,409.9071,411.7712,406.4846,411.426,24308300
2024-09-03,412.1854,414.1284,401.4545,403.8315,20313600
2024-09-04,400.3498,405.6068,398.8309,403.2988,15135800
2024-09-05,402.0364,407.4413,400.5668,402.7958,14195500
2024-09-06,403.4566,405.0249,395.3098,396.1975,19609500
2024-09-09,401.6616,403.0523,396.6413,400.1624,15295100
2024-09-10,402.6085,410.6271,402.1153,408.5263,19594300
2024-09-11,409.8085,418.1821,403.9695,417.2452,19266900
2024-09-12,417.5115,421.5159,414.0003,421.1509,17395700
2024-09-13,419.9969,425.9147,419.632,424.6917,15874600
2024-09-16,424.7016,427.5915,422.3542,425.4315,13834700
2024-09-17,434.1997,435.7975,426.3487,429.1893,18874200
2024-09-18,429.0413,430.0572,424.5142,424.9087,18898000
2024-09-19,435.186,435.4523,430.9153,432.6808,21706600
2024-09-20,431.2309,433.2232,428.272,429.3076,55167100
2024-09-23,428.3312,430.4814,424.4945,427.5718,15128900
2024-09-24,427.0687,427.4139,420.2632,423.2912,17015800
2024-09-25,423.9421,427.187,422.6994,426.1909,13396400
2024-09-26,429.1301,429.3372,423.2518,425.4019,14492000
2024-09-27,425.609,425.9345,421.6145,422.157,14896100
2024-09-30,422.3443,424.5241,419.5432,424.4057,16807300
2024-10-01,422.5811,422.6107,413.0731,414.9274,19092900
2024-10-02,416.7914,417.0282,411.0018,411.4161,16582300
2024-10-03,411.9092,413.8029,408.615,410.8342,13686400
2024-10-04,412.5109,414.0002,409.2857,410.3608,19169700
2024-10-07,410.3016,411.3964,403.3975,403.9301,20919800
2024-10-08,405.2715,409.9663,402.5789,409.0293,19229300
2024-10-09,410.1635,414.6216,408.6249,411.7416,14974300
2024-10-10,409.5422,411.6332,407.4907,410.1438,13848400
2024-10-11,410.4398,411.4162,407.5893,410.6173,14144900
2024-10-14,412.0473,418.2315,411.8008,413.3986,16653100
2024-10-15,416.3969,416.6928,409.5717,413.0041,18900200
2024-10-16,409.483,410.6567,404.8573,410.42,15508900
2024-10-17,416.5745,416.7126,409.8972,411.0117,14820000
2024-10-18,411.4261,413.9016,410.5581,412.4321,17145300
2024-10-21,410.42,413.221,408.0824,413.0435,14206100
2024-10-22,412.7575,424.6819,412.3137,421.654,25482200
2024-10-23,424.958,425.175,416.7422,418.7838,19654400
2024-10-24,419.5038,420.1449,416.6139,418.912,13581600
2024-10-25,420.9142,426.5953,420.7268,422.2852,16899100
2024-10-28,425.7471,426.0232,420.4605,420.7465,14882400
2024-10-29,422.1372,427.2364,419.9674,426.0331,17644100
2024-10-30,431.4479,432.4934,426.1811,426.6052,29749100
2024-10-31,409.6704,410.4595,400.7345,400.7838,53971000
2024-11-01,403.4074,409.8085,401.9181,404.7488,24230400
2024-11-04,404.1865,404.798,400.0144,402.8648,19672300
2024-11-05,402.7761,409.2166,402.49,405.8237,17626000
2024-11-06,406.7707,414.6907,404.8967,414.4243,26681800
2024-11-07,415.5093,421.003,414.1285,419.6024,19901800
2024-11-08,419.494,420.6578,416.0024,416.752,16891400
2024-11-11,416.7323,418.9909,410.3016,412.2841,24503300
2024-11-12,412.5208,418.626,411.4852,417.2353,19401200
2024-11-13,415.8643,423.449,412.4813,419.3756,21502200
2024-11-14,419.1783,422.3049,414.2468,421.0424,30246900
