Date,Open,High,Low,Close,Volume
2024-09-25,441.8905,442.4288,439.003,440.9508,490400
2024-09-26,440.0992,441.7436,438.0535,438.6212,496800
2024-09-27,437.7892,438.5722,434.6961,436.9082,515600
2024-09-30,437.2998,441.4011,435.3715,440.109,692500
2024-10-01,440.2852,440.344,436.83,439.5707,504100
2024-10-02,437.662,440.7061,436.967,439.9818,362100
2024-10-03,438.7094,440.0601,434.4221,439.6001,611900
2024-10-04,439.7371,440.9998,436.1839,440.7648,627200
2024-10-07,440.0993,442.9378,438.9834,439.6784,621500
2024-10-08,442.9378,449.1925,442.8987,448.2137,700500
2024-10-09,448.0669,457.9824,445.7373,456.6708,676100
2024-10-10,456.6707,457.5517,451.6885,454.7914,701000
2024-10-11,456.1227,459.0787,453.8909,458.0314,531300
2024-10-14,459.8813,465.8913,459.0297,462.9744,487500
2024-10-15,466.0381,467.7707,463.0136,463.3855,577100
2024-10-16,461.6628,466.7331,459.48,466.459,426500
2024-10-17,468.8963,470.1101,466.2828,467.5064,484400
2024-10-18,465.9892,466.7233,463.6204,465.1376,651100
2024-10-21,465.8815,468.3677,465.441,466.9973,627800
2024-10-22,462.6905,466.0577,460.0281,460.2238,615400
2024-10-23,460.0085,462.3577,456.2303,457.1895,839800
2024-10-24,456.8861,458.3348,454.4978,455.5255,399900
2024-10-25,455.5255,457.1014,451.806,452.5303,335700
2024-10-28,455.8681,455.8681,444.1907,447.7047,682400
2024-10-29,448.5073,451.1208,447.8417,448.5269,770800
2024-10-30,448.4976,448.6933,443.2021,443.4077,659000
2024-10-31,442.4288,444.3376,439.3651,439.835,1033600
2024-11-01,442.4484,446.9706,442.3701,444.2788,1098200
2024-11-04,446.4616,450.788,445.8254,448.478,511400
2024-11-05,448.3703,453.1567,448.3703,452.3052,551300
2024-11-06,469.1312,469.6206,454.5859,459.1962,742500
2024-11-07,460.2729,461.6236,456.0933,459.9988,795000
2024-11-08,475.7676,495.9902,474.133,493.9151,1185600
2024-11-11,495.2854,497.0669,486.3977,486.4368,806000
2024-11-12,489.7648,491.1254,482.5705,486.9164,750500
2024-11-13,486.4759,489.2264,482.9815,486.1823,543500
2024-11-14,485.4972,488.2183,481.8853,483.2459,553800
2024-11-15,479.1348,484.0485,476.8444,478.6454,726200
2024-11-18,478.2832,483.9114,476.3059,479.9668,664300
2024-11-19,477.4806,479.5655,474.27,477.138,484300
2024-11-20,479.585,483.0697,474.9063,482.1692,588900
2024-11-21,484.1855,485.7614,480.8966,484.3617,689000
2024-11-22,486.613,491.8204,485.8593,490.2934,520500
2024-11-25,490.0095,491.3994,476.8736,478.0287,2619900
2024-11-26,485.9572,487.4548,480.6324,486.0648,611100
2024-11-27,485.9866,491.5561,485.5461,490.0585,755700
2024-11-29,491.4288,492.9558,488.6196,489.1188,460700
2024-12-02,488.0616,489.2069,484.949,486.1823,818400
2024-12-03,486.1824,487.7583,482.6488,487.2199,697200
2024-12-04,486.662,489.6865,485.272,487.3275,1047500
2024-12-05,486.5151,490.2542,483.8234,484.489,1278500
2024-12-06,482.0614,484.5183,475.425,479.585,1510600
2024-12-09,477.4414,478.3224,466.0577,468.769,1460200
2024-12-10,469.1214,472.0481,465.6563,466.919,997800
2024-12-11,467.8294,472.4495,466.0283,467.986,985100
2024-12-12,470.2177,472.469,458.8535,459.9694,1142800
2024-12-13,462.53,463.4719,457.4872,460.9112,984200
2024-12-16,461.2448,463.4424,456.5159,458.429,1159900
2024-12-17,455.2012,457.2321,451.4338,453.0232,1544400
2024-12-18,456.3295,459.4102,451.3357,453.9356,1274800
2024-12-19,455.7016,461.0682,454.23,455.0443,897700
2024-12-20,452.3168,463.6387,451.3062,461.0584,2508300
2024-12-23,460.0773,461.3626,454.8383,460.8916,652500
2024-12-24,461.078,463.5308,459.4396,463.521,235400
2024-12-26,461.5686,463.158,459.8909,462.4026,292300
2024-12-27,459.5671,461.7255,456.771,458.4977,364800
2024-12-30,454.1809,456.9378,450.5802,454.8284,422800
2024-12-31,454.9953,456.1922,451.6693,453.4942,455400
2025-01-02,456.0744,456.4276,449.0596,450.5508,570900
2025-01-03,452.1009,454.7499,450.0897,453.1115,525600
2025-01-06,451.2081,451.7968,441.6718,447.8234,1179700
2025-01-07,450.2467,454.1613,446.0868,446.5479,856900
2025-01-08,447.8627,454.2496,447.3132,453.9847,719800
2025-01-10,450.4429,452.3168,445.2136,446.6559,604400
2025-01-13,443.9088,450.178,443.6831,448.1373,917400
2025-01-14,449.2067,452.6111,445.7336,452.1304,512000
2025-01-15,454.1318,456.2118,448.4611,451.3847,812300
2025-01-16,453.9356,456.8397,452.4051,453.9552,460600
