Date,Open,High,Low,Close,Volume
2024-09-04,161.4402,161.96,158.6896,159.701,994700
2024-09-05,161.2511,161.667,158.9259,159.5498,919600
2024-09-06,159.2095,161.4969,156.0998,157.3853,1021200
2024-09-09,157.527,160.3721,157.4514,159.5309,799600
2024-09-10,159.8806,159.8806,154.6348,157.9902,813600
2024-09-11,157.527,157.5837,152.5553,156.7992,1053800
2024-09-12,156.8559,158.4817,154.9561,156.6007,740800
2024-09-13,157.546,160.0602,157.546,159.6254,1096500
2024-09-16,160.3154,163.9449,159.7104,163.5952,1308200
2024-09-17,164.4081,166.3363,163.255,164.2947,1097700
2024-09-18,164.3136,167.877,163.3495,164.5121,1119200
2024-09-19,167.1681,170.3156,165.325,170.0037,1512500
2024-09-20,169.0963,170.3723,167.6312,169.7201,2520100
2024-09-23,169.3893,170.7409,166.79,167.8864,1272900
2024-09-24,167.6501,168.4063,164.0584,165.2115,1040200
2024-09-25,165.6369,165.9677,163.0565,163.1982,938900
2024-09-26,164.4081,166.4308,164.0489,165.6747,1058800
2024-09-27,165.9771,167.877,164.928,165.807,859700
2024-09-30,165.8637,168.5575,165.1926,168.359,806400
2024-10-01,166.9885,167.5462,162.3287,163.255,1041300
2024-10-02,163.8599,166.2418,162.6878,163.7275,1113400
2024-10-03,162.8107,163.3495,160.7785,162.8958,825500
2024-10-04,166.9412,169.1625,166.5065,168.9451,1105200
2024-10-07,168.1133,168.7466,166.9885,168.0849,838400
2024-10-08,168.6615,169.3704,167.291,167.7919,849700
2024-10-09,167.7352,170.6464,167.4516,169.3326,661500
2024-10-10,169.3515,169.7012,167.8486,169.2664,827100
2024-10-11,169.9942,175.7883,169.9942,175.0416,1154900
2024-10-14,175.0416,176.6674,172.8866,175.3913,980400
2024-10-15,176.828,179.8054,175.1267,175.6938,1814300
2024-10-16,176.3082,179.9756,176.0435,178.9736,1557600
2024-10-17,187.3197,189.9285,182.8017,187.9719,3219800
2024-10-18,189.3425,189.3425,185.4672,186.7243,1632500
2024-10-21,186.2044,186.9322,182.3574,183.0191,1072300
2024-10-22,183.7091,184.8433,182.1589,183.435,1093500
2024-10-23,182.7355,184.4369,181.1948,183.227,1120800
2024-10-24,183.8603,185.212,182.3196,183.8414,1233900
2024-10-25,185.1647,185.6373,181.2893,182.0172,1086500
2024-10-28,183.3405,186.9417,182.4614,186.4218,1009100
2024-10-29,186.4596,187.4804,184.8528,184.9946,832900
2024-10-30,185.0229,188.5674,184.8055,186.7337,863300
2024-10-31,186.1382,187.0456,183.5011,184.0115,1083200
2024-11-01,184.8622,185.9303,181.3744,181.7147,924900
2024-11-04,181.866,181.9605,178.8791,180.2213,736700
2024-11-05,181.2138,183.8792,180.4387,182.5559,1208600
2024-11-06,195.2122,204.9572,194.4938,204.6925,3082100
2024-11-07,199.8531,201.2331,195.2972,196.7056,1518000
2024-11-08,197.509,199.9287,196.025,197.9343,939900
2024-11-11,201.3465,204.9383,201.3276,202.8777,1219100
2024-11-12,202.2444,203.9836,201.2142,201.545,1063200
2024-11-13,202.3106,204.7303,200.2028,200.3162,708100
2024-11-14,200.8078,202.235,199.9665,201.5828,919200
2024-11-15,202.0932,204.3428,200.9212,202.9723,848100
2024-11-18,202.7265,203.8513,201.9987,203.0479,745200
2024-11-19,200.1083,202.925,199.6357,201.9987,558600
2024-11-20,202.9817,202.9817,199.8153,201.8191,651000
2024-11-21,201.9231,206.9232,201.3087,204.7492,751700
