Date,Open,High,Low,Close,Volume
2024-09-03,76.1439,76.5304,75.0692,75.352,9883900
2024-09-04,75.8045,76.8697,75.7196,76.4361,7517700
2024-09-05,77.2657,77.4354,75.6348,75.7291,8494900
2024-09-06,76.2287,76.5398,75.2388,75.3991,8181500
2024-09-09,75.5217,76.5869,74.7203,76.5398,6918000
2024-09-10,76.8038,77.6711,76.4078,77.5862,9588000
2024-09-11,77.9633,78.7835,77.0489,78.6515,10216500
2024-09-12,78.6515,79.1606,77.9727,78.6798,7856600
2024-09-13,79.0946,79.877,78.7175,79.8016,6734400
2024-09-16,80.2164,80.6595,79.5377,79.7922,8791400
2024-09-17,79.9336,80.1316,79.3585,80.1033,7415100
2024-09-18,79.6508,80.1222,78.7269,79.4528,9286200
2024-09-19,78.84,79.0003,76.8038,77.5768,13965200
2024-09-20,77.5391,78.9626,77.3505,78.0199,26032300
2024-09-23,78.8683,80.075,78.1896,79.9619,7916000
2024-09-24,79.3774,80.3861,79.1134,79.4622,8205300
2024-09-25,79.7639,80.3295,79.0474,79.7733,8354700
2024-09-26,79.4245,79.7545,78.4724,78.6798,8462500
2024-09-27,78.972,79.9807,78.9626,79.6979,8200900
2024-09-30,79.6602,80.0844,79.1983,79.6885,13884400
2024-10-01,79.2926,80.8386,79.0192,80.3861,9112600
2024-10-02,79.9147,80.6878,79.6508,80.5369,8403800
2024-10-03,80.7444,81.1686,79.8959,80.1787,7031500
2024-10-04,78.7081,79.2643,78.2556,79.0475,8341800
2024-10-07,78.7646,78.7646,75.5971,75.6913,11971600
2024-10-08,76.1533,77.1243,75.8799,75.8893,10098300
2024-10-09,75.0974,76.455,75.0974,75.9647,10102500
2024-10-10,76.3607,77.8313,76.191,76.3041,7928400
2024-10-11,76.3418,77.1903,75.7856,77.1714,7057000
2024-10-14,77.2091,78.4252,76.9357,78.1613,5815200
2024-10-15,78.2461,79.236,77.935,78.0482,15824900
2024-10-16,78.3215,79.7922,77.9916,79.5565,8061600
2024-10-17,79.4717,79.7828,78.906,78.9814,6153000
2024-10-18,79.1134,79.5754,78.7646,79.5471,8595300
2024-10-21,79.9053,80.0939,78.8683,79.2171,7053800
2024-10-22,78.4347,79.4057,78.3781,78.906,8358500
2024-10-23,79.7451,81.0743,78.2461,80.0939,10825100
2024-10-24,79.1889,79.7074,77.7748,78.067,9705100
2024-10-25,78.1519,78.3687,76.6341,76.7661,6580700
2024-10-28,77.3411,79.038,76.9357,78.1236,8679600
2024-10-29,75.3708,76.0779,74.9183,75.0032,19232900
2024-10-30,75.1823,75.3142,74.3715,74.5601,11650200
2024-10-31,73.9002,75.2765,73.6645,74.7109,13034700
2024-11-01,74.8429,74.9089,72.5615,72.9197,14615300
2024-11-04,72.9197,74.3055,72.684,73.8813,11759100
2024-11-05,73.3157,74.2773,72.5615,74.1453,9051700
2024-11-06,70.0444,70.6855,68.5266,70.2518,28637800
2024-11-07,69.3939,70.7892,69.3562,70.3461,16311300
2024-11-08,70.6855,72.7689,70.4026,72.5615,14657100
2024-11-11,72.5709,72.7312,71.4019,71.5622,10275700
2024-11-12,71.2794,71.4585,69.4034,70.0067,12569800
2024-11-13,70.3555,70.742,69.6862,69.9879,12451500
2024-11-14,69.6485,71.8167,69.4317,70.9683,13780200
2024-11-15,71.1286,72.2975,70.9777,71.977,12930300
2024-11-18,71.9299,72.2787,70.9966,72.0147,9044300
2024-11-19,71.9393,72.8915,71.3831,72.6652,7942200
2024-11-20,72.7689,73.0611,71.9864,72.4767,7065200
2024-11-21,72.3918,73.0706,71.9864,72.9292,8908500
2024-11-22,73.2945,73.5887,71.8995,72.1272,8165400
2024-11-25,72.82,73.1712,71.9659,72.7346,20803100
2024-11-26,73.0763,73.8165,72.5733,73.5413,10563600
2024-11-27,74.1487,75.335,73.8924,74.5188,8689700
2024-11-29,74.5758,74.9649,74.329,74.6612,6186500
2024-12-02,74.8984,75.0218,72.9814,73.1427,11361500
2024-12-03,73.1427,73.6172,72.3455,72.4024,9806900
2024-12-04,72.1272,72.1462,71.2731,71.8805,8310200
2024-12-05,71.7856,72.6397,71.5768,72.317,6487200
2024-12-06,72.3075,72.6017,71.1023,71.4059,7079200
2024-12-09,71.6527,71.7761,70.7606,70.8935,9269700
2024-12-10,70.7037,70.7226,69.6123,70.362,8619200
2024-12-11,70.4189,70.7511,69.8305,70.2102,7472800
2024-12-12,70.0773,70.3051,69.3655,69.4889,6969600
2024-12-13,69.3275,69.9919,69.2232,69.8685,7671200
2024-12-16,69.9444,70.4379,69.0523,69.0808,9767000
2024-12-17,68.6253,68.9005,68.1412,68.5873,7723000
2024-12-18,68.2931,68.8435,66.841,66.9265,12496000
2024-12-19,66.9265,67.382,66.1577,66.2147,13731700
2024-12-20,66.0344,68.3121,65.7876,68.0179,27547500
2024-12-23,67.7047,68.834,67.6193,68.7961,7509000
2024-12-24,68.7297,69.1947,68.3595,69.1947,3001800
2024-12-26,68.7866,69.1852,68.5873,68.6822,4503800
2024-12-27,68.2361,68.7391,68.0274,68.4354,5458100
2024-12-30,68.0274,68.2456,67.363,68.1033,8399000
2024-12-31,68.1982,68.7202,67.7616,68.0368,6216500
2025-01-02,68.7771,68.9194,67.6572,67.9609,5344800
2025-01-03,68.2551,68.9764,67.9419,68.3216,5088900
2025-01-06,68.1412,68.2741,67.2302,67.6098,7025900
2025-01-07,67.8186,68.2361,66.4899,66.841,8975400
2025-01-08,66.4519,67.0973,65.9205,67.0593,7930600
2025-01-10,66.4235,66.4994,63.6523,63.9465,16261800
2025-01-13,63.7946,63.9275,62.5324,63.5479,17056600
2025-01-14,63.5669,64.5444,63.472,64.5159,10699100
2025-01-15,65.7402,66.4709,65.4934,65.7591,12416500
2025-01-16,65.446,67.7806,65.3795,67.7332,11469500
2025-01-17,67.4674,68.1792,67.1352,67.1542,12664600
2025-01-21,67.7237,68.2172,67.1732,67.2396,12153800
2025-01-22,66.9644,66.9739,64.8576,64.9999,14415200
2025-01-23,65.3416,65.8161,64.7911,65.7022,10780100
2025-01-24,64.6298,70.2766,64.5349,69.1188,24588500
2025-01-27,69.5648,70.1627,67.0404,70.0678,19128900
2025-01-28,68.6442,69.1662,66.357,66.9454,16630500
2025-01-29,67.1447,67.8755,67.0119,67.2776,9496700
2025-01-30,68.3216,68.3311,67.1827,67.6667,8639200
2025-01-31,67.866,68.0748,67.3156,67.9135,10708600
2025-02-03,66.9075,68.1318,66.6133,67.4295,9128300
2025-02-04,66.6702,67.2396,66.0723,66.3381,10574700
2025-02-05,67.1447,67.1827,65.6168,65.6737,9026100
2025-02-06,65.8635,66.0723,64.7816,65.7402,9145300
2025-02-07,65.6168,65.8541,64.7247,64.7911,9320400
2025-02-10,64.8576,66.1862,64.6203,66.1483,9121300
2025-02-11,65.873,66.7936,65.2087,66.7462,7020100
2025-02-12,65.7781,66.6133,65.4649,65.7497,8574000
2025-02-13,65.8825,66.1103,65.0663,65.1043,15173000
2025-02-14,65.1043,65.5029,64.421,64.5918,14184600
2025-02-18,64.5349,65.0569,64.0888,65.0094,12090900
2025-02-19,65.0474,65.9679,64.924,65.5409,8843000
2025-02-20,65.5599,66.8506,65.3131,66.5658,9340500
2025-02-21,66.5658,68.3026,66.4425,67.9325,16742500
2025-02-24,67.6667,67.8186,66.357,67.1922,11970900
2025-02-25,67.5718,68.0558,67.0783,67.6477,14063400
2025-02-26,67.5623,67.9894,66.917,67.3915,8010500
2025-02-27,66.9739,67.2966,65.7781,65.8446,9379800
2025-02-28,66.588,67.1909,66.2914,67.143,11247700
2025-03-03,67.0282,68.607,66.9804,68.5305,9492200
2025-03-04,68.8558,69.9275,67.7076,67.7937,17869500
2025-03-05,67.4875,67.832,66.3967,67.4397,7722400
2025-03-06,66.9995,67.0856,66.0426,66.9899,7482300
2025-03-07,67.1526,69.9658,67.0378,69.6883,13469300
2025-03-10,69.8509,72.999,69.3534,72.8746,25263700
2025-03-11,72.6258,72.9703,70.0423,70.8365,14836800
2025-03-12,69.8509,70.2146,68.6836,69.7744,12110700
2025-03-13,70.0423,70.3772,68.9419,69.5926,11252600
2025-03-14,69.6404,70.5016,69.2099,70.3772,8699300
2025-03-17,70.2624,70.2624,68.0042,68.9993,14954000
2025-03-18,69.095,69.095,67.2387,67.6502,15212100
2025-03-19,67.9564,68.1095,66.9804,67.4588,9457000
2025-03-20,67.9755,68.9802,67.5449,68.0807,11815600
2025-03-21,67.9564,68.8558,67.143,67.8224,15782000
2025-03-24,67.8894,68.6931,66.8942,67.0473,12385400
2025-03-25,67.4396,67.4396,65.4685,65.6312,12618800
2025-03-26,65.8034,66.8272,65.7173,66.722,9154600
2025-03-27,66.7507,67.9564,66.6072,67.0091,8748800
2025-03-28,67.4014,67.9085,67.143,67.4109,7846900
2025-03-31,67.6597,68.6549,67.5736,67.832,13347100
2025-04-01,67.9372,68.4826,67.4779,67.8607,8715800
2025-04-02,68.0233,68.2147,67.1047,67.4397,8480100
2025-04-03,68.5783,69.8127,68.2913,69.028,13652700
2025-04-04,69.65,70.2528,63.9758,64.0237,20993500
2025-04-07,62.6745,64.3681,61.1722,62.2534,19494900
2025-04-08,63.5644,63.7079,60.4737,61.3444,14232600
2025-04-09,60.6555,64.8657,59.0575,64.6647,23207800
