Date,Open,High,Low,Close,Volume
2024-09-03,50.8197,50.9747,49.7543,50.626,8026000
2024-09-04,50.3355,50.5582,49.5025,49.9868,7461900
2024-09-05,50.8724,51.2423,50.3858,50.5415,5913400
2024-09-06,50.4442,50.96,48.887,48.9941,6476500
2024-09-09,49.1887,50.0062,49.033,49.3639,4563600
2024-09-10,49.3834,49.9673,49.033,49.9284,5547600
2024-09-11,49.6364,49.6948,48.6826,49.3834,5944000
2024-09-12,50.3177,51.836,50.123,51.4661,10198400
2024-09-13,51.982,52.7995,51.9333,52.274,7330100
2024-09-16,52.1085,52.3323,51.6121,51.7095,6264300
2024-09-17,51.3785,51.9917,50.8725,51.69,6182800
2024-09-18,52.2837,53.4613,51.4564,51.6413,9043000
2024-09-19,52.8092,52.8968,51.2131,52.089,10415800
2024-09-20,52.8384,53.2277,52.4783,53.0136,18948100
2024-09-23,52.9942,54.1913,52.9747,53.0234,8437400
2024-09-24,53.218,54.5903,52.8384,54.3567,9532600
2024-09-25,54.2886,54.7947,53.7046,53.7825,8820700
2024-09-26,53.802,54.493,53.4321,54.0453,9821700
2024-09-27,53.6365,53.8993,52.381,52.4589,9715100
2024-09-30,52.0112,52.3518,51.5635,52.0209,12502700
2024-10-01,52.3713,53.5197,52.1669,52.6924,9621900
2024-10-02,52.5659,53.2472,52.3907,52.5562,6744000
2024-10-03,52.1377,52.1961,51.3883,51.7776,5583800
2024-10-04,51.5829,52.4005,51.2909,51.9138,6112900
2024-10-07,51.5148,51.6705,50.999,51.5635,4863600
2024-10-08,51.0768,51.5343,50.7654,51.3299,7166800
2024-10-09,51.0476,51.3785,50.4345,51.3201,5869400
2024-10-10,51.5732,52.1182,51.1742,51.9722,6426900
2024-10-11,52.2739,53.1402,52.2739,52.8482,7422900
2024-10-14,52.5659,53.4029,52.3907,53.3543,4992300
2024-10-15,53.3348,54.2983,53.2083,54.1913,6538300
2024-10-16,55.0867,55.7874,54.6584,54.7655,7339100
2024-10-17,55.2813,55.5052,54.8336,54.9894,5024200
2024-10-18,55.3884,56.4103,54.9115,56.0794,7849300
2024-10-21,56.8969,57.1403,55.8361,56.0307,8259800
2024-10-22,56.3811,57.15,56.0502,57.1111,7384600
2024-10-23,56.0599,57.0624,55.9821,56.1962,10784700
2024-10-24,54.2497,54.892,47.6217,47.9332,37243900
2024-10-25,46.4928,47.612,45.5098,47.1254,28269600
2024-10-28,46.8139,47.5634,46.775,47.067,14753800
2024-10-29,47.5342,47.7969,46.4733,46.522,12909000
2024-10-30,46.1716,46.3078,45.2665,45.685,11956500
2024-10-31,45.1107,45.2081,43.972,44.2251,13809400
2024-11-01,44.1764,44.7798,43.8844,44.0499,11049000
2024-11-04,44.1764,44.663,43.9234,44.5365,8656200
2024-11-05,44.5754,44.8966,44.4489,44.7701,6799500
2024-11-06,43.0669,43.4562,42.4343,43.2907,18603900
2024-11-07,43.7774,44.1569,43.0182,43.9525,11728400
2024-11-08,43.7579,44.0596,43.3589,43.8358,10453600
2024-11-11,42.1617,42.3272,40.8381,41.1982,16841600
2024-11-12,40.7992,40.877,40.0108,40.4683,15063900
2024-11-13,40.6337,40.7894,39.9816,40.1276,16105500
2024-11-14,39.6313,40.0984,39.3977,39.5923,16490700
2024-11-15,39.9524,40.2055,39.5145,39.8356,11733600
2024-11-18,40.7797,41.3053,40.624,41.2274,10010000
2024-11-19,41.7335,42.0352,41.3247,42.0255,10940300
2024-11-20,41.899,41.9379,41.4415,41.8406,7880500
2024-11-21,42.0741,42.3759,41.7043,42.1617,8421100
2024-11-22,42.3175,42.6192,41.9379,42.2201,8038500
2024-11-25,40.7505,41.3247,40.5364,41.3247,19080300
2024-11-26,41.169,41.315,40.877,41.1204,6383700
2024-11-27,41.326,41.747,41.042,41.1595,7045300
2024-11-29,41.3064,41.4337,41.042,41.0616,6192900
2024-12-02,40.7092,40.8266,39.7497,40.0532,12596900
2024-12-03,40.2882,41.3162,40.2392,40.6994,8717000
2024-12-04,40.6308,40.8854,40.1903,40.5427,9668200
2024-12-05,40.5623,40.7287,39.2797,40.2098,10966900
2024-12-06,40.1609,40.7777,39.9259,40.249,7751100
2024-12-09,41.0224,41.5413,40.7385,40.856,10749000
2024-12-10,41.1204,41.2281,40.5917,40.621,7751900
2024-12-11,40.7875,41.6295,40.5721,41.3945,8464900
2024-12-12,40.7483,41.3651,40.6015,40.6896,7387200
2024-12-13,40.1413,40.2294,39.3483,39.3776,11263900
2024-12-16,39.3091,39.4168,38.9077,39.2406,10069200
2024-12-17,38.6336,39.2308,38.6042,38.9664,12095800
2024-12-18,38.5454,38.7412,36.8027,36.8517,16488700
2024-12-19,36.881,37.1258,36.1663,36.2447,13794000
2024-12-20,36.4698,37.6349,36.4013,37.4783,23927000
2024-12-23,37.2139,37.4587,36.6754,37.3608,8591600
2024-12-24,37.3999,37.5174,37.0768,37.5076,3549300
2024-12-26,37.5076,37.8014,37.2922,37.2922,5896400
2024-12-27,36.8223,37.4195,36.7244,37.0475,5456100
2024-12-30,36.6363,36.7146,36.088,36.2251,7507800
2024-12-31,36.2251,36.6069,36.088,36.4405,9342600
2025-01-02,37.2629,38.0363,37.0964,37.5664,8296200
2025-01-03,37.6055,37.6839,37.2237,37.3118,6261900
2025-01-06,37.2727,37.4978,36.8908,36.9985,8146600
2025-01-07,37.4489,38.1342,37.0475,37.3608,7585200
2025-01-08,37.3999,38.33,37.3118,38.3105,8320400
2025-01-10,38.9371,39.4168,38.007,38.2811,10018800
2025-01-13,38.1147,38.3692,37.723,38.3496,8309400
2025-01-14,38.6336,39.4364,38.3692,39.3189,11369700
2025-01-15,39.9259,40.6308,39.5049,40.5036,11649300
2025-01-16,41.0224,41.2574,40.5819,40.7777,9421400
2025-01-17,40.484,41.0029,40.2392,40.7973,7286500
2025-01-21,41.2281,41.8057,41.2085,41.463,8027300
2025-01-22,41.6393,41.7078,40.7483,40.8071,6597000
2025-01-23,40.6406,41.0812,40.1902,41.0714,6280000
2025-01-24,41.6882,41.9526,41.1106,41.1595,5244700
2025-01-27,40.7679,40.8854,39.9944,40.6994,6135800
2025-01-28,40.6994,40.7777,40.1609,40.484,6098600
2025-01-29,40.5525,41.1106,40.1315,40.7189,9944000
2025-01-30,41.4924,42.6085,41.3651,42.1875,9872800
2025-01-31,42.5792,42.7064,41.5805,41.8253,10594000
2025-02-03,42.0015,42.7847,41.7665,42.2169,10451700
2025-02-04,42.1875,42.6379,42.0798,42.4421,7856100
2025-02-05,43.1372,44.5666,43.0491,44.0184,14089500
2025-02-06,43.9988,44.0869,43.1372,43.94,11222900
2025-02-07,44.2338,44.8799,43.8617,43.9009,7483900
2025-02-10,45.0366,45.6534,44.8212,45.4869,10736300
2025-02-11,45.0366,45.2618,44.5177,44.5373,11489000
2025-02-12,44.361,46.0352,44.1652,45.8296,11972300
2025-02-13,46.0058,46.9947,45.6925,46.7499,11626000
2025-02-14,46.7891,46.9066,45.5653,45.5653,9890800
2025-02-18,46.3975,46.6227,45.7807,46.515,9006900
2025-02-19,45.9177,46.7989,45.8002,46.417,9043500
2025-02-20,46.4073,47.2199,46.2114,47.0828,13664600
2025-02-21,46.466,47.2199,44.2044,44.3806,17235100
2025-02-24,44.4589,44.5177,42.5498,43.1176,22565300
2025-02-25,42.8533,42.9512,41.277,42.0309,13053000
2025-02-26,42.1973,43.0197,41.7078,42.6673,7966700
2025-02-27,42.2169,42.354,41.1595,41.2378,9621700
2025-02-28,40.7287,41.9623,40.3665,41.9428,14387200
2025-03-03,42.7847,43.0295,41.277,41.4728,12599900
2025-03-04,42.0933,42.4183,41.2955,41.8668,11878100
2025-03-05,42.2016,43.2554,41.916,43.1865,10063500
2025-03-06,43.0092,43.5804,42.8221,43.2554,9923500
2025-03-07,43.1372,44.3585,42.8221,43.2062,8254600
2025-03-10,42.8418,43.2357,41.394,41.7289,8741400
2025-03-11,42.0145,43.2062,42.0145,42.763,9565700
2025-03-12,42.6547,43.2948,42.2607,42.9698,7546800
2025-03-13,43.4032,45.5699,43.2653,44.9593,11811900
2025-03-14,45.9638,46.1214,45.1267,45.5403,10535900
2025-03-17,45.9934,47.1161,45.6979,46.8009,11108300
2025-03-18,47.6085,47.9434,46.7714,47.0866,12076200
2025-03-19,47.126,47.6381,46.7616,47.2638,9701200
2025-03-20,46.7813,47.451,46.4858,47.0373,7056200
2025-03-21,46.407,46.6434,45.6487,46.6434,27911700
2025-03-24,46.535,46.8994,45.8949,46.1115,10246000
2025-03-25,46.5941,47.4805,46.5843,46.8305,8070900
2025-03-26,47.1851,47.3328,46.4267,46.6729,6828800
2025-03-27,47.0669,47.7464,46.929,47.6578,11017800
2025-03-28,48.2389,48.7707,47.254,47.3525,11259000
2025-03-31,47.7661,47.8548,46.407,47.5495,12190200
2025-04-01,47.6381,48.1305,47.0669,47.5593,9317900
2025-04-02,47.9631,48.1108,47.1063,47.9926,9130000
2025-04-03,45.9934,48.5737,45.8653,47.5987,17433100
2025-04-04,46.1608,46.2888,42.9304,43.5115,21182600
2025-04-07,42.8812,46.2593,42.2804,44.1812,22059900
2025-04-08,45.9343,46.407,43.7183,44.2797,16266100
2025-04-09,45.5009,48.1995,45.038,48.0123,24860400
2025-04-10,48.1601,50.8192,47.9828,50.1692,23184600
2025-04-11,53.0253,55.0148,52.5723,54.1382,31771700
2025-04-14,52.8874,54.3943,52.3655,53.9609,14229800
2025-04-15,54.1776,54.3254,53.3208,53.7541,12001100
2025-04-16,55.6352,56.2163,54.6602,55.1034,18277500
2025-04-17,54.7587,55.3496,53.9413,54.2466,14385600
2025-04-21,56.1375,56.2951,53.5965,54.3746,17720600
2025-04-22,54.8867,55.3102,53.5276,53.7147,18218100
2025-04-23,50.967,52.6905,50.8586,52.3458,21001600
2025-04-24,53.9117,54.8966,53.2223,54.8572,15827500
2025-04-25,53.4685,53.5965,52.6708,53.1238,12383800
2025-04-28,52.7003,53.3011,52.2965,53.2518,9374200
2025-04-29,52.8776,53.1337,51.9814,52.1586,10496200
2025-04-30,51.8139,52.1488,51.4101,51.8829,11113500
2025-05-01,50.701,50.8685,50.0018,50.7109,12415700
2025-05-02,51.3806,51.6761,50.3859,50.7503,8805800
