Date,Open,High,Low,Close,Volume
2024-08-26,79.5354,80.5264,79.4497,80.3072,7853300
2024-08-27,80.1071,81.3649,79.6688,81.2696,14954000
2024-08-28,81.0409,81.403,78.0203,78.8875,11088600
2024-08-29,79.5163,79.9356,78.9542,79.3353,7477200
2024-08-30,79.6593,79.9261,78.1823,79.3925,13755300
2024-09-03,79.1628,79.3829,77.5357,77.8324,10133700
2024-09-04,76.6647,77.6122,76.2531,77.5452,12837400
2024-09-05,77.6505,77.7558,76.77,77.3634,7596300
2024-09-06,77.4113,78.3684,76.904,77.172,8512200
2024-09-09,77.2868,78.0812,75.631,76.0809,8003300
2024-09-10,76.1479,76.1479,74.2241,74.7409,9748400
2024-09-11,74.6548,75.2195,73.4488,75.0376,8265500
2024-09-12,74.8749,75.6789,74.2049,75.0376,7176900
2024-09-13,74.9419,76.0809,74.7601,75.6215,5814200
2024-09-16,75.9277,76.5594,75.3152,76.3776,9547700
2024-09-17,76.5786,77.507,76.435,77.1815,7580600
2024-09-18,77.2007,78.2535,76.7891,77.4304,7637000
2024-09-19,79.0575,79.5552,77.0188,77.507,15067100
2024-09-20,84.1015,84.2259,81.1727,82.8093,52039300
2024-09-23,81.7374,82.8189,81.4024,82.5031,17712400
2024-09-24,83.6899,84.4939,82.9434,83.709,21123300
2024-09-25,84.0823,84.3216,83.4985,84.2259,12392800
2024-09-26,86.0635,86.7335,85.2309,85.5563,13592800
2024-09-27,85.6137,86.389,85.384,85.6041,9181000
2024-09-30,85.853,85.9008,83.9675,84.6087,12027100
2024-10-01,84.2259,85.7956,83.9483,85.3074,20623400
2024-10-02,79.335,81.5747,78.2631,79.536,33208800
2024-10-03,78.866,80.1869,78.4641,78.5789,18143800
2024-10-04,79.0862,79.9572,78.5789,78.7225,10322600
2024-10-07,78.6172,78.933,76.6551,77.3634,12767400
2024-10-08,77.2868,77.9281,76.502,77.3059,10569600
2024-10-09,77.6601,79.3733,77.5931,78.9139,11750600
2024-10-10,79.8232,79.871,78.5119,78.5789,8370200
2024-10-11,78.5215,78.7416,77.6984,78.6268,10171100
2024-10-14,78.4832,78.5215,77.3347,78.1004,8177700
2024-10-15,77.574,79.1723,77.574,78.5981,11804400
2024-10-16,78.6172,80.4836,78.5311,80.34,11220600
2024-10-17,80.5027,81.1249,79.804,79.8232,9204500
2024-10-18,80.1869,80.3496,79.0862,79.3638,7214800
2024-10-21,79.2968,79.5265,77.9472,77.9855,7550200
2024-10-22,77.8611,78.8852,77.7462,77.9281,7308800
2024-10-23,77.5261,77.5644,76.368,76.6168,7253100
