Date,Open,High,Low,Close,Volume
2024-08-07,235.3959,238.4946,231.3222,231.6601,909900
2024-08-08,232.0945,234.9036,231.2354,233.639,625200
2024-08-09,233.2239,233.4653,229.4012,231.3126,710900
2024-08-12,231.8146,232.5482,228.0498,228.9572,719700
2024-08-13,229.6715,231.2354,227.0072,231.0713,705900
2024-08-14,231.0519,234.3823,229.1502,233.5811,929100
2024-08-15,236.1392,236.9115,232.2103,232.7895,1022100
2024-08-16,232.3455,233.0502,230.8589,232.1041,853100
2024-08-19,232.7606,233.7162,231.6987,232.8088,636000
2024-08-20,233.2722,234.0155,231.8821,232.4227,628900
2024-08-21,233.5908,234.8071,230.5983,233.1564,803900
2024-08-22,233.2722,233.5521,228.2139,228.8799,1178700
2024-08-23,230.2893,232.4806,229.6715,232.3069,637100
2024-08-26,233.6101,235.4538,232.1235,233.9672,772200
2024-08-27,233.7066,241.0528,232.5579,240.2612,1570700
2024-08-28,240.0971,242.8097,239.1414,241.6127,1219500
2024-08-29,243.3889,245.0299,240.6377,243.2827,824400
2024-08-30,243.8619,247.617,243.2923,247.2792,1453500
2024-09-03,245.8987,247.5784,244.5859,245.7346,1300100
2024-09-04,246.42,250.9378,246.3428,250.6868,1289900
2024-09-05,251.2274,251.6521,242.9641,243.997,1039100
2024-09-06,244.055,245.696,240.3481,241.3424,732900
2024-09-09,242.076,248.843,241.8154,247.9066,1879000
2024-09-10,248.6789,249.6828,245.445,248.4472,1112400
2024-09-11,246.922,248.399,242.1822,244.972,1574500
2024-09-12,242.2981,246.0339,241.2555,245.7636,1268900
2024-09-13,246.7096,247.9356,236.9404,237.2783,2446600
2024-09-16,239.2283,243.0414,238.012,238.5043,1137400
2024-09-17,239.4117,240.1454,236.6219,237.7031,1020800
2024-09-18,239.4021,242.8193,237.9155,240.6473,1036700
2024-09-19,243.1282,244.8176,241.4679,243.1282,967400
2024-09-20,241.2265,241.2265,237.9637,239.2669,1904400
2024-09-23,239.8847,241.0335,236.9501,237.4714,1007100
2024-09-24,237.7513,239.3345,234.8167,238.3692,1223700
2024-09-25,238.4464,239.3538,234.6816,234.865,855600
2024-09-26,236.4964,237.9444,234.9712,235.8689,872900
2024-09-27,237.3942,241.4582,236.4288,237.9251,889500
2024-09-30,238.4464,240.9948,236.0427,239.8847,1016000
2024-10-01,238.7939,242.2884,235.9172,239.5372,1316400
2024-10-02,239.4214,241.9505,238.3885,238.4657,968300
2024-10-03,237.5679,238.5719,234.2568,236.3902,1213500
2024-10-04,238.1761,240.7149,237.2687,239.3248,1173100
2024-10-07,237.0466,238.9387,233.7838,235.309,681900
2024-10-08,236.8632,238.6201,233.861,234.7684,604700
2024-10-09,235.9365,237.8382,234.6044,236.6605,755800
2024-10-10,236.4481,237.6259,235.0484,237.3845,1235200
2024-10-11,238.1664,241.8733,237.3652,241.4968,1039700
2024-10-14,240.9755,245.5319,239.4503,245.0396,1012400
2024-10-15,245.3292,248.0611,244.6148,245.5126,1077900
2024-10-16,246.4007,250.1944,245.5995,246.7868,690900
2024-10-17,242.7421,243.0124,237.4714,239.6337,1996100
2024-10-18,240.435,244.3059,238.8325,243.6205,1332500
2024-10-21,242.7904,243.5819,239.1124,239.5565,1278400
2024-10-22,248.621,253.5924,245.9953,251.4011,2406200
2024-10-23,250.513,251.7293,246.4586,248.0707,1568100
2024-10-24,248.9106,250.3103,242.9641,244.6341,1400800
2024-10-25,246.5262,246.8254,241.9312,242.3849,1027400
2024-10-28,243.4854,245.1168,242.6166,244.7983,964700
2024-10-29,244.2866,246.7868,242.4042,243.6592,865000
2024-10-30,243.0124,245.6188,242.8869,243.9777,1075300
2024-10-31,243.0027,245.5319,241.6416,241.7478,1310000
2024-11-01,243.9316,246.0765,242.5436,242.7281,749800
2024-11-04,242.5922,243.718,238.9332,240.3017,1089900
2024-11-05,240.2725,245.0768,239.632,244.6886,849600
2024-11-06,258.5191,269.4283,258.5191,268.8459,3226400
2024-11-07,267.5162,267.7394,260.4893,262.741,1341900
2024-11-08,263.0128,268.021,261.8288,263.6729,1301700
2024-11-11,265.8954,268.283,262.3431,263.1293,1093400
2024-11-12,261.8482,262.2364,258.1988,259.5771,1153200
2024-11-13,259.9458,262.0423,258.1891,261.3338,771600
2024-11-14,259.3732,260.8097,255.9375,256.9662,1223500
2024-11-15,254.6078,258.558,252.6278,253.5693,1152100
2024-11-18,252.8802,256.316,252.492,254.501,794800
2024-11-19,252.2008,253.6275,249.8617,252.0649,981100
2024-11-20,252.919,253.9381,250.5412,251.3079,922500
2024-11-21,251.3855,256.9371,250.5508,256.481,1199000
2024-11-22,258.2474,261.4987,257.665,261.0329,1314400
2024-11-25,263.2846,268.5354,262.9546,267.8074,1747400
2024-11-26,266.4875,268.4189,263.6922,267.9627,1185800
2024-11-27,267.8269,269.1177,266.7593,267.2737,626700
2024-11-29,265.8857,269.3894,265.7013,267.7298,655600
2024-12-02,266.536,266.7883,262.2073,264.721,1029100
2024-12-03,264.6434,265.0122,260.1691,262.1684,754100
2024-12-04,261.2658,262.0326,256.9274,259.7517,848200
2024-12-05,260.2759,260.5961,255.918,256.2286,725200
2024-12-06,257.4709,258.2765,252.521,253.1034,754500
2024-12-09,252.521,253.8507,248.9105,249.2794,1445000
2024-12-10,248.4835,251.2011,245.0768,248.5417,1426400
2024-12-11,248.3864,249.2891,239.3699,239.9717,2214400
2024-12-12,240.8549,243.0386,238.8361,241.0005,1600800
2024-12-13,241.2237,241.9128,238.9332,238.972,1068300
2024-12-16,238.972,239.8164,233.9542,235.6721,1276600
2024-12-17,234.2356,237.7879,233.8765,235.3324,1556000
2024-12-18,235.3906,237.7103,230.5184,230.7999,1759000
2024-12-19,229.5478,232.2848,223.7342,223.8118,1635300
