Date,Open,High,Low,Close,Volume
2024-08-19,125.179,127.1153,124.8418,126.8745,1459000.0
2024-08-20,126.9227,127.2598,126.3061,126.5759,1404600.0
2024-08-21,127.0768,128.9554,126.7782,128.5219,1074000.0
2024-08-22,128.5315,129.4466,126.4313,126.807,1177500.0
2024-08-23,128.1365,128.6567,127.3947,128.2425,1223800.0
2024-08-26,127.809,128.8494,126.9227,127.6452,981000.0
2024-08-27,126.73,128.4159,126.0267,128.2425,1878600.0
2024-08-28,126.4314,128.753,126.1905,127.0768,1916300.0
2024-08-29,120.4971,121.4893,114.7843,114.8325,4074400.0
2024-08-30,115.3142,116.6725,113.9558,116.2968,3020400.0
2024-09-03,118.2043,118.2428,113.7054,114.5917,2571600.0
2024-09-04,114.0136,114.8807,112.4145,114.7169,1519400.0
2024-09-05,113.5705,114.1871,111.7016,112.5397,2455600.0
2024-09-06,112.3663,113.2622,109.5147,109.9964,1730700.0
2024-09-09,111.4126,111.9713,109.9194,110.401,2272200.0
2024-09-10,110.4878,111.0754,109.3703,110.7575,1388300.0
2024-09-11,110.9309,111.6052,108.7344,111.4126,1717500.0
2024-09-12,111.586,112.9828,110.7671,112.1929,1587100.0
2024-09-13,112.1544,113.7921,111.875,113.0214,1529300.0
2024-09-16,112.2218,113.7439,111.7594,113.5416,1444300.0
2024-09-17,114.4183,115.9115,113.9558,114.6784,1218600.0
2024-09-18,115.3334,116.8266,114.6013,114.977,1204000.0
2024-09-19,117.5299,117.5395,115.5068,115.6803,1219400.0
2024-09-20,115.3912,117.79,115.2756,117.7418,3193700.0
2024-09-23,118.2235,118.6474,117.318,118.4162,1321000.0
2024-09-24,119.0713,119.2061,117.1831,118.4451,1693400.0
2024-09-25,118.3488,118.8786,116.7111,117.2216,1511300.0
2024-09-26,118.9749,120.4585,118.6185,119.8901,1619900.0
2024-09-27,119.8901,120.1213,116.6629,116.7977,1302100.0
2024-09-30,116.817,119.1484,116.6822,118.9846,1673000.0
2024-10-01,118.9846,119.1965,116.4895,116.8652,1366000.0
2024-10-02,116.817,119.63,116.817,118.5125,1122500.0
2024-10-03,117.9249,118.9268,117.4528,118.2139,999200.0
2024-10-04,119.8779,119.8779,118.1268,119.3748,845000.0
2024-10-07,118.7363,120.6809,118.3687,119.8489,915900.0
2024-10-08,120.6229,122.5385,120.1875,122.432,1222800.0
2024-10-09,121.958,123.3511,121.3194,123.1286,1344400.0
2024-10-10,122.3353,122.819,120.5358,120.9131,1438600.0
