Date,Open,High,Low,Close,Volume
2024-08-19,140.8654,142.3593,139.0223,139.7595,1268400
2024-08-20,139.7595,140.2737,138.5857,139.1095,752500
2024-08-21,140.5647,142.8541,140.2058,142.078,1019000
2024-08-22,141.8064,142.5243,140.3416,141.8452,709500
2024-08-23,142.6503,143.6301,141.6512,143.31,947500
2024-08-26,145.58,147.9858,144.6584,145.9389,1226200
2024-08-27,145.6382,147.1127,144.1443,145.871,1388000
2024-08-28,144.5711,145.3375,142.8929,143.6107,1126900
2024-08-29,144.4935,146.812,143.6787,145.5315,997600
2024-08-30,145.6576,147.7336,145.5703,147.365,1441400
2024-09-03,145.289,145.5121,139.6237,140.1088,1544600
2024-09-04,139.5946,141.04,137.0239,137.4701,1544700
2024-09-05,138.1298,138.5372,134.492,135.4233,1662600
2024-09-06,135.2681,137.3731,133.7838,134.6375,1310500
2024-09-09,137.3634,139.2163,136.5292,136.7038,1350700
2024-09-10,137.0239,137.0433,133.9002,135.4329,1094800
2024-09-11,134.3659,135.0158,129.4282,133.648,1889700
2024-09-12,134.7248,136.5292,133.5995,136.3933,1358100
2024-09-13,137.1209,140.7975,137.1209,139.2939,1144800
2024-09-16,139.9535,140.4192,138.0425,138.6827,1390200
2024-09-17,135.2778,140.1282,134.2592,137.9261,2296500
2024-09-18,138.7216,141.2341,137.2567,138.7021,1426900
2024-09-19,142.3108,144.93,141.2437,144.542,1939900
2024-09-20,143.6205,144.1152,140.9236,141.9325,3915300
2024-09-23,142.2332,142.9802,140.6132,142.6019,1486600
2024-09-24,145.5703,147.5881,144.9689,146.1039,1465000
2024-09-25,145.7061,145.871,143.9212,144.4256,986100
2024-09-26,147.6269,147.9761,145.4054,146.0844,1382300
2024-09-27,147.0678,148.3918,145.8119,146.1623,895000
2024-09-30,146.1623,146.9412,144.9746,146.3668,1415700
2024-10-01,145.9384,149.4627,145.9384,148.6741,1262500
2024-10-02,149.122,151.0497,146.6881,147.4474,1547700
2024-10-03,146.1234,147.6422,145.5782,147.2917,1715300
2024-10-04,149.2388,150.3,146.9412,147.4377,1036200
2024-10-07,146.0358,149.3459,146.0358,148.7131,1208500
2024-10-08,146.4544,147.243,142.7451,144.1957,1702600
2024-10-09,143.8452,148.3918,143.4558,147.8077,1291000
2024-10-10,146.8633,148.7131,146.4155,146.912,1055900
2024-10-11,146.9899,149.7646,146.9899,147.8953,1594600
2024-10-14,147.0288,148.9857,145.9871,148.8007,1075900
2024-10-15,147.4961,150.7771,147.3112,147.6324,1843000
2024-10-16,148.3042,150.3098,148.3042,150.1929,1232000
2024-10-17,150.7089,154.1067,150.4071,153.912,2044600
2024-10-18,154.9634,155.275,152.9676,154.058,1954000
2024-10-21,154.3501,155.0024,151.3028,151.9843,2062400
2024-10-22,149.3751,149.784,139.0261,142.161,5247000
2024-10-23,142.1318,143.6019,137.7896,137.9162,2785500
2024-10-24,138.1206,140.2041,136.709,137.6046,1984600
2024-10-25,138.5685,140.613,137.702,137.7312,1741400
2024-10-28,139.4447,144.3223,138.8508,143.8258,1864700
2024-10-29,143.485,145.4029,142.2486,143.3098,1707300
2024-10-30,142.2485,144.1081,138.7924,138.9287,2094000
2024-10-31,139.2208,140.282,137.04,138.0914,2299800
2024-11-01,138.0622,140.2917,138.0622,139.766,1106000
2024-11-04,139.3863,141.3626,138.3348,138.8313,1345700
2024-11-05,138.7924,141.3529,137.5949,140.7882,1227600
2024-11-06,160.3375,166.0135,155.9273,163.3069,7506300
2024-11-07,163.6379,163.9689,156.638,156.9106,2608900
2024-11-08,155.6644,156.6672,153.3376,154.6421,1704800
