Date,Open,High,Low,Close,Volume
2024-09-17,224.0868,226.3339,221.3478,224.299,1920500
2024-09-18,225.0705,230.1531,222.7463,223.2767,2161100
2024-09-19,230.1531,233.8662,227.4624,230.2303,3657000
2024-09-20,225.1091,225.8421,220.4123,223.6335,6787600
2024-09-23,224.6655,225.6781,222.727,223.6142,1470400
2024-09-24,226.2568,230.6643,222.4666,225.437,1913900
2024-09-25,223.296,226.7776,222.9584,225.6492,1621500
2024-09-26,234.0013,235.4383,226.5944,233.6251,2067700
2024-09-27,236.4605,238.1965,234.0591,236.2194,2444000
2024-09-30,228.9476,231.6577,227.8192,231.4744,2898300
2024-10-01,230.3171,231.3008,222.2062,223.9614,2440700
2024-10-02,224.3279,230.0085,222.6209,226.9898,1404500
2024-10-03,224.4726,226.5558,222.7173,224.9452,1748100
2024-10-04,231.0404,231.1851,223.2767,225.9096,1599700
2024-10-07,228.5522,228.6583,223.9422,225.6975,1806100
2024-10-08,225.6974,227.7806,224.1254,226.604,1469500
2024-10-09,224.9452,230.3749,224.7137,229.8349,1423700
2024-10-10,225.7456,228.0603,224.2315,227.771,1191500
2024-10-11,225.2634,232.1881,225.0513,229.6323,1148200
2024-10-14,231.6866,235.0718,229.3912,234.7824,1965200
2024-10-15,234.0109,235.8722,221.9554,224.569,3611900
2024-10-16,228.0217,229.3816,224.2315,224.4533,1368700
2024-10-17,229.9602,230.3846,223.8457,224.0193,2062100
2024-10-18,227.8385,228.2532,224.1736,225.1477,1187600
2024-10-21,222.8427,224.1833,219.2454,221.9651,1585200
2024-10-22,221.261,224.2219,219.5443,223.2863,2173600
2024-10-23,227.8288,231.3587,224.733,227.9156,2957300
2024-10-24,230.1917,233.3165,227.1826,230.5582,1593000
2024-10-25,232.0627,237.3285,231.5419,234.5124,2140500
2024-10-28,230.9054,242.17,229.6613,240.8198,2812000
2024-10-29,241.6588,247.4937,240.2025,246.4907,2134400
2024-10-30,240.598,244.4075,236.2869,236.5956,2401900
2024-10-31,235.7854,235.7854,223.0741,226.1603,3540600
2024-11-01,226.1604,231.6287,225.7746,230.1049,2224100
2024-11-04,228.8801,230.7029,227.1923,228.475,2935900
2024-11-05,212.6582,216.8439,209.2152,216.6606,5961100
2024-11-06,220.0169,225.5142,218.0687,223.1513,3598000
2024-11-07,229.3044,230.3557,223.6336,227.7228,3129400
2024-11-08,224.8391,226.6426,219.8626,225.5721,2743100
2024-11-11,222.7655,223.1899,215.7541,218.9657,2715100
2024-11-12,217.2972,218.9174,213.9602,216.7957,2528800
2024-11-13,213.6902,217.4226,213.5648,215.0308,3144700
2024-11-14,215.918,217.3165,213.4973,215.9952,2250100
2024-11-15,213.941,215.9952,208.8873,209.3213,2792700
2024-11-18,209.4756,212.5811,208.3569,212.3593,2467100
2024-11-19,210.7776,212.7451,209.5238,212.0892,1503400
2024-11-20,209.4756,212.6293,208.3761,212.5039,2143600
2024-11-21,214.211,218.2423,211.9639,216.5835,1769300
2024-11-22,218.9271,218.956,215.7541,218.3291,1584000
2024-11-25,221.7625,227.0573,219.7276,225.5335,2784900
2024-11-26,228.9186,230.2688,218.686,220.528,2476600
2024-11-27,219.9783,221.7915,214.9343,218.4738,1520700
2024-11-29,219.7565,223.9132,218.657,221.2128,1606600
2024-12-02,220.8656,227.6745,220.0651,225.302,2796400
2024-12-03,222.5051,224.5112,219.9783,220.2387,2572800
2024-12-04,223.0452,223.6142,214.6257,215.7059,2352000
2024-12-05,215.5354,216.0779,209.6643,210.2262,2297000
2024-12-06,211.5631,213.3264,210.8268,211.8441,2302300
2024-12-09,211.1562,218.9456,210.4296,216.6398,2149900
2024-12-10,217.2696,217.4827,210.2843,211.1466,1716000
2024-12-11,213.2392,215.0025,210.9722,212.9873,2482700
2024-12-12,211.7666,212.7742,208.7148,210.9431,1771000
2024-12-13,209.3833,211.505,208.3466,210.0808,2855600
2024-12-16,210.3424,213.7721,208.0947,211.3791,2884800
2024-12-17,213.4717,216.2232,210.8268,212.1929,3592400
2024-12-18,212.251,216.3976,202.7662,203.735,3610400
2024-12-19,205.4498,206.8062,200.5185,200.8092,2734400
2024-12-20,199.23,206.8159,198.3386,203.6866,6139300
2024-12-23,203.9385,208.1432,203.9385,207.4166,1737600
2024-12-24,208.2207,208.6954,205.6921,208.6857,790900
2024-12-26,206.3605,210.604,206.3605,208.3369,885700
2024-12-27,206.6803,208.2498,205.072,207.0968,1162100
2024-12-30,204.9557,205.3433,200.3441,201.0029,1817900
2024-12-31,202.2333,202.9599,199.9081,201.3711,1154500
2025-01-02,203.0762,205.0042,198.8327,199.7822,1424300
2025-01-03,200.8382,203.5897,198.6099,202.3496,2308100
2025-01-06,203.4637,209.1798,203.4637,206.7578,1972700
2025-01-07,207.2131,212.1154,204.6554,205.9536,2312200
2025-01-08,205.5274,206.6706,200.877,203.1828,2302600
2025-01-10,203.0956,204.7329,199.9469,200.3054,2511100
2025-01-13,196.7885,200.751,195.9456,200.3829,1629700
2025-01-14,202.0783,204.0838,200.286,204.0644,1513400
2025-01-15,208.5501,209.9065,206.8353,206.9031,3143400
2025-01-16,208.5404,208.7051,203.2409,204.1904,1632400
2025-01-17,209.6642,210.6815,207.3003,208.647,1921200
2025-01-21,208.2982,209.9936,206.6802,208.1819,3237900
2025-01-22,208.4823,212.7936,207.3391,209.3542,2367500
2025-01-23,206.9612,213.0551,206.0602,213.0261,2250800
2025-01-24,209.703,210.6816,204.9752,206.7772,2777200
2025-01-27,208.3079,212.8904,205.7599,208.3757,4526800
2025-01-28,207.3294,208.9861,201.8071,206.7772,2446500
2025-01-29,206.5834,209.0151,205.1398,206.3702,1739300
2025-01-30,205.0429,206.128,200.3635,204.8007,3303700
2025-01-31,205.3917,209.1217,201.8167,202.0493,3019600
2025-02-03,196.6722,200.6251,192.0316,198.3483,4743100
2025-02-04,201.3614,203.454,192.671,196.0909,3676500
2025-02-05,195.4709,207.4553,195.2965,206.5931,4450700
2025-02-06,209.7514,213.743,207.9688,210.0615,2928700
2025-02-07,208.7536,211.0691,204.6845,206.2927,2216400
2025-02-10,207.5231,208.366,202.2527,203.5025,2412300
2025-02-11,201.8264,206.9806,201.1676,204.3938,1273200
2025-02-12,209.6546,214.5859,206.0021,212.9389,3202400
2025-02-13,212.377,214.3824,209.8871,212.7451,2761400
2025-02-14,213.9174,219.3816,212.4254,217.1533,3085400
2025-02-18,219.7207,226.7932,219.6529,221.7262,4327300
2025-02-19,223.3344,239.1069,222.3946,237.925,5345900
2025-02-20,247.0514,247.4873,236.4718,238.1963,4342700
2025-02-21,239.5042,240.2696,228.8567,229.1474,5304500
2025-02-24,229.4187,231.1916,225.6112,225.8824,3129800
2025-02-25,227.2194,228.353,220.9124,221.4355,3033400
2025-02-26,222.3656,223.5088,218.3546,222.23,2630700
2025-02-27,221.5227,222.1524,209.7127,210.1099,3573700
2025-02-28,211.5244,214.2565,206.9709,208.8698,4231700
2025-03-03,213.1423,215.8453,206.8256,209.7805,4651800
2025-03-04,209.7611,211.3112,204.1516,204.5779,4111300
2025-03-05,206.6803,210.7784,202.1655,210.013,2621100
2025-03-06,206.1571,212.6095,204.1032,207.7847,3465300
2025-03-07,207.4262,216.8239,205.8761,215.6225,4301500
2025-03-10,210.6912,211.2725,200.4894,202.3302,3747700
2025-03-11,202.5821,203.2215,193.6495,199.385,3198200
2025-03-12,201.5842,203.4347,197.2826,198.077,2288300
2025-03-13,197.7089,201.5164,193.8239,194.754,1792700
2025-03-14,198.4162,200.5088,197.1373,199.7338,2771400
2025-03-17,198.4743,205.508,198.4743,203.2894,2207500
2025-03-18,200.9836,202.4756,198.8715,200.6445,1862500
2025-03-19,200.736,205.7792,200.5899,201.9043,1640500
2025-03-20,198.6719,200.2297,196.2087,197.2894,1455400
2025-03-21,194.8944,196.0627,191.7497,195.3422,3352000
2025-03-24,200.8723,206.8112,200.1713,205.5455,2743000
2025-03-25,208.2618,210.91,205.1853,205.75,1662300
2025-03-26,205.4676,206.9962,197.5134,200.3173,3636500
2025-03-27,197.9223,198.487,193.4729,194.7776,2877400
