Date,Open,High,Low,Close,Volume
2024-08-20,197.2964,199.4793,196.0914,196.3087,911000
2024-08-21,198.1261,200.7238,196.9013,200.4077,913300
2024-08-22,200.4867,202.5906,197.247,198.4323,860600
2024-08-23,199.3903,202.2547,198.5607,201.267,589000
2024-08-26,201.6522,202.5708,196.2692,196.6741,873400
2024-08-27,195.6469,196.526,189.1872,190.491,1035600
2024-08-28,190.4713,193.0294,189.7206,191.8146,742700
2024-08-29,192.6048,193.227,188.7724,189.7601,873500
2024-08-30,189.691,190.7281,186.2834,190.4318,1451600
2024-09-03,189.2169,193.9678,187.6266,192.3874,1400200
2024-09-04,195.9678,197.2139,192.1699,193.4952,1103800
2024-09-05,185.1576,185.7213,177.8486,184.0202,2693700
2024-09-06,184.2476,185.3652,180.8552,182.7938,1429800
2024-09-09,183.9411,188.8961,183.7334,187.6994,1445200
2024-09-10,188.1939,189.6181,186.2158,189.0643,1001900
2024-09-11,188.4016,188.461,180.7959,186.7796,1310100
2024-09-12,187.6697,189.5885,185.2862,189.1632,887600
2024-09-13,188.8862,191.6753,187.9961,190.4984,989200
2024-09-16,191.6555,193.0402,188.2533,189.8159,863800
2024-09-17,190.4291,195.0282,190.4291,192.5259,840900
2024-09-18,193.9402,198.9843,192.2984,194.593,1245400
2024-09-19,199.9932,204.2757,199.7459,202.2778,2148100
2024-09-20,200.0426,200.0426,190.5083,191.8435,3753500
2024-09-23,193.416,194.1182,191.7544,194.0193,981400
2024-09-24,196.0172,197.748,194.9392,196.2447,1019800
2024-09-25,197.748,202.0108,196.1062,197.2733,1387400
2024-09-26,199.4887,200.8536,191.7841,193.1886,1338600
2024-09-27,195.5919,198.6975,193.6732,194.5535,1773900
2024-09-30,194.4447,198.0942,193.3765,196.4623,1386900
2024-10-01,195.1469,195.1469,190.1621,192.6149,1236600
2024-10-02,192.6743,193.8117,190.9533,191.3786,813100
2024-10-03,189.4005,190.6863,187.9763,188.8368,1250300
2024-10-04,192.6545,193.8413,188.3126,189.7566,1173500
2024-10-07,187.739,187.739,183.3377,186.5126,1273000
2024-10-08,186.9972,190.3303,186.1763,190.0533,1065900
2024-10-09,190.083,193.0501,189.7467,192.3083,990800
2024-10-10,190.8248,192.6644,189.539,192.4567,753300
2024-10-11,193.8512,198.2821,193.8512,197.392,1047700
2024-10-14,196.3436,200.2997,195.7007,200.2305,935500
2024-10-15,200.2997,201.8723,198.6777,199.2514,1302500
2024-10-16,202.3866,206.3131,200.7547,201.2591,1190800
2024-10-17,201.625,201.625,198.1436,199.3107,1265600
2024-10-18,199.3107,199.7558,195.9579,197.3524,1450600
2024-10-21,195.2062,196.3139,193.9501,195.8787,1245000
2024-10-22,194.5337,198.7371,192.8622,197.3623,1547500
2024-10-23,191.6654,195.8293,184.0696,186.6016,3890600
2024-10-24,188.1148,190.9731,186.7499,189.7072,1758700
2024-10-25,192.2193,197.1348,191.2402,195.6216,1949300
2024-10-28,197.2041,198.8755,195.6513,198.6777,1635800
2024-10-29,198.7766,201.1305,196.67,199.103,1733500
2024-10-30,199.2909,206.5307,199.2909,201.5855,1418900
