Date,Open,High,Low,Close,Volume
2024-09-24,50.2,50.565,49.56,49.81,2350900.0
2024-09-25,49.82,50.59,49.73,50.42,2655100.0
2024-09-26,51.31,51.58,50.09,50.45,3950700.0
2024-09-27,50.37,50.82,49.13,49.44,2879200.0
2024-09-30,49.18,50.24,48.98,50.24,3764000.0
2024-10-01,50.05,50.05,48.51,48.77,2052300.0
2024-10-02,48.77,50.6,48.77,49.92,2283900.0
2024-10-03,49.8,50.683,49.35,49.76,1825400.0
2024-10-04,50.78,51.45,50.03,51.24,2438700.0
2024-10-07,51.07,51.63,51.0,51.32,2253700.0
2024-10-08,51.53,52.59,51.01,52.51,1811100.0
2024-10-09,52.52,53.295,52.06,53.16,2079200.0
2024-10-10,52.59,53.27,52.165,53.09,1702500.0
2024-10-11,52.83,53.74,52.61,53.2,2602600.0
2024-10-14,53.64,54.6,53.64,53.9,1911600.0
2024-10-15,53.97,54.61,52.425,52.59,2103800.0
2024-10-16,52.99,54.0,52.68,53.42,2164600.0
2024-10-17,55.0,56.59,54.29,56.49,4179700.0
2024-10-18,56.63,57.43,56.51,57.07,3282600.0
2024-10-21,56.94,57.96,56.65,57.56,3012100.0
2024-10-22,55.5,55.745,52.53,53.01,5235800.0
2024-10-23,52.57,53.38,51.99,52.38,1994400.0
2024-10-24,52.6,53.52,52.37,53.45,1364100.0
2024-10-25,54.09,54.71,53.9,54.05,1513900.0
2024-10-28,54.31,54.64,54.07,54.07,1095900.0
2024-10-29,54.16,55.159,53.77,55.07,1521500.0
2024-10-30,54.7,54.97,52.81,53.41,2219800.0
2024-10-31,52.7,52.715,49.9,50.05,3029300.0
2024-11-01,50.34,51.52,50.26,50.95,1917000.0
2024-11-04,51.0,51.1,49.53,49.72,2402200.0
2024-11-05,49.8,51.505,49.78,51.15,1944300.0
2024-11-06,53.32,54.24,52.55,54.07,3170400.0
2024-11-07,54.34,54.73,53.7,53.93,1740800.0
2024-11-08,53.58,53.858,52.68,52.91,2665900.0
2024-11-11,53.29,53.29,52.07,52.62,2012200.0
2024-11-12,52.13,52.63,49.84,50.15,5336100.0
2024-11-13,51.03,52.955,45.15,49.87,9654700.0
2024-11-14,50.22,50.22,48.99,49.83,1976900.0
2024-11-15,49.0,49.4,47.71,48.19,2354000.0
2024-11-18,48.79,49.59,48.58,49.52,2523500.0
2024-11-19,48.76,50.25,48.52,49.9,2577400.0
2024-11-20,49.9,50.135,48.95,49.78,1309000.0
2024-11-21,50.39,52.3,50.105,51.56,1940600.0
2024-11-22,52.59,53.05,51.64,51.66,2431800.0
2024-11-25,52.49,53.76,52.33,53.74,4356700.0
2024-11-26,53.75,54.796,53.5,54.6,2154300.0
2024-11-27,54.32,54.49,51.43,52.89,2143500.0
2024-11-29,53.2,53.81,52.93,52.99,1011200.0
2024-12-02,53.2,54.09,52.93,53.04,2743200.0
2024-12-03,52.72,53.79,52.56,53.54,5738600.0
2024-12-04,62.66,67.95,60.28,65.35,13257300.0
2024-12-05,65.27,66.65,62.49,62.56,6292700.0
2024-12-06,63.6,65.97,63.41,64.92,4825800.0
2024-12-09,65.19,65.49,62.773,63.81,3173900.0
2024-12-10,63.51,63.51,60.03,60.29,3445700.0
2024-12-11,61.15,62.87,60.8,62.0,2757300.0
2024-12-12,61.41,62.6,61.205,62.52,2053500.0
2024-12-13,63.68,64.26,62.142,63.7,3645900.0
2024-12-16,63.95,66.99,63.5,66.6,3379400.0
2024-12-17,66.22,66.48,64.87,65.76,2888700.0
2024-12-18,65.69,66.28,62.53,62.59,3749300.0
2024-12-19,62.92,63.64,61.01,62.34,4573300.0
