Date,Open,High,Low,Close,Volume
2024-08-07,114.0492,115.8861,112.3741,112.6121,2159900
2024-08-08,113.2022,114.4966,113.1831,113.4782,1601800
2024-08-09,113.2783,114.2586,112.6977,113.4877,1092900
2024-08-12,113.4685,114.1577,113.0857,113.3345,1397200
2024-08-13,113.6409,114.6555,113.0378,114.1578,1497300
2024-08-14,114.1099,115.2203,113.4973,114.7417,1348800
2024-08-15,116.1009,117.4793,115.6319,116.8475,1273600
2024-08-16,116.6465,117.2783,115.6797,117.1634,2562100
2024-08-19,117.5176,118.1302,117.0773,117.977,1078500
2024-08-20,117.642,118.3121,117.2304,117.7377,715400
2024-08-21,118.3695,119.7096,117.9483,119.6043,1060600
2024-08-22,119.9968,120.2169,119.1353,119.8053,1048700
2024-08-23,120.1021,121.6815,119.9776,121.1167,1092800
2024-08-26,121.5092,122.476,121.1359,121.4709,618900
2024-08-27,121.4422,122.2079,121.1837,121.6719,936700
2024-08-28,121.7006,122.8684,121.5283,122.1792,993400
2024-08-29,122.8971,123.9405,121.7102,123.3279,962900
2024-08-30,124.0554,124.869,122.9163,124.1798,2175000
2024-09-03,123.2322,124.2947,122.0931,122.476,1451200
2024-09-04,122.5813,123.1269,121.0689,121.2507,965700
2024-09-05,121.49,121.5953,119.5564,119.9202,1076800
2024-09-06,119.6522,120.8774,119.0587,119.4416,1210500
2024-09-09,120.2074,121.5188,119.8532,120.7434,1542600
2024-09-10,120.9444,121.0114,119.3554,120.5041,939800
2024-09-11,120.552,120.7913,117.508,120.1308,1271400
2024-09-12,119.8628,120.4754,117.9005,120.1212,1080800
2024-09-13,120.4467,122.0835,120.1021,121.5475,992900
2024-09-16,122.5238,123.0024,121.3273,121.8921,1399600
2024-09-17,122.342,123.0886,121.6049,122.0069,1089700
2024-09-18,122.3132,123.5098,121.4805,122.0069,1305400
2024-09-19,123.7778,124.7924,123.146,123.7012,1330300
2024-09-20,121.9016,122.0452,120.0255,121.088,3690500
2024-09-23,121.6911,122.5143,121.222,121.8538,1114100
2024-09-24,122.4281,123.3662,121.8729,122.8301,1202700
2024-09-25,123.0982,123.1269,121.6623,122.3707,1229900
2024-09-26,123.7874,129.0999,123.4619,128.7936,2484000
2024-09-27,129.3966,131.3685,128.3054,128.8032,1963400
2024-09-30,128.9372,129.1478,125.8166,126.793,1866000
2024-10-01,127.4726,127.7311,124.333,125.1466,1264300
2024-10-02,124.7446,125.4912,123.7395,125.0892,858700
2024-10-03,124.2564,124.467,121.9782,122.3707,1191900
2024-10-04,123.5289,123.9501,121.9303,123.0694,763500
2024-10-07,121.9208,123.3375,121.6815,123.2417,794100
2024-10-08,122.5813,123.4332,121.5858,121.7868,1821000
2024-10-09,122.3707,123.3375,121.7389,121.9878,1598700
2024-10-10,121.6815,122.0739,120.9636,121.9016,1857700
2024-10-11,121.9112,122.9833,121.8059,122.7631,850400
2024-10-14,122.7248,123.5672,122.4377,123.0024,1628400
2024-10-15,123.9788,126.0273,123.3566,124.3138,1750400
2024-10-16,124.4478,126.1995,124.4,124.7829,2022600
2024-10-17,125.9315,126.5059,123.2418,125.7401,2104900
2024-10-18,126.2857,126.525,124.4574,125.3285,2174600
2024-10-21,124.9456,125.6252,123.1077,123.3088,1291700
2024-10-22,122.9163,123.3662,120.6668,121.1837,1174100
2024-10-23,120.8966,121.3752,119.9585,120.8774,1317100
2024-10-24,121.3369,122.2271,120.2744,121.7963,1305000
2024-10-25,121.8729,122.3611,120.954,121.0401,853000
2024-10-28,122.5525,122.8971,121.6623,121.9304,1255800
2024-10-29,120.5711,121.8059,120.485,121.1071,1418100
2024-10-30,121.088,122.0931,120.1308,120.2935,1971600
2024-10-31,120.3797,120.9157,119.1449,119.1831,2201700
2024-11-01,119.3267,119.8149,118.6567,119.0874,1886000
2024-11-04,119.9106,120.9731,119.0204,119.5182,874400
2024-11-05,118.4748,119.499,117.8526,119.3172,1315300
2024-11-06,122.6866,123.0599,119.0396,120.3797,3123400
2024-11-07,120.887,121.5188,120.4658,120.5903,1065400
2024-11-08,119.6713,121.088,119.6713,120.1499,1222900
2024-11-11,120.7243,121.5283,120.1595,120.5711,839900
2024-11-12,120.0803,120.4075,117.116,117.1738,1435000
2024-11-13,117.5972,118.9158,117.0006,118.781,1430300
2024-11-14,118.7329,119.2911,117.8956,118.8773,1286000
2024-11-15,118.5308,119.2526,117.6454,117.9245,1625400
2024-11-18,118.3287,120.2343,118.2421,118.781,1747100
2024-11-19,117.7897,117.9052,116.4039,116.529,1246200
2024-11-20,116.452,116.9813,115.7687,116.7311,1220200
2024-11-21,116.7407,118.1651,116.221,118.0688,1017200
2024-11-22,117.7705,118.5982,117.4433,118.04,1173700
2024-11-25,119.0312,121.3506,118.5308,121.0619,1940400
2024-11-26,119.7819,120.5037,118.3094,118.7136,980000
2024-11-27,118.6655,120.3498,118.5982,118.8099,984900
2024-11-29,118.6078,119.8589,118.5597,119.6953,770100
2024-12-02,119.8204,121.4469,119.1949,121.2352,1993800
2024-12-03,121.3122,121.9859,120.061,121.4373,2536600
2024-12-04,120.5807,122.2649,120.5807,122.0628,3088900
2024-12-05,122.2361,122.2361,119.6376,120.7828,3389700
2024-12-06,121.6009,121.9859,119.8397,120.8502,2500600
2024-12-09,121.5046,125.1618,121.1197,122.0917,3125600
2024-12-10,121.7741,121.7741,118.8676,120.7058,2139500
2024-12-11,120.8117,120.9849,117.8475,117.9822,2087500
2024-12-12,117.8475,119.4355,117.8475,119.3585,1717300
2024-12-13,118.627,119.6183,117.5876,119.5028,2277600
2024-12-16,118.7136,120.1765,118.0207,118.0303,1963800
2024-12-17,117.4529,118.4442,116.6926,117.4721,2081700
2024-12-18,117.4336,120.1188,116.6637,116.6926,3589500
2024-12-19,116.4231,117.4144,114.9217,115.0276,3493500
2024-12-20,114.7774,117.2026,114.1229,115.6917,3884400
2024-12-23,115.4414,115.8938,114.3635,115.6339,1470800
