Date,Open,High,Low,Close,Volume
2024-09-23,335.7384,337.9626,334.4002,336.8643,595100
2024-09-24,333.9849,338.5162,333.3296,334.0771,479400
2024-09-25,334.6955,335.12,330.4779,331.853,652000
2024-09-26,331.7792,332.4621,328.1615,329.0105,724900
2024-09-27,330.6533,331.447,327.4693,329.1398,790700
2024-09-30,328.5491,336.0706,327.6815,335.8122,943500
2024-10-01,338.9777,341.4603,331.8253,332.296,995700
2024-10-02,328.9459,329.3981,324.959,327.903,903200
2024-10-03,327.903,328.6967,323.7131,325.7804,629000
2024-10-04,321.8212,322.3842,316.9391,318.7664,823100
2024-10-07,317.2621,320.3169,314.7149,319.9754,574900
2024-10-08,322.0612,322.2181,318.9972,321.1106,539400
2024-10-09,321.1106,321.6367,318.0558,321.1291,415200
2024-10-10,320.2523,321.5166,314.7334,315.6932,641300
2024-10-11,317.4283,318.3511,315.2502,316.3946,445100
2024-10-14,315.1671,318.831,314.8164,317.2159,440100
2024-10-15,319.3663,323.5101,317.6128,318.388,617500
2024-10-16,318.268,322.4857,318.268,320.8337,444000
2024-10-17,319.9477,320.16,317.2067,318.7664,642000
2024-10-18,320.2615,320.6399,317.9543,318.9695,368900
2024-10-21,317.4098,318.0928,305.4861,306.2613,818100
2024-10-22,306.5289,310.2851,305.5968,309.0946,543300
2024-10-23,308.7623,316.09,308.2639,313.5705,711300
2024-10-24,313.6536,315.4902,312.0109,312.3155,321500
2024-10-25,312.8415,313.5337,308.993,310.4051,554700
2024-10-28,312.3339,314.5119,308.8546,310.6542,465400
2024-10-29,309.2883,310.7742,305.3291,305.7168,679200
2024-10-30,306.0582,310.4235,305.9567,309.9343,1167700
2024-10-31,303.631,312.5738,299.838,303.6864,1371300
2024-11-01,304.6646,305.1722,297.9737,298.7028,1058400
2024-11-04,301.4346,306.935,299.8011,306.9165,840300
2024-11-05,305.6799,314.4935,303.3542,314.3366,629400
2024-11-06,309.5098,311.1987,292.6578,300.2256,1542700
2024-11-07,300.7424,308.4393,299.8103,307.4426,1040700
2024-11-08,308.9376,315.4256,307.8855,313.2476,611200
2024-11-11,310.8849,314.3642,309.8144,310.9218,750700
2024-11-12,309.1684,310.2113,304.1202,304.7754,917200
2024-11-13,309.2884,310.8665,306.4551,309.113,760200
2024-11-14,307.904,309.316,305.1538,306.2059,681400
2024-11-15,304.6185,310.1928,304.314,309.1776,599500
2024-11-18,308.0794,312.0939,306.3536,311.2818,533100
2024-11-19,312.0847,312.4631,307.9871,308.6608,666700
2024-11-20,307.3226,308.0794,303.7511,307.1934,531200
2024-11-21,306.0306,312.9153,305.1354,309.9529,481400
2024-11-22,312.1308,312.6015,310.0174,311.5494,508800
2024-11-25,314.9918,325.6512,313.2937,321.009,1359400
2024-11-26,320.3169,324.553,317.6682,323.0487,650900
2024-11-27,325.6605,328.4291,324.2207,324.2669,499500
2024-11-29,323.7409,325.4667,320.6676,321.2121,691000
2024-12-02,320.16,322.1626,315.121,317.539,709900
2024-12-03,318.4896,318.4896,309.5837,310.1743,483800
2024-12-04,309.0853,309.7128,306.4089,308.8084,469000
2024-12-05,307.904,308.8638,305.7721,307.018,568700
2024-12-06,307.9778,308.7715,306.1413,308.2455,1013500
2024-12-09,307.9501,310.8295,307.2395,309.6944,570600
2024-12-10,308.4578,308.4578,301.1946,302.6989,853000
2024-12-11,302.542,304.3509,297.6322,298.4075,923400
2024-12-12,299.5242,301.5084,295.9987,296.0541,650100
2024-12-13,294.6753,298.7837,294.6287,295.8957,566800
2024-12-16,295.6349,297.5726,292.8959,293.6412,753900
2024-12-17,291.1166,296.2497,289.477,291.9271,1234600
2024-12-18,290.3899,291.927,278.9219,279.369,867000
2024-12-19,278.4096,281.6702,268.9259,269.5407,1044900
2024-12-20,271.5064,282.2291,270.7518,277.1519,2224900
2024-12-23,276.2203,278.8195,274.2453,278.3816,751900
2024-12-24,276.8724,281.0926,275.9781,280.2262,296300
2024-12-26,278.1766,281.3441,276.9376,280.7106,377700
2024-12-27,278.5958,281.195,277.1705,277.7108,388300
2024-12-30,276.6302,276.6302,272.5684,275.5775,549700
2024-12-31,277.5618,279.0523,275.6613,278.9592,813100
2025-01-02,278.5493,279.0151,274.4689,276.2948,707300
2025-01-03,275.8476,280.4311,275.7731,279.9001,489400
2025-01-06,278.5958,279.7697,274.9533,275.5961,597700
2025-01-07,277.6177,279.5182,275.2142,277.804,789500
2025-01-08,276.4532,278.0183,272.2423,275.2514,584900
2025-01-10,271.3666,273.0621,267.8545,269.2239,883100
2025-01-13,269.1587,270.5934,267.2862,270.3884,709500
2025-01-14,271.9442,272.6802,269.55,270.1462,958600
2025-01-15,277.6177,279.0896,269.1401,270.6213,782700
2025-01-16,271.0406,278.2885,269.6525,277.3382,388600
2025-01-17,277.4034,278.6704,275.7638,275.8197,587300
2025-01-21,276.714,281.5863,276.2203,276.7234,653800
