Date,Open,High,Low,Close,Volume
2024-08-12,173.5,174.04,169.77,170.19,443400
2024-08-13,170.77,172.98,169.41,172.09,417700
2024-08-14,171.99,172.68,169.91,172.42,642000
2024-08-15,174.56,175.19,172.86,173.36,552900
2024-08-16,172.95,174.81,172.8,173.56,445700
2024-08-19,173.85,176.43,173.52,176.34,567500
2024-08-20,176.46,177.16,175.69,176.17,435000
2024-08-21,176.54,177.63,176.06,177.55,378000
2024-08-22,177.7,178.61,174.73,174.97,413200
2024-08-23,176.23,177.49,174.77,177.31,766500
2024-08-26,178.0,178.29,175.37,175.95,373600
2024-08-27,174.95,176.35,173.3,176.06,1092300
2024-08-28,175.35,176.08,173.45,173.88,787600
2024-08-29,175.28,178.74,175.28,177.11,975400
2024-08-30,178.74,180.0,175.68,179.09,1490100
2024-09-03,178.36,179.15,172.84,173.62,812100
2024-09-04,173.12,173.12,170.06,170.21,908600
2024-09-05,169.64,170.04,167.56,168.5,1096500
2024-09-06,168.99,169.79,164.44,164.76,1080000
2024-09-09,166.19,168.72,166.19,167.8,782300
2024-09-10,169.03,169.48,165.83,166.94,850600
2024-09-11,166.56,168.84,164.36,168.69,847400
2024-09-12,168.78,171.66,167.56,170.94,1035700
2024-09-13,170.84,172.84,170.11,172.23,807100
2024-09-16,173.16,174.03,171.42,173.76,732400
2024-09-17,174.91,176.49,173.95,175.7,705500
2024-09-18,176.06,177.33,174.7,175.13,656800
2024-09-19,179.73,180.61,177.98,179.13,690300
2024-09-20,178.6,178.6,174.59,175.9,1576600
2024-09-23,176.71,178.26,176.24,177.96,475800
2024-09-24,177.96,178.77,176.43,177.79,406500
2024-09-25,178.12,178.39,175.59,176.2,443500
2024-09-26,177.95,181.14,176.52,181.01,576600
2024-09-27,181.22,182.71,180.17,182.18,610800
2024-09-30,181.61,182.51,179.68,180.66,600000
2024-10-01,180.09,180.64,175.5,175.97,701600
2024-10-02,175.71,178.11,174.74,177.91,383600
2024-10-03,176.91,177.9,176.0,177.07,478900
2024-10-04,178.78,179.74,178.13,179.6,364300
2024-10-07,178.77,179.32,176.4,177.29,705800
2024-10-08,177.88,178.38,176.48,178.0,553900
2024-10-09,178.39,182.0,178.35,181.59,498500
2024-10-10,180.21,181.84,179.63,180.39,549100
2024-10-11,180.98,181.71,180.26,181.0,555800
2024-10-14,181.99,186.11,181.99,185.5,681100
2024-10-15,185.5,188.08,183.48,184.01,795200
2024-10-16,184.01,186.0,183.15,184.48,609800
2024-10-17,185.4,186.11,183.97,185.22,356200
2024-10-18,186.22,186.96,184.18,184.4,424500
2024-10-21,183.81,184.88,182.77,184.81,570800
2024-10-22,183.96,184.52,181.7,182.93,425900
2024-10-23,182.12,183.68,179.78,183.59,695000
2024-10-24,184.73,184.8,182.49,183.63,531900
2024-10-25,184.71,187.52,184.68,187.01,802500
2024-10-28,188.13,188.99,185.09,185.25,680300
2024-10-29,185.99,190.87,185.26,189.35,652500
2024-10-30,189.41,190.8,186.53,186.84,684900
2024-10-31,186.55,187.08,184.47,185.33,683700
2024-11-01,183.45,187.49,182.36,185.03,739700
2024-11-04,184.59,187.09,184.33,186.23,861400
2024-11-05,186.6,190.01,186.6,189.99,900700
2024-11-06,195.01,199.48,194.29,198.04,1731100
2024-11-07,193.85,196.99,189.44,190.05,1677100
2024-11-08,189.39,193.75,183.73,192.83,1598900
2024-11-11,192.76,197.58,192.23,194.09,1132000
2024-11-12,193.05,194.59,192.19,192.92,810600
2024-11-13,192.44,195.1,192.11,193.46,852700
2024-11-14,193.57,195.56,190.65,191.11,749700
2024-11-15,190.59,191.76,188.74,190.01,687000
2024-11-18,189.74,190.51,187.5,189.26,737600
2024-11-19,187.15,189.84,186.89,189.27,754700
2024-11-20,189.0,189.46,186.96,188.5,588200
2024-11-21,190.76,193.84,189.1,192.75,677700
2024-11-22,192.65,197.83,191.98,197.64,932100
2024-11-25,197.81,201.66,197.81,200.59,1471400
2024-11-26,200.49,200.68,198.46,199.26,756000
2024-11-27,198.39,199.42,197.03,199.01,551900
2024-11-29,199.45,200.45,197.53,200.06,340000
2024-12-02,198.7,200.34,196.25,199.38,720700
2024-12-03,198.71,200.45,198.06,200.2,456100
2024-12-04,200.5,202.78,199.85,201.19,542600
2024-12-05,200.96,201.29,199.51,200.86,694700
2024-12-06,202.19,202.8,200.0,200.92,721300
2024-12-09,200.68,201.6,199.39,199.59,455300
2024-12-10,198.76,200.22,197.55,198.35,608200
2024-12-11,199.68,202.75,199.54,201.89,578000
2024-12-12,202.21,203.09,200.57,201.3,767900
2024-12-13,201.05,202.12,197.72,198.68,593400
2024-12-16,198.9,201.77,196.63,200.07,701400
2024-12-17,199.89,199.89,196.55,196.9,775000
2024-12-18,196.9,197.16,187.85,188.83,1093500
2024-12-19,190.19,192.05,186.96,187.13,952700
2024-12-20,185.51,188.8,185.23,187.58,2158700
2024-12-23,186.68,186.68,184.11,185.25,705300
2024-12-24,186.11,187.25,184.84,187.1,312400
2024-12-26,186.67,186.76,185.32,185.91,302800
2024-12-27,185.03,186.19,182.54,184.5,431100
2024-12-30,183.15,184.35,181.44,183.66,495000
2024-12-31,184.62,184.62,182.74,183.87,665800
2025-01-02,184.41,184.96,181.61,183.01,885800
2025-01-03,183.72,185.15,183.0,184.54,677900
2025-01-06,185.21,186.41,184.46,184.83,818600
2025-01-07,185.87,186.13,181.31,183.09,1021200
2025-01-08,183.09,184.9,182.25,184.36,492700
2025-01-10,182.22,184.68,180.82,182.38,858900
2025-01-13,181.06,183.07,180.92,182.42,757500
2025-01-14,183.41,185.83,183.39,185.5,815400
2025-01-15,189.16,189.26,185.24,185.37,549400
2025-01-16,185.9,187.67,185.08,186.97,523200
2025-01-17,189.53,189.53,187.31,187.79,612400
2025-01-21,189.55,190.04,184.82,187.9,882800
2025-01-22,188.05,189.56,187.72,187.93,767800
2025-01-23,186.77,189.07,186.49,189.07,920800
2025-01-24,189.07,190.27,188.5,188.96,741900
2025-01-27,187.93,191.68,187.41,188.48,850100
2025-01-28,189.14,192.75,187.79,190.93,988700
2025-01-29,190.06,190.42,187.27,189.08,996200
2025-01-30,190.58,194.12,190.23,192.01,1634000
2025-01-31,192.86,195.23,191.84,193.48,1470100
2025-02-03,190.0,190.92,185.0,189.88,908800
2025-02-04,191.57,193.44,190.68,191.07,758700
2025-02-05,190.99,193.48,189.01,189.76,1321100
2025-02-06,182.76,185.05,169.73,171.61,4443500
2025-02-07,172.75,173.92,167.65,169.02,1970200
2025-02-10,170.33,171.59,165.97,168.42,1812900
2025-02-11,166.82,169.99,166.82,167.98,1423700
2025-02-12,166.4,167.49,164.68,166.57,1110400
2025-02-13,166.94,168.01,165.09,167.93,1359000
2025-02-14,168.0,171.31,166.69,171.1,1445100
2025-02-18,171.17,172.09,169.0,170.79,1277500
2025-02-19,170.44,170.44,167.37,169.92,975200
2025-02-20,169.81,169.81,164.43,165.76,1024500
2025-02-21,165.81,165.92,161.02,161.65,902400
2025-02-24,162.12,163.97,160.53,162.58,1049800
2025-02-25,162.69,165.01,161.54,162.72,1448200
2025-02-26,162.99,165.1,162.4,163.03,844000
2025-02-27,163.63,165.62,162.22,162.75,1172100
2025-02-28,163.43,163.76,160.81,163.63,1542000
2025-03-03,165.0,165.01,159.56,160.56,1218800
2025-03-04,159.04,160.31,155.53,158.44,1063600
2025-03-05,158.02,161.56,157.39,161.16,705500
2025-03-06,160.04,161.89,159.18,160.56,1044100
2025-03-07,160.09,163.09,158.12,162.65,1273500
2025-03-10,160.77,162.7,159.41,161.02,1317500
2025-03-11,160.33,160.78,156.38,157.28,1334000
2025-03-12,158.42,159.87,155.94,157.0,962100
2025-03-13,155.79,156.92,151.8,153.3,1361400
2025-03-14,155.13,156.25,153.21,155.8,1488100
2025-03-17,155.53,160.3,154.79,158.79,1035700
2025-03-18,158.14,160.08,157.78,160.02,594900
2025-03-19,159.61,162.44,159.61,161.24,619400
2025-03-20,160.2,161.6,159.32,159.9,728500
2025-03-21,158.83,160.93,157.6,159.84,1544300
2025-03-24,161.41,163.06,160.41,161.45,582900
2025-03-25,162.62,163.3,161.14,162.8,974900
2025-03-26,162.68,163.91,161.0,162.15,644600
2025-03-27,161.11,161.38,158.65,160.31,1022100
2025-03-28,159.93,160.62,154.27,154.8,976000
2025-03-31,153.76,155.4,151.92,154.95,1458500
2025-04-01,154.19,156.44,153.2,156.2,1131900
2025-04-02,154.74,158.42,154.6,157.16,692100
2025-04-03,151.83,152.86,146.9,149.53,1416500
2025-04-04,145.85,145.85,139.66,139.77,1244300
2025-04-07,136.91,144.81,134.16,139.69,1867000
2025-04-08,142.72,145.11,134.26,136.74,1081900
2025-04-09,134.61,149.62,133.38,149.24,1450100
2025-04-10,144.86,146.73,139.34,143.76,1019400
2025-04-11,143.62,145.75,140.66,145.32,893400
2025-04-14,147.09,147.91,145.19,146.54,946200
2025-04-15,146.62,148.52,146.54,147.06,552600
2025-04-16,144.62,146.94,141.33,143.98,1128600
2025-04-17,144.38,144.87,142.92,143.56,655600
2025-04-21,142.19,142.27,138.32,139.62,585900
2025-04-22,141.89,143.97,140.7,143.81,683600
2025-04-23,147.61,151.17,146.77,147.7,658200
2025-04-24,146.88,152.06,146.19,151.64,787400
2025-04-25,150.78,154.13,150.44,154.03,1016800
2025-04-28,153.95,155.81,151.34,151.83,943800
2025-04-29,151.84,154.21,151.84,153.65,660800
2025-04-30,151.66,155.33,149.99,154.97,1403800
2025-05-01,160.21,160.59,151.67,156.34,1819100
2025-05-02,159.04,162.92,157.64,160.09,852200
2025-05-05,158.64,162.95,158.64,161.33,984900
2025-05-06,159.19,162.4,158.14,158.72,835200
2025-05-07,159.63,161.41,158.94,161.05,649900
2025-05-08,161.26,166.11,159.97,164.74,1196300
2025-05-09,168.06,168.06,162.64,163.02,481400
2025-05-12,167.98,170.9,167.43,170.51,1076600
2025-05-13,170.47,172.75,170.08,170.96,1047300
2025-05-14,170.3,172.19,169.52,171.47,929800
2025-05-15,170.26,172.07,170.03,171.8,668600
2025-05-16,171.35,173.05,169.94,172.91,656200
2025-05-19,170.32,172.9,169.48,172.39,514800
2025-05-20,172.12,174.26,171.5,173.24,607100
2025-05-21,171.42,172.73,169.06,169.13,709900
2025-05-22,169.09,171.28,168.21,170.37,808400
2025-05-23,167.64,169.73,167.33,168.77,692200
2025-05-27,171.2,171.75,169.31,171.37,891700
2025-05-28,170.87,171.34,167.15,167.38,817900
2025-05-29,168.71,168.71,166.36,167.93,626000
2025-05-30,167.7,168.85,166.45,168.32,1902200
2025-06-02,166.87,167.72,164.66,166.75,749500
2025-06-03,166.63,168.25,165.5,168.12,523400
2025-06-04,168.5,169.0,167.46,168.17,682900
2025-06-05,168.2,169.82,167.6,167.81,635700
2025-06-06,168.92,170.51,168.79,170.34,545500
2025-06-09,170.85,171.64,169.84,170.19,740000
2025-06-10,170.31,171.46,169.17,170.92,1065600
2025-06-11,171.45,172.2,170.05,171.0,746200
2025-06-12,170.44,171.47,169.7,171.02,568100
2025-06-13,169.04,170.99,168.1,169.34,1143600
2025-06-16,170.24,173.12,170.24,172.61,1011000
2025-06-17,171.75,172.32,167.31,167.53,878900
2025-06-18,166.92,168.11,165.99,166.57,728200
2025-06-20,166.57,168.63,165.8,166.97,1617000
2025-06-23,166.82,167.0,163.74,166.46,797900
2025-06-24,167.5,170.14,166.22,169.93,704400
2025-06-25,169.93,170.22,166.82,168.6,664600
2025-06-26,169.36,172.28,168.14,169.54,843100
2025-06-27,169.62,171.51,167.84,169.3,2037900
2025-06-30,170.47,172.94,168.23,172.34,874800
