Date,Open,High,Low,Close,Volume
2024-08-07,254.4221,256.7771,247.5267,247.9757,1349500
2024-08-08,252.9552,262.7145,248.8439,262.2455,1195400
2024-08-09,262.2955,264.4409,255.879,259.0723,802300
2024-08-12,260.2897,262.0061,257.0066,259.4914,652000
2024-08-13,262.1757,263.6725,255.8391,261.4472,699400
2024-08-14,262.4851,263.8122,259.691,262.9142,776400
2024-08-15,266.3469,270.099,264.6405,267.3747,584600
2024-08-16,267.3548,269.4204,263.0738,265.3291,544100
2024-08-19,265.3789,267.7639,262.3454,267.5344,514300
2024-08-20,267.4945,268.9614,263.6726,266.297,456500
2024-08-21,266.0675,271.965,264.7103,268.7917,900500
2024-08-22,269.0911,270.4283,265.3191,267.235,534300
2024-08-23,268.9713,273.831,266.3668,272.5937,504100
2024-08-26,272.7034,275.727,269.7996,270.4382,391800
2024-08-27,269.2906,271.4661,265.4388,269.7896,448600
2024-08-28,269.7896,270.8972,266.3967,266.9356,649900
2024-08-29,268.4325,275.7371,265.9078,270.4781,593400
2024-08-30,271.3363,275.0884,269.8893,274.5495,682700
2024-09-03,270.3185,272.0149,255.2204,257.0565,1250000
2024-09-04,255.3701,257.1264,253.1148,255.1306,684200
2024-09-05,254.3822,254.5917,249.6222,250.8596,808000
2024-09-06,251.5881,254.3223,246.5587,247.3969,594400
2024-09-09,250.9594,251.9872,247.5366,249.5324,682800
2024-09-10,249.8817,250.8796,246.3891,249.5025,682600
2024-09-11,251.4285,263.6526,249.9715,262.535,867600
2024-09-12,264.3711,269.7996,262.8144,267.9336,674000
2024-09-13,269.8794,272.1247,267.5943,268.9713,476600
2024-09-16,270.0789,272.1745,266.8358,270.9671,401400
2024-09-17,273.5017,275.1881,269.8195,273.3421,365900
2024-09-18,273.4718,278.8804,271.3862,271.486,632400
2024-09-19,280.8861,291.0945,276.9445,289.1187,1043500
2024-09-20,286.3646,293.1802,281.0059,290.2763,1349700
2024-09-23,292.791,297.5609,290.5457,295.5052,858900
2024-09-24,295.4254,297.8603,293.8388,297.6108,686700
2024-09-25,298.3891,301.6023,296.2038,297.3114,997200
2024-09-26,300.7641,305.8533,294.2279,295.7347,754300
2024-09-27,297.3712,300.6643,294.5772,296.1139,818700
2024-09-30,296.1139,298.6685,294.3776,297.521,677200
2024-10-01,297.4611,298.1599,292.0808,295.5146,603600
2024-10-02,294.5064,299.0582,292.8794,298.5491,545100
2024-10-03,298.4193,300.0264,294.6462,297.8604,785500
2024-10-04,304.4484,305.9058,300.4556,305.1671,619600
2024-10-07,300.805,307.7524,300.805,306.9539,812600
2024-10-08,309.0501,311.9548,307.6926,308.1118,788100
2024-10-09,308.541,310.7769,304.7778,307.0537,582100
2024-10-10,304.6281,307.443,301.324,306.4348,594600
2024-10-11,305.796,309.4992,302.9012,308.8604,375100
2024-10-14,309.8686,312.993,308.8605,310.4176,387400
