Date,Open,High,Low,Close,Volume
2024-09-23,66.8469,67.1518,66.5419,66.6621,986200
2024-09-24,66.3479,67.4198,66.2832,67.0224,839000
2024-09-25,67.1518,67.3643,66.5327,66.9023,736100
2024-09-26,66.5604,66.7267,65.4423,65.5347,835300
2024-09-27,67.1333,67.1703,65.4977,66.0244,781800
2024-09-30,65.8396,66.8099,65.5809,66.7452,947100
2024-10-01,66.9208,67.0964,66.006,66.6898,864900
2024-10-02,66.0984,66.3756,65.3314,65.6548,780500
2024-10-03,65.6456,65.738,65.1466,65.6179,534800
2024-10-04,65.4053,65.7103,64.74,65.47,523700
2024-10-07,65.2852,65.2852,64.6291,65.0634,517100
2024-10-08,65.3684,65.8212,64.6661,64.8324,660200
2024-10-09,64.8324,65.738,64.6661,65.6641,853000
2024-10-10,65.3037,65.5994,64.1948,64.472,749600
2024-10-11,64.8324,65.2667,64.6845,64.9618,655100
2024-10-14,64.7215,65.5439,64.4997,65.3406,762400
2024-10-15,65.4238,66.7822,65.4238,66.1538,612000
2024-10-16,66.4403,67.0779,66.3202,66.7637,809000
2024-10-17,66.4588,66.699,65.9598,66.5327,885500
2024-10-18,66.5327,67.1056,66.3017,67.0594,759700
2024-10-21,66.8469,66.8746,66.0707,66.1631,871500
2024-10-22,66.0891,66.8838,65.8674,66.4126,560800
2024-10-23,66.0706,66.8469,66.0429,66.7452,579500
2024-10-24,66.5604,67.0964,66.3479,66.5327,617500
2024-10-25,67.004,67.1148,65.5624,65.6179,512400
2024-10-28,65.9505,66.6528,65.9413,66.3017,740100
2024-10-29,67.4198,68.695,66.93,66.93,1421800
2024-10-30,66.9116,67.6323,66.6436,67.1795,2472200
2024-10-31,67.2442,67.66,65.9967,66.0152,1357100
2024-11-01,66.3479,67.2072,65.932,65.9967,932800
2024-11-04,66.5419,66.9947,66.2832,66.7914,1108000
2024-11-05,66.2462,67.6508,66.0152,67.6046,991600
2024-11-06,68.1128,68.4085,66.2462,67.2904,1367100
2024-11-07,67.161,68.4085,66.9762,68.2607,1230100
2024-11-08,68.5841,68.9168,68.0112,68.6026,1037700
2024-11-11,68.6303,68.9907,68.1313,68.3808,1531500
2024-11-12,68.3716,68.7966,67.7987,67.9003,1018300
2024-11-13,68.3623,68.6026,68.1498,68.2514,1309300
2024-11-14,67.8449,68.2977,67.7802,68.0666,1034600
2024-11-15,68.2699,68.5009,67.9373,68.0666,3835300
2024-11-18,67.7247,68.2052,67.2997,68.1683,639300
2024-11-19,67.7525,68.7042,67.5769,68.6118,1021200
2024-11-20,68.3808,69.0554,67.9465,68.8706,605500
2024-11-21,69.0277,69.157,68.7597,68.8059,758900
2024-11-22,69.0831,69.1385,68.5009,68.6026,725600
2024-11-25,68.7597,68.7597,68.0759,68.3993,2193400
2024-11-26,68.5009,69.3973,68.233,69.3049,729700
2024-11-27,69.4897,70.3583,69.4897,70.1458,800700
2024-11-29,70.2105,70.7187,69.7854,69.8501,947200
2024-12-02,69.8501,69.8501,68.5102,68.963,1001800
2024-12-03,68.963,69.7392,68.6673,69.0461,1165600
2024-12-04,68.8244,69.0184,68.2699,68.7042,755800
2024-12-05,68.3439,68.8336,68.196,68.6673,842100
2024-12-06,68.7042,69.0461,68.4455,68.5009,1012700
2024-12-09,68.5656,69.3511,67.734,69.2309,1086800
2024-12-10,68.889,69.0831,68.2052,68.6858,1173300
2024-12-11,68.6673,69.3234,68.427,68.5656,1168000
2024-12-12,68.6118,69.8686,68.4363,69.5913,1234700
2024-12-13,69.3973,70.1365,69.3788,69.6468,919500
2024-12-16,69.5582,71.3025,69.5582,70.3324,1030600
2024-12-17,69.7914,70.92,69.5302,70.4257,1404700
2024-12-18,70.3697,71.2092,68.2709,68.2896,1871300
2024-12-19,67.9071,69.1477,67.4967,67.5527,1742400
2024-12-20,67.8791,69.4929,67.3941,68.8399,3284000
