Date,Open,High,Low,Close,Volume
2024-08-28,1184.8786,1195.3795,1179.0436,1188.0784,308300
2024-08-29,1193.4576,1199.6492,1164.4712,1167.9088,538600
2024-08-30,1168.1763,1180.1929,1159.8945,1173.615,405400
2024-09-03,1167.7106,1181.3916,1151.9989,1157.8834,579100
2024-09-04,1157.8835,1171.2573,1152.4745,1168.3447,333000
2024-09-05,1164.1741,1164.1741,1132.5524,1139.8041,534200
2024-09-06,1139.2493,1142.0925,1118.4159,1120.9222,616600
2024-09-09,1126.549,1140.3685,1121.9226,1134.068,513300
2024-09-10,1133.5232,1133.5232,1112.0361,1125.7268,356500
2024-09-11,1126.4003,1132.5027,1102.8327,1130.7789,481900
2024-09-12,1127.4603,1156.7143,1116.6622,1153.5739,568900
2024-09-13,1149.8887,1159.6367,1139.2689,1142.5677,353600
2024-09-16,1151.1868,1151.1868,1141.2406,1142.3005,346900
2024-09-17,1140.3389,1140.3389,1123.9931,1136.0295,348700
2024-09-18,1140.5569,1145.5895,1127.0048,1128.1639,328100
2024-09-19,1138.9123,1154.9509,1137.3966,1139.4373,596700
2024-09-20,1135.2768,1138.6748,1125.5981,1134.3258,913900
2024-09-23,1137.4462,1143.7665,1071.122,1081.7715,1168300
2024-09-24,1066.2679,1069.9036,1012.6638,1036.2017,1695200
2024-09-25,1038.7179,1038.7179,998.9828,1021.5103,1003100
2024-09-26,1052.2302,1053.4586,1020.6383,1030.2377,691600
2024-09-27,1033.8836,1059.9971,1027.1868,1032.9424,659700
2024-09-30,1031.0008,1048.3769,1029.931,1041.4126,599900
2024-10-01,1044.2062,1051.6757,1030.6739,1037.123,599400
2024-10-02,1030.763,1036.1719,1016.3787,1030.545,687000
2024-10-03,1027.8009,1029.0987,1001.9053,1005.1051,797500
2024-10-04,1005.9075,1013.5256,997.8634,1003.3516,1071800
2024-10-07,1001.7666,1002.2421,983.5188,986.7384,583400
2024-10-08,992.1374,998.5668,983.7268,995.8623,736000
2024-10-09,998.0418,1005.1447,991.6421,1002.7275,598100
2024-10-10,1002.1034,1004.4314,988.8385,989.6806,510900
2024-10-11,993.9305,1008.2256,986.9663,1006.175,479900
2024-10-14,1008.9587,1014.1201,1000.0132,1004.7683,497300
2024-10-15,1007.3241,1014.7837,994.406,1007.0269,514400
2024-10-16,1002.1133,1011.0093,997.903,998.537,367100
2024-10-17,1000.6075,1003.6191,988.3432,988.898,739700
2024-10-18,988.6702,993.3163,980.5171,981.4186,869200
2024-10-21,976.6833,981.9734,958.8516,959.446,794200
2024-10-22,953.9974,963.6563,910.8248,953.3436,1511700
