Date,Open,High,Low,Close,Volume
2024-08-21,164.2998,166.7857,163.5687,165.8596,960400
2024-08-22,166.6102,167.0099,163.8806,164.7775,646900
2024-08-23,165.7231,170.4413,165.0114,170.1878,769700
2024-08-26,170.5973,171.5722,166.7175,166.8344,512600
2024-08-27,166.113,168.2479,165.1479,168.1114,400000
2024-08-28,165.9278,166.6004,163.1105,165.2064,530600
2024-08-29,166.1033,167.8677,164.0074,166.3762,442600
2024-08-30,167.5655,167.5655,164.6313,166.9514,449900
2024-09-03,165.6353,171.4161,164.8067,169.5055,767500
2024-09-04,168.131,169.6225,166.8247,168.014,467200
2024-09-05,168.1017,169.6224,167.2633,169.0375,500000
2024-09-06,168.6769,170.5973,166.2008,168.5014,1012200
2024-09-09,168.6769,172.1473,168.0335,169.3203,782100
2024-09-10,168.979,168.979,165.6548,168.3551,665100
2024-09-11,168.2772,170.6265,165.9765,170.4998,686100
2024-09-12,170.5193,171.2895,169.2228,170.9483,892000
2024-09-13,172.9369,176.5731,172.5762,174.1457,772600
2024-09-16,174.5162,177.8306,174.5162,176.8753,691900
2024-09-17,177.7039,180.2287,177.275,179.5756,540200
2024-09-18,179.1759,181.574,177.9086,178.9907,713200
2024-09-19,181.8957,183.202,179.4196,180.1117,653300
2024-09-20,180.5894,181.2621,178.3863,180.6479,1320000
2024-09-23,180.9989,183.2313,179.9558,181.2231,696300
2024-09-24,183.8844,186.1947,181.9639,185.8145,736600
2024-09-25,186.1655,186.7211,183.7576,184.5472,657200
2024-09-26,189.129,192.8529,188.5441,192.6385,902700
2024-09-27,195.8542,195.9521,191.7819,192.3888,708200
2024-09-30,192.3595,192.3595,187.9837,189.7849,485600
2024-10-01,189.1192,189.687,186.1726,188.1794,685200
2024-10-02,186.7796,189.1192,186.3293,189.0507,525900
2024-10-03,186.9754,190.0492,185.0175,188.3557,697200
2024-10-04,191.2141,194.1802,189.1975,192.0364,531400
2024-10-07,191.4001,192.7804,188.6102,191.4295,606000
2024-10-08,190.6268,192.242,189.824,190.4701,446800
2024-10-09,191.2043,192.8489,191.0477,191.6057,344400
2024-10-10,191.6742,195.1005,190.8715,194.9243,545700
2024-10-11,194.8851,198.6148,193.6908,197.6359,556400
2024-10-14,197.117,202.3837,196.3926,201.7572,582500
2024-10-15,201.2383,202.0606,195.7857,197.0094,848800
2024-10-16,198.4484,199.956,197.4989,197.8708,556900
2024-10-17,199.2414,200.7489,197.9198,198.6638,504700
2024-10-18,200.0441,202.6969,198.605,201.8942,418600
2024-10-21,201.8942,201.8942,198.047,199.2511,430200
2024-10-22,197.4891,197.6555,194.8068,194.9928,457200
2024-10-23,193.9845,195.1298,191.9679,192.3692,479500
2024-10-24,194.9145,194.9145,193.0056,193.7691,417400
2024-10-25,195.5116,197.0681,192.7119,193.4265,682900
2024-10-28,195.7661,199.6133,195.7661,198.7519,509700
2024-10-29,196.6667,200.4063,195.6584,199.2707,429400
2024-10-30,197.6457,200.2007,197.2149,197.4401,418900
2024-10-31,197.9198,199.2217,193.7006,193.7593,629100
2024-11-01,193.867,194.1803,190.617,193.495,530900
2024-11-04,194.3271,199.1336,193.8376,195.678,532400
