Date,Open,High,Low,Close,Volume
2024-08-26,264.0156,265.4416,259.1363,260.0675,377700
2024-08-27,259.243,259.243,254.8875,255.4307,518100
2024-08-28,255.9158,256.0128,252.346,254.0824,586200
2024-08-29,256.1195,261.1928,254.4219,258.5349,548200
2024-08-30,260.3877,264.1611,257.7395,263.8798,962000
2024-09-03,261.4159,262.2695,252.1229,253.6459,632600
2024-09-04,252.7631,254.2861,248.2136,248.9703,657500
2024-09-05,248.1943,250.9298,245.614,249.2225,560800
2024-09-06,252.4625,254.0339,246.3027,248.0197,609200
2024-09-09,251.4633,254.3443,250.1343,251.4827,579300
2024-09-10,252.6952,254.4122,249.3486,254.1406,552800
2024-09-11,250.532,250.8522,241.8502,249.1546,1189400
2024-09-12,249.9597,250.7164,244.6342,250.2701,646400
2024-09-13,251.7058,256.5657,250.338,255.0427,535000
2024-09-16,257.0119,258.2148,254.0242,254.2279,547600
2024-09-17,254.9166,257.2641,253.1609,255.3144,724400
2024-09-18,257.817,260.5331,254.0727,254.8681,691300
2024-09-19,261.9106,262.221,256.6724,260.1936,801000
2024-09-20,257.4,257.9626,252.22,253.7623,1304900
2024-09-23,254.2183,254.6839,250.9007,253.2385,641500
2024-09-24,253.9854,255.6829,251.4342,254.1309,808000
2024-09-25,253.8496,253.9369,249.4359,250.309,738000
2024-09-26,254.5287,263.7343,254.5287,263.0359,980700
2024-09-27,266.1303,269.6128,262.3666,262.5023,900200
2024-09-30,262.3956,262.3956,257.5551,260.4167,595500
2024-10-01,260.2033,261.1637,255.2658,257.3126,523800
2024-10-02,255.974,258.5446,252.5109,258.3021,682100
2024-10-03,256.8082,257.0604,253.1803,257.0313,569700
2024-10-04,261.0666,261.8039,256.3328,259.0102,415700
2024-10-07,256.75,259.5922,256.75,259.2139,368400
2024-10-08,259.7377,259.7377,253.9078,258.1856,434500
2024-10-09,258.8744,262.9776,257.3417,261.7263,417600
2024-10-10,259.0199,261.5226,257.7782,260.116,440400
2024-10-11,260.4362,265.6356,260.2907,263.0359,597900
2024-10-14,263.7731,267.5757,261.8621,267.0227,389500
2024-10-15,266.9354,268.7494,263.2881,264.0641,494900
2024-10-16,265.4803,268.1092,264.811,266.0236,535200
2024-10-17,264.491,265.8005,262.3763,264.4619,554700
2024-10-18,267.5368,267.5368,264.5491,264.6461,528900
2024-10-21,263.7925,265.1408,260.8532,261.8524,465800
2024-10-22,261.154,261.8136,258.7095,260.7368,305900
2024-10-23,260.1355,261.7069,255.7218,258.4573,473200
2024-10-24,259.4079,260.6301,256.459,259.6601,480900
2024-10-25,262.192,263.0844,259.8735,261.7748,380700
2024-10-28,263.8507,265.4125,263.0553,263.2008,588900
2024-10-29,262.7739,263.6275,259.825,260.3876,481000
2024-10-30,259.9608,262.5702,258.2923,258.6416,631800
2024-10-31,257.5551,260.0869,257.5551,258.7192,706200
2024-11-01,259.9706,262.192,257.8559,260.669,718400
2024-11-04,258.0596,259.9026,254.8099,256.7209,733800
2024-11-05,255.9255,261.6002,255.3144,261.1346,792700
2024-11-06,274.5211,286.1034,271.7759,285.1916,2203100
2024-11-07,283.591,283.9014,267.6532,268.7882,2023700
2024-11-08,267.2556,268.0413,263.6276,263.9865,1067400
2024-11-11,264.1902,273.2504,264.1902,269.4963,891100
2024-11-12,268.6912,272.3192,267.2167,269.5545,1044600
2024-11-13,272.4356,279.8952,271.4364,277.9842,1033300
2024-11-14,277.3343,281.389,274.7734,277.8484,1348200
2024-11-15,277.7416,282.2523,276.209,277.5767,1110600
2024-11-18,276.8459,278.7657,273.8639,275.9104,953100
2024-11-19,272.4216,273.4643,270.2582,271.0476,945700
2024-11-20,274.2732,274.3707,270.687,272.9381,995900
2024-11-21,274.6045,274.6045,269.8782,271.2035,992400
2024-11-22,272.8602,288.4522,271.2815,283.4432,1842300
2024-11-25,286.2596,295.8096,285.7236,291.0833,2234800
2024-11-26,288.306,290.791,285.5287,288.4522,1164700
2024-11-27,289.1636,292.3015,285.3922,287.429,637100
2024-11-29,287.9649,291.1028,287.0976,287.6141,395600
2024-12-02,287.9649,291.1321,286.7858,289.5436,723900
2024-12-03,287.9454,289.4267,283.414,284.1254,676900
2024-12-04,284.9049,286.737,283.219,286.3374,575900
2024-12-05,290.6546,295.2347,288.306,289.5241,993300
2024-12-06,291.2295,292.7887,285.6261,287.887,652500
2024-12-09,290.8885,295.0008,289.4267,291.1028,905300
2024-12-10,289.8652,291.3757,285.6748,286.2108,900500
2024-12-11,290.3135,292.2722,288.0721,289.797,804800
2024-12-12,291.1808,296.1507,289.7385,295.1957,1332400
2024-12-13,293.9484,296.5308,288.6471,289.6216,1307800
2024-12-16,287.0976,289.3877,284.8076,288.5399,794500
2024-12-17,287.4777,288.2378,283.0632,286.0062,1238400
2024-12-18,286.3472,288.9199,279.9253,280.3541,1477800
2024-12-19,283.1119,286.3082,272.7237,278.7072,1337100
2024-12-20,277.1382,284.9245,275.4231,282.4005,2982300
2024-12-23,281.1045,282.5565,277.8886,281.8353,565500
2024-12-24,281.6112,285.022,280.1397,284.7491,280400
2024-12-26,283.1899,286.854,282.0789,286.3862,371200
2024-12-27,284.4762,287.195,281.6891,283.0924,382300
2024-12-30,279.6719,280.4808,275.7447,278.3564,539000
2024-12-31,279.3406,280.471,277.6937,278.5025,375100
2025-01-02,279.6427,281.0849,272.8504,273.7275,531100
2025-01-03,273.7275,276.6315,271.9052,275.579,595600
2025-01-06,278.1128,280.1495,273.8639,274.283,564100
2025-01-07,274.8774,277.4208,272.5483,274.1368,557900
2025-01-08,270.6578,273.9126,269.4689,272.4314,485300
2025-01-10,267.3835,271.0573,265.1421,266.4285,837100
2025-01-13,263.1151,269.2252,262.6669,268.5041,656000
2025-01-14,269.6541,271.2035,267.3933,269.9172,520200
2025-01-15,274.8774,275.7447,267.5491,269.0693,712300
2025-01-16,272.3534,275.0626,269.5956,273.7957,824700
2025-01-17,276.5048,280.1494,274.4291,279.2919,942100
2025-01-21,281.7768,285.5092,281.7574,283.3555,751100
2025-01-22,285.4702,285.4702,281.1824,281.582,680000
2025-01-23,281.1434,283.5894,278.9215,283.2873,659300
2025-01-24,283.2775,284.3203,279.974,281.0752,720300
2025-01-27,280.7244,282.3226,274.5363,276.9726,718000
