Date,Open,High,Low,Close,Volume
2024-08-07,46.9562,47.3464,46.2246,46.2246,2399500
2024-08-08,46.1856,46.4977,45.7174,46.4392,1017800
2024-08-09,46.4392,46.8879,46.2637,46.6148,1512700
2024-08-12,46.6735,47.2312,46.5659,46.7518,1734100
2024-08-13,47.29,47.6422,46.4876,47.4367,1955300
2024-08-14,47.3291,47.5933,47.3095,47.4563,1190200
2024-08-15,47.6618,48.0238,47.4563,47.9945,1169900
2024-08-16,48.0629,48.0923,47.0943,47.1432,1742100
2024-08-19,47.1432,48.0825,47.0258,48.0727,852400
2024-08-20,48.0238,48.5228,47.7009,48.4348,1548800
2024-08-21,48.6403,49.3056,48.3174,48.9729,1471900
2024-08-22,49.061,49.335,48.9338,49.1686,985700
2024-08-23,49.2665,49.3643,48.7968,49.061,1070900
2024-08-26,49.1393,49.4133,48.5913,48.6305,1220700
2024-08-27,48.5718,48.8555,48.1314,48.4935,1949900
2024-08-28,48.6305,49.335,48.4446,49.1686,1250200
2024-08-29,49.2371,49.7655,48.9534,49.0219,1004000
2024-08-30,49.0219,49.3154,48.6305,49.1001,1340000
2024-09-03,49.3252,50.1765,49.1686,49.4035,1589500
2024-09-04,49.4622,49.8438,49.2665,49.6383,885900
2024-09-05,49.5307,49.8438,48.9338,49.2273,1323800
2024-09-06,49.3154,49.6579,48.3956,48.5228,1137400
2024-09-09,48.8751,48.8751,48.3663,48.5913,1725100
2024-09-10,48.6403,50.0493,48.6403,50.0297,1301300
2024-09-11,48.9142,49.4133,47.6128,48.562,2972000
2024-09-12,48.5424,49.1491,47.9651,49.0708,1617300
2024-09-13,49.0316,49.6285,48.9632,49.3839,1644800
2024-09-16,49.6285,49.9514,49.5013,49.8144,815300
2024-09-17,49.7949,50.7831,49.7949,50.2939,1294300
2024-09-18,50.2939,50.8418,49.1197,49.1686,1241000
2024-09-19,49.7655,49.7655,48.836,49.0219,1226600
2024-09-20,48.699,49.3448,48.4446,49.0708,3254300
2024-09-23,49.1882,49.6285,48.836,49.4133,852900
2024-09-24,49.3937,49.7068,49.198,49.6383,1014600
2024-09-25,49.834,50.0003,49.3154,49.6677,1586900
2024-09-26,49.6774,49.9025,48.8947,48.9729,948900
2024-09-27,49.1197,49.335,48.65,48.8751,1588100
2024-09-30,48.9436,49.6285,48.8359,49.4915,1949100
2024-10-01,49.5307,49.9808,49.1001,49.423,1900100
2024-10-02,49.2176,49.3643,48.8262,49.2861,775100
2024-10-03,49.1295,49.2371,48.5228,48.6598,1514000
2024-10-04,48.5815,48.924,48.151,48.7479,1031200
2024-10-07,48.3761,48.425,47.6031,47.652,1073800
2024-10-08,48.2391,48.5033,48.0825,48.2391,1336000
2024-10-09,48.3174,48.8555,48.1999,48.7577,1068000
2024-10-10,48.6892,48.836,48.151,48.1902,979100
2024-10-11,48.3174,48.6011,48.1314,48.5913,1363800
2024-10-14,48.787,49.2176,48.7087,49.0806,752600
2024-10-15,49.4328,49.6089,48.7577,48.8947,1166000
2024-10-16,48.8457,49.1589,48.0532,48.0923,1648300
2024-10-17,48.4543,48.5033,47.8085,48.3956,1217500
2024-10-18,48.5815,49.1099,48.2684,49.061,1145700
2024-10-21,49.0316,49.335,48.7283,48.7675,1374400
2024-10-22,48.5522,48.7087,47.7792,48.4641,809600
2024-10-23,48.5718,48.8653,48.3271,48.6794,1462100
2024-10-24,46.5854,47.104,44.9612,45.4798,3481300
2024-10-25,46.0473,46.5365,45.3428,45.5385,1660700
2024-10-28,45.8516,46.2723,45.5385,46.243,2341200
2024-10-29,46.243,46.7714,46.1843,46.3017,1635500
2024-10-30,46.0864,46.3604,45.7244,45.8027,1491700
2024-10-31,45.744,46.2528,45.5385,46.1256,2469800
2024-11-01,46.2332,46.5952,45.969,46.3115,3123100
2024-11-04,46.2821,46.8692,46.1941,46.8301,1299300
2024-11-05,46.8496,47.515,46.7322,47.5052,1402700
2024-11-06,48.1314,48.4054,46.6246,47.5737,2280500
2024-11-07,47.8379,48.1902,47.5248,47.9847,1504700
2024-11-08,48.3369,49.3643,48.2097,49.1001,1466700
2024-11-11,49.3545,50.0101,49.286,49.7851,1879600
2024-11-12,49.947,50.4477,49.7409,50.1434,1611200
2024-11-13,50.3299,51.2036,50.163,50.3495,2016700
2024-11-14,50.1041,50.3495,49.0145,49.1912,1523400
2024-11-15,49.2992,49.2992,48.6414,48.9948,2461000
2024-11-18,49.0734,49.6133,48.9752,49.1323,1186200
2024-11-19,48.9065,49.0047,48.5531,48.6022,1196000
2024-11-20,48.6414,48.7003,47.9739,48.5335,1013800
2024-11-21,48.3764,48.7494,47.7874,48.72,1359000
2024-11-22,48.9458,49.7605,48.8672,49.7016,763300
2024-11-25,50.0256,50.5753,49.9471,50.2906,1929200
2024-11-26,50.5655,50.7815,50.163,50.644,2523800
2024-11-27,50.8011,51.1054,50.2023,50.2219,2313300
2024-11-29,50.1041,50.1434,49.1323,49.4071,1521800
2024-12-02,49.3482,49.4071,48.5138,48.9458,2194900
2024-12-03,48.8967,49.1028,48.288,48.7494,1389800
2024-12-04,48.5531,48.9359,48.4058,48.7494,1052600
2024-12-05,48.4942,48.5433,47.9248,47.9543,1532300
2024-12-06,48.3175,48.8574,48.2488,48.5138,1289500
2024-12-09,48.4157,48.5924,47.5911,47.7874,1384100
2024-12-10,47.7972,48.4942,47.4929,48.2291,1222400
2024-12-11,48.3273,48.6513,47.9346,48.1113,1242600
2024-12-12,48.4451,48.5531,47.7187,47.8757,1137500
2024-12-13,47.9543,48.1113,47.5911,47.8757,1745000
2024-12-16,48.0524,48.7789,47.6009,47.6598,2311500
2024-12-17,47.5812,47.9935,47.326,47.3358,1313800
2024-12-18,47.218,47.5714,46.2854,46.3149,1520200
2024-12-19,46.1676,46.629,45.883,46.148,1757800
2024-12-20,45.883,46.5112,45.8731,46.0597,4863300
2024-12-23,45.7357,45.7946,45.3332,45.6866,1766100
2024-12-24,45.6179,45.8241,45.5688,45.7455,691200
2024-12-26,45.3921,46.04,45.294,45.9909,981200
2024-12-27,45.7161,46.0498,45.5197,45.8241,1355600
2024-12-30,45.4118,45.7946,45.2056,45.559,1169300
2024-12-31,45.5688,45.6964,45.343,45.5001,1264900
2025-01-02,45.7259,45.8044,45.0387,45.1958,1053100
2025-01-03,45.1565,45.5001,45.1075,45.3234,1274000
2025-01-06,45.1467,45.3136,44.6853,44.813,1021500
2025-01-07,44.9308,45.2842,44.5086,44.9111,2248700
2025-01-08,45.0584,45.5983,44.7148,45.5001,2701400
2025-01-10,45.1565,45.6572,45.1565,45.2449,1339400
2025-01-13,45.1565,45.7652,44.9308,45.6277,1251900
2025-01-14,45.5197,46.1186,45.3921,45.9909,1547500
2025-01-15,46.4425,46.5505,45.8142,46.148,1725200
2025-01-16,46.1382,47.4536,46.0989,47.4144,2152400
2025-01-17,47.7972,48.0721,47.3162,47.542,1986900
2025-01-21,47.6696,48.1702,47.5911,47.7481,1563800
2025-01-22,47.7089,47.8954,47.4144,47.5714,1572100
2025-01-23,47.6303,47.7481,47.3358,47.7285,1133200
2025-01-24,47.7187,47.8561,47.2867,47.4831,1085900
2025-01-27,47.4929,48.8083,47.4929,48.5924,1541100
2025-01-28,48.3764,49.2304,48.3469,48.4157,2054600
2025-01-29,48.288,49.0243,47.807,47.8561,1481000
2025-01-30,48.1801,48.828,48.1506,48.8083,1170600
2025-01-31,48.5825,48.877,48.2979,48.5924,1771700
2025-02-03,48.3469,48.9261,48.1801,48.7396,1777800
2025-02-04,48.6414,48.8181,48.1702,48.1801,1159600
2025-02-05,48.5924,49.0537,48.5335,48.7102,1400300
2025-02-06,48.6022,49.3384,48.5629,49.3384,1387200
2025-02-07,49.2501,49.3581,48.6709,49.1617,2428700
2025-02-10,49.3384,49.3384,48.6022,49.0537,1306900
2025-02-11,49.093,49.1912,48.8476,49.0243,2413100
2025-02-12,48.4058,49.3581,48.2586,49.1814,2895000
2025-02-13,49.6427,51.8711,49.1912,50.968,3707900
2025-02-14,51.1545,51.1938,49.6526,49.7998,2819000
2025-02-18,49.6427,49.8783,48.8378,49.093,1980900
2025-02-19,49.0734,49.898,48.9359,49.8293,1393600
2025-02-20,49.6329,50.487,49.466,50.3888,1847000
2025-02-21,50.3201,50.5557,49.7311,50.3495,1781600
2025-02-24,50.379,50.8109,50.3103,50.4771,1233000
2025-02-25,50.6199,50.8957,50.423,50.6003,1563700
2025-02-26,50.2556,51.004,50.0783,50.4919,1427400
2025-02-27,50.3934,50.9252,50.3147,50.6199,1567300
2025-02-28,50.9548,51.6934,50.7677,51.5949,1606400
2025-03-03,51.4964,52.3828,51.4964,52.2055,2678600
2025-03-04,52.4222,52.9047,51.5851,51.7229,2076000
2025-03-05,51.2699,52.0578,51.2699,51.8116,1390400
2025-03-06,51.3586,51.5654,50.7086,50.9154,1646900
2025-03-07,50.6101,51.073,50.0389,50.9942,1782400
2025-03-10,50.9942,52.7373,50.8071,51.4866,2446000
2025-03-11,51.526,51.8904,51.0533,51.1222,2867700
2025-03-12,51.1222,51.6442,49.7533,49.7927,2878400
