Date,Open,High,Low,Close,Volume
2024-09-03,545.248,550.0276,541.8088,544.3315,427300
2024-09-04,544.223,551.4563,543.6416,550.392,397300
2024-09-05,547.278,549.1504,542.0353,546.8444,315500
2024-09-06,547.2385,549.781,538.8227,539.7983,409400
2024-09-09,541.8876,546.7756,541.8876,545.3466,309600
2024-09-10,548.4508,548.4508,540.0349,544.302,314400
2024-09-11,542.2817,542.5675,530.1112,541.8481,385700
2024-09-12,542.5083,543.5135,536.5955,543.2967,354400
2024-09-13,543.8486,547.5835,543.277,543.819,297900
2024-09-16,546.9232,549.4756,544.223,548.4704,241100
2024-09-17,548.6183,550.0374,542.6168,543.8092,297600
2024-09-18,543.6319,546.3222,538.2807,541.9368,281300
2024-09-19,550.7469,553.6048,547.9975,552.7079,521400
2024-09-20,546.5487,553.9693,544.3807,549.9288,1507100
2024-09-23,551.8112,551.8802,548.7464,549.6431,349600
2024-09-24,548.6379,548.6379,542.7941,543.957,357500
2024-09-25,543.9767,545.041,539.345,540.3896,401600
2024-09-26,543.1489,545.2874,541.6609,544.4695,415200
2024-09-27,545.0902,549.9387,544.2329,545.7505,310500
2024-09-30,546.1348,549.9387,541.3553,548.3521,593300
2024-10-01,548.5098,548.5098,538.6256,540.3009,445900
2024-10-02,541.385,544.1837,537.9654,543.3559,367000
2024-10-03,541.0203,544.6075,537.1179,540.9514,623400
2024-10-04,544.0259,544.0259,534.8512,536.9404,316600
2024-10-07,532.2989,533.6588,529.5395,530.052,388700
2024-10-08,530.0521,536.2988,528.6113,535.7659,309200
2024-10-09,536.5948,542.9402,532.5685,538.7462,512300
2024-10-10,537.5521,538.1541,532.1738,532.3514,577100
2024-10-11,533.1508,545.0422,532.1244,544.2922,843500
2024-10-14,546.7988,547.6968,543.7988,546.5422,271900
2024-10-15,547.6179,553.9238,546.1968,548.8613,381600
2024-10-16,545.2593,554.2099,542.4172,553.4797,365300
2024-10-17,556.2033,559.0158,552.7592,556.3217,411500
2024-10-18,556.3219,558.3351,549.868,550.2824,320500
2024-10-21,548.4962,551.1212,543.8877,549.4731,422000
2024-10-22,547.9337,548.6935,543.483,544.835,519100
2024-10-23,542.7626,542.7626,527.96,535.7955,718600
2024-10-24,536.5554,543.4237,534.8678,534.9665,369900
2024-10-25,539.4072,540.1277,532.8941,534.8678,535300
2024-10-28,535.8546,538.5981,533.8809,537.9566,282800
2024-10-29,536.5159,545.8021,534.8383,541.5883,424800
2024-10-30,541.243,544.6772,536.3975,540.0291,626300
2024-10-31,540.0291,540.5817,530.437,530.6541,567000
2024-11-01,529.5389,535.4995,529.0554,533.7922,510800
2024-11-04,534.8974,535.1145,526.2922,534.9468,416300
2024-11-05,536.4962,538.4304,532.7265,535.5587,422100
2024-11-06,543.5718,560.4666,536.9994,557.2396,678400
2024-11-07,558.3744,566.1704,555.631,564.7297,580200
2024-11-08,567.4336,567.4336,558.9567,560.1508,391900
2024-11-11,560.2889,566.3678,557.427,557.7034,388000
2024-11-12,556.6672,558.5322,552.3448,557.3382,539700
2024-11-13,553.8251,566.575,553.8251,563.6836,372100
2024-11-14,566.1803,566.1803,556.4007,557.3382,549700
2024-11-15,555.3744,557.7329,540.0882,541.0158,581300
2024-11-18,540.4238,543.1376,537.9862,542.1409,566000
2024-11-19,537.5028,542.3876,535.0554,540.7495,356200
2024-11-20,542.2791,545.0027,538.5586,542.2198,360800
2024-11-21,543.1376,547.9731,540.483,546.9666,536900
2024-11-22,548.2395,554.6935,548.2395,552.7692,250000
2024-11-25,555.6803,558.0191,549.4632,550.5981,531400
2024-11-26,551.9501,554.8415,546.5323,554.4962,360700
2024-11-27,553.7955,557.3185,549.937,556.9238,358600
2024-11-29,555.9764,562.0158,553.8152,558.9862,365700
2024-12-02,558.9863,561.7988,554.5456,561.1475,595900
2024-12-03,556.8547,560.0422,552.4237,559.4007,509000
2024-12-04,563.7527,572.4566,560.2297,568.3711,699700
2024-12-05,563.4862,563.4862,543.177,550.5586,750900
2024-12-06,549.6704,552.631,542.8218,543.9468,544800
2024-12-09,542.5948,543.8185,539.8612,541.2033,528400
2024-12-10,540.6213,545.0028,533.7923,542.2396,587900
2024-12-11,544.6178,546.177,542.4764,543.1474,495700
2024-12-12,542.1804,544.9337,538.1048,540.8186,324400
2024-12-13,536.4962,538.677,533.2297,536.506,590300
2024-12-16,535.8942,538.6672,534.6508,534.9073,598100
2024-12-17,533.7033,536.4961,529.3415,529.6869,1086900
2024-12-18,529.6869,530.9402,519.4139,519.7889,840900
2024-12-19,521.6047,525.6704,514.5882,514.8843,644700
2024-12-20,512.8021,523.5586,511.6771,518.4863,1742100
2024-12-23,516.029,519.3251,515.1804,518.0323,546900
2024-12-24,515.9501,521.2198,514.7758,521.1902,228100
2024-12-26,518.3975,521.5949,518.3186,520.3021,312600
2024-12-27,518.1508,520.6475,513.3646,517.0159,422400
2024-12-30,512.6739,514.9535,507.1475,513.0291,357200
2024-12-31,514.2034,515.1508,510.108,513.0093,451900
2025-01-02,517.7955,517.7955,506.8612,507.029,653400
2025-01-03,514.635,514.635,507.2713,508.6847,478700
2025-01-06,506.8067,507.5085,498.919,501.2319,969000
2025-01-07,502.5861,507.716,498.6917,501.2319,621700
2025-01-08,501.4494,505.9467,498.4742,504.3949,960700
2025-01-10,501.5977,504.8496,496.2898,496.8927,575600
2025-01-13,493.6902,503.96,493.6902,502.1215,572700
2025-01-14,500.8959,505.9467,499.7493,504.7804,535800
2025-01-15,511.9861,514.9811,507.8249,511.9664,1000800
2025-01-16,512.7965,514.1803,509.8411,513.093,619700
2025-01-17,522.9378,522.9378,514.0519,516.2758,763800
2025-01-21,518.0253,525.2705,516.9874,524.6478,686400
2025-01-22,524.7368,529.7284,523.778,528.2655,481100
2025-01-23,524.9542,527.1881,521.9296,527.0695,387600
2025-01-24,526.2985,528.8091,523.2146,525.2211,385400
2025-01-27,521.8011,535.4019,521.0994,535.0659,748400
2025-01-28,533.86,546.8479,529.4911,543.2599,686000
2025-01-29,541.5599,543.5466,536.5781,536.7363,691300
2025-01-30,559.4405,577.5485,555.1013,563.9971,1153800
2025-01-31,565.3809,575.1861,563.4732,568.9886,1158100
2025-02-03,568.5834,574.771,563.0877,570.3625,892400
2025-02-04,571.3806,572.9127,564.5506,570.9852,768100
