Date,Open,High,Low,Close,Volume
2024-08-05,135.6314,136.9548,132.8474,133.3767,2565100
2024-08-06,133.161,135.6019,132.8571,134.2785,1926500
2024-08-07,135.4451,137.0626,133.4748,133.6414,1421400
2024-08-08,134.6903,136.6508,133.9453,136.4744,1892500
2024-08-09,136.3862,137.0822,135.5039,136.8861,1225700
2024-08-12,137.3763,138.3761,136.3568,137.8958,1708400
2024-08-13,138.2683,139.1212,137.5527,138.8565,1218200
2024-08-14,138.1605,139.4838,137.4351,138.5526,1529700
2024-08-15,141.9443,144.9538,141.6306,144.8852,2443100
2024-08-16,144.2872,144.9734,143.2677,144.4931,3117200
2024-08-19,144.5029,145.4635,143.9637,144.4931,1363700
2024-08-20,144.7871,145.3263,144.2578,144.7871,1537600
2024-08-21,153.1783,154.737,149.1004,150.9139,3173800
2024-08-22,150.7669,151.0708,149.2376,149.5121,3215600
2024-08-23,160.3344,160.3736,150.3453,152.149,5124300
2024-08-26,152.4725,154.2959,150.6688,151.1688,2393700
2024-08-27,150.561,151.3746,150.0807,150.3061,2283000
2024-08-28,149.9826,150.4434,146.8457,146.9438,2829600
2024-08-29,148.4632,150.1689,146.7085,148.8063,1976500
2024-08-30,148.8455,149.2866,146.3948,147.6398,2287800
2024-09-03,147.1006,148.7965,147.1006,148.6887,2476800
2024-09-04,148.424,148.9729,147.1202,148.7671,3216800
2024-09-05,148.9436,151.2178,147.3849,150.1199,2766400
2024-09-06,150.3061,150.3061,147.2084,147.5613,2818200
2024-09-09,147.3751,148.6298,147.0124,147.8162,2145500
2024-09-10,148.3449,148.5906,146.468,148.1778,2780000
2024-09-11,148.2368,148.7772,145.6622,148.5119,1873300
2024-09-12,148.7085,150.3496,148.4235,150.0351,1634000
2024-09-13,150.8016,152.8652,150.5461,152.5606,1411400
2024-09-16,153.3565,153.5432,150.4282,150.5166,1655900
2024-09-17,150.4871,151.5976,147.2836,147.716,1756700
2024-09-18,148.2958,150.1727,147.775,148.1189,1364900
2024-09-19,149.9467,151.8432,149.9467,151.7646,2345100
2024-09-20,151.6369,151.7941,150.6051,151.6369,3351600
2024-09-23,152.0103,152.0496,147.3131,147.3819,3155900
2024-09-24,147.5391,149.6715,147.1952,149.6322,2382900
