Date,Open,High,Low,Close,Volume
2024-08-19,113.9901,114.4924,113.9708,114.3282,5389900
2024-08-20,114.3089,114.647,113.2559,113.9418,6129200
2024-08-21,114.4731,114.6083,112.9758,113.2752,3050900
2024-08-22,113.3718,114.048,113.1979,114.0094,3743600
2024-08-23,114.2702,114.8498,113.9031,114.4924,3427500
2024-08-26,114.6566,115.6613,114.3668,114.6663,6260400
2024-08-27,114.647,115.5261,114.3668,115.4295,4101200
2024-08-28,115.6999,117.2262,115.613,116.7336,4287200
2024-08-29,116.9751,118.569,116.4438,118.1343,3547800
2024-08-30,117.9024,119.4964,117.8155,119.1486,6372000
2024-09-03,118.9361,119.4578,116.579,116.8785,5543900
2024-09-04,116.9847,118.1633,116.666,116.9944,4484200
2024-09-05,117.0717,117.4774,114.618,115.5744,5764500
2024-09-06,115.584,116.6659,114.0577,114.4151,3983700
2024-09-09,115.5744,117.2069,115.1203,117.0427,4492000
2024-09-10,117.3808,117.574,115.8352,116.2119,3806700
2024-09-11,115.7965,115.7965,113.3622,115.2073,4857200
2024-09-12,114.9561,116.067,114.7629,116.0187,4229700
2024-09-13,115.8255,116.1153,114.8498,115.072,4708000
2024-09-16,115.8931,116.4534,114.048,115.1493,6025400
2024-09-17,114.4731,114.9948,113.7486,114.6953,5101500
2024-09-18,114.9271,115.5454,113.7679,114.0287,4434800
2024-09-19,114.6663,115.159,113.2752,114.7822,5270600
2024-09-20,114.1833,114.8498,113.8548,114.135,16958300
2024-09-23,114.6373,116.3858,114.193,116.183,6755400
2024-09-24,116.0477,116.1636,115.0334,115.9608,5844600
2024-09-25,116.4148,117.3228,116.2699,116.7915,5713600
2024-09-26,116.154,117.7382,116.0477,116.2313,6202600
2024-09-27,115.8642,117.12,115.555,116.2989,7941800
2024-09-30,116.579,117.1683,115.6999,117.0427,5475700
2024-10-01,117.062,120.3561,116.0574,120.1629,7206900
2024-10-02,120.9647,121.2642,119.4384,119.8248,3802900
2024-10-03,120.2692,120.6556,119.0134,119.4674,4765700
2024-10-04,119.4964,120.7329,118.9651,120.6653,3055900
2024-10-07,120.6073,121.4091,120.0277,120.8005,4606100
2024-10-08,121.1676,121.6603,119.081,119.3032,3194500
2024-10-09,118.8492,120.501,118.4338,119.7379,3210400
2024-10-10,119.4288,119.8538,118.2502,118.7622,2785300
2024-10-11,118.8202,119.7186,118.7236,119.7186,2556200
2024-10-14,119.535,120.588,119.081,120.4044,1929700
2024-10-15,121.6892,122.5104,120.4624,120.7812,7521300
2024-10-16,120.53,121.9501,119.9794,121.9307,3127400
2024-10-17,122.1722,122.6842,120.8778,121.4767,2463700
2024-10-18,121.8631,121.979,120.7908,121.6409,4356300
2024-10-21,121.6216,122.1336,120.4624,121.6216,4768600
2024-10-22,123.6406,124.3265,119.3322,121.2642,5746100
2024-10-23,122.5973,123.1673,121.3608,122.8871,5451400
2024-10-24,122.0853,122.3751,120.8681,120.9164,4171800
2024-10-25,121.7762,121.9597,120.559,120.9068,4716200
2024-10-28,120.9744,121.6313,120.3948,121.1676,4453200
2024-10-29,121.1483,121.2352,118.511,118.6173,5102700
2024-10-30,118.1826,118.6366,117.6127,117.7189,4852100
2024-10-31,117.1779,117.9411,116.4824,116.8785,4112700
2024-11-01,117.3711,117.4871,114.7049,114.7146,5234900
2024-11-04,115.0237,115.5647,113.8259,113.9901,6856100
2024-11-05,114.4634,115.0527,113.7003,114.9368,8093600
2024-11-06,118.3855,118.6849,116.1733,117.4581,9631900
2024-11-07,117.8542,118.0957,115.8835,115.9994,4415200
2024-11-08,116.8398,119.9987,116.7915,119.3515,6381600
2024-11-11,119.8635,121.2738,119.8055,120.3271,4012300
2024-11-12,120.6459,121.0227,118.144,119.1776,3896200
2024-11-13,119.1873,119.7379,118.7815,119.5447,2802500
2024-11-14,119.0134,119.3032,113.565,114.8788,6113200
2024-11-15,114.7429,115.4227,113.7523,115.1119,6970500
2024-11-18,114.9565,116.2676,114.9565,115.9471,4462300
2024-11-19,117.7438,117.8506,115.0828,115.5295,4654100
2024-11-20,115.4227,115.8403,114.2767,115.714,3990700
2024-11-21,116.151,117.3941,115.4324,117.0542,4847900
2024-11-22,117.2387,118.3653,117.0251,117.2873,3585200
2024-11-25,116.8891,117.5107,114.6166,115.2284,8322400
2024-11-26,115.4421,117.5495,115.1702,117.1319,3175800
2024-11-27,117.5495,118.239,116.86,116.8697,3604000
2024-11-29,117.1999,118.3556,117.1805,118.3167,2728600
2024-12-02,118.3167,118.4721,115.1216,115.2576,4468700
2024-12-03,115.5878,116.0054,114.4903,114.6943,3620300
2024-12-04,114.3641,115.9277,114.1116,115.7917,3774300
2024-12-05,115.3741,115.5781,114.2961,115.1022,3328800
2024-12-06,114.6166,114.9371,114.0145,114.5875,4792100
2024-12-09,113.9659,114.4515,110.9262,113.2181,7255400
2024-12-10,113.2375,114.8108,112.6548,114.2184,3725400
2024-12-11,114.4418,114.5778,112.9462,113.5677,4298000
2024-12-12,113.5677,113.8688,112.2858,112.7034,3848600
2024-12-13,112.9074,114.5292,112.6257,114.3544,5061600
2024-12-16,114.0436,114.9371,113.4318,114.704,3986400
2024-12-17,114.2961,114.7234,113.626,114.0339,3012400
2024-12-18,113.4901,114.063,111.0719,111.1496,4113600
2024-12-19,112.3635,113.8688,111.9265,112.1304,5446900
2024-12-20,111.6254,113.4124,111.2952,113.121,13389200
2024-12-23,112.8394,113.5192,112.4509,113.2667,3588700
2024-12-24,112.6063,113.5872,112.5383,113.4609,1663000
2024-12-26,113.4026,114.2281,113.0336,113.6649,2147000
2024-12-27,112.9171,114.1407,112.4995,113.3444,3847500
2024-12-30,112.111,112.5772,111.2272,111.8973,2822000
2024-12-31,112.2373,112.752,111.5963,112.3829,2445000
2025-01-02,113.5969,114.0631,112.2081,112.6646,3207500
2025-01-03,112.9462,113.3055,112.4898,112.5286,2902600
2025-01-06,112.9268,112.9268,110.4503,110.8097,3832300
2025-01-07,110.8096,111.9556,110.6445,111.4895,3588400
2025-01-08,111.6157,112.8491,111.1107,112.5772,4294200
2025-01-10,112.4995,113.1696,111.4992,111.7905,4287300
2025-01-13,111.2758,114.5292,111.2758,114.3447,5414900
2025-01-14,115.3353,116.0733,114.772,116.0248,3804900
2025-01-15,116.6852,116.8988,114.7623,115.6557,4279600
2025-01-16,115.9082,117.0348,115.6655,116.9862,3896900
2025-01-17,117.1222,117.8506,116.4035,117.6175,4368600
2025-01-21,119.1908,122.182,118.9674,122.1237,6071100
2025-01-22,122.0557,122.2499,120.0843,120.7932,5103800
2025-01-23,122.1334,123.3376,121.104,122.6481,5501300
2025-01-24,121.9003,122.6384,121.473,121.6964,3483000
2025-01-27,122.9686,124.2991,120.7932,121.4439,6207800
2025-01-28,127.3971,128.611,122.4927,124.6487,8451600
2025-01-29,123.7261,126.0181,121.405,121.5216,5179000
