Date,Open,High,Low,Close,Volume
2024-08-19,349.3595,351.0136,348.1188,350.5213,1457500.0
2024-08-20,350.0093,352.9828,348.9262,349.8715,1739800.0
2024-08-21,349.8714,353.357,348.9754,352.461,1238400.0
2024-08-22,353.5539,354.765,351.1908,352.4019,1077700.0
2024-08-23,353.8395,355.149,351.7718,353.2093,1358600.0
2024-08-26,354.3416,357.5416,353.8,355.1391,1359200.0
2024-08-27,355.1392,357.325,353.5342,354.4401,1380200.0
2024-08-28,355.2376,357.3348,353.9871,356.1336,1156500.0
2024-08-29,357.256,357.5613,353.8296,355.0603,847500.0
2024-08-30,357.1477,364.5717,355.592,363.6855,1882200.0
2024-09-03,362.6911,365.4776,356.8426,358.1521,1446200.0
2024-09-04,357.9551,360.013,355.8973,357.1182,990300.0
2024-09-05,357.5318,357.8469,352.5004,354.5385,874300.0
2024-09-06,355.0111,358.7034,352.4019,355.277,1171200.0
2024-09-09,357.2659,359.1071,355.2967,358.2997,1169700.0
2024-09-10,359.9834,366.6099,358.5656,366.1274,1480900.0
2024-09-11,364.1384,366.3046,354.6862,365.8812,1743800.0
2024-09-12,365.4381,368.5003,362.1692,368.2148,902600.0
2024-09-13,369.2289,373.0295,368.7957,369.6227,1006400.0
2024-09-16,371.2178,374.28,370.1249,373.2264,1154300.0
2024-09-17,374.408,376.9384,371.2966,372.1827,830400.0
2024-09-18,372.7637,373.7975,368.6283,369.5341,1172500.0
2024-09-19,374.1519,375.1267,370.499,373.9058,1069300.0
2024-09-20,372.8523,373.6793,369.928,372.6947,2543500.0
2024-09-23,373.3052,376.515,371.6905,375.9932,1213700.0
2024-09-24,374.3982,377.8049,373.896,375.688,1079200.0
2024-09-25,377.5292,377.5292,373.1969,375.3138,759400.0
2024-09-26,374.4671,379.3015,374.1028,378.0215,981700.0
2024-09-27,377.5882,379.3212,374.7526,376.84,1325900.0
2024-09-30,376.5446,377.5883,370.8141,375.7963,1706700.0
2024-10-01,377.1649,377.9132,371.9071,374.723,1255500.0
2024-10-02,371.6412,374.6837,370.5089,372.3403,794300.0
2024-10-03,371.464,371.464,366.5902,367.3582,713800.0
2024-10-04,368.7563,368.7563,362.5828,365.5859,883700.0
2024-10-07,360.3675,363.3508,358.2505,362.1201,805300.0
2024-10-08,364.3059,369.5637,363.4,367.6535,1013400.0
2024-10-09,369.544,373.3348,368.3723,373.128,834000.0
2024-10-10,370.5286,372.8818,368.5987,370.6566,975500.0
2024-10-11,371.5034,373.2363,370.0363,373.1575,945400.0
2024-10-14,373.0688,379.0848,371.5427,378.2479,849500.0
2024-10-15,380.6996,386.5285,378.6417,382.5703,1037100.0
2024-10-16,382.2553,385.1796,382.2553,383.3975,777200.0
2024-10-17,384.3722,386.2626,381.5464,383.0922,1080700.0
2024-10-18,384.9827,384.9827,381.3003,382.3833,1280300.0
2024-10-21,380.5027,382.0485,375.0676,375.875,1351000.0
2024-10-22,373.059,383.0134,355.4444,355.8185,4720200.0
2024-10-23,352.6087,360.4462,352.2641,357.1379,1847800.0
2024-10-24,354.5976,357.5613,354.4204,356.0253,1386200.0
2024-10-25,356.0548,359.4222,353.1108,353.5145,1122000.0
2024-10-28,357.6007,360.4659,355.021,357.6794,1002200.0
2024-10-29,353.3472,358.1521,353.3472,356.0548,1044300.0
2024-10-30,356.744,360.1311,356.0646,356.3206,1334000.0
2024-10-31,354.2234,356.5865,353.101,353.2487,949900.0
2024-11-01,355.7791,358.3883,352.0868,352.461,1093800.0
2024-11-04,376.3181,377.795,363.4887,368.6382,5565700.0
2024-11-05,368.0769,373.8861,368.008,372.3895,2582500.0
2024-11-06,374.0239,377.5291,369.5046,374.8707,4691300.0
2024-11-07,378.5827,383.2006,376.2886,378.0904,16521800.0
2024-11-08,379.0553,383.742,375.4516,380.7193,2209500.0
2024-11-11,380.8079,385.4848,380.8079,383.2596,1172600.0
2024-11-12,385.9574,385.9574,377.4307,377.7655,1146300.0
2024-11-13,379.1242,383.614,377.6177,381.3297,1172700.0
2024-11-14,380.3649,382.8067,379.4098,382.4818,1276600.0
2024-11-15,380.4646,383.3745,373.6385,373.8456,1722800.0
2024-11-18,373.8654,377.673,367.9863,370.2551,1511900.0
2024-11-19,367.345,370.038,362.3833,368.4301,1671700.0
2024-11-20,368.9233,368.9233,362.3636,366.6151,1440800.0
2024-11-21,368.0257,378.2155,364.4745,378.1168,2588500.0
2024-11-22,379.774,383.1772,377.7617,383.0292,1619900.0
2024-11-25,386.679,394.8762,384.4201,394.2843,3291900.0
2024-11-26,394.3337,394.6,389.7862,390.7628,1889300.0
2024-11-27,392.3313,394.9848,388.5532,388.6124,2249100.0
2024-11-29,392.124,393.3571,388.2967,392.0057,1373200.0
2024-12-02,390.674,393.0908,387.3301,390.2104,1538700.0
2024-12-03,390.3683,392.5976,385.0712,389.954,1016900.0
2024-12-04,389.4509,389.5298,385.4657,386.7481,1213900.0
2024-12-05,385.1205,386.2154,379.2611,380.0108,1388300.0
2024-12-06,382.4966,384.3905,379.2413,379.7346,1910000.0
2024-12-09,380.1686,380.6618,370.3734,371.3401,2337500.0
2024-12-10,370.2649,370.7285,365.5794,366.5559,1808600.0
2024-12-11,368.8642,369.5448,365.4807,366.8913,1302400.0
2024-12-12,365.678,365.9246,361.3575,361.8704,1219300.0
2024-12-13,362.1959,362.2453,357.5301,359.5523,1118800.0
