Date,Open,High,Low,Close,Volume
2024-08-12,109.257,109.3493,107.6135,108.3798,1730300
2024-08-13,108.3798,109.8664,107.8997,109.2662,900400
2024-08-14,109.7279,111.0852,109.3401,110.5312,664300
2024-08-15,111.0113,111.436,109.7371,110.328,754400
2024-08-16,110.2535,111.1946,109.5547,110.7007,929400
2024-08-19,110.9896,113.2258,110.9896,112.676,880000
2024-08-20,112.5456,113.8034,112.5456,113.2817,641400
2024-08-21,113.6264,114.8097,112.294,112.7133,624300
2024-08-22,113.1512,113.263,111.7163,112.7878,696100
2024-08-23,113.0301,113.7848,112.7412,113.7103,579800
2024-08-26,113.9712,114.2227,112.4245,113.0767,974200
2024-08-27,113.0767,113.85,111.8747,112.4617,1686400
2024-08-28,105.2221,108.2036,105.0078,106.8992,3063900
2024-08-29,106.6849,106.8433,105.1196,106.0234,1466800
2024-08-30,106.1165,107.6167,105.8929,106.8526,1143000
2024-09-03,106.6849,110.9244,106.6849,110.6355,1557900
2024-09-04,110.943,113.1699,110.738,112.3033,1353300
2024-09-05,113.1326,113.5239,112.2568,112.9183,984800
2024-09-06,112.7506,113.9991,111.9866,112.0611,1110900
2024-09-09,112.0797,113.0301,111.3995,111.9772,728600
2024-09-10,112.0704,112.8344,110.3374,110.8498,856900
2024-09-11,110.6914,111.1293,108.9397,109.4708,1459700
2024-09-12,109.2565,110.0019,108.595,109.9274,778900
2024-09-13,109.8715,112.6667,109.5267,112.499,648400
2024-09-16,113.3935,114.3718,112.3033,112.6294,696100
2024-09-17,112.2754,113.468,111.3809,111.5393,871900
2024-09-18,111.0548,113.3469,111.0548,112.2568,990100
2024-09-19,111.8002,112.3779,111.0362,111.1573,896100
2024-09-20,111.4461,111.7163,110.0485,110.6355,2338100
2024-09-23,110.4771,111.148,109.7876,110.8591,1027400
2024-09-24,110.8498,111.4927,109.1354,109.4149,992800
2024-09-25,110.1883,111.1759,109.9833,110.1696,746100
2024-09-26,109.7969,112.1263,109.7969,111.6884,625400
2024-09-27,112.1263,114.2693,111.3064,112.881,772700
2024-09-30,113.7196,113.8221,111.8282,112.8344,773100
2024-10-01,112.8997,113.4308,111.8188,112.9369,769500
2024-10-02,112.1822,112.3686,110.4864,110.9989,634000
2024-10-03,110.3187,110.6355,108.2875,109.2752,741000
2024-10-04,108.6882,109.4708,108.0266,109.3777,733300
2024-10-07,109.2193,109.592,108.0732,108.2502,805800
2024-10-08,108.3155,109.0422,107.4769,108.8093,733700
2024-10-09,109.1727,109.8249,108.3807,109.2099,404200
2024-10-10,109.6479,109.946,108.4459,109.0329,495900
2024-10-11,109.3683,109.7783,108.6043,108.8466,606400
2024-10-14,109.1074,110.4212,108.6602,110.1417,571900
2024-10-15,110.6914,113.7475,110.3001,112.3127,797600
2024-10-16,111.6791,113.496,111.3809,113.3096,693600
2024-10-17,112.9556,113.1046,111.8841,112.9742,695100
2024-10-18,112.9742,113.6171,112.1449,113.4214,920600
2024-10-21,113.3842,113.4867,111.6511,111.7443,595500
2024-10-22,111.8095,111.8095,108.4552,109.6665,958800
2024-10-23,109.0329,109.9181,108.3155,109.6665,471200
2024-10-24,109.974,110.7101,109.0143,109.0515,577100
2024-10-25,108.5484,109.387,108.1105,108.1478,418500
2024-10-28,108.9025,109.5267,107.4955,107.5794,643100
2024-10-29,106.8992,108.0359,105.9861,106.0234,738500
2024-10-30,105.7066,106.247,105.0637,106.1445,875100
2024-10-31,106.2097,107.2812,105.483,105.7625,1286500
2024-11-01,106.3588,106.3588,104.8214,105.2128,766800
2024-11-04,105.2221,107.1135,105.0637,105.9302,1012000
2024-11-05,105.7532,108.4552,105.7532,108.4459,955200
2024-11-06,109.5454,110.0392,107.626,107.7285,1314500
2024-11-07,107.5048,108.3155,106.5358,107.393,995200
2024-11-08,107.6166,107.7937,106.5731,107.5701,894300
2024-11-11,107.7751,108.2968,105.4643,105.8929,1145100
2024-11-12,106.3122,106.7594,104.1692,104.3369,1115300
2024-11-13,104.3556,104.5699,102.4362,103.4424,1833700
2024-11-14,103.7685,105.073,103.1256,103.1909,1131800
2024-11-15,103.0591,103.379,99.9165,100.6033,1901200
2024-11-18,100.8856,104.3012,100.8856,103.9436,1572400
2024-11-19,104.0659,105.769,103.3038,105.2985,1092100
2024-11-20,105.2044,106.5876,104.7622,105.4585,888200
2024-11-21,105.4397,107.218,104.3011,107.1615,1050200
2024-11-22,107.218,107.7637,106.1077,106.6064,1263000
2024-11-25,107.4626,108.046,106.2112,106.9075,3044300
2024-11-26,112.9106,118.0104,111.5556,112.9953,3914000
2024-11-27,113.1929,113.6257,110.7276,111.0287,1710700
2024-11-29,111.057,111.6403,110.6712,110.8311,1000900
2024-12-02,110.9441,113.3622,110.3983,112.5154,1364600
2024-12-03,112.5436,112.5719,109.9373,110.3607,1279500
2024-12-04,109.6174,110.5206,107.171,108.62,1439200
2024-12-05,108.4412,109.9373,108.4412,109.7773,853100
2024-12-06,109.8996,110.2572,109.3445,109.5797,1103500
2024-12-09,109.5703,112.4307,109.5703,110.8688,1427800
2024-12-10,111.3392,111.3392,108.0366,108.206,1193600
2024-12-11,107.8108,108.2906,106.5123,106.5594,1449000
2024-12-12,106.8604,107.8861,106.1077,106.8134,1260600
2024-12-13,107.2839,107.8014,106.4935,106.8228,1083600
2024-12-16,106.8322,107.9707,106.1077,106.1171,1773900
2024-12-17,105.3832,108.2154,105.2233,107.792,1517000
2024-12-18,106.2959,106.8981,103.6425,103.7178,1212700
2024-12-19,103.0027,104.0847,102.1464,102.5322,1111300
2024-12-20,102.137,104.0001,102.137,103.3979,1989500
2024-12-23,102.8709,104.7998,102.8709,104.6305,1066800
2024-12-24,104.4046,105.2138,103.746,104.941,370600
2024-12-26,104.4423,105.402,104.1036,104.367,705200
2024-12-27,103.6143,105.0445,103.6143,104.0847,513700
2024-12-30,103.746,103.9718,102.5604,103.3885,775900
2024-12-31,103.285,104.1506,102.9368,103.6143,574200
2025-01-02,104.0753,105.6749,103.5484,104.7904,1059900
2025-01-03,104.9033,105.7125,104.0941,104.941,689800
2025-01-06,104.4799,105.0163,102.4193,102.711,1350400
2025-01-07,103.0968,103.5202,101.0173,101.1208,833600
2025-01-08,100.3493,100.8103,98.1099,99.2013,1309700
2025-01-10,98.4204,98.8908,94.8167,94.939,1405500
2025-01-13,95.5788,96.595,94.9296,96.1339,989600
2025-01-14,96.0116,96.5386,95.0331,95.8893,747800
2025-01-15,96.5385,97.2348,94.3838,94.5814,1235200
2025-01-16,94.0922,96.595,93.9134,96.4821,820500
2025-01-17,96.8867,97.6112,95.7764,96.1057,955800
2025-01-21,96.5762,98.5615,96.5762,97.3289,900800
2025-01-22,97.0372,97.4606,95.8893,96.1151,838700
2025-01-23,95.927,96.6797,95.2965,96.4539,714700
2025-01-24,96.1151,98.1193,96.1151,97.583,901400
2025-01-27,99.3519,102.5322,99.286,100.9515,1052900
2025-01-28,100.4622,101.7136,99.032,99.1073,942000
2025-01-29,99.3519,100.8385,99.3519,99.6342,769300
2025-01-30,100.7162,102.5604,100.2646,101.4125,853000
2025-01-31,100.4716,101.7607,99.7189,100.5751,1349900
2025-02-03,99.9353,100.528,98.4674,99.6248,810600
2025-02-04,99.6812,99.9635,97.2066,98.4863,837600
2025-02-05,98.1475,98.4674,97.3572,97.8653,793100
2025-02-06,99.0978,99.0978,96.7267,97.1031,1350900
2025-02-07,97.6206,97.6206,96.3033,97.1784,1062600
2025-02-10,97.0749,98.0911,96.0022,96.9149,1255000
2025-02-11,96.8114,98.4392,95.7199,98.1852,1026100
2025-02-12,97.4889,97.9499,95.9269,97.7429,1333400
2025-02-13,97.7241,99.2954,96.962,98.9567,1094400
2025-02-14,98.2152,99.9835,96.7987,96.9983,1135400
2025-02-18,95.6388,96.599,93.8991,95.4582,2123700
2025-02-19,95.6864,98.025,95.116,97.9395,1683200
2025-02-20,97.911,102.17,97.7303,102.0084,1933600
2025-02-21,102.075,105.3929,101.8183,104.5848,1759600
2025-02-24,104.5563,107.1706,103.6151,105.4879,1422300
2025-02-25,106.0203,107.3132,105.7256,106.9234,1059800
2025-02-26,106.4481,106.5812,102.9306,103.7767,1775500
2025-02-27,99.413,105.3643,98.4433,103.7577,2511900
2025-02-28,105.2502,107.7981,104.0048,105.0791,2072500
2025-03-03,104.6893,107.5319,104.3566,106.5622,1459200
2025-03-04,107.1801,109.2431,104.3186,104.4231,1730200
2025-03-05,103.7482,105.7826,103.2158,103.9858,1259800
2025-03-06,104.233,107.1421,103.3204,105.9918,1163700
2025-03-07,105.659,114.4244,105.659,111.5913,2432100
2025-03-10,112.1902,115.4891,111.0494,111.3251,1932100
2025-03-11,110.8878,111.2205,108.1403,108.6252,1595200
2025-03-12,106.4196,107.2086,104.927,105.5545,1191700
2025-03-13,106.3625,108.0548,105.5069,106.2485,1300700
2025-03-14,105.3073,106.7048,104.7559,106.0583,720100
2025-03-17,106.1819,107.8266,105.7161,106.3531,1210000
2025-03-18,106.258,106.6097,105.0601,105.4024,1249600
2025-03-19,104.5277,104.9841,103.3013,104.7274,1292600
2025-03-20,104.8034,105.2407,103.6816,103.9573,1185300
2025-03-21,103.7957,105.564,103.6721,104.29,2326900
2025-03-24,104.5943,106.4671,103.9763,106.239,1427200
2025-03-25,106.1439,106.4291,104.7369,105.8587,885200
2025-03-26,106.0013,109.1766,105.9157,108.8343,1223200
2025-03-27,109.3382,111.2586,108.8628,110.9734,1291500
2025-03-28,111.2871,111.9526,110.0322,110.5836,1224000
2025-03-31,111.2015,113.892,111.1445,112.5705,1761000
2025-04-01,113.2075,113.3596,111.0684,112.6751,1147100
2025-04-02,112.8747,113.236,111.0019,112.6085,1025600
2025-04-03,113.1314,114.8046,111.6293,112.4849,1623500
2025-04-04,112.9508,113.179,109.3002,109.4808,1550800
2025-04-07,106.7999,109.7375,105.4594,107.4558,1994100
2025-04-08,109.11,110.2033,103.8622,104.7464,2272300
2025-04-09,103.4154,109.5759,102.7975,109.4047,1555100
2025-04-10,108.9864,109.9086,106.5337,108.7297,1439900
2025-04-11,109.0625,111.2301,108.1974,110.2223,1126200
2025-04-14,110.2794,112.9318,110.1082,112.0857,1206600
2025-04-15,112.1997,112.6561,110.2794,110.536,951200
2025-04-16,111.6008,112.0666,108.6632,109.1766,1044600
2025-04-17,109.4428,111.154,109.4333,110.6977,1189100
2025-04-21,110.7357,111.0304,109.2811,110.1843,828900
2025-04-22,110.3459,112.0286,109.8516,111.924,1218800
2025-04-23,112.7226,112.7797,110.6977,111.8005,731300
2025-04-24,111.4772,111.4772,108.9864,109.9846,1115300
2025-04-25,110.2794,110.3554,107.684,109.5473,788700
2025-04-28,109.5093,110.0322,107.6935,108.397,920700
2025-04-29,108.0928,109.8421,106.6002,109.6044,715400
2025-04-30,110.7452,111.0209,108.3685,110.536,1578300
2025-05-01,109.1195,109.5568,107.9882,108.1593,819200
2025-05-02,109.0245,109.3857,107.7791,109.1005,731400
2025-05-05,108.5016,108.9199,107.4273,108.2924,713400
2025-05-06,108.0262,108.7583,106.9139,107.9217,910200
