Date,Open,High,Low,Close,Volume
2024-08-20,261.8775,263.1872,260.6246,261.3365,130600
2024-08-21,262.9784,265.1234,262.0008,264.7248,150400
2024-08-22,264.7248,265.5979,263.0923,263.5384,186000
2024-08-23,265.038,270.353,263.8611,269.3943,194500
2024-08-26,270.4953,271.3875,267.8188,268.5876,193500
2024-08-27,268.2459,268.4737,266.9266,267.7714,225400
2024-08-28,267.9137,268.5212,265.4935,265.9206,212000
2024-08-29,268.0846,268.8818,266.1484,266.8318,268600
2024-08-30,268.4832,269.4513,265.5884,269.2994,292400
2024-09-03,268.0466,270.1631,263.6902,265.3322,340400
2024-09-04,265.3322,266.566,263.1872,264.8672,202200
2024-09-05,264.5254,264.5254,256.999,258.2423,458800
2024-09-06,258.1474,261.1466,255.2147,257.056,268400
2024-09-09,258.8687,264.402,258.0905,262.9214,327400
2024-09-10,263.3201,264.421,259.6945,261.7066,246100
2024-09-11,261.4978,262.5893,255.8601,262.2096,282500
2024-09-12,262.9879,263.7946,259.182,263.7187,216600
2024-09-13,264.5634,267.9802,264.5634,266.1674,244800
2024-09-16,267.6385,269.5177,265.7972,267.1165,239700
2024-09-17,267.8568,269.1286,265.503,265.8257,251200
2024-09-18,267.126,270.7706,266.006,266.3762,266900
2024-09-19,271.2641,272.3935,268.2269,271.5488,205300
2024-09-20,269.9638,269.9638,267.3063,268.7774,532400
2024-09-23,269.8879,272.403,268.3219,270.3055,326000
2024-09-24,270.6188,271.3306,269.4514,269.9354,330400
2024-09-25,270.8939,271.6058,268.4072,269.1855,288700
2024-09-26,271.6058,275.0795,270.7326,274.7663,227100
2024-09-27,275.2409,277.7275,273.3427,273.8267,293700
2024-09-30,273.3426,275.2219,270.9604,274.9656,216100
2024-10-01,274.7378,275.9147,270.5333,273.3331,259500
2024-10-02,273.1054,276.5506,272.5264,276.209,335100
2024-10-03,275.4971,275.4971,271.4824,274.0165,201000
2024-10-04,276.7595,276.7595,271.5204,272.1468,276600
2024-10-07,270.1537,271.919,269.9354,271.4634,187600
2024-10-08,272.2037,272.5928,269.9069,270.9129,185400
2024-10-09,270.9603,274.9181,270.9603,272.8206,210000
2024-10-10,273.0389,274.6714,270.4954,271.7387,326200
2024-10-11,272.8111,277.253,272.8111,276.9587,401400
2024-10-14,276.3703,281.7423,276.3323,281.505,430800
2024-10-15,282.6628,287.2375,280.404,280.6317,693200
2024-10-16,281.2202,284.4947,281.2202,282.9096,543100
2024-10-17,289.952,311.734,288.9744,311.1076,927800
2024-10-18,313.2051,313.6891,306.1153,309.4941,1420100
2024-10-21,308.6114,311.174,306.8745,309.3991,505800
2024-10-22,309.0006,309.0006,305.6597,306.8556,335000
2024-10-23,307.2067,308.9341,304.9194,308.6873,389000
2024-10-24,308.4596,311.117,306.7702,309.0765,563500
2024-10-25,311.3069,311.715,308.1084,309.9591,222100
2024-10-28,313.8031,317.3717,312.6546,315.6633,379500
2024-10-29,313.1672,318.4252,311.6106,316.508,376000
2024-10-30,316.565,320.5322,315.7487,316.0999,422000
2024-10-31,315.9955,317.2009,313.2146,313.3285,545200
2024-11-01,313.6607,316.0144,312.1326,313.4803,253900
2024-11-04,313.3379,317.1154,312.9013,314.1921,231100
2024-11-05,311.6675,317.3526,308.6398,317.1723,272600
2024-11-06,329.8524,337.4643,329.6436,336.2114,515400
2024-11-07,335.8128,336.9802,332.3865,335.1579,347000
2024-11-08,337.7585,342.0674,336.1071,340.9854,356800
2024-11-11,343.2253,344.7154,341.8586,343.4341,374800
2024-11-12,342.7698,344.9907,341.7542,342.0105,471400
2024-11-13,343.4341,346.756,342.8647,342.8742,295800
2024-11-14,342.1624,342.542,338.7646,339.5808,397600
2024-11-15,339.6092,344.1459,338.5557,338.8879,342500
2024-11-18,339.0683,341.0235,338.4988,339.1537,272400
2024-11-19,335.3572,338.1002,334.0854,336.686,393900
2024-11-20,337.6731,339.9604,335.0725,339.6187,420800
2024-11-21,339.9625,345.4336,339.9625,345.0707,354600
2024-11-22,345.7773,350.5323,344.7557,349.4343,593000
2024-11-25,350.8951,356.0893,350.8951,353.8932,584300
2024-11-26,352.3369,355.2205,351.0479,354.5712,442500
2024-11-27,355.1155,357.006,352.3369,352.547,273000
2024-11-29,352.547,355.1727,352.4324,352.9862,181200
2024-12-02,353.6927,354.3516,350.074,350.3032,327500
2024-12-03,350.1217,351.8881,345.8919,348.6035,271300
2024-12-04,347.5628,350.265,345.319,346.4648,265600
2024-12-05,345.6054,347.1331,343.0751,345.0325,332000
2024-12-06,345.6055,346.694,339.5615,341.6048,433000
2024-12-09,341.9007,343.3521,336.9357,338.578,453200
2024-12-10,338.6257,342.0058,335.4749,338.7499,395700
2024-12-11,341.0223,341.0605,339.0649,339.7524,386200
2024-12-12,339.2655,341.3947,338.9599,339.571,255900
2024-12-13,339.1891,339.953,336.8498,339.065,263900
2024-12-16,338.1578,340.2775,334.7396,336.2769,454700
2024-12-17,334.4627,336.7924,331.56,333.0591,328700
2024-12-18,333.4793,336.2673,322.919,322.9858,390100
2024-12-19,325.5066,327.5403,322.1169,322.413,371100
2024-12-20,323.1577,329.1349,321.4868,328.1228,1521500
2024-12-23,325.9076,329.4595,324.8191,328.8102,752300
