Date,Open,High,Low,Close,Volume
2024-08-14,58.41,59.0,57.48,57.78,867000
2024-08-15,58.25,59.2,57.86,58.84,1013000
2024-08-16,58.96,59.99,58.61,59.4,842900
2024-08-19,59.42,60.35,59.24,59.45,1084200
2024-08-20,59.21,60.07,59.21,59.45,771100
2024-08-21,59.58,59.82,58.76,59.66,936400
2024-08-22,59.91,60.68,59.48,59.77,710400
2024-08-23,60.17,61.64,59.9,61.4,642400
2024-08-26,61.38,61.88,59.67,60.18,938400
2024-08-27,59.83,61.0,59.61,60.55,770100
2024-08-28,60.36,60.46,59.35,60.05,794700
2024-08-29,60.17,63.75,60.01,62.92,1463800
2024-08-30,62.83,65.0,62.83,64.11,2089500
2024-09-03,63.52,64.45,63.345,63.83,1140800
2024-09-04,63.44,65.53,63.18,65.11,1414800
2024-09-05,65.06,65.78,64.08,65.6,1437000
2024-09-06,65.53,66.555,64.515,66.2,1299500
2024-09-09,65.97,67.67,65.74,67.03,1417800
2024-09-10,67.0,68.98,66.38,68.35,1648800
2024-09-11,67.88,69.52,67.17,69.41,1623000
2024-09-12,68.78,70.115,68.32,68.65,1274000
2024-09-13,68.65,70.42,68.54,70.0,1013100
2024-09-16,69.97,71.915,69.9,71.79,991000
2024-09-17,71.5,73.4,71.36,72.33,788800
2024-09-18,72.3,73.27,71.51,72.13,679700
2024-09-19,72.9,73.23,72.2,72.34,886300
2024-09-20,72.03,72.13,69.85,69.95,4410100
2024-09-23,70.33,71.36,69.49,70.12,1336900
2024-09-24,70.12,70.87,69.7,70.04,878800
2024-09-25,70.1,70.115,68.765,69.22,772500
2024-09-26,68.86,69.05,67.88,68.1,1951900
2024-09-27,68.41,69.13,67.32,67.57,2001200
2024-09-30,67.49,69.85,67.3,69.72,1369000
2024-10-01,69.44,69.44,66.95,67.3,932400
2024-10-02,66.98,68.26,66.6,67.63,820700
2024-10-03,67.63,67.82,66.65,67.26,754600
2024-10-04,67.58,68.41,67.2,67.74,837200
2024-10-07,67.35,67.35,65.97,66.29,1222600
2024-10-08,66.8,68.72,66.705,67.13,1034400
2024-10-09,67.48,69.26,67.27,69.18,842300
2024-10-10,68.8,68.815,67.875,68.1,529600
2024-10-11,68.25,68.85,67.74,68.14,1235900
2024-10-14,68.22,69.47,68.1,69.39,646800
2024-10-15,69.15,70.5,69.02,69.72,957500
2024-10-16,69.75,71.6,69.7,71.42,774700
2024-10-17,71.5,72.72,71.14,72.41,1252200
2024-10-18,72.79,73.8,72.358,73.68,831700
