Date,Open,High,Low,Close,Volume
2024-09-23,151.105,153.1987,151.105,153.0621,2274400
2024-09-24,152.8254,155.538,152.2428,154.8462,1546700
2024-09-25,154.9555,155.3651,153.0166,153.9269,1349400
2024-09-26,154.1908,154.1908,150.9958,151.4782,1085300
2024-09-27,152.4067,153.5901,151.4783,152.6616,1397200
2024-09-30,152.0881,153.9086,151.2234,153.854,1599400
2024-10-01,153.8358,154.5276,151.3963,154.3365,1327100
2024-10-02,153.3898,154.5094,152.4704,153.4171,1321400
2024-10-03,153.1076,153.3443,151.6967,153.2442,1126700
2024-10-04,153.2442,154.5003,152.079,154.3638,1211100
2024-10-07,153.3716,153.5537,151.7422,152.4704,1069300
2024-10-08,153.2168,153.8176,151.4873,152.2246,1087400
2024-10-09,151.8423,154.2636,151.2415,154.0452,805300
2024-10-10,153.1167,154.0361,152.079,152.7708,741900
2024-10-11,153.7812,156.1206,153.6993,155.4561,1135400
2024-10-14,155.0283,156.8215,154.291,156.2754,888800
2024-10-15,156.5666,160.8449,156.5666,158.9607,1374000
2024-10-16,159.0335,160.0166,158.4327,159.3248,1264000
2024-10-17,158.7786,159.3885,157.3677,158.7058,1070800
2024-10-18,159.1609,161.1908,157.7864,161.0452,1060400
2024-10-21,160.4626,160.9268,158.0686,158.5783,1032000
2024-10-22,158.7331,159.7799,157.9776,159.1609,928100
2024-10-23,157.9685,159.5706,157.0127,158.2234,908900
2024-10-24,158.2507,159.525,157.1765,157.841,1047200
2024-10-25,158.1596,158.4418,154.6915,155.2195,954900
2024-10-28,156.1752,158.3234,156.1115,157.04,1101500
2024-10-29,156.5849,157.2767,155.6564,156.5484,857700
2024-10-30,156.776,158.0049,156.2025,156.6395,929400
2024-10-31,155.1466,156.2663,153.8631,153.9451,1794900
2024-11-01,152.1154,156.0023,151.105,152.6525,1433600
2024-11-04,153.4535,156.7123,152.6616,156.7123,1215900
2024-11-05,155.6564,158.7422,155.5927,158.7422,894600
2024-11-06,160.4808,162.6746,156.0023,158.0322,1967000
2024-11-07,158.4782,161.0816,158.2051,159.9802,1278200
2024-11-08,160.4535,163.3573,160.4535,162.9568,972000
2024-11-11,162.7929,165.5419,162.4834,165.0686,1491200
2024-11-12,164.932,166.434,162.1739,162.2285,1516500
2024-11-13,163.2844,164.932,162.4834,163.0933,1197200
2024-11-14,163.1297,164.5679,161.919,162.3104,1187600
2024-11-15,162.0101,164.6226,160.6629,164.0946,1127500
2024-11-18,163.1661,165.0049,163.1661,164.6225,1125600
2024-11-19,163.6485,165.4236,163.0478,164.9502,1160400
2024-11-20,164.2584,165.0504,163.2662,164.6772,1139300
2024-11-21,164.7318,166.3612,164.1128,165.4873,883800
2024-11-22,166.6524,167.4535,164.4405,164.8865,1836500
2024-11-25,165.7968,166.4886,163.9126,163.949,4564900
2024-11-26,164.3858,167.4353,163.8397,166.9983,1358500
2024-11-27,166.8163,169.3105,166.7617,167.2623,903000
2024-11-29,168.1453,169.3104,167.1258,167.1258,1291400
2024-12-02,166.7253,166.7344,164.5315,165.0959,1687800
2024-12-03,166.3248,166.4249,163.3209,164.4223,1651400
2024-12-04,165.0322,165.3143,163.2025,165.2233,1128400
2024-12-05,164.4314,166.3976,164.1856,165.5601,1209300
2024-12-06,166.5796,167.4717,165.7786,167.3443,1419400
2024-12-09,167.2614,168.3571,166.0091,167.6849,1638400
2024-12-10,167.0128,167.0128,164.057,165.0331,1925500
2024-12-11,165.0331,165.6132,162.0957,162.639,1777000
2024-12-12,162.639,165.604,162.5469,163.1639,1509100
2024-12-13,163.5966,165.5763,162.2615,165.3738,1462400
2024-12-16,165.1436,168.3019,164.6555,167.5192,1499700
2024-12-17,166.0828,168.1545,165.4935,165.7052,1681100
2024-12-18,165.2725,166.9023,157.8233,157.9246,1852100
2024-12-19,158.919,160.4384,155.6226,155.8528,2057400
2024-12-20,157.5102,160.3463,156.8381,158.0167,4887000
2024-12-23,157.455,158.1456,156.129,157.8049,1388500
2024-12-24,157.3537,159.7109,157.0038,159.6189,441700
2024-12-26,158.9559,160.5857,158.4771,160.0332,469900
2024-12-27,158.6981,160.4844,157.7496,158.385,734400
2024-12-30,156.5986,157.9338,155.1622,157.3353,852000
2024-12-31,158.6244,158.9006,156.9946,158.5691,1376100
2025-01-02,158.8361,160.4383,157.989,159.7846,1154500
2025-01-03,160.2634,162.2891,159.8675,162.1234,896900
2025-01-06,161.2855,161.9668,160.1529,160.5949,2050700
2025-01-07,160.9632,162.7035,159.4439,160.3739,2317800
2025-01-08,160.0516,161.1289,159.0848,160.8527,1319700
2025-01-10,158.7072,160.9908,156.6263,157.4181,2010300
2025-01-13,157.1235,159.3702,156.3869,159.1124,1257000
2025-01-14,159.8859,160.8711,159.0203,159.8214,1067900
2025-01-15,162.6206,162.9245,157.3353,158.1456,1204400
2025-01-16,158.3942,159.4439,157.2156,159.0295,1195800
2025-01-17,159.7478,161.8011,158.873,160.3463,1302400
2025-01-21,160.2174,162.5654,160.2174,162.0221,1078300
2025-01-22,161.5709,161.5709,158.9282,159.2045,1517100
2025-01-23,159.582,161.1381,158.5968,161.0092,902100
2025-01-24,160.5304,162.4733,160.1805,160.4476,1050700
2025-01-27,160.7882,162.8968,160.4844,162.7035,1186100
2025-01-28,161.9668,163.3572,161.4604,161.709,786600
2025-01-29,162.0589,163.127,159.0664,159.8767,689200
2025-01-30,161.2486,163.2099,160.6593,161.8656,1093600
2025-01-31,161.9392,163.081,159.4163,160.0884,1504200
2025-02-03,158.4771,160.291,157.0775,159.6741,1306100
2025-02-04,157.8049,159.9043,157.8049,159.6189,1041100
2025-02-05,164.4161,166.2485,162.0313,164.9226,1998200
2025-02-06,166.9851,167.0864,163.7071,165.8986,1382900
2025-02-07,166.2117,166.5708,165.0883,165.6868,1082100
2025-02-10,166.4511,166.5984,164.5911,166.2577,1492000
2025-02-11,166.0551,169.9317,165.5303,169.7751,2155800
2025-02-12,166.6168,169.8212,166.6168,169.3147,1395300
2025-02-13,169.9501,172.2797,169.1214,171.4694,1355200
2025-02-14,172.0587,173.2373,170.3368,170.3921,998000
2025-02-18,170.7143,172.1876,170.2816,171.3036,1135200
2025-02-19,170.8064,171.8009,169.6831,171.2024,783100
2025-02-20,170.742,172.6388,170.742,171.9206,940600
2025-02-21,172.381,172.648,167.3811,169.2411,1367600
2025-02-24,169.812,171.4325,169.3055,170.0237,1657000
2025-02-25,170.1619,171.497,168.5597,169.2411,1356700
2025-02-26,170.0514,171.3589,168.6794,169.6462,1078300
2025-02-27,170.3829,171.3589,168.0625,168.1177,954100
2025-02-28,169.1306,171.4878,167.8691,171.3497,2573100
2025-03-03,172.4546,175.0789,171.3128,172.9058,2047200
2025-03-04,172.6756,172.9703,168.2558,169.0385,2894800
2025-03-05,167.6481,169.7567,166.4972,168.8544,1772800
2025-03-06,166.8194,167.243,160.512,160.7146,1949500
2025-03-07,160.512,161.6814,156.2119,157.5471,1898700
2025-03-10,156.8479,157.9666,152.9512,154.0885,2140500
2025-03-11,154.3775,154.7224,149.4273,152.4011,2565500
2025-03-12,153.3147,156.0462,152.8859,154.5919,2003000
2025-03-13,154.741,156.186,147.4976,148.6722,1832900
2025-03-14,149.996,150.2943,147.9544,150.285,1887500
2025-03-17,151.2545,156.4284,150.6485,155.5521,2279300
2025-03-18,155.2724,156.6987,153.4079,153.6317,1340200
2025-03-19,153.6317,154.7597,151.8232,153.6317,1674500
2025-03-20,153.4732,154.2843,151.2079,153.3054,1445800
2025-03-21,152.2333,152.802,149.0731,151.1147,3094000
2025-03-24,151.4876,155.1512,150.7325,154.8622,1300500
2025-03-25,155.0207,157.2674,153.119,154.5266,1661800
2025-03-26,154.9275,157.1276,154.9275,157.0343,1630100
2025-03-27,157.0437,158.0691,154.247,154.6105,1665700
2025-03-28,155.5801,156.0275,152.0562,153.1469,1309300
2025-03-31,152.5783,155.4775,152.4944,154.825,2409200
2025-04-01,155.347,156.1487,152.5876,155.1885,1483200
2025-04-02,154.5826,159.281,154.3495,158.8615,1417900
2025-04-03,152.6435,153.8181,141.5872,142.7991,3770000
2025-04-04,137.8584,140.4966,133.076,136.1524,3680100
2025-04-07,130.5123,140.3287,128.7504,133.626,3557400
2025-04-08,138.4456,139.8347,129.142,130.8573,2703600
2025-04-09,129.7759,143.7873,127.1004,142.7991,4323400
2025-04-10,139.8347,141.6992,133.4023,137.6812,2325500
2025-04-11,136.8236,138.9211,132.6565,138.1567,1713000
2025-04-14,140.7483,141.5966,138.6135,139.7135,1406900
2025-04-15,139.4618,141.4567,138.7626,139.2473,1203500
2025-04-16,139.1355,140.9813,136.8888,138.0168,1435900
2025-04-17,138.9863,141.7644,138.744,140.2076,1267300
2025-04-21,138.2499,138.6507,135.9566,137.2244,1701000
2025-04-22,139.2194,141.8669,137.9702,140.4966,1495900
2025-04-23,142.6221,147.5722,142.4915,142.8924,1862300
2025-04-24,142.2958,146.64,141.55,145.6145,1696800
2025-04-25,145.7357,147.0781,144.9992,146.0433,1421800
2025-04-28,146.2764,148.2434,145.5959,147.768,1551700
2025-04-29,146.5281,147.7307,144.7755,146.1738,1284300
2025-04-30,144.9433,147.1993,142.7805,146.7145,2279600
2025-05-01,147.5069,149.9494,146.3603,148.1035,1365700
2025-05-02,150.201,151.4223,148.9332,150.807,1321300
2025-05-05,149.7723,151.2265,149.446,149.9587,991100
2025-05-06,148.9519,150.4342,147.5256,149.3155,1139400
2025-05-07,149.9773,152.4477,149.6883,150.5273,1629300
2025-05-08,150.9282,153.2308,149.4833,151.963,1387000
2025-05-09,152.28,153.902,151.4876,152.1308,1612100
2025-05-12,157.9199,160.4742,157.836,159.8217,2804900
2025-05-13,156.3818,156.6148,149.6045,149.9774,3838100
2025-05-14,149.9494,150.9375,147.4883,150.257,2179200
2025-05-15,150.4155,152.3732,150.0333,151.9816,1279200
2025-05-16,152.4384,154.2283,151.5342,153.93,1352600
2025-05-19,151.7579,153.8181,151.3663,153.3427,1591400
2025-05-20,152.3825,152.541,150.9002,151.8977,1661800
2025-05-21,150.5274,151.0214,147.2552,147.4044,2158200
2025-05-22,147.2738,148.2993,145.3907,147.2459,1903800
2025-05-23,145.6518,147.2925,145.4747,146.1459,1268500
2025-05-27,147.8145,149.9587,146.584,149.3527,1929600
2025-05-28,149.3528,150.3036,148.0942,150.285,1488400
2025-05-29,150.7511,153.4825,150.2943,152.1681,1337300
2025-05-30,151.124,152.224,150.0892,152.019,3546200
2025-06-02,151.1426,151.8884,148.7375,151.8698,1156200
2025-06-03,151.413,152.6249,150.3502,150.8163,1651900
2025-06-04,150.574,151.4409,149.5206,150.6672,994700
2025-06-05,150.6672,150.9748,149.5485,149.8562,1065900
2025-06-06,151.1892,151.7299,149.735,151.1147,1303800
2025-06-09,150.8219,152.7391,150.548,151.5113,1139000
2025-06-10,151.1147,152.1725,150.4157,151.9552,1328400
2025-06-11,152.4558,152.9091,150.1891,150.8313,1486300
2025-06-12,150.4724,150.5197,149.1785,149.9719,1565000
2025-06-13,148.7346,149.3202,146.8079,148.1868,2090700
2025-06-16,149.3863,150.8502,148.5079,149.0935,1753200
2025-06-17,149.0085,149.7074,147.7429,148.404,1388000
2025-06-18,148.4041,149.7641,147.5729,148.3757,1476100
2025-06-20,149.0652,150.0474,147.9507,148.5363,2806500
2025-06-23,148.8385,150.6991,147.2612,150.2458,1340500
2025-06-24,150.7274,151.9741,149.9624,151.228,1559200
2025-06-25,150.718,151.0958,148.3285,148.6591,1380400
2025-06-26,149.1785,151.823,148.8385,151.6814,1788200
2025-06-27,151.8986,153.0886,150.633,151.5869,2029000
2025-06-30,151.4358,151.993,149.2257,151.8325,2060200
2025-07-01,151.4358,156.5642,151.1147,155.1475,1772300
2025-07-02,155.2609,157.0931,154.0992,156.6303,1589400
2025-07-03,156.9515,158.4909,156.4887,157.4804,925300
2025-07-07,156.7531,158.576,155.1098,155.8748,1277600
2025-07-08,155.1475,156.3376,154.0992,154.3731,1790400
2025-07-09,155.4781,155.5915,153.8725,153.882,1427100
2025-07-10,153.9386,155.5064,153.7214,154.3731,1061500
2025-07-11,153.0036,153.4003,152.0214,152.7675,1112300
2025-07-14,152.3708,153.5325,151.7758,153.4097,1434000
2025-07-15,153.8914,153.8914,150.4819,151.0486,1532200
2025-07-16,151.8136,152.9186,150.5008,152.503,1438900
2025-07-17,152.7108,154.1181,152.3897,153.6931,1054200
2025-07-18,153.8536,154.7131,153.0508,153.8158,950800
2025-07-21,154.0331,155.7237,153.3908,154.6659,1502800
2025-07-22,154.6281,156.6492,154.3447,156.3754,1654000
2025-07-23,157.1215,157.5087,155.9409,156.5359,1040600
2025-07-24,156.1676,157.6409,155.6481,155.7992,1339300
2025-07-25,156.3376,157.9337,155.1475,157.8298,1374700
2025-07-28,157.5182,158.2171,155.9315,156.1015,1090200
2025-07-29,157.6126,158.8215,156.8759,158.746,1125600
2025-07-30,159.001,159.3504,155.2136,156.2715,1085200
2025-07-31,155.1287,156.7815,154.3542,154.6942,1739400
2025-08-01,153.9008,154.2786,150.8313,151.7569,2149800
2025-08-04,152.3519,156.0448,151.5869,154.8359,1847300
2025-08-05,151.1052,160.1438,151.1052,159.9076,2645200
2025-08-06,160.5593,162.0421,158.0093,158.2265,1844700
2025-08-07,159.4165,159.511,155.9315,157.112,1399500
2025-08-08,157.1026,157.9243,155.6576,155.7709,1109100
2025-08-11,155.3742,156.4226,154.2219,156.0259,1190800
2025-08-12,156.8098,160.0116,156.1865,159.8227,1242600
2025-08-13,159.8887,163.2794,159.7187,163.0055,1660300
2025-08-14,161.9288,162.9488,161.0221,162.6277,1889000
2025-08-15,162.8638,163.7705,161.7116,163.6572,1581600
2025-08-18,163.7611,164.4411,162.7316,162.9772,1187900
2025-08-19,163.0055,166.3584,162.5333,165.1684,1907500
2025-08-20,165.4233,165.7539,163.8366,164.46,1017400
2025-08-21,163.5533,164.5166,162.8733,163.7988,810700
2025-08-22,165.2439,168.0206,164.4127,166.755,1313800
2025-08-25,166.7739,167.5862,166.1695,166.6134,1408400
2025-08-26,166.5756,167.9262,166.2261,167.0101,2020200
2025-08-27,166.8117,168.7006,166.6039,168.2756,1754600
2025-08-28,169.0595,169.5695,167.2461,169.3995,1438700
2025-08-29,170.004,170.9296,169.4562,170.6273,1716900
2025-09-02,167.6145,169.2673,167.18,168.9368,2825700
2025-09-03,168.7384,170.2401,167.9639,169.8718,1590500
2025-09-04,170.7785,171.8174,169.7207,171.4396,2103600
2025-09-05,172.6485,174.5185,170.769,172.129,1829500
2025-09-08,171.6757,172.7713,170.1079,172.4124,2369300
2025-09-09,171.5044,172.3933,170.262,171.4471,1889400
2025-09-10,170.9884,171.9058,170.1091,171.2942,2223300
2025-09-11,172.0206,176.0059,171.7052,175.7574,1786300
2025-09-12,175.7574,176.3308,174.0371,174.3907,1547300
2025-09-15,174.1423,176.0824,173.2248,175.6236,1570800
2025-09-16,175.1649,175.9199,173.2248,173.4828,1348600
2025-09-17,173.5019,175.9963,172.6704,173.521,1706300
2025-09-18,173.9415,174.7443,170.7685,172.1161,1898600
2025-09-19,172.3742,174.2378,172.0683,172.7182,7083300
2025-09-22,171.7816,173.3968,170.4914,173.1196,1401800
2025-09-23,172.7182,176.4933,172.6226,175.9772,1386200
2025-09-24,175.9199,176.5029,174.4003,175.0215,1531200
2025-09-25,174.9833,175.6427,174.4003,174.5245,1303600
2025-09-26,174.7252,177.6497,174.1518,177.1814,1368100
2025-09-29,177.2579,178.0894,176.6367,177.6211,1282600
2025-09-30,177.9269,179.8097,177.0954,179.3605,1812200
2025-10-01,179.3509,180.0868,176.2353,177.535,1836400
2025-10-02,177.5351,177.5637,175.7383,176.8183,1494100
2025-10-03,176.9903,178.9591,176.5124,177.0285,1146500
2025-10-06,176.2735,177.0476,171.2177,171.2368,1568000
2025-10-07,171.3037,171.7625,169.4783,170.9979,1601000
2025-10-08,169.9562,170.4627,169.1056,170.3384,1318500
2025-10-09,170.8068,171.3515,169.6217,170.9214,923300
2025-10-10,171.6574,172.269,167.5286,167.5382,1621100
2025-10-13,168.666,169.8128,167.7771,168.6851,1124000
2025-10-14,168.4366,168.7233,166.917,168.0447,1528600
2025-10-15,168.9049,171.2368,168.8093,170.4627,1409400
2025-10-16,170.6538,171.4089,168.2741,168.9144,1069200
2025-10-17,168.6181,170.8259,168.5513,170.2047,1045500
2025-10-20,170.7208,171.4949,169.3254,170.5678,685200
2025-10-21,170.7399,172.6704,170.1856,170.8068,1073300
2025-10-22,172.0492,173.0432,170.9023,172.011,919800
2025-10-23,171.9345,172.6131,170.1186,170.7972,1168200
2025-10-24,171.5618,171.8772,170.1664,170.2047,1229500
2025-10-27,170.6252,171.9823,169.8511,171.8198,1005000
2025-10-28,171.4089,171.4089,168.7902,168.9431,962300
2025-10-29,167.9109,168.7615,164.7571,165.9517,2293400
2025-10-30,166.3149,167.8823,165.4547,165.6746,1571500
2025-10-31,165.8848,168.6468,164.5659,167.9778,1912300
2025-11-03,166.7354,169.8319,166.1046,168.8475,1965500
2025-11-04,170.176,176.8278,170.176,174.5054,2382100
2025-11-05,174.7635,175.9772,173.3203,173.3681,1809900
2025-11-06,173.5019,174.4767,171.8294,172.7373,1099500
2025-11-07,173.4159,175.5567,172.6991,175.4707,1040800
2025-11-10,176.2162,176.6367,174.2283,174.8399,1282300
2025-11-11,175.7192,177.4586,175.7192,176.8087,1251700
2025-11-12,176.1779,177.1623,175.6332,175.6714,1480000
2025-11-13,174.8973,176.9425,174.687,175.4803,1467800
2025-11-14,175.6905,175.9199,173.4446,174.6392,792100
2025-11-17,175.4994,175.4994,171.8963,172.9763,1418200
2025-11-18,172.2881,174.0945,171.8198,173.8746,945400
2025-11-19,174.0562,174.5054,172.1257,172.1543,1132400
2025-11-20,174.6105,175.9772,171.9536,172.097,1184700
2025-11-21,172.6991,175.3464,172.3264,174.9737,1331500
2025-11-24,174.9737,175.3656,173.4255,174.5723,1425900
2025-11-25,175.3082,178.4334,175.0788,176.933,1368100
2025-11-26,176.4073,178.6341,176.4073,177.3439,1180100
2025-11-28,176.866,178.9113,176.2544,178.0703,506300
2025-12-01,176.8087,178.0033,176.4837,176.9425,1073300
2025-12-02,177.3535,177.6402,173.3203,174.104,1242700
2025-12-03,174.4194,175.4994,174.1996,174.2283,1791700
2025-12-04,174.1518,175.7765,174.104,175.2031,1285800
2025-12-05,174.601,175.5854,174.0849,174.4767,1642400
2025-12-08,174.1805,175.0215,171.9823,172.097,1840000
2025-12-09,172.5271,174.2856,172.4697,173.0336,1522600
2025-12-10,173.498,177.2421,173.4303,175.7425,2038500
2025-12-11,176.3714,177.0486,175.2588,175.9361,1451500
2025-12-12,176.6036,177.4743,175.7329,176.1005,1239800
2025-12-15,176.71,178.3644,176.3327,178.1806,1498900
2025-12-16,178.703,178.8481,176.323,176.5939,1583400
2025-12-17,177.0293,178.8385,176.4681,178.229,1442600
2025-12-18,178.9739,180.996,177.5808,179.0513,1144300
2025-12-19,179.0126,179.4867,177.9678,178.9159,4492200
2025-12-22,178.1806,180.8895,177.6582,180.5896,1160900
2025-12-23,180.4832,181.6345,179.7286,181.4991,937900
2025-12-24,182.0408,182.9019,181.7796,182.1666,437200
2025-12-26,182.1956,182.7664,180.3381,181.6055,492000
2025-12-29,182.3988,182.573,181.0056,181.5184,746400
2025-12-30,181.3152,181.8377,180.1833,180.7541,768400
2025-12-31,180.5993,180.9186,179.032,179.09,1096500
2026-01-02,178.4708,179.8156,176.9325,177.9871,987600
2026-01-05,177.1067,179.1771,177.1067,177.1551,1480600
2026-01-06,176.2263,180.8895,176.0812,180.2413,1204000
2026-01-07,180.5799,181.5958,177.9291,177.9677,1203600
2026-01-08,177.3969,181.3443,177.3969,178.9642,1630900
2026-01-09,178.7127,179.9801,178.1419,178.6837,1169300
2026-01-12,178.2193,179.0997,177.1551,178.8191,1344200
2026-01-13,178.8482,179.8737,176.8261,178.3838,1369000
2026-01-14,178.1806,180.0285,176.3327,179.6802,1886100
2026-01-15,180.8702,180.8702,175.4523,176.3811,2103900
2026-01-16,175.6845,179.09,174.3107,178.9062,1707200
2026-01-20,179.8156,179.8156,177.3389,178.3257,3051300
2026-01-21,179.7479,180.3961,178.5579,179.1481,2352300
2026-01-22,178.8965,181.8183,177.8903,179.0804,1440400
2026-01-23,178.5676,179.7189,177.6291,178.7224,833500
2026-01-26,179.1674,179.9414,177.7549,179.3029,976900
2026-01-27,179.448,179.7286,177.2035,178.5579,1021700
2026-01-28,178.7417,179.7092,177.3969,177.7839,1326400
2026-01-29,179.3029,183.6275,177.7646,183.6275,1687300
2026-01-30,183.6759,185.9978,183.1244,185.0884,3019700
2026-02-02,185.6785,187.2072,184.4208,185.0013,2151400
2026-02-03,184.3434,185.3109,180.1446,183.2598,2276900
2026-02-04,184.1886,190.1967,184.0338,189.2292,1989100
2026-02-05,190.1677,191.4931,188.0682,190.8449,1877600
2026-02-06,193.4861,194.8503,191.3964,193.1088,2322300
2026-02-09,193.1378,193.4958,190.1193,190.1773,1384700
2026-02-10,190.7772,192.1607,188.8229,189.9161,1693200
2026-02-11,189.6162,190.4386,187.5748,188.4359,1354400
