Date,Open,High,Low,Close,Volume
2024-08-19,99.293,100.3771,98.385,100.1177,1558900
2024-08-20,99.5954,99.9125,98.1965,99.0638,1337400
2024-08-21,99.9778,100.985,99.4835,100.6027,1328600
2024-08-22,100.6959,101.1809,97.6182,98.0939,1638200
2024-08-23,99.6141,102.1135,99.1384,101.8524,2044500
2024-08-26,101.2555,101.8244,100.0151,100.2016,1477400
2024-08-27,99.3902,100.9291,98.6721,100.4441,1003300
2024-08-28,100.1363,100.8451,98.5602,99.5395,1435300
2024-08-29,101.1902,103.2979,100.183,100.4441,2039900
2024-08-30,101.9829,103.2793,101.1063,102.2068,1812900
2024-09-03,100.5187,101.1902,94.41,94.9789,2878300
2024-09-04,94.6432,97.2172,94.3261,95.6131,1794000
2024-09-05,94.3727,96.555,94.1395,94.5592,1746800
2024-09-06,94.382,94.6991,91.3603,92.1344,2750700
2024-09-09,92.8525,94.3354,92.5541,93.0857,1923400
2024-09-10,92.9738,93.039,90.894,92.7499,1206200
2024-09-11,92.7592,95.1281,90.6795,94.9976,2254400
2024-09-12,94.2981,94.4007,92.237,93.6732,2611800
2024-09-13,94.7084,96.1167,94.2514,95.5665,1417400
2024-09-16,93.3281,93.4494,88.5997,90.6981,3232200
2024-09-17,91.2857,92.0038,89.6816,90.2318,1514800
2024-09-18,90.2318,92.237,89.5976,89.7468,1892700
2024-09-19,92.7033,94.009,91.1085,92.7592,2437900
2024-09-20,91.8919,92.61,90.3717,91.1738,4966400
2024-09-23,91.5188,91.6028,90.6142,91.5002,985200
2024-09-24,92.1251,93.067,91.4815,92.0784,1388800
2024-09-25,91.7707,92.3955,89.8028,90.6329,1935200
2024-09-26,92.8618,93.9064,90.3437,93.3281,2082800
2024-09-27,93.8784,93.8784,91.7334,92.1903,1708500
2024-09-30,91.2577,92.7872,90.7727,92.1157,1871800
2024-10-01,90.9779,91.3323,88.264,89.0007,3183600
2024-10-02,89.1406,91.3417,88.9728,90.8007,1813000
2024-10-03,90.2132,91.0245,89.1779,90.2132,1908700
2024-10-04,92.1997,92.2183,89.579,90.3064,1461000
2024-10-07,89.4018,90.1386,88.5624,89.0194,1206300
2024-10-08,89.0194,89.952,87.835,89.6629,2017400
2024-10-09,89.607,91.5189,89.1593,91.2111,1666400
2024-10-10,87.35,89.9893,86.9956,89.9427,2019700
