Date,Open,High,Low,Close,Volume
2024-08-12,44.9291,45.3348,43.8713,44.0983,4034900
2024-08-13,44.3398,44.4123,43.7892,44.1853,3591400
2024-08-14,44.504,45.0015,44.0693,44.7455,3300600
2024-08-15,45.6343,46.1221,44.2625,44.3302,6179600
2024-08-16,44.3881,45.103,44.2819,45.0354,2643200
2024-08-19,45.1126,46.0303,45.1126,46.011,2033100
2024-08-20,45.7888,45.8951,45.1899,45.5087,2243300
2024-08-21,45.6729,45.7521,45.1706,45.6343,2101600
2024-08-22,45.6729,45.9531,45.4121,45.5956,2187200
2024-08-23,45.9048,47.1316,45.5956,46.948,3645900
2024-08-26,47.2378,47.4359,46.9094,47.2089,1937100
2024-08-27,47.1799,47.5277,46.948,47.1509,1670700
2024-08-28,46.8804,47.8658,46.8804,47.8368,2890500
2024-08-29,48.2039,48.513,47.5953,48.0879,2199000
2024-08-30,48.1749,48.8414,47.972,48.5516,2433200
2024-09-03,48.0493,48.2618,47.3345,47.6243,3827500
2024-09-04,47.8851,48.2328,47.1219,47.518,2811900
2024-09-05,47.8464,48.03,46.6679,47.0157,3442500
2024-09-06,47.0833,47.8551,45.5473,45.7985,3227400
2024-09-09,46.3201,46.8997,46.04,46.5327,2573100
2024-09-10,45.8758,46.011,42.5044,44.5813,7940900
2024-09-11,44.5234,44.6006,43.113,44.2819,5316300
2024-09-12,44.4364,44.8518,43.9003,44.8325,3070600
2024-09-13,45.1416,45.7309,45.103,45.528,2197200
2024-09-16,45.3735,45.8468,44.9339,45.7212,3019500
2024-09-17,45.9048,47.8947,45.9048,47.518,3522400
2024-09-18,47.6532,47.9624,46.7162,47.2282,4004700
2024-09-19,48.2135,49.4887,47.8947,49.2955,3759300
2024-09-20,49.3341,49.4162,48.6772,48.8607,7739200
2024-09-23,49.2278,49.5756,47.9865,48.0107,3288100
2024-09-24,48.1845,48.2135,45.9724,46.5713,3835100
2024-09-25,46.7162,46.8515,46.267,46.5616,2161000
2024-09-26,46.7355,47.5373,46.3298,47.3731,3032100
2024-09-27,47.7305,48.4743,47.2861,47.9624,1864900
2024-09-30,47.6726,48.2135,47.4794,48.1845,1990700
2024-10-01,47.9334,48.0686,46.6389,47.3441,2823700
2024-10-02,47.5083,48.5565,47.2185,47.8947,3047400
2024-10-03,47.489,48.2232,47.0398,47.8754,2804600
2024-10-04,49.2375,50.1745,48.8994,50.0972,2636800
2024-10-07,49.7012,50.1938,49.479,49.8171,2595200
2024-10-08,49.7978,50.0972,49.2858,49.45,2751700
2024-10-09,49.4307,50.3185,49.4017,50.2325,2444200
2024-10-10,50.0683,50.5126,49.6625,49.8268,2194100
2024-10-11,50.1069,51.4883,50.0103,51.3434,2172600
2024-10-14,51.4014,52.0872,50.8362,51.865,3131800
2024-10-15,52.1645,52.9276,51.3724,51.4786,4015500
2024-10-16,53.3334,54.6665,52.1742,54.5988,6101500
2024-10-17,54.7051,55.3185,54.1255,54.7727,4763400
2024-10-18,54.5602,54.5602,53.1692,54.5022,3876700
2024-10-21,54.4636,54.6568,53.6618,53.913,2565000
2024-10-22,53.7681,53.913,53.314,53.7777,3197000
2024-10-23,53.6232,53.942,52.7006,53.1305,2354700
2024-10-24,53.6135,54.0192,52.889,53.3817,2616600
2024-10-25,54.0965,54.6278,53.1595,53.2754,3213800
2024-10-28,53.6135,55.1301,53.4107,54.8597,3541600
2024-10-29,54.309,54.5409,53.6715,53.855,2931500
2024-10-30,54.2221,55.4199,54.0482,54.396,4234900
2024-10-31,54.5505,54.9756,53.2271,53.2657,4156700
2024-11-01,53.2561,53.8598,53.0049,53.372,2684000
2024-11-04,53.3332,53.6098,52.8092,53.4302,3607200
2024-11-05,54.0416,55.3128,53.4788,55.1381,3219900
2024-11-06,62.6684,65.7543,62.6199,65.5117,10815900
2024-11-07,64.0658,64.6189,62.5326,62.7267,6225900
2024-11-08,62.7849,63.2604,61.863,61.9018,4786600
2024-11-11,63.3671,64.4152,62.4695,63.6583,5132400
2024-11-12,63.4254,64.192,62.979,63.1925,5422500
2024-11-13,63.4545,65.2012,63.0469,63.2022,5324300
2024-11-14,63.076,63.7844,62.4161,62.9693,3791800
2024-11-15,63.0663,63.5612,62.6976,63.0566,3571800
2024-11-18,62.8334,63.4351,62.0425,62.1541,3020800
2024-11-19,60.9994,62.0231,60.4588,61.766,4105800
2024-11-20,61.9115,63.0663,61.9115,62.4938,2929800
2024-11-21,62.9402,63.4933,62.4938,63.2119,2881200
2024-11-22,63.1148,64.289,63.1148,64.0367,3511500
2024-11-25,64.5122,65.5893,64.3181,65.0556,5898200
2024-11-26,64.4249,65.3176,64.1289,65.2691,2924100
2024-11-27,65.4244,65.6379,64.4928,65.2303,2692100
2024-11-29,66.026,66.6568,65.4244,65.5214,1578300
2024-12-02,65.8902,66.1037,64.6675,65.1041,2512500
2024-12-03,66.5694,66.9576,64.9004,65.1527,3240700
2024-12-04,65.2691,65.337,64.0998,64.8421,2089800
2024-12-05,64.6869,65.3273,64.4637,64.9392,3378300
2024-12-06,65.4632,65.9872,65.0052,65.9096,3423100
2024-12-09,66.4239,67.3322,65.8222,65.9193,4859800
2024-12-10,66.191,66.3463,64.8324,64.8907,3756300
2024-12-11,65.3662,66.5986,64.6286,66.5015,4387000
2024-12-12,66.4918,66.9382,65.6476,66.5015,3223100
2024-12-13,66.5598,66.7538,65.7058,66.0454,2035700
2024-12-16,65.9387,66.5986,65.2934,66.5209,3240300
2024-12-17,66.094,66.3075,64.9101,65.2012,3049900
2024-12-18,65.405,65.9678,61.3487,61.7077,3689800
2024-12-19,64.7936,65.9338,61.7951,62.3676,4460800
2024-12-20,62.1056,64.1434,61.9115,63.5127,13298300
2024-12-23,62.8722,63.8232,62.717,63.5224,2495800
2024-12-24,63.7359,64.7354,63.5612,64.6481,809500
2024-12-26,64.1629,64.978,64.027,64.8324,1622900
2024-12-27,64.2502,64.8421,63.503,63.9688,1321600
2024-12-30,62.8916,63.6,62.091,63.1245,2093500
2024-12-31,63.2701,63.5855,62.8383,63.076,1357900
2025-01-02,63.6777,64.1337,62.6393,63.3186,2354000
2025-01-03,63.8717,64.8324,63.2992,64.8033,1915400
2025-01-06,65.9872,66.453,65.0653,65.667,3181000
2025-01-07,65.5699,66.2104,63.9106,64.6092,2334100
2025-01-08,64.3084,64.3909,63.1342,63.8426,2729300
2025-01-10,62.9693,62.9693,61.5088,61.8824,2962500
2025-01-13,61.504,63.0343,61.1964,62.8916,2712700
2025-01-14,63.7359,64.2017,63.2895,64.1046,1941200
2025-01-15,65.143,66.1716,65.0411,66.094,2874400
2025-01-16,65.9872,66.5452,65.24,65.8028,2214400
2025-01-17,66.1813,66.9576,65.4535,66.715,2351400
2025-01-21,67.2293,67.8213,66.8897,67.4137,2948400
2025-01-22,67.7922,68.6655,67.3458,68.4035,3314600
2025-01-23,68.5102,68.8305,67.9765,68.355,3941100
2025-01-24,67.9862,68.5636,67.6854,68.5394,4049700
2025-01-27,67.928,68.5005,66.8218,67.7922,4615900
2025-01-28,64.5316,65.8805,62.5811,64.6869,8151600
2025-01-29,64.8227,67.011,64.5801,66.7344,5360400
2025-01-30,67.2196,68.19,66.5403,67.4137,4336600
2025-01-31,67.7436,68.1997,66.6083,66.9382,3345600
2025-02-03,64.9903,66.5097,63.8508,65.7792,4245400
2025-02-04,66.9187,67.4836,63.8508,64.2015,7687800
2025-02-05,64.9806,66.198,64.6689,66.0811,4546300
2025-02-06,66.8019,66.909,65.9643,66.4318,3267700
2025-02-07,66.6363,66.9382,65.4481,65.7305,2725600
2025-02-10,66.2759,66.2759,62.9256,63.8119,5396300
2025-02-11,63.3054,64.0067,63.1301,63.5294,3430700
2025-02-12,63.2178,63.4126,61.6595,62.3315,5333700
2025-02-13,62.7698,62.8672,61.7666,62.4094,3654100
2025-02-14,62.2731,63.7145,62.2439,63.51,2063300
2025-02-18,63.9677,64.2502,62.9451,63.5879,2854800
2025-02-19,63.062,64.1235,61.7472,63.8801,5698600
2025-02-20,63.5489,63.6366,60.9193,62.1854,3465600
2025-02-21,62.5263,62.6724,59.4292,59.809,3938600
2025-02-24,60.2084,60.3642,57.72,58.9909,4546100
2025-02-25,59.1955,59.2831,57.1307,57.9586,3525800
2025-02-26,58.5235,59.0299,57.793,58.1728,3157000
2025-02-27,58.5819,59.0689,57.3547,57.7151,2917200
2025-02-28,58.0073,59.1176,57.6859,59.0981,4406800
2025-03-03,58.4455,59.5948,55.4264,56.5074,5359900
2025-03-04,55.2705,55.8744,52.7286,54.6472,6001300
2025-03-05,54.5303,55.066,53.0305,54.3842,5484900
2025-03-06,53.0987,54.1164,52.1734,52.7383,4604800
2025-03-07,52.6994,53.4103,50.732,53.3129,6715300
2025-03-10,51.667,52.1734,49.5438,50.9365,6520100
2025-03-11,50.7807,52.076,50.0308,50.6346,6608000
2025-03-12,51.8228,52.8747,51.1703,52.2124,7173700
2025-03-13,52.3195,52.4851,49.9821,50.547,7294200
2025-03-14,51.1313,52.0371,50.4983,51.9494,5452000
2025-03-17,51.9494,52.2854,50.7028,52.0468,6383000
2025-03-18,52.0273,52.3195,51.3845,51.667,4412900
2025-03-19,51.628,53.3568,51.068,53.0987,4927700
2025-03-20,52.4461,53.8096,52.1832,52.4656,4228000
2025-03-21,51.8813,52.7675,51.1313,52.6117,6429600
2025-03-24,53.7317,54.618,53.4298,54.3648,2960300
2025-03-25,54.7641,55.0855,54.0628,54.394,2521900
2025-03-26,54.5109,55.0855,53.4493,53.7609,3961700
2025-03-27,53.3616,53.3714,52.378,52.7481,3097900
2025-03-28,52.339,52.787,50.547,51.0631,3469000
2025-03-31,50.1671,51.7449,49.5243,51.5598,6142600
2025-04-01,51.1118,52.2221,50.4106,51.8715,3305300
2025-04-02,50.8684,53.9849,50.8684,53.6148,3212200
2025-04-03,49.4562,50.0113,45.1319,45.3462,11259300
2025-04-04,43.1938,43.5006,40.233,42.6679,9503800
2025-04-07,39.9214,45.2585,39.488,43.6418,9164700
2025-04-08,45.541,45.9208,41.9326,42.6873,6307600
2025-04-09,41.5089,50.3619,40.9976,49.164,11825300
2025-04-10,47.4791,48.2485,43.8765,45.4144,5568600
2025-04-11,44.8397,45.239,43.2717,44.9274,6550700
2025-04-14,46.4175,46.4565,44.8787,45.7357,4094500
2025-04-15,46.0571,47.1966,45.6676,46.2714,3860000
2025-04-16,45.6286,46.6415,44.981,45.541,3491900
2025-04-17,45.6384,46.8071,45.1611,46.622,3507300
2025-04-21,46.6026,47.2648,45.166,45.9987,6238800
2025-04-22,46.1935,47.333,44.9274,47.294,7499500
2025-04-23,49.0958,51.5891,48.5017,48.6088,5965600
2025-04-24,48.3751,50.7807,48.2095,50.5664,4406600
2025-04-25,50.2061,50.883,50.0405,50.0795,5001800
2025-04-28,50.06,51.1216,49.9529,50.8099,4060900
2025-04-29,50.4009,51.2287,50.1769,51.0631,2814200
2025-04-30,49.5925,50.8051,48.6965,50.5957,4113400
2025-05-01,50.9171,51.6329,50.3717,50.9463,3303800
2025-05-02,52.0858,53.0694,51.7449,52.7675,3263000
2025-05-05,52.0722,53.6783,51.9449,53.0809,3761000
2025-05-06,52.0526,52.9928,51.8988,52.2974,3581100
2025-05-07,52.6598,53.267,52.1261,52.6598,3297500
2025-05-08,53.4727,54.8535,53.2376,54.3149,4403100
2025-05-09,54.5402,54.7752,53.9623,54.4814,3295100
2025-05-12,58.2617,59.5642,57.5664,59.1137,5947400
2025-05-13,59.4369,60.3771,59.2215,60.0931,4146800
2025-05-14,59.8776,60.24,59.4075,59.8384,5570000
2025-05-15,59.3586,59.5838,58.6143,59.241,3959500
2025-05-16,59.3292,60.0833,59.0354,59.5446,4103200
2025-05-19,58.8297,59.2166,58.3498,58.8101,3001400
2025-05-20,58.5065,59.0599,58.1589,58.6045,2803700
2025-05-21,57.8602,58.1442,56.0288,56.0582,3739400
2025-05-22,56.0092,56.7339,55.6174,56.2736,3137200
2025-05-23,54.5206,55.828,54.5206,55.5685,2218800
2025-05-27,56.4793,57.8797,55.8035,57.8014,3087500
2025-05-28,57.9287,57.9581,56.9689,57.1061,2399700
2025-05-29,57.9287,57.9777,56.5772,57.0473,2002800
2025-05-30,56.6164,56.9298,55.7546,56.4597,5392600
2025-06-02,56.303,57.0228,55.3432,56.9298,2418400
2025-06-03,56.8612,57.8944,56.3617,57.8014,2962000
2025-06-04,57.9287,58.2715,56.636,56.6751,2690100
2025-06-05,56.6556,57.2138,55.7986,56.2638,2520300
2025-06-06,57.439,58.1246,57.111,57.9973,1642300
2025-06-09,59.2998,60.3281,58.0071,59.574,6220300
2025-06-10,59.4467,59.6279,58.5947,59.5055,2772500
2025-06-11,59.858,61.1802,59.7454,60.5142,5658700
2025-06-12,59.8091,60.5828,59.3928,60.1714,3480200
2025-06-13,58.8493,59.5789,58.2323,58.6045,2960000
2025-06-16,59.4173,60.3771,59.0158,60.0049,2628000
2025-06-17,59.2802,59.7601,58.771,59.0354,2862800
2025-06-18,58.9374,60.7101,58.9374,60.1812,2491000
2025-06-20,60.7003,61.3075,60.2792,61.0529,8718800
2025-06-23,60.5436,62.0077,60.2106,61.9441,3560000
2025-06-24,62.894,63.7754,62.6149,63.4033,2723600
2025-06-25,63.6188,64.0791,63.3641,63.5894,2667900
2025-06-26,63.7559,64.5981,63.7559,64.4708,2210800
2025-06-27,64.6373,65.2984,64.2064,64.8234,3960700
2025-06-30,65.3424,65.6558,64.9115,65.362,3572700
2025-07-01,65.4208,67.2522,65.0584,66.7625,3797300
2025-07-02,67.0661,68.163,66.8212,68.0356,3699700
2025-07-03,68.2903,69.0982,67.8006,68.7114,2265900
2025-07-07,68.447,68.922,67.4089,68.2609,2935500
2025-07-08,69.2109,69.2109,67.8594,67.8594,3515300
2025-07-09,68.5645,68.9415,68.0748,68.7114,3347900
2025-07-10,68.7408,70.3959,68.6379,69.6712,3244000
2025-07-11,69.1325,69.5145,68.6526,69.1521,2911600
2025-07-14,69.3578,69.5928,68.8289,69.4165,2559800
2025-07-15,69.1521,69.3382,67.1052,67.1444,2569000
2025-07-16,67.5949,68.0846,66.4393,67.8691,2503200
2025-07-17,67.7222,68.9415,67.7222,68.7408,2353600
2025-07-18,69.0346,69.2402,67.7908,68.5939,3230900
2025-07-21,68.8975,69.2207,67.7614,68.0063,4300200
2025-07-22,67.355,69.8083,66.7821,69.2011,5725400
2025-07-23,70.2979,71.2283,69.1129,70.5918,4878600
2025-07-24,70.5134,71.1892,69.9845,70.3273,4843700
2025-07-25,70.6701,71.9041,70.0825,71.3948,3270900
2025-07-28,71.5319,71.7866,71.0422,71.3654,2801000
2025-07-29,72.0706,72.237,69.534,69.8278,3947200
2025-07-30,70.0825,70.2588,68.2658,68.8093,3586100
2025-07-31,68.7408,69.6026,68.016,68.2315,3482800
2025-08-01,66.1847,66.4981,64.9115,66.1357,5023700
2025-08-04,66.547,67.9671,66.3316,67.8202,3862700
2025-08-05,68.2235,69.0595,67.3923,68.8431,3712300
2025-08-06,68.9218,68.9739,68.0857,68.312,3603600
2025-08-07,69.0103,69.1185,67.171,67.3284,3466900
2025-08-08,68.0267,68.6759,67.4464,68.2923,2890300
2025-08-11,68.371,68.7448,67.8251,68.4595,3765200
2025-08-12,68.853,71.2235,68.7251,71.1743,4516200
2025-08-13,71.371,71.6366,70.5448,71.4005,2760200
2025-08-14,70.9677,71.7251,70.3972,71.6366,2589700
2025-08-15,71.7743,71.8038,70.053,70.3186,2841800
2025-08-18,70.0923,70.6972,69.7481,70.6136,2021600
2025-08-19,70.3972,71.3464,70.171,70.4169,1919500
2025-08-20,70.1022,70.712,68.7841,70.4071,2843900
2025-08-21,70.0136,70.3185,69.3743,70.0628,2161400
2025-08-22,70.6136,72.8956,70.4366,72.0005,3104500
2025-08-25,71.8038,72.9743,71.6661,72.7874,2960000
2025-08-26,72.5907,74.3317,72.3841,74.1055,4220900
2025-08-27,73.9087,74.9042,73.9087,74.5186,2967200
2025-08-28,74.794,75.4825,74.6219,75.3252,2369500
2025-08-29,75.5711,75.8858,74.5678,75.0891,2404300
2025-09-02,73.7514,74.4006,72.6497,74.3809,3264900
2025-09-03,74.0169,74.7527,73.5153,74.253,1966700
2025-09-04,74.6563,75.817,74.2628,75.6006,2520800
2025-09-05,75.7481,76.1415,73.7317,74.371,2149000
2025-09-08,74.5383,74.7547,73.3087,73.9087,2289400
2025-09-09,73.7809,75.0301,73.6137,74.8235,2150000
2025-09-10,74.7546,75.3743,72.6891,73.5153,5275400
2025-09-11,73.5842,74.976,73.171,74.7645,3165000
2025-09-12,74.6465,74.7645,74.0169,74.135,1954400
2025-09-15,74.3219,75.7973,74.135,75.0301,2661300
2025-09-16,74.8235,74.912,72.5022,73.3087,4072700
2025-09-17,73.5448,75.3448,72.6497,73.594,4332700
2025-09-18,74.2432,75.5514,73.8546,75.276,2560600
2025-09-19,75.4727,75.9252,74.9563,75.335,8186400
2025-09-22,74.3809,74.8137,73.8694,74.3415,3205200
2025-09-23,74.5087,75.4432,73.2891,73.5153,2459900
2025-09-24,74.0169,74.2678,72.6596,73.4071,2587700
2025-09-25,72.335,73.1809,71.7841,73.0628,1910700
2025-09-26,73.4858,73.8596,72.7284,73.3186,1744700
2025-09-29,73.9874,74.0366,71.312,72.1186,3016600
2025-09-30,72.4727,72.6104,68.1448,69.8858,5214800
2025-10-01,69.9251,70.3727,68.6071,68.6956,3233600
2025-10-02,68.8136,69.6104,67.9431,69.1284,3753600
