Date,Open,High,Low,Close,Volume
2024-08-26,18.0241,18.1883,17.9694,18.0241,22599700
2024-08-27,18.0059,18.0606,17.8782,17.9238,20321900
2024-08-28,17.9512,18.161,17.942,18.0789,20435500
2024-08-29,18.0606,18.1062,17.8964,18.0241,20775600
2024-08-30,18.0241,18.161,17.9694,18.1518,29362700
2024-09-03,18.1792,18.6535,18.1701,18.6353,50352600
2024-09-04,18.69,19.0366,18.4711,18.763,57532400
2024-09-05,18.8907,19.0001,18.7174,18.8359,44199100
2024-09-06,18.8359,19.1552,18.8359,19.1278,53079500
2024-09-09,19.1187,19.7025,19.0914,19.6113,58958400
2024-09-10,19.5657,19.9397,19.4562,19.8028,60944500
2024-09-11,19.7207,19.7207,19.3741,19.5657,37328500
2024-09-12,19.4562,19.739,19.3103,19.6934,34564800
2024-09-13,19.6751,19.7663,19.5565,19.739,31451300
2024-09-16,19.9214,20.3775,19.8758,20.3136,53733400
2024-09-17,20.1312,20.1586,19.8028,19.8667,29304400
2024-09-18,19.9214,20.0674,19.739,19.8211,27825600
2024-09-19,19.7481,19.7937,19.3194,19.4836,40942200
2024-09-20,19.4288,19.7207,19.365,19.6478,94156500
2024-09-23,19.6478,19.7025,19.4836,19.6022,25550300
2024-09-24,19.5018,19.7572,19.438,19.6934,25905500
2024-09-25,19.7207,19.8302,19.6295,19.666,28334800
2024-09-26,19.6022,19.8484,19.5474,19.7481,25497500
2024-09-27,19.812,20.0126,19.7755,19.9761,23577700
2024-09-30,20.0674,20.1312,19.7663,20.0674,26260200
2024-10-01,20.0035,20.2042,19.9214,20.1859,32705500
2024-10-02,20.113,20.2863,20.0674,20.2407,29820100
2024-10-03,20.1859,20.2771,20.04,20.113,28894700
2024-10-04,19.7937,20.0491,19.593,19.9853,24539300
2024-10-07,19.9853,19.9853,19.7663,19.8667,23116300
2024-10-08,19.9944,20.0491,19.812,19.9397,22716400
2024-10-09,19.9488,20.0674,19.8758,20.0035,25365400
2024-10-10,19.9555,20.0294,19.5952,19.6044,28738500
2024-10-11,19.6783,19.8169,19.6044,19.743,25249800
2024-10-14,19.7337,19.7799,19.6413,19.6413,33512200
2024-10-15,19.7614,19.9647,19.6136,19.8723,35942600
2024-10-16,19.8816,20.1033,19.8446,20.0571,23926900
2024-10-17,19.9185,20.1125,19.8908,20.0756,25471200
2024-10-18,20.0756,20.3804,19.9832,20.1864,27277400
2024-10-21,20.2141,20.2973,20.0017,20.0109,29366200
2024-10-22,19.6321,19.9739,19.4473,19.8631,47781900
2024-10-23,19.6229,20.8608,19.4473,20.7777,71932600
2024-10-24,20.6946,20.7685,20.3804,20.5098,38783100
2024-10-25,20.6022,20.7038,20.1495,20.1679,26050400
2024-10-28,20.2511,20.4636,20.1587,20.4266,27923800
2024-10-29,20.3158,20.6576,20.2511,20.4913,32711100
2024-10-30,20.4451,20.5652,20.2326,20.3435,36264900
2024-10-31,20.3804,20.8793,20.3527,20.8239,59566700
2024-11-01,20.8147,20.9994,20.3897,20.4359,37170000
2024-11-04,20.4543,20.556,20.131,20.2511,24318500
2024-11-05,20.2326,20.4821,20.168,20.3712,26461800
2024-11-06,20.4266,20.6853,20.2973,20.6206,32259200
2024-11-07,20.6853,20.6853,20.2881,20.362,31471800
2024-11-08,20.3712,20.7223,20.3712,20.6391,29901600
2024-11-11,20.5837,20.7685,20.556,20.6114,23465000
2024-11-12,20.519,20.5929,20.131,20.4636,39579500
2024-11-13,20.4821,20.6853,20.3804,20.6022,29345600
2024-11-14,20.6022,20.75,20.5283,20.556,20825100
2024-11-15,20.5467,21.0179,20.5098,20.9532,40207300
2024-11-18,21.0549,21.4336,21.0456,21.2396,35656400
2024-11-19,21.138,21.175,20.9532,20.9994,24727700
2024-11-20,21.0641,21.1565,21.0087,21.0918,20423100
2024-11-21,21.0641,21.3874,20.9994,21.2304,23080900
2024-11-22,21.2951,21.5168,21.1934,21.4152,35732900
2024-11-25,21.3874,21.5445,21.2027,21.3413,64729800
2024-11-26,21.1934,21.3505,21.1288,21.332,30080300
2024-11-27,21.4336,21.5999,21.2581,21.4983,33206300
2024-11-29,21.4983,21.5353,21.2581,21.3967,19673900
2024-12-02,21.3874,21.3967,20.9163,20.9717,44160600
2024-12-03,21.6277,22.2005,21.5999,21.9325,63128700
2024-12-04,21.8679,22.0157,21.5907,21.7385,41534200
2024-12-05,21.8124,22.0711,21.7847,22.0157,40155600
2024-12-06,22.0157,22.0803,21.7662,22.0619,34218800
2024-12-09,22.0803,22.1635,21.563,21.5907,38385900
2024-12-10,21.6277,21.8586,21.3505,21.72,32851500
2024-12-11,21.6461,21.7478,21.3782,21.6923,38518100
2024-12-12,21.7847,21.9325,21.5815,21.5815,22015000
2024-12-13,21.5907,21.8679,21.4891,21.8309,33693900
2024-12-16,21.9048,21.9972,20.8886,21.1011,48018100
2024-12-17,21.0641,21.2304,20.944,21.0918,39844700
2024-12-18,21.0641,21.2396,20.75,20.7685,38897400
2024-12-19,20.7962,20.9532,20.7038,20.8516,43160800
