Date,Open,High,Low,Close,Volume
2024-08-07,1108.5807,1111.1241,1064.979,1065.2538,353500
2024-08-08,1076.8277,1102.2443,1076.615,1091.0337,211300
2024-08-09,1091.3794,1107.0919,1082.1008,1104.3092,172000
2024-08-12,1102.3418,1102.3418,1085.0429,1092.7441,241100
2024-08-13,1098.8944,1103.4762,1083.1641,1102.1733,231300
2024-08-14,1103.6534,1111.7268,1096.741,1106.312,120200
2024-08-15,1123.088,1129.9207,1111.3014,1127.5634,205000
2024-08-16,1129.9207,1135.2999,1122.7246,1134.4226,188100
2024-08-19,1134.4226,1161.1597,1133.0313,1159.3784,288700
2024-08-20,1160.8052,1165.3692,1149.6655,1161.3015,229900
2024-08-21,1165.3692,1168.9229,1158.0402,1164.226,161500
2024-08-22,1166.9112,1169.8003,1154.2472,1155.9576,121700
2024-08-23,1159.1923,1186.8953,1157.3667,1175.7202,273100
2024-08-26,1175.6492,1177.9622,1152.5279,1154.0699,258400
2024-08-27,1152.076,1181.4805,1143.5151,1175.3213,160000
2024-08-28,1183.0935,1185.2913,1173.354,1181.3743,168100
2024-08-29,1187.5245,1219.5699,1183.8999,1209.1215,256800
2024-08-30,1211.1687,1223.7085,1202.3774,1216.9556,251800
2024-09-03,1212.8701,1222.5033,1176.3227,1180.869,206700
2024-09-04,1182.0034,1199.5769,1182.0034,1196.936,120100
2024-09-05,1194.6142,1194.9509,1167.1327,1178.0243,151900
2024-09-06,1179.2117,1183.7402,1146.1294,1146.9093,157100
2024-09-09,1161.5052,1168.1873,1148.6907,1154.5308,176600
2024-09-10,1161.2926,1165.5021,1148.0969,1161.6028,126200
2024-09-11,1162.7106,1176.9166,1141.0428,1176.9166,127400
2024-09-12,1175.8442,1194.6409,1175.4277,1194.6409,133600
2024-09-13,1194.4812,1219.5611,1192.1505,1212.1257,149100
2024-09-16,1224.0718,1230.426,1209.2455,1216.6986,142400
2024-09-17,1218.0013,1224.7809,1208.3594,1218.9407,104300
2024-09-18,1227.3685,1237.2676,1217.2214,1217.3898,130000
2024-09-19,1241.2554,1241.2554,1222.9817,1231.702,159500
2024-09-20,1242.381,1258.4125,1226.5621,1247.8135,339800
2024-09-23,1248.354,1261.0978,1240.9807,1256.6312,223000
2024-09-24,1255.7982,1260.3799,1240.1566,1259.219,300400
2024-09-25,1265.0147,1269.9688,1256.6933,1262.1967,243000
2024-09-26,1267.9216,1269.9422,1239.5362,1241.7872,204000
2024-09-27,1244.056,1248.1857,1236.2662,1243.2495,184600
2024-09-30,1239.2083,1265.6529,1237.2941,1264.7401,233300
2024-10-01,1267.2836,1279.212,1257.2252,1272.5654,176100
2024-10-02,1271.6703,1286.1775,1264.0311,1278.3878,175900
2024-10-03,1278.2727,1278.2727,1255.2931,1257.615,219200
2024-10-04,1268.7587,1270.9481,1250.1671,1268.2534,187800
2024-10-07,1265.0161,1280.4358,1256.7543,1269.2734,144700
2024-10-08,1281.0627,1290.148,1276.2441,1287.1165,94100
2024-10-09,1281.1844,1298.9245,1281.1844,1297.7268,138100
2024-10-10,1279.809,1287.1913,1275.1962,1280.9037,106200
2024-10-11,1284.1224,1323.5044,1284.1224,1319.6776,192100
2024-10-14,1324.8237,1333.0201,1318.2927,1320.8097,152700
2024-10-15,1330.55,1330.55,1300.4778,1301.0579,156000
2024-10-16,1303.3971,1305.6052,1284.9645,1295.0228,193200
2024-10-17,1305.0251,1323.729,1300.9456,1311.7618,197300
2024-10-18,1319.5465,1319.5465,1300.6274,1307.2706,134000
2024-10-21,1309.9279,1315.6073,1286.5925,1297.6333,152800
2024-10-22,1290.1199,1290.1199,1251.2151,1263.5284,206100
2024-10-23,1263.5285,1279.2475,1262.7144,1270.2465,143200
2024-10-24,1273.5493,1281.2686,1256.7168,1258.9905,120500
2024-10-25,1267.8418,1275.6264,1258.5039,1267.6639,133500
2024-10-28,1276.0383,1276.0383,1251.3836,1252.9274,170000
2024-10-29,1245.9847,1255.6595,1241.1754,1250.2046,162800
2024-10-30,1243.449,1258.0455,1242.5602,1244.0853,219000
2024-10-31,1239.7532,1244.656,1216.3897,1218.5137,268400
2024-11-01,1223.6692,1232.6609,1216.3617,1220.5721,218000
2024-11-04,1224.7171,1236.8714,1222.6961,1230.7615,179600
2024-11-05,1237.3018,1252.8526,1233.2036,1251.5426,166500
2024-11-06,1308.0566,1309.9279,1278.7142,1293.6473,396900
2024-11-07,1260.3378,1272.4079,1222.0038,1243.8608,509700
2024-11-08,1242.4386,1281.961,1242.4386,1264.0618,245500
2024-11-11,1273.4745,1295.5936,1272.7728,1286.3118,214600
2024-11-12,1289.4275,1291.8041,1257.5589,1268.2161,266000
2024-11-13,1274.3072,1288.838,1267.0184,1275.3083,227500
2024-11-14,1267.9354,1267.9354,1177.0357,1189.8917,667500
2024-11-15,1184.0159,1197.1525,1160.409,1173.4709,481100
2024-11-18,1179.8334,1184.7456,1163.0196,1171.7773,268300
2024-11-19,1170.4112,1176.4743,1166.0323,1170.1586,319300
2024-11-20,1181.8638,1214.4622,1169.8218,1209.9149,377200
2024-11-21,1221.227,1226.6633,1157.8452,1160.3435,567300
2024-11-22,1159.2862,1185.279,1150.9121,1179.2345,486600
2024-11-25,1186.4204,1186.4204,1167.9317,1179.8521,436900
2024-11-26,1179.824,1191.9315,1167.3516,1181.3772,344900
2024-11-27,1180.8064,1185.0169,1164.844,1168.9515,286400
2024-11-29,1181.5551,1181.5551,1160.8488,1172.3574,171100
2024-12-02,1184.1467,1201.6437,1167.2113,1179.3749,353500
2024-12-03,1173.9388,1184.1282,1169.4195,1177.7281,206800
2024-12-04,1176.7924,1232.8199,1176.7924,1223.6692,348600
2024-12-05,1211.0752,1227.1312,1202.6823,1209.681,261500
2024-12-06,1208.5862,1211.9547,1186.5421,1196.9092,289900
2024-12-09,1196.4788,1196.4788,1170.0275,1177.5222,243500
2024-12-10,1180.7129,1187.197,1170.5983,1180.4041,171100
2024-12-11,1189.7515,1193.3163,1165.2464,1166.4441,220200
2024-12-12,1163.7869,1173.3212,1156.2922,1160.7085,407700
2024-12-13,1157.2464,1180.4789,1155.4031,1178.1117,236000
2024-12-16,1182.2568,1200.3057,1177.2323,1197.6859,350300
2024-12-17,1189.5829,1196.5442,1175.4263,1192.2589,560000
2024-12-18,1183.6603,1195.4403,1158.7249,1159.2863,566800
2024-12-19,1169.5785,1184.6801,1166.5001,1179.0474,454700
2024-12-20,1166.7715,1210.1676,1166.7715,1194.0461,608200
2024-12-23,1187.9269,1213.1337,1182.5187,1207.5758,271900
2024-12-24,1204.3384,1217.9149,1201.0917,1217.9149,91500
2024-12-26,1215.3043,1218.6914,1208.3056,1217.5125,108500
2024-12-27,1206.2285,1214.3968,1201.073,1207.8472,154000
2024-12-30,1185.7749,1204.9279,1185.335,1197.5642,216600
2024-12-31,1199.8285,1206.2379,1180.7784,1185.7468,256600
2025-01-02,1190.0321,1190.2099,1165.2183,1173.4241,297700
2025-01-03,1176.0346,1199.7443,1176.0346,1193.4941,219700
2025-01-06,1194.4858,1194.6916,1165.6673,1170.8135,363500
2025-01-07,1168.5119,1181.9199,1162.5517,1171.5715,190900
2025-01-08,1174.7434,1201.5781,1160.54,1199.8191,319500
2025-01-10,1191.5198,1204.3852,1179.3656,1180.9094,266900
2025-01-13,1172.4696,1198.0881,1172.3386,1196.2074,221600
2025-01-14,1202.4109,1223.2762,1201.4846,1217.0447,211200
2025-01-15,1230.6025,1230.7522,1199.9034,1210.308,292100
2025-01-16,1214.6401,1244.4315,1213.8634,1236.965,229400
2025-01-17,1242.7473,1254.7706,1238.2187,1253.8069,213200
2025-01-21,1270.5552,1277.685,1260.2067,1270.6394,198400
2025-01-22,1272.5014,1275.2991,1256.642,1266.8875,204100
2025-01-23,1290.4101,1290.7094,1251.8421,1263.1261,239600
2025-01-24,1262.5927,1262.6956,1250.8688,1255.491,185200
2025-01-27,1243.2807,1260.7214,1238.8082,1257.746,236700
2025-01-28,1265.671,1265.9518,1235.7485,1243.9449,214800
2025-01-29,1240.3053,1260.2816,1240.3053,1252.7777,191800
2025-01-30,1260.3378,1279.3037,1259.2992,1277.0768,198100
2025-01-31,1279.7528,1283.43,1263.6314,1266.2699,192100
2025-02-03,1247.7905,1270.6301,1245.9379,1265.746,359300
2025-02-04,1172.8158,1274.5224,1172.8158,1223.5288,544500
2025-02-05,1229.0493,1229.751,1194.3454,1208.4178,373300
2025-02-06,1205.9383,1228.5159,1184.4555,1215.7534,406200
2025-02-07,1237.8819,1245.1614,1224.3989,1241.9426,222300
2025-02-10,1245.4889,1249.8585,1228.2446,1249.3906,199200
2025-02-11,1247.5193,1276.899,1238.7241,1273.7833,262900
2025-02-12,1261.8536,1278.2465,1249.7742,1266.3822,309300
2025-02-13,1266.6535,1273.7645,1243.0374,1250.0081,337900
2025-02-14,1250.9812,1250.9812,1214.6774,1229.6387,350700
2025-02-18,1232.0434,1238.3685,1209.7652,1215.8751,281100
2025-02-19,1221.0399,1261.0301,1221.0399,1256.0804,319600
2025-02-20,1254.8829,1263.1447,1222.2749,1228.0948,150400
