Date,Open,High,Low,Close,Volume
2024-08-05,37.2121,38.1329,36.3917,37.5403,8756100
2024-08-06,37.6041,38.4246,37.3306,37.9688,7614900
2024-08-07,38.6343,38.8986,37.3671,37.4674,6245000
2024-08-08,37.7864,38.5157,37.7591,38.3516,5706500
2024-08-09,38.3424,38.5086,38.2224,38.3609,6236400
2024-08-12,38.6009,39.0808,37.8901,38.0471,7869800
2024-08-13,38.4532,38.5086,38.0194,38.4809,5910900
2024-08-14,38.6747,38.7393,38.3516,38.6747,3806800
2024-08-15,39.2285,39.6347,39.0439,39.1085,6438600
2024-08-16,39.0531,39.4593,39.0255,39.2562,4183500
2024-08-19,39.3024,39.6531,39.3024,39.6439,8338700
2024-08-20,39.4408,39.4408,38.9147,39.007,5151200
2024-08-21,39.1824,39.2747,38.3332,38.8501,8700800
2024-08-22,38.9332,39.2747,38.5824,38.647,12283600
2024-08-23,38.9239,40.4931,38.8224,40.4654,10157900
2024-08-26,40.6131,40.9361,40.5392,40.8161,10295300
2024-08-27,40.7423,40.9823,40.3269,40.53,6847800
2024-08-28,40.4285,40.7884,40.2992,40.5577,4632000
2024-08-29,40.7607,40.8807,40.2162,40.53,3669700
2024-08-30,40.7146,41.0746,40.6684,41.0376,6565400
2024-09-03,40.6961,41.3146,40.6777,40.8161,7204100
2024-09-04,40.7423,41.0746,39.9392,40.2623,8083100
2024-09-05,40.5854,40.6407,39.6808,39.8285,5853600
2024-09-06,39.8746,40.1977,38.5916,38.8224,8589000
2024-09-09,39.1455,39.5147,38.9885,39.3208,8392100
2024-09-10,39.4408,39.45,38.2963,38.6932,9250900
2024-09-11,38.2593,38.527,37.5394,38.444,7447500
2024-09-12,38.4439,38.7209,38.1393,38.4255,7471400
2024-09-13,38.6378,38.9608,38.3886,38.6193,9629600
2024-09-16,38.8778,39.1085,38.7024,38.887,10725500
2024-09-17,39.1178,39.3208,38.4716,38.6562,7495400
2024-09-18,38.6193,39.4777,38.4716,38.7855,6707800
2024-09-19,39.4131,39.9577,39.2285,39.6254,10786400
2024-09-20,39.4408,39.5147,38.8039,39.0624,12828800
2024-09-23,39.1178,39.367,38.767,38.9424,6994200
2024-09-24,38.8316,39.1824,38.5178,38.7486,5427600
2024-09-25,38.647,38.7855,38.2593,38.5178,5834300
2024-09-26,38.9793,39.2193,38.5363,39.0716,6132500
2024-09-27,39.2285,39.4593,38.7762,39.247,5329400
2024-09-30,39.0716,39.5054,38.8039,39.4777,4666100
2024-10-01,39.2378,39.3024,38.1486,38.5086,7834900
2024-10-02,38.3609,39.0531,38.3609,38.5547,5736200
2024-10-03,38.3609,38.4809,37.9178,38.2963,5646400
2024-10-04,38.9701,39.3301,38.7578,39.127,5650800
2024-10-07,39.0716,39.2747,38.4255,38.767,7170600
