Date,Open,High,Low,Close,Volume
2024-08-26,147.423,149.7642,146.183,147.0436,3655200
2024-08-27,147.0436,147.8487,145.9886,146.84,3252300
2024-08-28,145.9794,146.5069,144.0731,145.1558,2666500
2024-08-29,144.6006,144.6006,141.0934,141.9725,3879500
2024-08-30,142.2223,142.648,140.8343,142.1575,3933200
2024-09-03,141.5746,143.3976,140.0569,140.4734,4071000
2024-09-04,141.2599,142.2686,137.762,141.1026,3841000
2024-09-05,141.6393,142.0928,139.4277,140.5659,3358900
2024-09-06,140.2975,141.8892,139.4739,139.9921,4045100
2024-09-09,140.0755,141.5098,138.7614,139.3537,3735200
2024-09-10,139.3536,139.5295,136.3554,136.9661,4103200
2024-09-11,136.2628,136.9291,133.8753,136.2999,4089500
2024-09-12,136.3554,137.8638,135.6706,137.3641,3453500
2024-09-13,138.5485,141.2321,138.3264,140.0662,3592300
2024-09-16,140.6122,142.2686,139.4647,141.4357,3429200
2024-09-17,141.5283,142.2223,139.7978,140.6214,3162300
2024-09-18,141.1119,144.397,141.0286,142.139,3269500
2024-09-19,144.8967,145.6463,143.4346,144.8134,5098800
2024-09-20,145.1928,145.6463,142.4537,143.2032,7389800
2024-09-23,143.2217,144.1194,141.5005,143.7029,2927700
2024-09-24,144.2674,146.0534,143.8973,144.5265,3114000
2024-09-25,144.6283,145.2113,142.6573,143.4994,2319900
2024-09-26,144.8504,145.9701,143.5456,144.3415,2757900
2024-09-27,144.8226,145.7573,143.231,143.6011,3067200
2024-09-30,143.6011,144.6839,142.7128,144.2304,2934400
2024-10-01,143.6659,143.8047,140.0754,140.8435,3994400
2024-10-02,140.3438,141.0748,138.7706,139.1778,2795000
2024-10-03,138.7059,138.8077,136.5312,138.4375,4790100
2024-10-04,140.5844,142.3889,140.0292,141.4728,3557100
2024-10-07,141.2414,141.2414,136.8736,137.8823,3301400
2024-10-08,137.873,140.4548,137.7065,140.0292,3224100
2024-10-09,140.2512,142.9164,139.039,142.8146,3514300
2024-10-10,142.8146,144.6006,140.9546,144.3322,3139100
2024-10-11,144.9985,146.9788,144.7579,146.6364,3594100
2024-10-14,146.3958,147.6544,144.869,146.183,2534300
2024-10-15,146.8122,149.4496,146.6179,148.7,2987800
2024-10-16,148.7093,148.7925,146.6271,147.0158,3124500
2024-10-17,147.0251,147.1083,143.9065,144.2581,2879700
2024-10-18,144.8134,145.3501,143.1662,145.1373,2988700
2024-10-21,144.36,144.4155,138.8632,139.6498,4455200
