Date,Open,High,Low,Close,Volume
2024-09-23,119.4635,119.6684,117.551,119.0439,705600
2024-09-24,119.7562,119.7953,118.3121,118.9366,1429900
2024-09-25,119.0537,119.7367,117.6583,118.1755,893300
2024-09-26,118.8097,120.771,117.7559,120.7027,659800
2024-09-27,120.9955,122.1078,120.4198,121.9712,463600
2024-09-30,122.3713,122.3713,120.6247,120.7125,622500
2024-10-01,121.1028,121.5614,118.3804,119.2976,1189800
2024-10-02,119.8245,121.415,119.3074,121.0735,544300
2024-10-03,121.1321,123.4446,120.0977,123.3275,675600
2024-10-04,123.6593,125.201,123.5422,124.0594,878900
2024-10-07,123.552,123.6203,122.3908,123.0738,463000
2024-10-08,122.9958,124.4107,122.4786,123.9228,414100
2024-10-09,124.0203,125.1815,123.6398,124.2838,490400
2024-10-10,124.1179,124.5082,123.2787,123.8154,355500
2024-10-11,123.5032,125.0644,123.5032,124.4302,435900
2024-10-14,124.3228,124.9278,123.0934,123.2495,278700
2024-10-15,122.947,123.8837,122.1664,122.3225,558800
2024-10-16,123.3471,125.0351,122.9177,124.5668,551100
2024-10-17,125.2791,125.9328,124.2252,124.9278,383000
2024-10-18,125.3962,127.777,124.4692,126.7818,767200
2024-10-21,126.5573,127.338,125.5328,125.7474,360000
2024-10-22,125.6499,126.4305,125.0351,125.3864,534500
2024-10-23,124.6156,125.5425,122.7811,122.947,668500
2024-10-24,116.1166,118.9366,111.5793,112.2135,3971800
2024-10-25,112.1062,114.1943,111.9208,112.4575,1037800
2024-10-28,113.2576,113.8138,111.2475,113.4332,993100
2024-10-29,114.1456,114.1456,112.116,113.0625,1408700
2024-10-30,112.8087,114.6432,112.4184,113.8918,1588500
2024-10-31,113.7552,114.4871,113.3747,113.9406,638600
2024-11-01,114.5554,116.263,113.3942,116.1849,1219900
2024-11-04,116.0581,116.985,114.5163,115.3067,757100
2024-11-05,115.3848,116.263,115.053,116.0093,801100
2024-11-06,118.5658,118.9854,115.8336,117.3071,1811000
2024-11-07,115.5312,117.268,112.3306,115.0238,1769000
2024-11-08,115.0823,117.5217,114.2431,117.268,618200
2024-11-11,118.0096,118.0096,115.6482,116.1556,563500
2024-11-12,116.8777,117.229,113.1112,113.6284,564200
2024-11-13,113.8723,116.2532,113.6284,114.9457,593700
2024-11-14,114.77,115.736,112.9649,114.9164,563000
2024-11-15,114.1065,117.0631,113.765,116.3508,706100
2024-11-18,117.4046,122.9568,117.0241,121.981,1112800
2024-11-19,122.1176,127.7868,120.5466,127.7185,1130000
2024-11-20,128.4796,130.8605,127.016,129.5725,1623800
2024-11-21,129.9433,133.9244,129.4944,133.5731,1258000
2024-11-22,133.6707,135.7198,131.4655,132.4803,1406300
2024-11-25,132.7535,134.3537,131.8265,133.4755,1136200
2024-11-26,133.9049,135.2124,132.2949,133.9537,907400
2024-11-27,134.8514,136.0711,133.9732,134.8611,828500
2024-11-29,135.8662,136.0711,134.4806,134.6172,311700
