Date,Open,High,Low,Close,Volume
2024-08-14,36.9909,36.9909,36.4697,36.6338,3827300.0
2024-08-15,39.3167,40.0694,36.7593,37.8305,7174500.0
2024-08-16,37.7822,39.2491,37.734,38.9886,4707200.0
2024-08-19,39.1912,39.5483,38.6122,39.1623,2434400.0
2024-08-20,39.0851,39.2877,38.7473,38.9693,2630300.0
2024-08-21,39.1333,40.1563,39.1333,39.7124,3301400.0
2024-08-22,39.7124,39.8378,38.699,38.7666,2199000.0
2024-08-23,39.2684,40.2625,39.0175,40.2046,2505400.0
2024-08-26,40.5134,40.5327,39.0175,39.2491,2243900.0
2024-08-27,39.0272,39.1333,38.535,38.8535,1962800.0
2024-08-28,38.5543,39.3456,38.0235,39.2781,2526800.0
2024-08-29,39.2588,39.4035,38.7087,39.1044,1928300.0
2024-08-30,39.3842,39.6352,38.8921,39.5387,2806200.0
2024-09-03,39.558,40.3011,39.5387,40.1177,3987200.0
2024-09-04,39.8861,40.4844,39.3842,39.751,3695600.0
2024-09-05,40.0115,40.0598,39.5966,39.915,3339500.0
2024-09-06,39.915,40.353,39.0099,39.2824,2294200.0
2024-09-09,39.3895,40.9565,39.1656,40.1876,4326300.0
2024-09-10,39.954,40.0708,39.2435,40.0708,1998400.0
2024-09-11,39.9637,40.6547,39.3311,40.6353,2416600.0
2024-09-12,40.7229,41.1901,40.2752,40.9175,2249800.0
2024-09-13,41.1803,42.2899,41.1803,41.6183,1949400.0
2024-09-16,41.8032,42.2899,41.6183,42.105,2124500.0
2024-09-17,42.3288,42.5332,41.9979,42.1244,1655800.0
2024-09-18,42.2899,42.8836,41.8616,41.9784,2115400.0
2024-09-19,42.8155,42.9615,41.3458,41.6767,2327500.0
2024-09-20,41.482,41.7156,40.937,41.4334,4674400.0
2024-09-23,42.066,43.088,41.8032,42.942,3743600.0
2024-09-24,43.9834,44.5966,43.6038,44.1878,2736300.0
2024-09-25,44.0029,44.5479,43.7596,44.509,2864600.0
2024-09-26,44.8497,46.0955,44.8497,45.7548,4356000.0
2024-09-27,46.1052,46.6989,45.7062,46.66,2592700.0
2024-09-30,46.3583,46.5724,45.4044,45.7256,2920900.0
2024-10-01,45.5796,45.5796,44.1294,45.0735,2775100.0
2024-10-02,44.3825,45.1903,44.3727,44.5966,1732400.0
2024-10-03,44.2462,44.7426,44.0126,44.5285,1697600.0
2024-10-04,45.0735,45.4239,44.6647,45.2584,2201000.0
2024-10-07,45.093,45.1806,44.217,44.4603,2647300.0
2024-10-08,44.2462,44.3241,43.8277,44.0516,2066500.0
2024-10-09,44.0418,44.3143,43.5941,43.6136,1853700.0
2024-10-10,43.6525,43.7888,43.2048,43.2243,1853800.0
2024-10-11,43.3897,44.2365,43.3897,44.0613,2726300.0
2024-10-14,43.8569,44.5869,43.8569,44.3727,1810000.0
2024-10-15,44.2949,44.7231,43.9056,43.9932,2976100.0
2024-10-16,44.2268,44.6355,44.0029,44.2462,1689100.0
2024-10-17,44.3435,44.7523,43.925,43.9737,2357700.0
2024-10-18,44.1684,44.1781,43.5357,43.9445,2533000.0
2024-10-21,43.9542,44.2657,43.1756,43.3216,2512900.0
2024-10-22,43.0004,43.0588,42.6208,42.7571,1935000.0
2024-10-23,42.4261,42.6987,41.92,42.3775,1993300.0
2024-10-24,42.6597,43.3119,42.4164,43.2827,2901900.0
2024-10-25,48.4703,50.2125,47.205,49.1419,17253300.0
2024-10-28,49.4826,50.5727,49.0738,49.1225,5441800.0
2024-10-29,48.373,48.5287,47.1272,47.7209,5148900.0
2024-10-30,47.2926,48.1102,46.8255,47.1077,4115300.0
2024-10-31,47.0299,47.1175,46.0663,46.1831,3354200.0
2024-11-01,46.3096,46.3972,45.5212,45.7159,2655500.0
2024-11-04,45.9592,47.4289,45.9592,47.2635,4179800.0
2024-11-05,46.9617,48.2562,46.9617,48.1005,3086900.0
2024-11-06,49.1906,49.6188,47.974,48.4314,6399400.0
2024-11-07,50.6116,51.0983,49.8816,50.1736,6991700.0
2024-11-08,49.2684,50.8841,49.0251,50.8257,3566400.0
2024-11-11,51.0982,51.3513,49.9692,50.1444,3731900.0
2024-11-12,48.5871,50.0276,48.5093,49.8038,4647900.0
2024-11-13,50.0957,50.3488,49.7843,49.8914,2115400.0
