Date,Open,High,Low,Close,Volume
2024-08-19,98.4416,99.0655,97.4287,98.9389,790000
2024-08-20,98.74,99.0203,98.0346,98.125,627200
2024-08-21,98.2697,99.2102,97.2841,99.0655,671800
2024-08-22,99.2102,99.3911,98.2245,98.7761,704500
2024-08-23,99.4634,100.5486,98.8485,99.1288,732700
2024-08-26,100.015,100.1959,98.3963,98.8214,954900
2024-08-27,98.3963,98.4144,97.3202,97.5734,784500
2024-08-28,97.3202,98.2517,96.8229,97.2208,751000
2024-08-29,98.0346,98.8394,94.7792,94.9148,2070300
2024-08-30,95.4303,96.0361,94.3632,95.8914,1832000
2024-09-03,95.0866,95.9276,94.1461,94.4807,1420800
2024-09-04,94.1823,95.1318,93.9201,94.6074,1077800
2024-09-05,94.8696,95.0233,93.3956,94.1552,776500
2024-09-06,94.0105,95.2223,91.3338,91.9578,1320900
2024-09-09,93.0791,93.8929,92.437,93.6307,1222300
2024-09-10,93.8025,93.893,92.2652,93.8116,1072900
2024-09-11,93.5764,94.2818,91.6593,94.1461,1381500
2024-09-12,94.3994,95.0504,92.8078,94.8334,1370800
2024-09-13,95.5289,96.1512,95.4008,95.6845,1147800
2024-09-16,95.9682,97.1304,95.593,96.8833,1303300
2024-09-17,97.167,98.9698,97.167,98.7593,1096500
2024-09-18,98.9697,100.5804,98.7227,98.9514,867200
2024-09-19,100.5803,101.6144,100.1868,101.166,1163800
2024-09-20,101.0837,101.166,98.3749,99.0979,2665400
2024-09-23,99.409,99.9855,98.6129,98.924,907900
2024-09-24,99.3907,100.3424,98.9057,100.1777,861400
2024-09-25,100.3424,100.4705,98.2285,98.3383,1050600
2024-09-26,99.7568,100.5255,99.2992,100.0953,1236700
2024-09-27,100.864,100.9464,99.9855,100.2143,854100
2024-09-30,99.9764,100.1777,98.7226,99.6835,978300
2024-10-01,99.0796,99.4181,97.6428,98.018,955400
2024-10-02,97.9265,98.9514,97.7618,98.2285,662200
2024-10-03,97.6886,97.8259,96.8009,97.4415,967700
2024-10-04,98.7776,99.3449,97.8899,99.2626,739100
2024-10-07,99.0155,99.1162,97.1304,97.5788,1089000
2024-10-08,97.6611,98.0821,97.1944,97.5513,785100
2024-10-09,97.4049,98.3932,97.0022,98.3017,1292900
2024-10-10,98.1736,99.0979,97.3957,98.8325,1168200
2024-10-11,99.0979,101.0654,98.988,99.7293,1072500
2024-10-14,99.7567,100.4431,99.0247,100.3699,911000
2024-10-15,100.7268,101.8249,100.0313,100.1685,898900
2024-10-16,100.8091,102.2001,100.6901,102.1086,1307100
2024-10-17,102.7492,103.6826,101.9255,103.6002,1674900
2024-10-18,103.6185,106.1259,103.2982,105.8148,1765100
2024-10-21,105.2108,105.2474,104.1401,104.3323,1032600
2024-10-22,104.1585,104.3415,103.3257,103.3348,689800
2024-10-23,103.0054,103.3623,99.7934,100.2326,1335100
2024-10-24,101.4223,103.0786,101.2026,102.5021,1078800
2024-10-25,102.8315,103.4263,101.5778,101.8798,863100
2024-10-28,102.9413,103.2159,101.5138,102.859,970600
2024-10-29,102.1543,103.0695,101.8981,102.8407,1071000
2024-10-30,102.3465,104.1676,102.2275,102.3191,1135600
2024-10-31,101.9988,101.9988,99.9947,100.5346,2578400
2024-11-01,99.8574,103.5911,99.3998,102.5478,1739100
2024-11-04,102.4746,105.0827,101.6876,102.9413,1921100
2024-11-05,103.1335,104.8265,102.2825,104.799,1159500
2024-11-06,111.6532,111.8546,109.4021,111.0127,2588800
2024-11-07,110.8571,110.8571,109.4387,109.8688,1351600
2024-11-08,109.3472,109.5302,107.5078,107.6359,1383400
2024-11-11,109.0818,109.2007,107.8189,107.9196,944200
2024-11-12,107.7365,109.2831,107.4346,108.0477,1227700
2024-11-13,108.1392,109.9786,108.1392,108.432,1098000
2024-11-14,108.2673,110.5093,108.2124,109.6308,2278800
2024-11-15,109.6308,110.4087,108.368,108.6883,1318800
2024-11-18,108.8987,109.0086,108.0294,108.5876,1142600
2024-11-19,107.1875,108.1758,106.675,107.9379,1257000
2024-11-20,107.7457,107.8464,106.2266,107.5444,1150400
