Date,Open,High,Low,Close,Volume
2024-08-26,104.7,105.39,103.33,103.97,2110800
2024-08-27,103.01,104.56,102.15,103.92,2570200
2024-08-28,103.88,103.98,101.53,102.18,1943500
2024-08-29,102.9,105.22,102.781,103.51,2106000
2024-08-30,104.0,105.08,103.44,104.53,2143100
2024-09-03,103.93,103.93,100.16,100.97,2762200
2024-09-04,102.19,103.6,101.038,101.35,2513300
2024-09-05,100.76,103.84,100.74,103.54,2801700
2024-09-06,103.68,104.93,99.13,100.31,3847300
2024-09-09,99.84,101.46,97.84,99.32,3253700
2024-09-10,100.09,100.64,98.14,99.71,1940800
2024-09-11,100.14,101.94,98.62,101.61,2906300
2024-09-12,101.62,104.5,101.16,104.5,2973200
2024-09-13,105.0,107.645,104.855,106.06,3314700
2024-09-16,105.97,106.92,105.0,105.37,2147200
2024-09-17,106.44,107.21,105.17,105.84,2286400
2024-09-18,106.5,109.5,106.41,108.02,3786200
2024-09-19,110.91,111.8,109.106,110.14,3166000
2024-09-20,109.6,110.26,108.5,109.51,3261200
2024-09-23,110.0,110.23,107.9,108.53,2392200
2024-09-24,109.0,110.81,108.24,110.79,2383400
2024-09-25,110.75,111.345,109.91,110.72,2050700
2024-09-26,112.21,112.22,108.148,109.36,3096000
2024-09-27,109.6,110.45,108.96,109.45,1700400
2024-09-30,109.0,109.76,108.12,109.65,2154500
2024-10-01,110.585,110.75,106.7,108.72,2306900
2024-10-02,108.39,109.45,107.874,108.71,1715700
2024-10-03,108.37,111.58,108.0,111.46,2258900
2024-10-04,113.06,113.84,111.85,113.0,2937300
2024-10-07,112.78,113.68,111.16,111.8,2112800
2024-10-08,111.8,114.58,111.25,114.53,2411100
2024-10-09,114.4,116.31,114.26,115.57,2544400
2024-10-10,114.76,116.59,114.76,115.71,2025300
2024-10-11,115.31,118.34,114.41,117.9,2712800
2024-10-14,118.82,118.82,117.1,117.97,2641200
2024-10-15,118.48,118.54,115.92,117.68,2352800
2024-10-16,118.0,118.6,116.739,117.94,1288800
2024-10-17,118.74,118.9,117.02,117.63,1635500
2024-10-18,117.43,119.43,115.3,118.76,2627600
2024-10-21,117.89,119.5,116.85,118.21,1916400
2024-10-22,116.88,120.78,116.61,118.94,2859200
2024-10-23,117.81,119.35,115.86,117.17,2177600
2024-10-24,117.53,118.46,116.59,118.21,1372900
2024-10-25,119.79,121.44,118.19,119.47,2881100
2024-10-28,120.18,120.24,118.48,118.98,3063600
2024-10-29,119.35,121.89,118.82,121.62,3042100
2024-10-30,121.62,123.85,121.13,121.98,2602100
2024-10-31,121.0,121.56,117.792,120.21,3454800
2024-11-01,119.86,120.81,118.88,119.19,3333900
2024-11-04,119.18,120.36,117.89,118.27,3396800
2024-11-05,119.03,120.421,118.49,119.94,2243800
2024-11-06,122.55,124.98,122.5,124.81,3891100
2024-11-07,127.55,132.65,127.485,132.53,8526500
2024-11-08,116.11,126.95,116.0,125.13,13646200
2024-11-11,125.37,131.8,125.13,129.34,6755600
2024-11-12,128.36,131.33,128.36,131.2,3241100
2024-11-13,130.9,132.56,127.13,127.25,4263500
2024-11-14,127.47,127.47,123.3,125.88,2680500
2024-11-15,124.245,124.5,117.74,118.15,5125100
2024-11-18,117.97,119.06,116.59,117.26,4680900
2024-11-19,116.23,119.61,116.04,119.42,3757800
2024-11-20,121.85,125.405,120.757,123.9,5988400
2024-11-21,125.34,128.55,122.31,127.35,4378100
2024-11-22,127.03,129.81,126.38,129.7,3683400
2024-11-25,131.49,131.85,128.38,129.35,5323200
2024-11-26,129.24,131.95,128.59,128.98,3505400
2024-11-27,128.68,128.68,125.6,128.15,2944700
2024-11-29,128.13,129.18,127.51,128.55,2214200
