Date,Open,High,Low,Close,Volume
2024-08-07,180.0244,181.2356,173.8545,174.1857,5013000
2024-08-08,177.176,183.5919,175.5862,182.92,6180400
2024-08-09,180.7624,183.062,179.7688,181.8885,3066500
2024-08-12,182.1157,183.2323,180.5353,181.7466,5235900
2024-08-13,183.3932,187.0932,183.0147,186.6579,4969000
2024-08-14,186.4308,186.7809,183.062,185.106,3072000
2024-08-15,189.7334,192.2505,187.8408,191.0866,5081900
2024-08-16,191.0866,191.5787,187.538,189.7618,4236400
2024-08-19,189.7712,190.2539,187.3676,189.8848,3788900
2024-08-20,189.6766,193.4713,187.4528,191.6638,7111400
2024-08-21,195.2693,199.556,193.8971,197.1808,8119300
2024-08-22,197.266,198.3826,191.9099,192.8278,6879900
2024-08-23,195.714,199.2058,195.2314,198.6097,6112000
2024-08-26,197.777,198.7327,196.4048,197.0672,5806000
2024-08-27,196.7549,199.7737,196.4143,199.3762,4373400
2024-08-28,199.3194,199.9251,194.9097,196.5846,3998100
2024-08-29,199.3289,202.8964,198.392,199.7547,5622800
2024-08-30,201.1647,203.133,200.0481,202.8302,5860900
2024-09-03,200.5685,200.5685,190.3863,190.992,9284000
2024-09-04,190.7932,194.692,189.5346,193.0454,4650400
2024-09-05,191.4367,193.3009,188.9574,190.727,4107400
2024-09-06,190.6797,191.0298,186.1658,186.8472,6314400
2024-09-09,191.238,191.4273,188.3045,190.3674,4864100
2024-09-10,190.3674,190.4715,186.4497,189.071,4859400
2024-09-11,188.9763,191.9288,184.5666,191.5408,5900500
2024-09-12,190.7743,191.1528,184.2164,185.4561,7201000
2024-09-13,186.5254,190.093,186.2605,189.194,4617000
2024-09-16,188.0489,188.7871,185.4655,187.8124,3717800
2024-09-17,188.7303,191.3894,188.2477,190.5756,3478500
2024-09-18,191.7963,193.9634,189.2224,189.9321,4262100
2024-09-19,196.4616,199.2532,194.6447,196.4521,5155600
2024-09-20,193.405,194.2378,190.2822,192.383,14502900
2024-09-23,192.9413,193.8214,191.9477,192.9035,2757400
2024-09-24,194.9948,197.2281,193.6227,193.935,5573200
2024-09-25,192.2316,194.3419,192.2127,194.0485,4124600
2024-09-26,199.0261,199.2626,194.0485,198.023,4521300
2024-09-27,199.5087,200.3509,197.5971,197.9094,3074400
2024-09-30,195.0327,197.493,193.1401,195.4774,5459100
2024-10-01,194.9948,195.9033,188.9763,190.7743,9039900
2024-10-02,192.014,194.7015,190.8784,192.506,4389400
2024-10-03,190.2822,192.5155,189.5157,190.8405,3167000
2024-10-04,195.0327,195.2787,190.5283,191.8247,4092900
2024-10-07,189.8185,191.8909,188.9479,190.462,2772400
2024-10-08,190.1876,192.3357,188.541,191.3516,6283700
2024-10-09,190.727,194.4649,190.5661,193.9633,3214900
2024-10-10,191.115,192.4398,190.093,191.5976,3649400
2024-10-11,190.5567,194.7393,190.5567,194.0958,2815800
2024-10-14,195.0705,197.7391,194.5974,197.4552,3291600
2024-10-15,196.8496,197.4457,188.2193,189.1088,6818800
2024-10-16,191.1339,191.2475,188.5789,189.9132,3311300
2024-10-17,193.8971,193.8971,187.4717,187.6515,4686900
2024-10-18,188.7681,189.2224,186.1753,187.8124,4029500
2024-10-21,186.1753,187.3014,183.696,185.2574,4948100
2024-10-22,183.2134,184.8126,182.4942,183.554,7910800
2024-10-23,190.2444,192.0992,187.3677,190.9068,10548500
2024-10-24,191.9288,195.7992,190.4053,195.5153,9309300
2024-10-25,196.4616,200.0386,195.6477,195.8181,5103100
2024-10-28,195.2882,196.1777,193.9918,194.7772,4409000
2024-10-29,195.0705,200.2279,194.2851,200.0007,5522800
2024-10-30,196.8306,199.4897,196.5941,196.7644,4914000
2024-10-31,198.0884,198.0884,191.8398,193.5163,6543000
2024-11-01,193.44,196.9073,193.44,195.1927,4208800
2024-11-04,193.8306,195.8405,192.9352,193.9925,3693800
2024-11-05,192.478,195.7642,190.2395,192.8495,5253200
2024-11-06,199.0124,205.4419,198.4789,204.7657,8527500
2024-11-07,205.5563,207.89,205.3372,207.2137,6020800
2024-11-08,206.7469,209.9284,205.9468,209.8331,5020700
2024-11-11,207.6614,209.2997,204.156,205.6229,6154700
2024-11-12,205.1657,205.1848,199.079,202.6796,4990800
2024-11-13,200.9936,201.7937,195.5928,195.9547,7921800
2024-11-14,195.5261,197.2407,194.6783,196.2214,4783800
2024-11-15,194.1735,195.0499,190.773,191.5731,5970400
2024-11-18,192.6018,197.8122,191.9636,197.3454,7912100
