Date,Open,High,Low,Close,Volume
2024-08-20,580.88,584.58,575.91,576.63,199200
2024-08-21,576.34,581.24,576.34,581.19,180500
2024-08-22,581.14,581.37,570.89,572.68,145500
2024-08-23,576.14,576.32,567.02,571.73,203100
2024-08-26,571.92,575.27,570.8,571.68,208400
2024-08-27,571.75,581.86,571.75,578.59,141100
2024-08-28,577.93,581.88,577.09,581.05,111600
2024-08-29,583.16,592.45,583.16,587.63,176600
2024-08-30,589.9,592.23,583.07,587.87,294700
2024-09-03,587.12,587.77,574.76,578.72,180700
2024-09-04,576.5,587.14,576.5,586.66,188300
2024-09-05,581.93,586.42,579.74,583.86,138200
2024-09-06,586.84,590.0,579.84,581.16,215800
2024-09-09,586.97,590.8,583.57,588.99,316400
2024-09-10,592.08,598.93,586.1,595.46,216800
2024-09-11,592.93,592.93,578.75,586.41,170900
2024-09-12,587.0,590.31,569.66,583.17,183700
2024-09-13,583.18,584.67,579.43,581.96,140000
2024-09-16,584.56,590.49,582.04,585.73,230600
2024-09-17,586.19,591.18,576.07,579.39,248800
2024-09-18,577.79,583.01,570.63,579.49,275400
2024-09-19,586.11,586.11,576.32,580.25,369600
2024-09-20,576.89,579.69,570.17,577.8,1471100
2024-09-23,580.39,585.03,573.23,583.74,285200
2024-09-24,582.56,585.61,578.87,585.15,179900
2024-09-25,586.36,588.81,579.04,580.04,171500
2024-09-26,583.53,585.73,577.02,579.07,158600
2024-09-27,578.02,582.04,574.74,577.52,141700
2024-09-30,577.17,584.41,575.95,583.72,188000
2024-10-01,582.66,584.61,576.44,578.64,192300
2024-10-02,578.12,584.45,573.55,584.11,126000
2024-10-03,585.0,585.0,579.81,581.55,94000
2024-10-04,584.87,584.87,577.85,579.45,172400
2024-10-07,583.22,586.2,578.76,581.57,235900
2024-10-08,586.49,596.0,584.48,593.9,301500
2024-10-09,594.65,597.98,587.6,591.56,223900
2024-10-10,590.47,590.47,582.63,586.47,206900
2024-10-11,588.82,597.42,588.82,594.41,222600
2024-10-14,596.02,601.51,594.7,599.69,183400
2024-10-15,602.45,606.93,600.04,601.05,253100
2024-10-16,594.83,595.06,585.01,589.97,184600
2024-10-17,589.0,589.7,586.64,588.23,187600
2024-10-18,588.57,590.51,585.0,588.43,179700
2024-10-21,588.0,590.48,583.69,586.77,267600
2024-10-22,587.0,588.29,584.05,585.86,205000
2024-10-23,585.0,589.52,582.04,582.22,304800
2024-10-24,593.86,631.43,587.13,611.67,598000
2024-10-25,613.5,617.17,604.71,605.86,238200
2024-10-28,608.51,609.78,604.6,605.39,195200
2024-10-29,605.0,616.81,605.0,613.48,317400
2024-10-30,613.53,616.62,609.21,614.8,233400
2024-10-31,612.88,616.26,603.56,605.59,250700
2024-11-01,605.63,610.35,602.26,602.75,239000
2024-11-04,604.61,605.11,596.54,600.61,150000
2024-11-05,600.75,607.0,597.05,606.35,191600
2024-11-06,621.66,625.0,595.31,603.2,356400
2024-11-07,604.23,619.76,604.23,615.35,271100
2024-11-08,617.0,627.52,611.33,623.22,307200
2024-11-11,624.87,629.96,612.91,613.23,307400
2024-11-12,613.35,620.04,609.34,619.12,234500
2024-11-13,621.4,628.0,614.22,616.87,243900
2024-11-14,619.12,624.18,612.55,614.28,281800
2024-11-15,611.67,611.67,595.5,597.1,252700
2024-11-18,597.1,603.53,596.04,601.19,225400
2024-11-19,599.12,603.77,597.6,599.68,269400
2024-11-20,599.68,602.33,596.04,601.14,236600
2024-11-21,605.57,605.72,596.77,597.21,322700
2024-11-22,602.08,610.75,602.08,609.09,270400
2024-11-25,612.18,625.86,609.98,624.19,1187800
2024-11-26,624.4,635.4,618.55,635.19,249500
2024-11-27,636.77,637.53,629.39,630.44,262600
2024-11-29,632.01,635.65,626.63,629.17,140400
2024-12-02,625.46,626.28,617.12,625.58,295000
2024-12-03,623.27,624.45,616.04,622.85,184800
2024-12-04,624.99,636.56,621.32,635.69,188200
2024-12-05,635.43,638.56,626.17,630.73,245800
2024-12-06,630.99,637.71,620.76,623.15,197000
2024-12-09,623.76,623.76,612.92,621.77,278200
2024-12-10,618.87,623.47,613.3,617.44,294000
2024-12-11,618.64,635.48,618.64,625.02,364900
2024-12-12,626.0,632.73,625.11,628.24,192600
2024-12-13,627.17,628.58,608.04,611.65,200000
2024-12-16,611.0,617.79,610.33,614.36,215400
2024-12-17,613.51,614.19,607.28,607.94,305000
2024-12-18,609.1,609.18,587.04,591.18,371800
2024-12-19,593.95,598.01,587.03,593.6,280100
2024-12-20,594.62,607.83,592.13,605.42,516500
2024-12-23,600.5,603.1,589.36,594.4,218800
2024-12-24,593.51,599.26,592.56,599.26,58900
2024-12-26,594.38,598.2,592.66,592.84,83600
2024-12-27,590.0,593.36,583.17,587.1,130700
2024-12-30,582.0,582.39,574.92,579.04,121000
2024-12-31,579.31,580.47,573.59,576.64,140400
2025-01-02,581.69,583.77,573.82,574.67,184600
2025-01-03,574.84,585.25,574.84,584.17,168800
2025-01-06,582.06,582.06,568.49,575.84,215100
2025-01-07,574.41,577.85,560.97,563.54,350600
2025-01-08,564.0,575.49,564.0,575.22,205600
2025-01-10,569.46,570.75,559.29,559.7,229600
2025-01-13,558.37,565.16,558.37,562.01,211100
2025-01-14,564.52,571.5,561.35,570.27,156100
2025-01-15,577.51,580.59,569.31,571.88,186900
2025-01-16,573.93,583.17,572.7,575.43,197600
2025-01-17,578.66,581.16,568.59,569.33,308000
2025-01-21,573.05,586.52,572.97,584.55,235400
2025-01-22,586.51,590.36,581.55,586.03,177300
2025-01-23,586.43,593.7,582.4,593.47,214000
2025-01-24,591.4,594.97,590.21,591.93,155300
2025-01-27,588.5,608.45,583.61,607.38,313500
2025-01-28,605.04,626.08,600.76,619.85,304100
2025-01-29,614.97,616.17,605.92,607.41,235500
2025-01-30,605.48,613.63,594.07,598.89,260000
2025-01-31,598.72,606.15,593.9,601.64,272400
2025-02-03,596.54,607.32,587.49,603.01,187300
2025-02-04,606.08,614.4,604.57,608.08,198500
2025-02-05,611.12,616.79,606.58,616.0,204400
2025-02-06,613.47,616.62,611.52,615.85,181200
2025-02-07,614.1,619.03,602.56,606.24,224300
2025-02-10,609.83,614.97,601.42,611.83,200200
2025-02-11,609.45,612.01,602.95,609.47,187900
2025-02-12,600.0,614.5,600.0,610.27,398700
2025-02-13,620.92,661.31,618.75,646.74,632900
2025-02-14,648.91,650.98,636.74,641.7,314100
2025-02-18,641.67,641.67,631.03,639.99,355700
2025-02-19,639.23,647.11,631.59,644.68,172000
2025-02-20,640.61,641.77,626.11,630.09,249200
2025-02-21,628.12,629.01,613.57,615.21,297400
2025-02-24,615.82,616.54,609.59,613.57,244700
2025-02-25,612.5,621.76,609.25,615.83,185500
2025-02-26,616.9,624.75,613.31,616.47,178800
2025-02-27,615.87,617.08,603.8,605.41,228200
2025-02-28,606.79,611.01,601.02,608.43,325500
2025-03-03,612.16,619.24,603.61,606.39,313000
2025-03-04,605.27,621.92,597.23,617.3,396900
2025-03-05,612.42,626.56,612.42,625.14,251200
2025-03-06,617.28,622.34,604.71,606.94,331300
2025-03-07,601.23,612.62,567.32,588.01,431900
2025-03-10,581.78,583.24,563.35,571.26,321300
2025-03-11,572.49,573.01,562.83,565.22,399200
2025-03-12,571.59,580.7,565.04,568.7,244900
2025-03-13,563.99,565.77,552.27,553.41,312700
2025-03-14,558.92,563.96,555.28,563.38,290600
2025-03-17,562.18,579.95,558.28,574.57,243200
2025-03-18,572.24,576.95,567.8,574.67,270700
2025-03-19,574.67,581.51,572.95,578.05,238600
2025-03-20,575.0,575.0,565.64,568.97,215900
2025-03-21,562.8,566.73,557.98,566.39,407700
2025-03-24,574.39,576.49,565.87,574.39,244600
2025-03-25,574.0,582.74,574.0,580.3,175800
2025-03-26,578.72,585.03,576.22,577.33,206000
2025-03-27,579.2,581.39,573.01,578.4,162500
2025-03-28,578.62,580.55,569.95,579.66,297700
2025-03-31,577.58,587.56,566.11,581.39,415600
2025-04-01,582.61,586.11,576.71,584.53,222100
2025-04-02,578.71,585.56,576.13,581.81,232000
2025-04-03,575.04,580.98,566.45,569.68,281700
2025-04-04,562.06,562.24,537.61,538.24,475600
2025-04-07,531.23,552.99,514.91,535.03,432800
2025-04-08,550.52,550.52,514.51,521.68,313800
2025-04-09,518.27,570.98,514.77,564.98,492900
2025-04-10,559.61,563.85,539.67,557.59,414000
2025-04-11,558.14,570.05,553.77,568.54,209300
2025-04-14,573.36,575.69,566.61,571.81,152400
2025-04-15,573.67,579.77,570.92,578.43,192800
2025-04-16,571.6,578.35,563.46,569.29,157700
2025-04-17,568.42,577.27,567.12,570.2,222600
2025-04-21,565.31,567.12,547.76,555.53,190100
2025-04-22,551.78,568.16,551.46,563.84,296200
2025-04-23,578.81,584.08,567.72,569.27,371800
2025-04-24,557.19,574.91,525.59,530.5,778900
2025-04-25,530.5,532.52,513.61,524.64,543900
2025-04-28,526.01,526.01,513.52,521.72,483900
2025-04-29,523.77,536.71,523.15,534.15,426800
2025-04-30,532.13,544.16,525.86,543.3,569200
2025-05-01,542.41,544.51,533.14,539.6,249900
2025-05-02,545.0,551.65,539.28,550.0,235700
2025-05-05,547.57,552.36,547.03,549.34,229900
2025-05-06,544.73,553.34,540.5,552.67,218500
2025-05-07,555.49,561.95,554.87,557.71,253100
2025-05-08,562.44,568.48,558.38,562.81,211400
2025-05-09,562.9,565.5,551.33,560.25,191700
2025-05-12,568.59,571.1,559.21,565.19,334200
2025-05-13,567.56,575.82,558.66,567.8,342600
2025-05-14,565.27,570.27,558.5,562.0,352900
2025-05-15,562.97,574.96,561.35,572.73,166300
2025-05-16,570.88,580.64,570.0,576.9,183200
2025-05-19,573.05,577.54,569.25,574.09,173700
2025-05-20,571.81,575.65,569.63,574.23,193200
2025-05-21,569.23,577.4,563.09,566.82,241300
2025-05-22,566.82,571.72,563.11,567.42,164600
2025-05-23,564.3,570.35,559.59,566.02,181200
2025-05-27,572.28,578.69,568.41,576.11,206300
2025-05-28,576.24,580.27,572.58,573.64,265100
2025-05-29,574.97,574.97,566.47,571.68,260600
2025-05-30,573.2,577.73,569.83,576.99,457600
2025-06-02,570.52,571.89,559.27,564.72,223900
2025-06-03,560.3,575.61,557.24,574.01,338800
2025-06-04,573.91,582.12,562.51,577.98,353500
2025-06-05,580.0,580.0,570.78,573.79,223000
2025-06-06,575.57,581.04,572.02,576.22,159000
2025-06-09,578.64,583.17,571.06,580.17,184100
2025-06-10,580.69,588.28,579.78,586.53,259000
2025-06-11,584.87,589.44,580.91,584.04,235000
2025-06-12,585.0,590.0,579.91,587.74,186700
2025-06-13,581.78,584.81,576.84,579.72,350700
2025-06-16,584.85,593.72,582.83,589.13,268900
2025-06-17,584.56,586.3,578.35,580.56,246700
2025-06-18,580.41,582.05,568.27,568.67,247700
2025-06-20,569.53,572.98,568.0,569.77,668000
2025-06-23,572.32,580.11,569.52,580.07,226400
2025-06-24,584.91,589.71,578.37,588.63,249900
2025-06-25,588.07,590.42,581.23,581.24,297300
