Date,Open,High,Low,Close,Volume
2024-08-05,207.3812,211.9034,203.4539,209.2555,778400
2024-08-06,209.315,211.834,208.0257,210.3563,1603600
2024-08-07,212.1911,213.5001,208.2935,210.3167,978900
2024-08-08,210.8026,216.753,210.2473,216.5943,715300
2024-08-09,216.2869,216.872,213.0836,213.4406,502500
2024-08-12,213.401,216.0786,212.7067,215.9398,387300
2024-08-13,216.277,219.8274,216.277,218.6571,560100
2024-08-14,219.7084,222.4852,218.1117,220.0158,534000
2024-08-15,221.1861,222.2373,217.8538,221.4241,543700
2024-08-16,222.0786,225.1233,220.7795,224.5679,570600
2024-08-19,224.677,226.3927,222.7629,225.6389,454300
2024-08-20,225.8174,227.1166,224.0323,225.6786,553900
2024-08-21,225.6786,226.948,224.4984,225.9166,506500
2024-08-22,227.0869,228.5844,226.7695,227.3943,519700
2024-08-23,228.6637,231.8273,227.8902,231.2125,684800
2024-08-26,231.4406,233.2654,229.6158,231.1133,493800
2024-08-27,230.6274,233.6521,230.6274,233.4141,521600
2024-08-28,233.553,235.824,233.553,234.872,619900
2024-08-29,235.8736,235.8935,232.8687,233.7414,378400
2024-08-30,233.4538,236.2901,233.4538,236.0025,494100
2024-09-03,235.5062,237.5112,233.3524,234.7122,599300
2024-09-04,234.8909,236.9157,233.9082,236.8264,524000
2024-09-05,236.2209,237.541,233.7792,237.5311,704800
2024-09-06,237.3028,240.1514,224.9056,227.4466,929600
2024-09-09,228.5781,230.9702,222.0768,224.8262,954000
2024-09-10,225.531,227.7543,222.8113,224.0024,555700
2024-09-11,223.7741,229.8089,222.583,228.062,819100
2024-09-12,224.588,230.2456,224.588,229.6402,560600
2024-09-13,229.3821,231.933,229.3821,230.8313,346000
2024-09-16,232.1117,235.0398,230.732,233.2432,480800
2024-09-17,232.8958,233.9181,229.2035,230.5533,605100
2024-09-18,228.3201,235.4963,228.2903,232.9454,615000
2024-09-19,235.1688,236.0323,231.7941,236.0224,489300
2024-09-20,235.3971,237.7693,233.6303,236.2507,843300
2024-09-23,237.4418,239.5361,236.3499,238.8016,421700
2024-09-24,238.3549,241.4418,236.737,239.7247,463000
2024-09-25,240.211,241.0348,238.881,239.4467,354600
2024-09-26,239.2979,239.7346,235.7743,237.8884,398100
2024-09-27,237.7594,238.1763,221.6401,228.2109,1381300
2024-09-30,222.4044,227.6551,210.5035,227.3077,1753200
2024-10-01,226.8908,227.1092,220.6872,222.99,822700
2024-10-02,222.3349,223.8237,221.2034,222.3349,707600
2024-10-03,221.8981,222.9403,210.9204,213.5705,1529600
2024-10-04,215.1785,215.8832,211.3968,214.0768,674400
