Date,Open,High,Low,Close,Volume
2024-09-03,245.9037,246.9416,244.1546,245.2694,2585800.0
2024-09-04,245.4904,248.018,242.2709,245.7403,2880300.0
2024-09-05,245.8364,246.1343,240.1374,241.7327,2562500.0
2024-09-06,241.6078,243.7894,239.532,239.9068,2406200.0
2024-09-09,240.9447,242.319,240.0894,241.3291,2162500.0
2024-09-10,242.0403,242.7803,239.8971,242.7418,1694700.0
2024-09-11,240.8774,241.7039,233.9482,237.8597,2372100.0
2024-09-12,238.2633,239.801,235.8511,239.1955,1867900.0
2024-09-13,240.2047,242.1844,238.8688,239.4166,2267800.0
2024-09-16,241.1081,243.7125,239.7626,242.5977,1651000.0
2024-09-17,243.405,245.1253,243.1455,243.6741,1640400.0
2024-09-18,244.1161,244.6447,240.7717,241.4156,1568200.0
2024-09-19,240.2623,244.1161,236.4662,238.7631,3406700.0
2024-09-20,233.9963,236.0529,233.0929,235.8319,6802600.0
2024-09-23,235.5436,235.8031,233.4004,234.496,2740600.0
2024-09-24,233.7176,239.3301,232.1511,239.2629,2772700.0
2024-09-25,237.8981,239.58,235.534,235.9376,2347200.0
2024-09-26,237.3792,238.6286,232.9103,233.756,2398600.0
2024-09-27,235.1495,237.8405,234.4384,234.7075,1954500.0
2024-09-30,235.4571,237.3888,233.9771,236.8794,2923200.0
2024-10-01,236.5815,237.7156,234.1693,235.9857,1925000.0
2024-10-02,235.5051,236.6007,232.7758,233.8714,2568300.0
2024-10-03,232.9872,233.535,230.2674,231.2573,1990200.0
2024-10-04,232.3049,233.708,227.9513,229.5563,2137900.0
2024-10-07,228.4414,228.8739,226.1253,227.6438,1684100.0
2024-10-08,228.4222,229.6331,228.0666,228.3069,1783200.0
2024-10-09,227.8744,229.364,226.6923,228.4222,2046700.0
2024-10-10,228.2012,229.6332,227.0864,229.5178,1900700.0
2024-10-11,230.7287,233.0929,230.2194,232.8719,1663800.0
2024-10-14,233.1986,236.5815,232.5355,235.7166,1735800.0
2024-10-15,237.1005,239.013,235.8031,236.2163,1858000.0
2024-10-16,236.3509,240.4834,235.9376,238.4363,1500100.0
2024-10-17,237.2639,237.2639,231.1324,232.3048,2177900.0
2024-10-18,233.0833,235.1784,232.055,234.5921,2866100.0
2024-10-21,234.2365,234.2365,230.0944,230.9882,1547900.0
2024-10-22,231.6898,232.5163,229.3352,232.0454,1818400.0
2024-10-23,231.9012,232.7565,230.7575,231.9492,2156100.0
2024-10-24,220.4839,224.8855,218.6964,221.7621,5181100.0
2024-10-25,221.224,222.8481,220.3494,221.3297,2952000.0
2024-10-28,221.099,224.3666,221.099,222.9442,2493000.0
2024-10-29,223.0692,225.2508,222.4445,222.9539,3682100.0
2024-10-30,222.4829,225.5102,222.2715,223.1268,3079400.0
2024-10-31,221.7525,224.7318,221.3201,223.0307,2594700.0
2024-11-01,224.4531,225.6928,223.2518,223.6266,2653300.0
2024-11-04,222.9154,224.1455,220.5031,220.9548,2195600.0
2024-11-05,221.618,224.7798,220.5608,224.7606,1483700.0
2024-11-06,238.4172,241.9154,232.9103,238.8112,5318700.0
2024-11-07,239.5896,240.1566,232.7662,233.1121,2921300.0
2024-11-08,232.5355,234.621,231.4303,232.0838,2209300.0
2024-11-11,234.3615,236.3605,232.4202,232.5259,3299100.0
2024-11-12,232.9103,233.189,229.2968,229.6043,2362900.0
2024-11-13,230.0848,231.5456,229.0277,231.0459,2563900.0
2024-11-14,230.9017,231.6994,225.6736,226.404,2766000.0
2024-11-15,225.7313,228.5664,224.8855,226.3944,2068500.0
2024-11-18,225.9235,226.2887,224.7702,225.2796,1401400.0
2024-11-19,224.059,224.972,222.8289,224.2032,1773900.0
2024-11-20,224.3762,225.1931,222.8097,224.4627,1158000.0
2024-11-21,224.9528,230.5846,224.5684,229.71,3490700.0
2024-11-22,230.6518,233.2178,230.1425,232.9487,2664900.0
2024-11-25,233.9771,240.8198,233.5831,239.6088,4224400.0
2024-11-26,237.1485,237.5426,233.016,236.0626,3305300.0
2024-11-27,236.4566,238.2345,235.3225,235.6781,2040800.0
2024-11-29,235.5436,237.0236,234.5922,235.1303,1484900.0
2024-12-02,234.5248,235.0438,231.0458,231.4014,3100000.0
2024-12-03,232.3145,232.3145,225.9523,227.7591,4196800.0
2024-12-04,227.4804,228.5856,224.5107,225.8466,3264900.0
2024-12-05,226.1637,226.3655,224.4723,225.491,2011400.0
2024-12-06,226.5097,227.4515,224.2801,224.4723,2585100.0
2024-12-09,224.4916,227.1208,223.9503,225.7385,3095700.0
2024-12-10,225.5549,231.0355,224.047,229.17,3092600.0
2024-12-11,228.6093,230.4652,225.5162,225.9705,2862600.0
2024-12-12,226.4248,226.7148,224.1437,225.9029,2242700.0
2024-12-13,225.3906,229.6049,225.3906,227.1304,2715600.0
2024-12-16,226.2218,227.2271,223.8343,225.1102,2839500.0
2024-12-17,222.9741,224.743,221.6692,222.2008,3642400.0
2024-12-18,222.1235,223.3897,216.9135,217.0392,3582400.0
2024-12-19,216.9232,219.0304,215.6086,215.6956,2785300.0
2024-12-20,215.6666,220.2966,214.4487,218.7598,5949400.0
2024-12-23,218.0928,219.9197,217.2518,219.5427,1939300.0
2024-12-24,220.1226,222.3265,219.069,222.0751,669000.0
2024-12-26,221.0795,223.0901,220.9055,222.5391,1021700.0
2024-12-27,220.9442,223.989,220.6736,222.2491,1455900.0
2024-12-30,220.5576,221.9591,219.2043,220.1806,1659700.0
2024-12-31,220.3836,221.8335,219.3687,220.4223,1784700.0
2025-01-02,222.2974,222.9161,220.7026,221.4662,3177200.0
2025-01-03,222.1331,224.6076,221.2052,223.7667,1994500.0
2025-01-06,224.453,224.54,221.2632,222.3265,2798800.0
