Date,Open,High,Low,Close,Volume
2024-08-29,720.591,728.2805,707.6408,716.579,276900
2024-08-30,722.4297,729.2047,712.0754,728.8901,338000
2024-09-03,715.8316,721.0825,686.3912,690.1376,503000
2024-09-04,689.7247,696.4309,685.4277,688.8791,401100
2024-09-05,687.6401,688.8889,672.2415,685.88,315600
2024-09-06,687.2369,697.955,669.3898,669.7339,372200
2024-09-09,678.7511,687.1977,677.5022,684.3264,491100
2024-09-10,689.1151,692.3994,679.4786,692.3207,511800
2024-09-11,688.3187,699.0466,664.6405,694.5726,511600
2024-09-12,695.3886,704.4941,688.1416,700.7378,317200
2024-09-13,708.27,726.2843,707.0016,717.2968,393100
2024-09-16,721.6332,730.2863,716.1168,729.5784,318200
2024-09-17,735.7438,758.8025,732.1744,758.3895,500000
2024-09-18,757.4061,788.0166,752.2339,760.3855,614000
2024-09-19,781.7333,784.2113,762.9028,780.691,439100
2024-09-20,774.4862,781.1629,768.2914,770.5234,607500
2024-09-23,782.8445,790.0718,774.9681,785.6174,335700
2024-09-24,791.291,794.3098,779.2848,788.8721,412000
2024-09-25,792.9922,805.7359,786.5516,788.6656,378500
2024-09-26,801.3995,812.452,784.5062,789.2654,734700
2024-09-27,796.4829,804.8411,791.7335,800.5145,383400
2024-09-30,791.5664,796.483,783.0214,796.2175,452900
2024-10-01,795.6275,799.5706,785.578,793.3265,364300
2024-10-02,783.0608,792.8546,775.8433,782.7462,499600
2024-10-03,781.6644,786.4728,771.1528,776.0005,399800
2024-10-04,790.8191,790.8191,768.1832,776.3447,416900
2024-10-07,770.0811,789.9735,767.3966,788.882,590700
2024-10-08,788.6164,793.1494,780.7499,786.3646,441800
2024-10-09,788.056,800.4949,784.1326,799.9344,452300
2024-10-10,788.705,795.6766,784.6045,789.4326,319200
2024-10-11,791.9204,808.2434,791.9204,805.3328,484100
2024-10-14,805.3328,826.5428,802.8155,824.0649,439200
2024-10-15,817.9488,830.84,817.3391,819.7679,432700
2024-10-16,825.0285,847.3595,821.9507,831.9412,345600
2024-10-17,835.6876,835.8155,823.0127,826.5133,340700
2024-10-18,825.4317,825.9823,814.8808,825.2645,341300
2024-10-21,825.4709,828.175,814.507,818.637,323200
2024-10-22,816.0607,846.9564,809.7577,833.3179,1035400
2024-10-23,832.5508,833.7406,813.74,820.2594,657800
2024-10-24,821.7049,825.9823,795.3816,811.2228,687500
2024-10-25,814.871,816.8474,795.2243,798.9413,460300
2024-10-28,805.6475,817.4079,800.6228,810.8885,462100
2024-10-29,807.673,810.1018,794.0345,798.8822,440000
2024-10-30,794.0934,808.4989,792.884,798.5675,410400
2024-10-31,795.8242,803.7595,792.4121,799.2363,398600
2024-11-01,806.3161,807.7812,779.688,780.2288,741000
2024-11-04,777.3969,788.2526,766.6197,772.8736,775300
2024-11-05,769.5795,786.1483,767.6915,784.6832,611800
2024-11-06,847.8217,873.791,835.1271,865.6295,1651800
2024-11-07,864.0857,864.6659,844.3604,848.038,554000
2024-11-08,848.5985,867.5371,848.5985,860.4081,468400
2024-11-11,870.2314,882.0115,857.7729,859.297,589300
2024-11-12,860.3982,862.9548,844.38,853.869,385300
2024-11-13,852.8446,858.2827,842.3132,846.0864,407900
