Date,Open,High,Low,Close,Volume
2024-08-19,142.2096,142.7405,140.1237,140.5314,2637900
2024-08-20,140.2754,140.2754,133.8281,133.9324,4084300
2024-08-21,134.8521,137.8766,134.179,136.407,2696200
2024-08-22,136.6156,137.4215,135.4873,135.9899,1176800
2024-08-23,136.8906,138.711,135.9994,138.3033,1524000
2024-08-26,139.0049,139.716,135.2503,135.6675,2752200
2024-08-27,135.3452,135.3452,133.1645,133.6196,2030300
2024-08-28,132.7947,135.3357,132.1879,133.7333,2139700
2024-08-29,134.6246,135.2883,131.9983,134.4539,2275000
2024-08-30,133.7333,139.4316,133.4773,139.1187,3359500
2024-09-03,137.0138,137.1181,133.373,134.0367,3236300
2024-09-04,134.0462,135.2882,131.4009,132.387,2558300
2024-09-05,132.6051,133.6764,128.2152,128.4902,3299700
2024-09-06,129.0306,129.8934,125.7975,127.2292,3462000
2024-09-09,127.8644,128.8979,126.7077,127.2007,2931000
2024-09-10,127.836,129.1634,125.4088,129.0306,3028600
2024-09-11,129.0875,129.0875,123.6073,126.0061,4960900
2024-09-12,125.8923,127.3524,125.2665,127.1628,2507200
2024-09-13,127.9972,129.2392,127.1344,127.2955,2130200
2024-09-16,128.4712,129.9883,126.2621,126.812,2244500
2024-09-17,127.6274,128.8599,127.1818,128.7556,2395000
2024-09-18,128.9453,131.1544,127.6748,129.571,2725500
2024-09-19,131.4009,133.4015,129.8081,131.4957,2538200
2024-09-20,129.5711,129.9124,126.0061,127.4852,7363200
2024-09-23,126.2716,128.8315,125.4467,128.1678,2817500
2024-09-24,129.9977,130.083,125.6647,125.9302,3062700
2024-09-25,126.1862,128.4333,125.5415,125.9208,3008500
2024-09-26,126.3474,132.9653,126.1957,129.5331,6296800
2024-09-27,129.8934,130.9648,128.31,128.9168,2935800
2024-09-30,128.585,129.5805,127.2387,128.0256,2623400
2024-10-01,126.4138,130.8226,126.2431,130.339,3227000
2024-10-02,130.9743,131.0596,127.0585,128.6419,3024700
2024-10-03,128.7936,137.2793,128.3006,136.5587,5224700
2024-10-04,137.668,138.5498,132.6999,135.0323,2916400
2024-10-07,134.6435,137.4689,134.416,136.5113,1983100
2024-10-08,134.653,134.8426,128.5186,129.2677,4177700
2024-10-09,128.4997,132.9179,127.8454,132.131,2372300
2024-10-10,132.2732,136.2269,132.2543,135.3072,2300900
2024-10-11,134.7289,136.5967,134.0841,134.9564,1632000
2024-10-14,134.5108,134.8047,133.2972,133.8471,1379000
2024-10-15,129.4194,130.4718,127.4188,127.6653,3247800
2024-10-16,128.5281,129.3151,127.9308,128.4902,1525600
